Date,Open,High,Low,Close,Adj Close,Volume
2014-07-09,2.39,2.39,2.13,2.15,2.1206869999999998,7898263.0
2014-07-10,2.22,2.35,2.19,2.3,2.268642,4383387.0
2014-07-11,2.32,2.38,2.29,2.33,2.298233,503651.0
2014-07-14,2.33,2.34,2.29,2.32,2.288369,155825.0
2014-07-15,2.32,2.33,2.28,2.3,2.268642,205019.0
2014-07-16,2.3,2.31,2.25,2.27,2.239051,356747.0
2014-07-17,2.28,2.29,2.23,2.24,2.20946,157410.0
2014-07-18,,,,,,
2014-07-21,2.25,2.28,2.23,2.26,2.229187,126705.0
2014-07-22,,,,,,
2014-07-23,,,,,,
2014-07-24,2.21,2.21,2.14,2.2,2.1700049999999997,258670.0
2014-07-25,2.2,2.2,2.16,2.2,2.1700049999999997,155067.0
2014-07-28,,,,,,
2014-07-29,2.25,2.25,2.2,2.23,2.199596,265679.0
2014-07-30,2.25,2.29,2.23,2.29,2.258778,170011.0
2014-07-31,2.29,2.34,2.27,2.3,2.268642,117657.0
2014-08-01,2.3,2.305,2.25,2.28,2.248914,264445.0
2014-08-04,2.28,2.32,2.28,2.3,2.268642,47530.0
2014-08-05,,,,,,
2014-08-06,2.29,2.29,2.27,2.27,2.239051,24895.0
2014-08-07,,,,,,
2014-08-08,2.22,2.24,2.2,2.2,2.1700049999999997,6597.0
2014-08-11,,,,,,
2014-08-12,,,,,,
2014-08-13,,,,,,
2014-08-14,,,,,,
2014-08-15,,,,,,
2014-08-18,2.27,2.28,2.25,2.27,2.239051,22960.0
2014-08-19,2.27,2.38,2.25,2.35,2.31796,99946.0
2014-08-20,,,,,,
2014-08-21,,,,,,
2014-08-22,2.4,2.42,2.37,2.42,2.387006,170006.0
2014-08-25,,,,,,
2014-08-26,,,,,,
2014-08-27,2.53,2.54,2.48,2.48,2.4461880000000003,201249.0
2014-08-28,,,,,,
2014-08-29,,,,,,
2014-09-01,,,,,,
2014-09-02,,,,,,
2014-09-03,,,,,,
2014-09-04,,,,,,
2014-09-05,,,,,,
2014-09-08,2.48,2.5,2.45,2.46,2.426461,306169.0
2014-09-09,,,,,,
2014-09-10,,,,,,
2014-09-11,,,,,,
2014-09-12,,,,,,
2014-09-15,,,,,,
2014-09-16,,,,,,
2014-09-17,,,,,,
2014-09-18,2.48,2.48,2.46,2.48,2.4461880000000003,28160.0
2014-09-19,,,,,,
2014-09-22,2.46,2.49,2.45,2.49,2.456051,6973.0
2014-09-23,,,,,,
2014-09-24,,,,,,
2014-09-25,2.46,2.49,2.46,2.49,2.456051,95933.0
2014-09-26,,,,,,
2014-09-29,,,,,,
2014-09-30,,,,,,
2014-10-01,,,,,,
2014-10-02,,,,,,
2014-10-03,,,,,,
2014-10-05,,,,,,
2014-10-06,2.45,2.45,2.44,2.44,2.406733,117273.0
2014-10-07,,,,,,
2014-10-08,,,,,,
2014-10-09,,,,,,
2014-10-12,,,,,,
2014-10-13,,,,,,
2014-10-14,,,,,,
2014-10-15,2.35,2.37,2.35,2.35,2.31796,2547.0
2014-10-16,2.35,2.37,2.3,2.3,2.268642,5780.0
2014-10-19,2.32,2.37,2.3,2.35,2.31796,119419.0
2014-10-20,2.28,2.28,2.28,2.28,2.248914,22.0
2014-10-21,2.29,2.31,2.29,2.31,2.278506,5676.0
2014-10-22,2.32,2.36,2.32,2.32,2.288369,18354.0
2014-10-23,2.35,2.37,2.32,2.32,2.288369,13837.0
2014-10-26,2.32,2.37,2.32,2.34,2.308096,11685.0
2014-10-27,2.33,2.4,2.32,2.37,2.337687,183054.0
2014-10-28,2.37,2.44,2.33,2.4,2.367279,96500.0
2014-10-29,2.4,2.4,2.33,2.39,2.357415,73086.0
2014-10-30,2.4,2.45,2.34,2.34,2.308096,125464.0
2014-11-02,2.35,2.5,2.35,2.5,2.4659150000000003,815110.0
2014-11-03,2.5,2.5,2.45,2.49,2.456051,830508.0
2014-11-04,2.49,2.49,2.4,2.4,2.367279,187726.0
2014-11-05,2.47,2.47,2.42,2.43,2.3968689999999997,42842.0
2014-11-06,2.42,2.42,2.37,2.37,2.337687,42467.0
2014-11-09,2.37,2.4,2.35,2.35,2.31796,715774.0
2014-11-10,2.4,2.4,2.36,2.36,2.327824,14849.0
2014-11-11,2.36,2.36,2.35,2.35,2.31796,3505.0
2014-11-12,2.35,2.36,2.35,2.35,2.31796,30256.0
2014-11-13,2.36,2.37,2.35,2.36,2.327824,2895.0
2014-11-16,2.36,2.37,2.35,2.35,2.31796,10233.0
2014-11-17,2.35,2.37,2.34,2.35,2.31796,23477.0
2014-11-18,2.4,2.4,2.34,2.4,2.367279,7569.0
2014-11-19,2.4,2.41,2.34,2.38,2.3475509999999997,822983.0
2014-11-20,2.35,2.36,2.31,2.35,2.31796,336476.0
2014-11-23,2.35,2.35,2.21,2.31,2.278506,311649.0
2014-11-24,2.35,2.35,2.28,2.3,2.268642,8041.0
2014-11-25,2.39,2.39,2.23,2.25,2.2193240000000003,22501.0
2014-11-26,2.25,2.35,2.25,2.25,2.2193240000000003,76591.0
2014-11-27,2.25,2.28,2.2,2.25,2.2193240000000003,199056.0
2014-11-30,2.25,2.25,2.2,2.22,2.1897330000000004,70353.0
2014-12-01,2.23,2.25,2.16,2.25,2.2193240000000003,57354.0
2014-12-02,2.25,2.29,2.21,2.29,2.258778,19359.0
2014-12-03,2.29,2.29,2.25,2.29,2.258778,6328.0
2014-12-04,2.28,2.35,2.26,2.35,2.31796,7305.0
2014-12-07,2.3,2.35,2.3,2.35,2.31796,2196.0
2014-12-08,2.3,2.35,2.28,2.35,2.31796,14786.0
2014-12-09,2.26,2.26,2.23,2.23,2.199596,32590.0
2014-12-10,2.17,2.22,2.17,2.2,2.1700049999999997,23692.0
2014-12-11,2.2,2.27,2.06,2.06,2.031914,145524.0
2014-12-14,2.13,2.13,2.06,2.07,2.041778,3568.0
2014-12-15,2.06,2.11,2.06,2.1,2.071369,125003.0
2014-12-16,2.1,2.1,2.1,2.1,2.071369,0.0
2014-12-17,2.1,2.1,1.94,2.04,2.012187,594166.0
2014-12-18,2.07,2.07,2.01,2.06,2.031914,10140.0
2014-12-21,2.09,2.09,2.04,2.06,2.031914,66193.0
2014-12-22,2.09,2.1,2.0,2.07,2.041778,230883.0
2014-12-23,2.08,2.1,2.06,2.09,2.061505,124291.0
2014-12-28,2.09,2.1,2.06,2.1,2.071369,17196.0
2014-12-29,2.1,2.15,2.09,2.15,2.1206869999999998,207781.0
2014-12-30,2.16,2.17,2.14,2.17,2.140414,117039.0
2015-01-01,2.17,2.29,2.17,2.26,2.229187,1863.0
2015-01-04,2.22,2.3,2.07,2.07,2.041778,21860.0
2015-01-05,2.06,2.1,2.02,2.08,2.051641,54385.0
2015-01-06,2.05,2.1,2.0,2.05,2.02205,267842.0
2015-01-07,2.1,2.1,2.07,2.08,2.051641,3025.0
2015-01-08,2.08,2.3,2.05,2.28,2.248914,13671.0
2015-01-11,2.2,2.24,2.2,2.24,2.20946,444.0
2015-01-12,2.22,2.28,2.22,2.28,2.248914,819.0
2015-01-13,2.27,2.28,2.26,2.26,2.229187,12534.0
2015-01-14,2.25,2.28,2.25,2.28,2.248914,4356.0
2015-01-15,2.23,2.29,2.23,2.27,2.239051,40919.0
2015-01-18,2.22,2.25,2.22,2.25,2.2193240000000003,717.0
2015-01-19,2.23,2.27,2.22,2.27,2.239051,22720.0
2015-01-20,2.22,2.25,2.22,2.22,2.1897330000000004,661.0
2015-01-21,2.22,2.25,2.22,2.23,2.199596,44229.0
2015-01-22,2.22,2.3,2.14,2.22,2.1897330000000004,59987.0
2015-01-26,2.22,2.3,2.22,2.22,2.1897330000000004,10170.0
2015-01-27,2.24,2.24,2.2,2.24,2.20946,63682.0
2015-01-28,2.24,2.24,2.22,2.23,2.199596,39293.0
2015-01-29,2.23,2.27,2.23,2.25,2.2193240000000003,82671.0
2015-02-01,2.27,2.28,2.24,2.24,2.20946,9830.0
2015-02-02,2.18,2.25,2.18,2.25,2.2193240000000003,32166.0
2015-02-03,2.25,2.34,2.23,2.34,2.308096,116035.0
2015-02-04,2.34,2.36,2.27,2.36,2.327824,53649.0
2015-02-05,2.39,2.4,2.34,2.35,2.31796,29938.0
2015-02-08,2.3,2.41,2.25,2.41,2.3771419999999996,20712.0
2015-02-09,2.44,2.44,2.3,2.41,2.3771419999999996,11400.0
2015-02-10,2.41,2.41,2.4,2.4,2.367279,4370.0
2015-02-11,2.4,2.4,2.26,2.37,2.337687,51943.0
2015-02-12,2.39,2.4,2.3,2.4,2.367279,27902.0
2015-02-15,2.39,2.41,2.3,2.3,2.268642,52528.0
2015-02-16,2.38,2.38,2.31,2.32,2.288369,9332.0
2015-02-17,2.32,2.33,2.29,2.3,2.268642,45637.0
2015-02-18,2.35,2.44,2.32,2.41,2.3771419999999996,172497.0
2015-02-19,2.43,2.5,2.41,2.48,2.4461880000000003,117887.0
2015-02-22,2.48,2.5,2.45,2.45,2.4165970000000003,19458.0
2015-02-23,2.44,2.48,2.4,2.48,2.4461880000000003,15836.0
2015-02-24,2.48,2.48,2.4,2.44,2.406733,18864.0
2015-02-25,2.45,2.49,2.45,2.48,2.4461880000000003,45696.0
2015-02-26,2.48,2.5,2.45,2.49,2.456051,55309.0
2015-03-01,2.53,2.68,2.46,2.55,2.5152330000000003,380075.0
2015-03-02,2.57,2.58,2.4,2.45,2.4165970000000003,632599.0
2015-03-03,2.45,2.46,2.35,2.44,2.406733,148844.0
2015-03-04,2.5,2.53,2.48,2.53,2.4955060000000002,43006.0
2015-03-05,2.52,2.52,2.47,2.52,2.485642,144541.0
2015-03-08,2.5,2.53,2.48,2.5,2.4659150000000003,33845.0
2015-03-09,2.5,2.5,2.41,2.49,2.456051,184892.0
2015-03-10,2.48,2.49,2.41,2.41,2.3771419999999996,72485.0
2015-03-11,2.43,2.47,2.42,2.47,2.4363240000000004,23108.0
2015-03-12,2.46,2.47,2.43,2.43,2.3968689999999997,16206.0
2015-03-15,2.41,2.41,2.36,2.39,2.357415,18059.0
2015-03-16,2.4,2.41,2.3,2.4,2.367279,24346.0
2015-03-17,2.26,2.37,2.26,2.35,2.31796,344115.0
2015-03-18,2.35,2.35,2.28,2.35,2.31796,15247.0
2015-03-19,2.35,2.35,2.32,2.35,2.31796,89814.0
2015-03-22,2.35,2.38,2.3,2.31,2.278506,68068.0
2015-03-23,2.3,2.35,2.3,2.3,2.268642,338599.0
2015-03-24,2.34,2.4,2.34,2.35,2.31796,42661.0
2015-03-25,2.33,2.35,2.33,2.35,2.31796,25890.0
2015-03-26,2.33,2.36,2.31,2.36,2.327824,39452.0
2015-03-29,2.36,2.36,2.33,2.34,2.308096,65558.0
2015-03-30,2.34,2.34,2.34,2.34,2.308096,0.0
2015-03-31,2.36,2.4,2.34,2.34,2.308096,5189.0
2015-04-01,2.34,2.35,2.34,2.35,2.31796,459.0
2015-04-07,2.35,2.37,2.35,2.36,2.327824,8530.0
2015-04-08,2.4,2.4,2.33,2.36,2.327824,15202.0
2015-04-09,2.36,2.4,2.36,2.4,2.367279,1260921.0
2015-04-10,2.44,2.45,2.4,2.43,2.3968689999999997,2111637.0
2015-04-13,2.45,2.46,2.36,2.4,2.367279,23764.0
2015-04-14,2.4,2.45,2.39,2.39,2.357415,138343.0
2015-04-15,2.4,2.4,2.36,2.36,2.327824,7191.0
