Date,Open,High,Low,Close,Adj Close,Volume
2014-12-16,0.25,0.32,0.25,0.31,0.297358,2294300.0
2014-12-17,0.32,0.39,0.32,0.385,0.369299,1720758.0
2014-12-18,0.385,0.385,0.35,0.35,0.335727,582892.0
2014-12-21,0.355,0.36,0.345,0.35,0.335727,333000.0
2014-12-22,0.35,0.35,0.33,0.34,0.32613400000000003,54450.0
2014-12-23,0.34,0.34,0.34,0.34,0.32613400000000003,26000.0
2014-12-28,0.34,0.34,0.33,0.33,0.316542,50000.0
2014-12-29,0.32,0.32,0.295,0.295,0.282969,14700.0
2014-12-30,0.29,0.33,0.29,0.33,0.316542,196300.0
2015-01-01,0.33,0.345,0.33,0.34,0.32613400000000003,112700.0
2015-01-04,0.335,0.335,0.32,0.335,0.321338,83000.0
2015-01-05,0.335,0.335,0.335,0.335,0.321338,0.0
2015-01-06,0.335,0.335,0.335,0.335,0.321338,10000.0
2015-01-07,0.335,0.335,0.33,0.33,0.316542,41000.0
2015-01-08,0.33,0.33,0.33,0.33,0.316542,0.0
2015-01-11,0.33,0.33,0.33,0.33,0.316542,0.0
2015-01-12,0.33,0.33,0.33,0.33,0.316542,0.0
2015-01-13,0.33,0.33,0.33,0.33,0.316542,0.0
2015-01-14,0.335,0.345,0.335,0.345,0.33093,108750.0
2015-01-15,0.34,0.34,0.34,0.34,0.32613400000000003,60000.0
2015-01-18,0.34,0.345,0.34,0.345,0.33093,34000.0
2015-01-19,0.345,0.35,0.345,0.35,0.335727,199981.0
2015-01-20,0.355,0.375,0.355,0.375,0.359707,388000.0
2015-01-21,0.37,0.38,0.37,0.375,0.359707,219931.0
2015-01-22,0.38,0.4,0.38,0.4,0.383687,173866.0
2015-01-26,0.4,0.43,0.4,0.4,0.383687,1544681.0
2015-01-27,0.4,0.415,0.4,0.415,0.39807600000000004,194900.0
2015-01-28,0.415,0.415,0.415,0.415,0.39807600000000004,34325.0
2015-01-29,0.415,0.415,0.41,0.41,0.39328,130330.0
2015-02-01,0.41,0.41,0.4,0.41,0.39328,69600.0
2015-02-02,0.41,0.41,0.4,0.4,0.383687,242000.0
2015-02-03,0.405,0.405,0.4,0.4,0.383687,110050.0
2015-02-04,0.405,0.405,0.4,0.4,0.383687,155500.0
2015-02-05,0.4,0.4,0.39,0.39,0.37409499999999996,287300.0
2015-02-08,0.405,0.405,0.4,0.4,0.383687,113300.0
2015-02-09,0.4,0.41,0.4,0.41,0.39328,40000.0
2015-02-10,0.4,0.4,0.38,0.4,0.383687,36450.0
2015-02-11,0.41,0.41,0.4,0.4,0.383687,63000.0
2015-02-12,0.4,0.4,0.4,0.4,0.383687,24450.0
2015-02-15,0.41,0.41,0.385,0.385,0.369299,68400.0
2015-02-16,0.405,0.405,0.4,0.4,0.383687,56400.0
2015-02-17,0.4,0.405,0.4,0.405,0.388484,54000.0
2015-02-18,0.405,0.405,0.405,0.405,0.388484,0.0
2015-02-19,0.41,0.41,0.41,0.41,0.39328,5000.0
2015-02-22,0.41,0.41,0.4,0.4,0.383687,46000.0
2015-02-23,0.41,0.41,0.4,0.405,0.388484,174200.0
2015-02-24,0.405,0.41,0.405,0.41,0.39328,162000.0
2015-02-25,0.4,0.4,0.39,0.4,0.383687,80360.0
2015-02-26,0.4,0.4,0.4,0.4,0.383687,45500.0
2015-03-01,0.4,0.4,0.4,0.4,0.383687,16000.0
2015-03-02,0.4,0.4,0.39,0.39,0.37409499999999996,90758.0
2015-03-03,0.395,0.4,0.395,0.4,0.383687,54300.0
2015-03-04,0.4,0.4,0.39,0.4,0.383687,89110.0
2015-03-05,0.4,0.4,0.385,0.4,0.383687,90102.0
2015-03-08,0.4,0.43,0.39,0.43,0.4124640000000001,488921.0
2015-03-09,0.44,0.475,0.42,0.45,0.431648,167750.0
2015-03-10,0.45,0.46,0.44,0.46,0.441241,55887.0
2015-03-11,0.46,0.46,0.45,0.46,0.441241,216408.0
2015-03-12,0.465,0.465,0.46,0.46,0.441241,60957.0
2015-03-15,0.46,0.46,0.46,0.46,0.441241,7777.0
2015-03-16,0.46,0.465,0.46,0.465,0.446037,48000.0
2015-03-17,0.47,0.49,0.47,0.49,0.470017,147450.0
2015-03-18,0.5,0.5,0.5,0.5,0.479609,86460.0
2015-03-19,0.5,0.505,0.5,0.505,0.48440500000000003,191039.0
2015-03-22,0.505,0.52,0.505,0.52,0.49879399999999996,182600.0
2015-03-23,0.52,0.535,0.515,0.535,0.5131819999999999,297850.0
2015-03-24,0.54,0.54,0.505,0.52,0.49879399999999996,123610.0
2015-03-25,0.5,0.5,0.495,0.495,0.474813,34000.0
2015-03-26,0.495,0.505,0.495,0.505,0.48440500000000003,105500.0
2015-03-29,0.48,0.48,0.44,0.44,0.42205600000000004,196000.0
2015-03-30,0.5,0.52,0.5,0.52,0.49879399999999996,184000.0
2015-03-31,0.5,0.5,0.48,0.49,0.470017,40300.0
2015-04-01,0.52,0.52,0.52,0.52,0.49879399999999996,4500.0
2015-04-07,0.52,0.54,0.52,0.54,0.5179779999999999,176500.0
2015-04-08,0.545,0.55,0.54,0.54,0.5179779999999999,162289.0
2015-04-09,0.54,0.545,0.54,0.545,0.522774,60000.0
2015-04-10,0.545,0.58,0.545,0.58,0.556347,322211.0
2015-04-13,0.57,0.655,0.57,0.65,0.623492,486336.0
2015-04-14,0.65,0.86,0.65,0.85,0.815336,790648.0
2015-04-15,0.85,0.86,0.75,0.765,0.7338020000000001,493808.0
2015-04-16,0.765,0.765,0.765,0.765,0.7338020000000001,962.0
2015-04-17,0.765,0.86,0.765,0.81,0.776967,145060.0
2015-04-20,0.83,0.85,0.8,0.83,0.796151,164350.0
2015-04-21,0.83,0.86,0.83,0.83,0.796151,130000.0
2015-04-22,0.85,0.85,0.85,0.85,0.815336,49625.0
2015-04-23,0.85,0.85,0.83,0.85,0.815336,54200.0
2015-04-24,0.85,0.9,0.85,0.9,0.863297,224535.0
2015-04-27,0.9,0.97,0.9,0.97,0.930442,160105.0
2015-04-28,0.97,1.03,0.97,1.03,0.9879950000000001,362920.0
2015-04-29,1.0,1.13,1.0,1.0,0.959219,935904.0
2015-04-30,1.0,1.03,0.9,1.01,0.9688110000000001,199894.0
2015-05-01,1.01,1.02,1.01,1.02,0.978403,17500.0
2015-05-04,1.01,1.01,0.955,1.0,0.959219,66131.0
2015-05-05,1.005,1.01,1.0,1.01,0.9688110000000001,30376.0
2015-05-06,1.01,1.01,0.985,1.01,0.9688110000000001,154508.0
2015-05-07,1.0,1.01,1.0,1.0,0.959219,63624.0
2015-05-08,1.01,1.05,1.01,1.05,1.00718,172000.0
2015-05-11,1.05,1.06,1.05,1.06,1.016772,42429.0
2015-05-12,1.03,1.05,0.98,0.98,0.940034,181000.0
2015-05-13,1.0,1.045,1.0,1.04,0.9975870000000001,165624.0
2015-05-14,1.03,1.055,1.005,1.05,1.00718,222050.0
2015-05-15,1.05,1.05,1.0,1.0,0.959219,40100.0
2015-05-18,1.015,1.05,1.0,1.04,0.9975870000000001,383226.0
2015-05-19,1.04,1.045,1.04,1.04,0.9975870000000001,59768.0
2015-05-20,1.04,1.04,1.0,1.0,0.959219,115025.0
2015-05-21,1.0,1.0,0.97,1.0,0.959219,112200.0
2015-05-22,1.0,1.0,0.95,0.95,0.911258,212170.0
2015-05-25,0.95,0.97,0.8,0.97,0.930442,699868.0
2015-05-26,0.97,0.97,0.9,0.935,0.896869,111000.0
2015-05-27,0.91,0.91,0.91,0.91,0.8728889999999999,5000.0
2015-05-28,0.91,0.91,0.88,0.88,0.8441120000000001,147560.0
2015-05-29,0.89,0.89,0.8,0.86,0.8249280000000001,466976.0
2015-06-01,0.85,0.885,0.805,0.885,0.848908,50338.0
2015-06-02,0.88,0.88,0.865,0.865,0.829724,3333.0
2015-06-03,0.87,0.875,0.87,0.87,0.83452,22220.0
2015-06-04,0.875,0.875,0.86,0.875,0.839316,12644.0
2015-06-05,0.875,0.875,0.845,0.845,0.8105399999999999,40756.0
2015-06-09,0.845,0.845,0.8,0.8,0.767375,102040.0
2015-06-10,0.8,0.8,0.78,0.78,0.7481909999999999,150285.0
2015-06-11,0.765,0.82,0.75,0.82,0.786559,63497.0
2015-06-12,0.82,0.82,0.82,0.82,0.786559,11000.0
2015-06-15,0.84,0.84,0.84,0.84,0.8057439999999999,8000.0
2015-06-16,0.84,0.84,0.84,0.84,0.8057439999999999,13500.0
2015-06-17,0.84,0.84,0.84,0.84,0.8057439999999999,10000.0
2015-06-18,0.84,0.84,0.84,0.84,0.8057439999999999,3000.0
2015-06-19,0.86,0.88,0.86,0.88,0.8441120000000001,12300.0
2015-06-22,0.885,0.9,0.87,0.9,0.863297,62000.0
2015-06-23,0.94,0.965,0.94,0.965,0.9256459999999999,9227.0
2015-06-24,0.965,0.965,0.965,0.965,0.9256459999999999,12780.0
2015-06-25,0.96,0.96,0.895,0.9,0.863297,23609.0
2015-06-26,0.895,0.9,0.895,0.9,0.863297,25000.0
2015-06-29,0.9,0.9,0.87,0.9,0.863297,4856.0
2015-06-30,0.87,0.89,0.84,0.86,0.8249280000000001,38068.0
2015-07-01,0.86,0.86,0.82,0.86,0.8249280000000001,48596.0
2015-07-02,0.9,0.9,0.85,0.855,0.820132,15090.0
2015-07-03,0.86,0.86,0.86,0.86,0.8249280000000001,15200.0
2015-07-06,0.86,0.86,0.86,0.86,0.8249280000000001,0.0
2015-07-07,0.895,0.895,0.88,0.88,0.8441120000000001,8000.0
2015-07-08,0.89,0.89,0.85,0.89,0.8537049999999999,24033.0
2015-07-09,0.85,0.89,0.85,0.89,0.8537049999999999,22292.0
2015-07-10,0.88,0.88,0.88,0.88,0.853607,10000.0
2015-07-13,0.88,0.88,0.88,0.88,0.853607,24100.0
2015-07-14,0.87,0.89,0.87,0.89,0.863308,51000.0
2015-07-15,0.885,0.885,0.855,0.885,0.8584579999999999,10422.0
2015-07-16,0.885,0.885,0.86,0.86,0.8342069999999999,46378.0
2015-07-17,0.86,0.86,0.86,0.86,0.8342069999999999,0.0
2015-07-20,0.88,0.88,0.86,0.86,0.8342069999999999,31700.0
2015-07-21,0.88,0.88,0.82,0.85,0.824507,100300.0
2015-07-22,0.85,0.85,0.85,0.85,0.824507,35000.0
2015-07-23,0.85,0.85,0.8,0.84,0.814807,60835.0
2015-07-24,0.85,0.85,0.82,0.85,0.824507,63300.0
2015-07-27,0.845,0.845,0.84,0.84,0.814807,3461.0
2015-07-28,0.84,0.84,0.84,0.84,0.814807,12800.0
2015-07-29,0.84,0.84,0.8,0.83,0.805107,49300.0
2015-07-30,0.8,0.83,0.8,0.83,0.805107,16900.0
2015-07-31,0.83,0.835,0.8,0.835,0.8099569999999999,70839.0
2015-08-03,0.82,0.83,0.82,0.83,0.805107,12510.0
2015-08-04,0.83,0.83,0.83,0.83,0.805107,0.0
2015-08-05,0.8,0.855,0.8,0.855,0.829358,118700.0
2015-08-06,0.88,0.92,0.88,0.89,0.863308,31373.0
2015-08-07,0.89,0.89,0.89,0.89,0.863308,0.0
2015-08-10,0.89,0.89,0.89,0.89,0.863308,0.0
2015-08-11,0.84,0.9,0.84,0.88,0.853607,135500.0
2015-08-12,0.9,0.9,0.9,0.9,0.873008,2025.0
2015-08-13,0.9,0.9,0.9,0.9,0.873008,0.0
2015-08-14,0.845,0.875,0.84,0.875,0.848758,24000.0
2015-08-17,0.84,0.875,0.84,0.865,0.839058,60000.0
2015-08-18,0.83,0.83,0.83,0.83,0.805107,8000.0
2015-08-19,0.83,0.85,0.83,0.83,0.805107,68857.0
2015-08-20,0.835,0.835,0.8,0.815,0.790557,109221.0
2015-08-21,0.8,0.815,0.79,0.8,0.776007,166723.0
2015-08-24,0.79,0.79,0.73,0.74,0.717806,101820.0
2015-08-25,0.745,0.745,0.715,0.715,0.6935560000000001,47897.0
2015-08-26,0.74,0.75,0.73,0.745,0.7226560000000001,212300.0
2015-08-27,0.75,0.76,0.75,0.76,0.737207,73001.0
2015-08-28,0.77,0.78,0.76,0.77,0.746907,145694.0
2015-08-31,0.78,0.78,0.78,0.78,0.7566069999999999,2720.0
2015-09-01,0.78,0.805,0.78,0.805,0.780857,173000.0
2015-09-02,0.805,0.805,0.8,0.8,0.776007,63000.0
2015-09-03,0.8,0.8,0.8,0.8,0.776007,32398.0
2015-09-04,0.8,0.8,0.8,0.8,0.776007,20000.0
2015-09-07,0.8,0.8,0.8,0.8,0.776007,10030.0
2015-09-08,0.8,0.8,0.8,0.8,0.776007,23000.0
2015-09-09,0.8,0.8,0.8,0.8,0.776007,11000.0
2015-09-10,0.8,0.8,0.8,0.8,0.776007,15000.0
2015-09-11,0.8,0.8,0.8,0.8,0.776007,2900.0
2015-09-14,0.8,0.8,0.8,0.8,0.776007,12457.0
2015-09-15,0.7,0.845,0.7,0.845,0.819657,96813.0
2015-09-16,0.725,0.765,0.72,0.74,0.717806,74730.0
2015-09-17,0.75,0.845,0.75,0.845,0.819657,41500.0
2015-09-18,0.835,0.835,0.835,0.835,0.8099569999999999,11000.0
2015-09-21,0.825,0.825,0.8,0.82,0.795407,110000.0
2015-09-22,0.82,0.82,0.8,0.8,0.776007,31900.0
2015-09-23,0.82,0.82,0.795,0.82,0.795407,68705.0
2015-09-24,0.79,0.79,0.79,0.79,0.766307,29500.0
2015-09-25,0.8,0.81,0.78,0.78,0.7566069999999999,66450.0
2015-09-28,0.8,0.8,0.78,0.78,0.7566069999999999,104588.0
2015-09-29,0.8,0.8,0.79,0.79,0.766307,15500.0
2015-09-30,0.8,0.82,0.79,0.815,0.790557,94001.0
2015-10-01,0.81,0.81,0.8,0.8,0.776007,10000.0
2015-10-02,0.82,0.82,0.815,0.815,0.790557,15067.0
2015-10-04,0.8,0.82,0.8,0.82,0.795407,45100.0
2015-10-05,0.81,0.81,0.8,0.8,0.776007,89899.0
2015-10-06,0.81,0.81,0.8,0.8,0.776007,35000.0
2015-10-07,0.805,0.805,0.8,0.8,0.776007,21365.0
2015-10-08,0.8,0.805,0.78,0.8,0.776007,92398.0
2015-10-11,0.8,0.805,0.8,0.8,0.776007,78000.0
2015-10-12,0.8,0.8,0.8,0.8,0.776007,30000.0
2015-10-13,0.8,0.805,0.8,0.8,0.776007,35615.0
2015-10-14,0.8,0.805,0.78,0.805,0.780857,257000.0
2015-10-15,0.8,0.805,0.8,0.805,0.780857,33000.0
2015-10-18,0.8,0.8,0.8,0.8,0.776007,16800.0
2015-10-19,0.8,0.8,0.78,0.79,0.766307,197760.0
2015-10-20,0.805,0.805,0.8,0.8,0.776007,32000.0
2015-10-21,0.8,0.8,0.8,0.8,0.776007,40000.0
2015-10-22,0.8,0.805,0.8,0.8,0.776007,29000.0
2015-10-25,0.805,0.805,0.805,0.805,0.780857,12620.0
2015-10-26,0.815,0.82,0.8,0.82,0.795407,43620.0
2015-10-27,0.82,0.83,0.82,0.82,0.795407,28501.0
2015-10-28,0.82,0.82,0.82,0.82,0.795407,31000.0
2015-10-29,0.82,0.82,0.82,0.82,0.795407,25000.0
2015-11-01,0.82,0.88,0.82,0.88,0.853607,103194.0
2015-11-02,0.88,0.895,0.88,0.895,0.868158,225350.0
2015-11-03,0.895,0.9,0.895,0.9,0.873008,17000.0
2015-11-04,0.905,0.905,0.9,0.905,0.877858,27000.0
2015-11-05,0.9,0.91,0.87,0.9,0.873008,37000.0
2015-11-08,0.93,0.95,0.93,0.93,0.902108,62193.0
2015-11-09,0.95,0.97,0.93,0.96,0.931208,77970.0
2015-11-10,0.95,0.95,0.94,0.95,0.92627,93715.0
2015-11-11,0.95,0.99,0.95,0.99,0.9652709999999999,92577.0
2015-11-12,0.99,0.99,0.935,0.955,0.9311450000000001,60100.0
2015-11-15,0.935,1.02,0.9,0.9,0.877519,278407.0
2015-11-16,0.995,1.0,0.99,1.0,0.9750209999999999,145000.0
2015-11-17,1.0,1.0,0.99,1.0,0.9750209999999999,27100.0
2015-11-18,1.0,1.0,1.0,1.0,0.9750209999999999,26600.0
2015-11-19,1.0,1.0,0.99,1.0,0.9750209999999999,74165.0
2015-11-22,1.0,1.0,0.995,1.0,0.9750209999999999,93903.0
2015-11-23,1.0,1.0,1.0,1.0,0.9750209999999999,26000.0
2015-11-24,1.03,1.03,1.0,1.0,0.9750209999999999,46000.0
2015-11-25,1.0,1.0,0.99,0.99,0.9652709999999999,71100.0
2015-11-26,1.0,1.0,1.0,1.0,0.9750209999999999,73905.0
2015-11-29,1.0,1.04,1.0,1.03,1.004271,31980.0
2015-11-30,1.02,1.02,0.99,0.99,0.9652709999999999,2030.0
2015-12-01,1.0,1.01,1.0,1.01,0.984771,30800.0
2015-12-02,1.01,1.02,1.01,1.01,0.984771,46670.0
2015-12-03,1.01,1.01,1.01,1.01,0.984771,0.0
2015-12-06,1.045,1.045,1.045,1.045,1.018897,5330.0
2015-12-07,1.045,1.045,1.045,1.045,1.018897,0.0
2015-12-08,1.04,1.04,1.04,1.04,1.014022,5000.0
2015-12-09,1.04,1.07,1.04,1.07,1.043272,76550.0
2015-12-10,1.07,1.1,1.07,1.1,1.072523,44380.0
2015-12-13,1.1,1.1,1.1,1.1,1.072523,47306.0
2015-12-14,1.1,1.1,1.09,1.09,1.062773,61797.0
2015-12-15,1.1,1.11,1.09,1.1,1.072523,465994.0
2015-12-16,1.12,1.15,1.11,1.15,1.1212739999999999,30959.0
2015-12-17,1.15,1.15,1.14,1.14,1.111524,135724.0
2015-12-20,1.18,1.24,1.14,1.21,1.179775,344062.0
2015-12-21,1.21,1.36,1.21,1.35,1.316278,273231.0
2015-12-22,1.38,1.38,1.24,1.33,1.296778,217650.0
2015-12-23,1.37,1.37,1.34,1.34,1.3065280000000001,24600.0
2015-12-27,1.34,1.34,1.34,1.34,1.3065280000000001,0.0
2015-12-28,1.37,1.37,1.3,1.35,1.316278,141771.0
2015-12-29,1.35,1.38,1.35,1.38,1.3455290000000002,158400.0
2015-12-30,1.38,1.38,1.37,1.38,1.3455290000000002,25000.0
2016-01-03,1.38,1.39,1.38,1.39,1.3552790000000001,70477.0
2016-01-04,1.385,1.385,1.375,1.38,1.3455290000000002,25820.0
2016-01-05,1.32,1.375,1.32,1.35,1.316278,41100.0
2016-01-06,1.35,1.35,1.33,1.35,1.316278,26600.0
2016-01-07,1.275,1.35,1.275,1.33,1.296778,50700.0
2016-01-10,1.34,1.34,1.31,1.33,1.296778,22000.0
2016-01-11,1.33,1.33,1.31,1.33,1.296778,57480.0
2016-01-12,1.33,1.34,1.29,1.29,1.2577770000000001,113358.0
2016-01-13,1.29,1.31,1.265,1.28,1.248027,88161.0
2016-01-14,1.29,1.29,1.21,1.25,1.218776,35085.0
2016-01-17,1.24,1.24,1.16,1.2,1.170025,173600.0
2016-01-18,1.18,1.19,1.16,1.18,1.1505239999999999,86623.0
2016-01-19,1.175,1.175,1.13,1.14,1.111524,124810.0
2016-01-20,1.125,1.18,1.03,1.18,1.1505239999999999,187577.0
2016-01-21,1.18,1.22,1.18,1.215,1.18465,157886.0
2016-01-24,1.22,1.22,1.21,1.21,1.179775,150620.0
2016-01-26,1.21,1.21,1.2,1.2,1.170025,88854.0
2016-01-27,1.2,1.2,1.18,1.18,1.1505239999999999,37450.0
2016-01-28,1.18,1.18,1.155,1.155,1.126149,36200.0
2016-01-31,1.155,1.16,1.155,1.155,1.126149,36200.0
2016-02-01,1.16,1.16,1.14,1.155,1.126149,35290.0
2016-02-02,1.15,1.15,1.14,1.15,1.1212739999999999,34320.0
2016-02-03,1.14,1.14,1.14,1.14,1.111524,59297.0
2016-02-04,1.14,1.14,1.14,1.14,1.111524,3300.0
2016-02-07,1.14,1.14,1.14,1.14,1.111524,11630.0
2016-02-08,1.14,1.14,1.14,1.14,1.111524,0.0
2016-02-09,1.14,1.14,1.14,1.14,1.111524,0.0
2016-02-10,1.14,1.14,1.05,1.13,1.101774,102000.0
2016-02-11,1.1,1.1,1.0,1.0,0.9750209999999999,328197.0
2016-02-14,1.0,1.0,1.0,1.0,0.9750209999999999,261797.0
2016-02-15,1.0,1.0,1.0,1.0,0.9750209999999999,178105.0
2016-02-16,1.0,1.025,1.0,1.0,0.9750209999999999,144900.0
2016-02-17,1.0,1.0,0.97,0.98,0.95552,86900.0
2016-02-18,0.98,0.98,0.905,0.905,0.882394,159751.0
2016-02-21,0.905,0.91,0.895,0.91,0.8872690000000001,165964.0
2016-02-22,0.91,0.95,0.88,0.95,0.92627,157722.0
2016-02-23,0.91,0.925,0.9,0.91,0.8872690000000001,83921.0
2016-02-24,0.91,0.915,0.91,0.915,0.892144,75027.0
2016-02-25,0.93,0.93,0.915,0.93,0.906769,22640.0
2016-02-28,0.93,0.95,0.93,0.935,0.911644,34567.0
2016-02-29,0.935,0.935,0.93,0.93,0.906769,49782.0
2016-03-01,0.93,0.95,0.93,0.93,0.906769,32863.0
2016-03-02,0.93,0.95,0.93,0.95,0.92627,18350.0
2016-03-03,0.94,0.95,0.93,0.95,0.92627,35500.0
2016-03-06,0.93,0.94,0.93,0.94,0.9165200000000001,69021.0
2016-03-07,0.945,0.95,0.94,0.945,0.9213950000000001,32131.0
2016-03-08,0.93,0.93,0.93,0.93,0.906769,31540.0
2016-03-09,0.93,1.0,0.93,1.0,0.9750209999999999,68477.0
2016-03-10,1.0,1.0,0.96,1.0,0.9750209999999999,44482.0
2016-03-13,0.98,0.995,0.955,0.995,0.970146,74000.0
2016-03-14,0.995,1.0,0.995,0.995,0.970146,73150.0
2016-03-15,0.995,1.0,0.995,0.995,0.970146,20800.0
2016-03-16,0.96,0.98,0.95,0.95,0.92627,150624.0
2016-03-17,0.96,0.96,0.96,0.96,0.9360200000000001,40800.0
2016-03-20,0.96,0.96,0.95,0.95,0.92627,34000.0
2016-03-21,0.955,0.955,0.95,0.95,0.92627,148100.0
2016-03-22,0.95,0.95,0.95,0.95,0.92627,0.0
2016-03-23,0.965,0.965,0.95,0.95,0.92627,38000.0
2016-03-28,0.95,0.95,0.94,0.95,0.92627,104100.0
2016-03-29,0.945,0.95,0.945,0.95,0.92627,63900.0
2016-03-30,0.95,0.95,0.94,0.94,0.9165200000000001,167000.0
2016-03-31,0.95,0.95,0.94,0.945,0.9213950000000001,37918.0
2016-04-04,0.94,0.94,0.93,0.93,0.906769,17000.0
2016-04-05,0.93,0.93,0.92,0.92,0.897019,30560.0
2016-04-06,0.91,0.91,0.9,0.9,0.877519,139028.0
2016-04-07,0.9,0.9,0.9,0.9,0.877519,25400.0
2016-04-08,0.89,0.89,0.85,0.86,0.838518,204000.0
2016-04-11,0.88,0.88,0.85,0.85,0.8287680000000001,111906.0
2016-04-12,0.86,0.86,0.86,0.86,0.838518,28000.0
