Date,Open,High,Low,Close,Adj Close,Volume
2011-01-18,0.18619000000000002,0.18619000000000002,0.18619000000000002,0.18619000000000002,0.18619000000000002,12353.0
2011-01-19,,,,,,
2011-01-20,,,,,,
2011-01-23,,,,,,
2011-01-24,0.23476,0.28333,0.23476,0.28333,0.28333,286588.0
2011-01-26,,,,,,
2011-01-27,,,,,,
2011-01-30,,,,,,
2011-01-31,,,,,,
2011-02-01,,,,,,
2011-02-02,,,,,,
2011-02-03,,,,,,
2011-02-06,0.31167,0.31976,0.31167,0.31976,0.31976,61965.0
2011-02-07,,,,,,
2011-02-08,0.3319,0.33595,0.31167,0.31167,0.31167,35824.0
2011-02-09,0.32381,0.32381,0.31167,0.31167,0.31167,8647.0
2011-02-10,,,,,,
2011-02-13,,,,,,
2011-02-14,,,,,,
2011-02-15,,,,,,
2011-02-16,,,,,,
2011-02-17,,,,,,
2011-02-20,,,,,,
2011-02-21,0.3481,0.38048000000000004,0.34,0.38048000000000004,0.38048000000000004,111176.0
2011-02-22,,,,,,
2011-02-23,,,,,,
2011-02-24,,,,,,
2011-02-27,,,,,,
2011-02-28,,,,,,
2011-03-01,0.34405,0.34405,0.34405,0.34405,0.34405,4941.0
2011-03-02,0.3319,0.34,0.32381,0.32381,0.32381,51882.0
2011-03-03,,,,,,
2011-03-06,,,,,,
2011-03-07,,,,,,
2011-03-08,0.3319,0.3319,0.3319,0.3319,0.3319,2779.0
2011-03-09,,,,,,
2011-03-10,,,,,,
2011-03-14,0.3319,0.3319,0.32381,0.32381,0.32381,41580.0
2011-03-15,,,,,,
2011-03-16,,,,,,
2011-03-17,,,,,,
2011-03-20,0.31571,0.31571,0.30762,0.30762,0.30762,32859.0
2011-03-21,,,,,,
2011-03-22,,,,,,
2011-03-23,0.29952,0.30357,0.29952,0.29952,0.29952,9265.0
2011-03-24,,,,,,
2011-03-27,0.31976,0.32381,0.31976,0.32381,0.32381,37059.0
2011-03-28,,,,,,
2011-03-29,,,,,,
2011-03-30,0.31571,0.31571,0.30762,0.31571,0.31571,18529.0
2011-03-31,0.32381,0.32381,0.32381,0.32381,0.32381,6176.0
2011-04-04,,,,,,
2011-04-05,0.32381,0.32381,0.31571,0.31571,0.31571,7165.0
2011-04-06,0.31976,0.32381,0.31976,0.32381,0.32381,21000.0
2011-04-07,,,,,,
2011-04-08,0.31571,0.31571,0.31571,0.31571,0.31571,2162.0
2011-04-11,,,,,,
2011-04-12,,,,,,
2011-04-13,,,,,,
2011-04-14,,,,,,
2011-04-15,,,,,,
2011-04-18,,,,,,
2011-04-19,0.31167,0.31571,0.31167,0.31167,0.31167,18900.0
