Date,Open,High,Low,Close,Adj Close,Volume
2012-12-19,0.19,0.19,0.15,0.19,0.19,225358.0
2012-12-20,0.18,0.18,0.14,0.15,0.15,135634.0
2012-12-23,0.13,0.17,0.13,0.17,0.17,35000.0
2012-12-26,0.15,0.16,0.13,0.16,0.16,39138.0
2012-12-27,0.15,0.15,0.12,0.15,0.15,42000.0
2012-12-30,0.15,0.16,0.15,0.16,0.16,51050.0
2013-01-01,0.135,0.15,0.135,0.15,0.15,31000.0
2013-01-02,0.15,0.15,0.15,0.15,0.15,4730.0
2013-01-03,0.15,0.16,0.15,0.16,0.16,44680.0
2013-01-06,0.125,0.125,0.125,0.125,0.125,16667.0
2013-01-07,0.13,0.13,0.13,0.13,0.13,7667.0
2013-01-08,0.13,0.13,0.13,0.13,0.13,40000.0
2013-01-09,0.13,0.13,0.13,0.13,0.13,0.0
2013-01-10,0.12,0.125,0.12,0.125,0.125,49050.0
2013-01-13,0.125,0.125,0.125,0.125,0.125,10350.0
2013-01-14,0.12,0.12,0.12,0.12,0.12,40000.0
2013-01-15,0.12,0.12,0.12,0.12,0.12,13679.0
2013-01-16,0.12,0.12,0.12,0.12,0.12,0.0
2013-01-17,0.12,0.12,0.12,0.12,0.12,0.0
2013-01-20,0.12,0.12,0.12,0.12,0.12,0.0
2013-01-21,0.11,0.11,0.11,0.11,0.11,19400.0
2013-01-22,,,,,,
2013-01-23,0.1,0.1,0.095,0.095,0.095,90000.0
2013-01-24,0.095,0.095,0.095,0.095,0.095,6000.0
2013-01-28,0.095,0.095,0.095,0.095,0.095,0.0
2013-01-29,0.095,0.095,0.095,0.095,0.095,0.0
2013-01-30,0.095,0.095,0.095,0.095,0.095,1000.0
2013-01-31,0.095,0.095,0.095,0.095,0.095,0.0
2013-02-03,0.078,0.078,0.077,0.078,0.078,63000.0
2013-02-04,0.078,0.078,0.078,0.078,0.078,6000.0
2013-02-05,0.078,0.078,0.078,0.078,0.078,0.0
2013-02-06,0.075,0.075,0.07,0.07,0.07,33000.0
2013-02-07,0.07,0.07,0.07,0.07,0.07,0.0
2013-02-10,0.07,0.07,0.07,0.07,0.07,0.0
2013-02-11,0.07,0.07,0.07,0.07,0.07,0.0
2013-02-12,0.07,0.07,0.07,0.07,0.07,0.0
2013-02-13,0.08,0.08,0.08,0.08,0.08,30000.0
2013-02-14,0.08,0.08,0.08,0.08,0.08,0.0
2013-02-17,0.085,0.085,0.08,0.08,0.08,60000.0
2013-02-18,0.08,0.08,0.08,0.08,0.08,0.0
2013-02-19,0.08,0.08,0.08,0.08,0.08,7000.0
2013-02-20,0.08,0.08,0.08,0.08,0.08,0.0
2013-02-21,0.08,0.08,0.08,0.08,0.08,0.0
2013-02-24,0.08,0.08,0.08,0.08,0.08,0.0
2013-02-25,0.08,0.08,0.08,0.08,0.08,20000.0
2013-02-26,0.08,0.08,0.08,0.08,0.08,4750.0
