Date,Open,High,Low,Close,Adj Close,Volume
2006-12-21,0.15825999999999998,0.16931,0.15825999999999998,0.16931,0.16931,204453.0
2006-12-26,,,,,,
2006-12-27,,,,,,
2006-12-28,,,,,,
2007-01-01,,,,,,
2007-01-02,,,,,,
2007-01-03,,,,,,
2007-01-04,,,,,,
2007-01-07,,,,,,
2007-01-08,0.19507,0.19507,0.18403,0.18403,0.18403,418415.0
2007-01-09,,,,,,
2007-01-10,,,,,,
2007-01-11,,,,,,
2007-01-14,,,,,,
2007-01-15,,,,,,
2007-01-16,,,,,,
2007-01-17,,,,,,
2007-01-18,,,,,,
2007-01-21,0.16194,0.16931,0.16194,0.16931,0.16931,110309.0
2007-01-22,,,,,,
2007-01-23,,,,,,
2007-01-24,,,,,,
2007-01-28,,,,,,
2007-01-29,0.19507,0.19507,0.18035,0.18403,0.18403,504639.0
2007-01-30,,,,,,
2007-01-31,,,,,,
2007-02-01,,,,,,
2007-02-04,,,,,,
2007-02-05,,,,,,
2007-02-06,0.21715,0.21715,0.20979,0.20979,0.20979,421132.0
2007-02-07,,,,,,
2007-02-08,,,,,,
2007-02-11,,,,,,
2007-02-12,,,,,,
2007-02-13,,,,,,
2007-02-14,,,,,,
2007-02-15,0.22083000000000005,0.23924,0.22083000000000005,0.22083000000000005,0.22083000000000005,437027.0
2007-02-18,0.22819,0.23556,0.22083000000000005,0.22083000000000005,0.22083000000000005,1185565.0
2007-02-19,,,,,,
2007-02-20,,,,,,
2007-02-21,,,,,,
2007-02-22,,,,,,
2007-02-25,,,,,,
2007-02-26,,,,,,
2007-02-27,,,,,,
2007-02-28,,,,,,
2007-03-01,,,,,,
2007-03-04,,,,,,
2007-03-05,,,,,,
2007-03-06,,,,,,
2007-03-07,,,,,,
2007-03-08,0.16194,0.16931,0.15458,0.16931,0.16931,343606.0
2007-03-11,,,,,,
2007-03-12,0.15825999999999998,0.15825999999999998,0.15825999999999998,0.15825999999999998,0.15825999999999998,20377.0
2007-03-13,0.15825999999999998,0.15825999999999998,0.15825999999999998,0.15825999999999998,0.15825999999999998,20377.0
2007-03-14,,,,,,
2007-03-15,0.16931,0.16931,0.16931,0.16931,0.16931,3057.0
2007-03-18,,,,,,
2007-03-19,,,,,,
2007-03-20,,,,,,
2007-03-21,0.15458,0.15458,0.15458,0.15458,0.15458,17207.0
2007-03-22,,,,,,
2007-03-26,,,,,,
2007-03-27,,,,,,
2007-03-28,0.17667,0.18403,0.16931,0.18403,0.18403,284378.0
2007-03-29,,,,,,
2007-03-30,,,,,,
2007-04-02,,,,,,
2007-04-03,,,,,,
2007-04-04,,,,,,
2007-04-05,,,,,,
2007-04-10,,,,,,
2007-04-11,,,,,,
2007-04-12,,,,,,
2007-04-13,0.15458,0.15458,0.15458,0.15458,0.15458,123169.0
2007-04-16,0.15458,0.15458,0.15458,0.15458,0.15458,0.0
2007-04-17,0.15825999999999998,0.16194,0.15825999999999998,0.15825999999999998,0.15825999999999998,81509.0
