Date,Open,High,Low,Close,Adj Close,Volume
2013-06-13,1.05,1.05,1.02,1.05,0.790887,11844473.0
2013-06-14,1.05,1.06,1.05,1.05,0.790887,5038297.0
2013-06-17,1.055,1.06,1.05,1.055,0.7946529999999999,2188801.0
2013-06-18,1.055,1.06,1.045,1.045,0.787121,949634.0
2013-06-19,,,,,,
2013-06-20,1.045,1.045,1.035,1.035,0.7795890000000001,883522.0
2013-06-21,1.03,1.035,1.03,1.035,0.7795890000000001,1602852.0
2013-06-24,1.025,1.04,1.025,1.025,0.7720560000000001,133379.0
2013-06-25,1.025,1.03,1.02,1.02,0.7682899999999999,274156.0
2013-06-26,1.025,1.03,1.02,1.025,0.7720560000000001,209222.0
2013-06-27,1.025,1.025,1.02,1.02,0.7682899999999999,137823.0
2013-06-28,1.02,1.025,1.02,1.02,0.7682899999999999,388943.0
2013-07-01,1.02,1.03,1.02,1.02,0.7682899999999999,333525.0
2013-07-02,1.025,1.025,1.02,1.025,0.7720560000000001,374262.0
2013-07-03,1.03,1.03,1.02,1.02,0.7682899999999999,463545.0
2013-07-04,1.02,1.025,1.02,1.02,0.7682899999999999,312580.0
2013-07-05,1.02,1.03,1.02,1.03,0.775822,2148648.0
2013-07-08,1.02,1.02,1.02,1.02,0.7682899999999999,146090.0
2013-07-09,1.02,1.025,1.02,1.02,0.7682899999999999,680580.0
2013-07-10,1.025,1.03,1.025,1.025,0.7720560000000001,93809.0
2013-07-11,1.03,1.035,1.025,1.035,0.7795890000000001,230375.0
2013-07-12,1.03,1.04,1.025,1.04,0.783355,636256.0
2013-07-15,1.04,1.04,1.03,1.035,0.7795890000000001,415737.0
2013-07-16,1.035,1.045,1.03,1.04,0.783355,209315.0
2013-07-17,1.04,1.04,1.025,1.035,0.7795890000000001,813934.0
2013-07-18,1.03,1.04,1.03,1.035,0.7795890000000001,149768.0
2013-07-19,1.035,1.035,1.03,1.03,0.775822,143688.0
2013-07-22,1.03,1.035,1.03,1.03,0.775822,234054.0
2013-07-23,1.03,1.04,1.03,1.03,0.775822,993281.0
2013-07-24,1.03,1.035,1.03,1.03,0.775822,827383.0
2013-07-25,1.03,1.035,1.03,1.035,0.7795890000000001,60449.0
2013-07-26,1.03,1.04,1.025,1.04,0.783355,617406.0
2013-07-29,1.04,1.04,1.03,1.04,0.783355,92575.0
2013-07-30,1.04,1.04,1.03,1.04,0.783355,211415.0
2013-07-31,1.04,1.065,1.035,1.065,0.802186,465118.0
2013-08-01,1.04,1.05,1.04,1.05,0.790887,104695.0
2013-08-02,1.05,1.05,1.04,1.04,0.783355,349841.0
2013-08-05,1.04,1.045,1.04,1.045,0.787121,179806.0
2013-08-06,1.04,1.05,1.04,1.05,0.790887,203468.0
2013-08-07,1.045,1.045,1.04,1.04,0.783355,380071.0
2013-08-08,1.04,1.05,1.04,1.05,0.790887,274049.0
2013-08-09,1.05,1.06,1.045,1.06,0.798419,664778.0
2013-08-12,1.05,1.06,1.05,1.06,0.798419,396102.0
2013-08-13,1.05,1.06,1.05,1.06,0.798419,690921.0
2013-08-14,1.06,1.06,1.05,1.05,0.790887,205546.0
2013-08-15,1.05,1.055,1.05,1.055,0.7946529999999999,206593.0
2013-08-16,1.055,1.06,1.05,1.05,0.790887,86100.0
2013-08-19,1.05,1.06,1.05,1.06,0.798419,115423.0
2013-08-20,1.06,1.06,1.05,1.055,0.7946529999999999,97020.0
2013-08-21,1.055,1.055,1.045,1.055,0.7946529999999999,194143.0
2013-08-22,1.055,1.06,1.045,1.045,0.787121,364991.0
2013-08-23,1.06,1.06,1.05,1.055,0.7946529999999999,85622.0
2013-08-26,1.045,1.055,1.045,1.045,0.787121,315194.0
2013-08-27,1.055,1.06,1.045,1.055,0.7946529999999999,221444.0
2013-08-28,1.055,1.06,1.05,1.06,0.798419,207344.0
2013-08-29,1.06,1.065,1.05,1.065,0.802186,214870.0
2013-08-30,1.065,1.07,1.06,1.07,0.805951,214963.0
2013-09-02,1.07,1.07,1.06,1.065,0.802186,105074.0
2013-09-03,1.065,1.08,1.06,1.08,0.813484,370810.0
2013-09-04,1.08,1.1,1.08,1.09,0.821016,446725.0
2013-09-05,1.095,1.11,1.085,1.11,0.836081,327770.0
2013-09-06,1.11,1.13,1.1,1.125,0.8473790000000001,368420.0
2013-09-09,1.115,1.15,1.115,1.125,0.8473790000000001,370743.0
2013-09-10,1.14,1.14,1.12,1.14,0.858677,242416.0
2013-09-11,1.12,1.135,1.11,1.135,0.8549110000000001,189303.0
2013-09-12,1.12,1.12,1.09,1.105,0.8323139999999999,233809.0
2013-09-13,1.105,1.12,1.105,1.105,0.8323139999999999,143222.0
2013-09-16,1.11,1.14,1.11,1.14,0.858677,499518.0
2013-09-17,1.105,1.145,1.105,1.14,0.858677,3313175.0
2013-09-18,1.125,1.145,1.12,1.14,0.858677,309162.0
2013-09-19,1.12,1.14,1.115,1.14,0.858677,813099.0
2013-09-20,1.135,1.25,1.13,1.18,0.888806,12573084.0
