Date,Open,High,Low,Close,Adj Close,Volume
2005-11-14,2.0,2.0,2.0,2.0,1.037503,0.0
2005-11-15,2.22,2.25,2.17,2.21,1.146441,8590836.0
2005-11-16,2.21,2.3,2.2,2.3,1.193129,2908187.0
2005-11-17,2.33,2.39,2.3,2.38,1.234629,1867428.0
2005-11-20,2.37,2.38,2.35,2.38,1.234629,490289.0
2005-11-21,2.38,2.38,2.31,2.33,1.208691,1013720.0
2005-11-22,2.33,2.33,2.28,2.3,1.193129,112850.0
2005-11-23,2.31,2.32,2.29,2.32,1.203503,73500.0
2005-11-24,2.33,2.35,2.32,2.34,1.2138790000000002,238100.0
2005-11-27,2.34,2.35,2.34,2.34,1.2138790000000002,117000.0
2005-11-28,2.37,2.37,2.35,2.36,1.2242540000000002,22468.0
2005-11-29,2.37,2.38,2.36,2.38,1.234629,171153.0
2005-11-30,2.4,2.55,2.4,2.47,1.281316,349991.0
2005-12-01,2.5,2.5,2.43,2.48,1.286504,95500.0
2005-12-04,2.5,2.6,2.5,2.57,1.333192,374428.0
2005-12-05,2.56,2.57,2.49,2.55,1.322816,73510.0
2005-12-06,2.5,2.5,2.47,2.5,1.296879,17000.0
2005-12-07,2.46,2.46,2.42,2.46,1.276129,130500.0
2005-12-08,2.42,2.43,2.4,2.43,1.260567,26000.0
2005-12-11,2.44,2.48,2.44,2.48,1.286504,54537.0
2005-12-12,2.48,2.48,2.45,2.45,1.270941,16197.0
2005-12-13,2.47,2.48,2.46,2.48,1.286504,85001.0
2005-12-14,2.5,2.5,2.46,2.46,1.276129,28714.0
2005-12-15,2.46,2.46,2.4,2.44,1.265754,37325.0
2005-12-18,2.42,2.42,2.36,2.4,1.245004,885700.0
2005-12-19,2.42,2.42,2.4,2.4,1.245004,523.0
2005-12-20,2.4,2.41,2.4,2.4,1.245004,109017.0
2005-12-21,2.4,2.4,2.37,2.4,1.245004,271700.0
2005-12-22,2.4,2.4,2.4,2.4,1.245004,299415.0
2005-12-27,2.42,2.42,2.4,2.4,1.245004,46142.0
2005-12-28,2.4,2.44,2.4,2.42,1.255379,64715.0
2005-12-29,2.4,2.41,2.4,2.41,1.250192,30675.0
2006-01-02,2.41,2.46,2.4,2.4,1.245004,119225.0
2006-01-03,2.4,2.41,2.4,2.41,1.250192,21500.0
2006-01-04,2.41,2.41,2.41,2.41,1.250192,156286.0
2006-01-05,2.41,2.44,2.41,2.44,1.265754,8000.0
2006-01-08,2.43,2.43,2.43,2.43,1.260567,20000.0
2006-01-09,2.43,2.43,2.43,2.43,1.260567,69775.0
2006-01-10,2.44,2.49,2.44,2.49,1.291691,22000.0
2006-01-11,2.49,2.5,2.49,2.5,1.296879,201231.0
2006-01-12,2.55,2.57,2.55,2.57,1.333192,315370.0
2006-01-15,2.6,2.63,2.6,2.6,1.348754,272814.0
2006-01-16,2.61,2.61,2.56,2.59,1.343567,14500.0
2006-01-17,2.58,2.59,2.55,2.58,1.338379,232000.0
2006-01-18,2.55,2.63,2.55,2.63,1.364317,457400.0
2006-01-19,2.68,2.7,2.65,2.69,1.395442,225900.0
2006-01-22,2.65,2.65,2.61,2.65,1.374692,79000.0
2006-01-23,2.63,2.65,2.6,2.6,1.348754,280500.0
2006-01-24,2.6,2.6,2.56,2.6,1.348754,336500.0
2006-01-26,2.6,2.6,2.56,2.6,1.348754,25000.0
2006-01-29,2.6,2.6,2.56,2.6,1.348754,24715.0
2006-01-30,2.59,2.6,2.59,2.6,1.348754,24250.0
2006-01-31,2.58,2.62,2.55,2.6,1.348754,236067.0
2006-02-01,2.65,2.68,2.65,2.65,1.374692,40000.0
2006-02-02,2.66,2.66,2.62,2.65,1.374692,5600.0
2006-02-05,2.64,2.67,2.62,2.67,1.385067,101920.0
2006-02-06,2.66,2.66,2.61,2.61,1.353941,98157.0
2006-02-07,2.61,2.65,2.6,2.62,1.359129,101050.0
2006-02-08,2.6,2.67,2.6,2.67,1.385067,12200.0
2006-02-09,2.67,2.67,2.6,2.67,1.385067,22400.0
2006-02-12,2.64,2.65,2.64,2.64,1.369504,307600.0
2006-02-13,2.64,2.67,2.64,2.67,1.385067,62350.0
2006-02-14,2.67,2.67,2.61,2.65,1.374692,208600.0
2006-02-15,2.61,2.65,2.61,2.65,1.374692,11400.0
2006-02-16,2.66,2.66,2.63,2.63,1.364317,12270.0
2006-02-19,2.63,2.63,2.63,2.63,1.364317,0.0
2006-02-20,2.64,2.64,2.64,2.64,1.369504,0.0
2006-02-21,2.65,2.65,2.64,2.64,1.369504,10000.0
2006-02-22,2.64,2.64,2.64,2.64,1.369504,2770.0
2006-02-23,2.66,2.7,2.66,2.7,1.4006299999999998,24708.0
2006-02-26,2.73,2.77,2.73,2.77,1.436942,30431.0
2006-02-27,2.8,2.8,2.75,2.76,1.431755,32220.0
2006-02-28,2.75,2.75,2.68,2.68,1.390255,601000.0
2006-03-01,2.69,2.7,2.68,2.68,1.390255,329667.0
2006-03-02,2.68,2.68,2.63,2.63,1.364317,1655319.0
2006-03-05,2.67,2.7,2.67,2.67,1.385067,4189.0
2006-03-06,2.65,2.67,2.6,2.6,1.348754,16200.0
2006-03-07,2.58,2.6,2.58,2.6,1.348754,15000.0
2006-03-08,2.6,2.6,2.58,2.6,1.348754,10000.0
2006-03-09,2.6,2.6,2.6,2.6,1.348754,16700.0
2006-03-12,2.6,2.6,2.59,2.59,1.343567,105150.0
2006-03-13,2.56,2.59,2.56,2.59,1.343567,224888.0
2006-03-14,2.6,2.63,2.6,2.6,1.348754,15000.0
2006-03-15,2.6,2.6,2.58,2.6,1.348754,70600.0
2006-03-16,2.62,2.67,2.6,2.65,1.374692,164800.0
2006-03-19,2.65,2.65,2.6,2.65,1.374692,47000.0
2006-03-20,2.61,2.7,2.61,2.7,1.4006299999999998,170723.0
2006-03-21,2.7,2.76,2.7,2.75,1.426567,178522.0
2006-03-22,2.75,2.76,2.72,2.75,1.426567,35250.0
2006-03-23,2.75,2.75,2.71,2.75,1.426567,57200.0
2006-03-26,2.75,2.76,2.71,2.72,1.411004,73587.0
2006-03-27,2.69,2.72,2.69,2.7,1.4006299999999998,83603.0
2006-03-28,2.7,2.7,2.7,2.7,1.4006299999999998,23500.0
2006-03-29,2.7,2.7,2.7,2.7,1.4006299999999998,46000.0
2006-03-30,2.7,2.7,2.67,2.7,1.4006299999999998,76470.0
2006-04-03,2.69,2.7,2.66,2.66,1.417376,32500.0
2006-04-04,2.68,2.7,2.66,2.66,1.417376,47977.0
2006-04-05,2.68,2.69,2.63,2.69,1.433362,23800.0
2006-04-06,2.66,2.66,2.66,2.66,1.417376,14500.0
2006-04-07,2.66,2.66,2.66,2.66,1.417376,375.0
2006-04-10,2.61,2.66,2.6,2.66,1.417376,35475.0
2006-04-11,2.66,2.69,2.6,2.65,1.412048,294196.0
2006-04-12,2.69,2.72,2.65,2.72,1.449347,95299.0
2006-04-13,2.72,2.72,2.72,2.72,1.449347,5000.0
2006-04-18,2.73,2.8,2.73,2.8,1.491975,39750.0
2006-04-19,2.89,2.89,2.85,2.89,1.539931,55000.0
2006-04-20,2.89,2.89,2.67,2.89,1.539931,45635.0
2006-04-21,2.85,2.89,2.85,2.89,1.539931,46725.0
2006-04-24,2.89,2.89,2.85,2.89,1.539931,103100.0
2006-04-26,2.89,2.89,2.89,2.89,1.539931,45234.0
2006-04-27,2.89,2.9,2.88,2.9,1.54526,110000.0
2006-04-28,2.89,2.89,2.87,2.89,1.539931,63000.0
2006-05-01,2.89,2.89,2.89,2.89,1.539931,0.0
2006-05-02,2.85,2.88,2.8,2.86,1.523946,39250.0
2006-05-03,2.76,2.84,2.72,2.84,1.513289,15500.0
2006-05-04,2.84,2.84,2.84,2.84,1.513289,15000.0
2006-05-05,2.84,2.84,2.84,2.84,1.513289,10200.0
2006-05-08,2.84,2.98,2.84,2.98,1.587888,84714.0
2006-05-09,3.2,3.2,3.14,3.19,1.699786,412780.0
2006-05-10,3.2,3.25,3.14,3.14,1.673143,438772.0
2006-05-11,3.2,3.25,3.2,3.2,1.705114,62266.0
2006-05-12,3.2,3.25,3.19,3.19,1.699786,88976.0
2006-05-15,3.15,3.15,3.13,3.13,1.667815,36300.0
2006-05-16,3.17,3.25,3.17,3.17,1.689129,105322.0
2006-05-17,3.2,3.2,3.14,3.17,1.689129,69445.0
2006-05-18,3.12,3.2,3.12,3.19,1.699786,97250.0
2006-05-19,3.15,3.25,3.15,3.25,1.731756,182413.0
2006-05-22,3.25,3.25,3.19,3.25,1.731756,169926.0
2006-05-23,3.2,3.25,3.13,3.24,1.726428,38700.0
2006-05-24,3.23,3.23,3.2,3.2,1.705114,53800.0
2006-05-25,3.13,3.2,3.12,3.14,1.673143,39100.0
2006-05-26,3.14,3.2,3.14,3.2,1.705114,8865.0
2006-05-29,3.1,3.2,3.1,3.2,1.705114,8260.0
2006-05-30,3.1,3.2,3.1,3.2,1.705114,33750.0
2006-05-31,3.2,3.2,3.2,3.2,1.705114,12710.0
2006-06-01,3.2,3.2,3.2,3.2,1.705114,30350.0
2006-06-02,3.22,3.23,3.2,3.22,1.715771,19270.0
2006-06-05,3.22,3.22,3.2,3.2,1.705114,8000.0
2006-06-06,3.2,3.2,3.2,3.2,1.705114,0.0
2006-06-07,3.16,3.16,3.11,3.15,1.6784709999999998,21500.0
2006-06-08,3.12,3.15,3.12,3.15,1.6784709999999998,14200.0
2006-06-09,3.16,3.2,3.12,3.15,1.6784709999999998,64618.0
2006-06-13,3.15,3.15,3.1,3.15,1.6784709999999998,131400.0
2006-06-14,3.1,3.1,3.1,3.1,1.651829,70314.0
2006-06-15,3.1,3.14,3.1,3.14,1.673143,5200.0
2006-06-16,3.14,3.15,3.14,3.14,1.673143,16200.0
2006-06-19,3.14,3.14,3.14,3.14,1.673143,6000.0
2006-06-20,3.1,3.14,3.1,3.14,1.673143,44000.0
2006-06-21,3.14,3.14,3.14,3.14,1.673143,10000.0
2006-06-22,3.12,3.15,3.12,3.15,1.6784709999999998,45500.0
2006-06-23,3.11,3.15,3.1,3.15,1.6784709999999998,8000.0
2006-06-26,3.15,3.15,3.15,3.15,1.6784709999999998,2500.0
2006-06-27,3.15,3.15,3.14,3.14,1.673143,18800.0
2006-06-28,3.1,3.15,3.05,3.15,1.6784709999999998,48900.0
2006-06-29,3.15,3.15,3.15,3.15,1.6784709999999998,2000.0
2006-06-30,3.18,3.18,3.11,3.15,1.6784709999999998,36500.0
2006-07-03,3.15,3.15,3.02,3.06,1.630515,441174.0
2006-07-04,3.06,3.15,3.06,3.15,1.6784709999999998,42211.0
2006-07-05,3.15,3.18,3.15,3.15,1.6784709999999998,60594.0
2006-07-06,3.15,3.15,3.1,3.15,1.6784709999999998,54096.0
2006-07-07,3.15,3.15,3.13,3.13,1.667815,6500.0
2006-07-10,3.15,3.2,3.14,3.15,1.6784709999999998,386073.0
2006-07-11,3.15,3.19,3.15,3.19,1.699786,56490.0
2006-07-12,3.15,3.15,3.11,3.13,1.667815,39050.0
2006-07-13,3.1,3.11,3.1,3.11,1.657158,12000.0
2006-07-14,3.1,3.1,3.04,3.04,1.619858,54524.0
2006-07-17,3.0,3.04,3.0,3.04,1.619858,18200.0
2006-07-18,3.04,3.04,3.04,3.04,1.619858,7500.0
2006-07-19,3.03,3.03,3.03,3.03,1.61453,0.0
2006-07-20,2.98,3.0,2.94,3.0,1.598544,45348.0
2006-07-21,2.98,2.99,2.97,2.98,1.587888,22000.0
2006-07-24,2.94,2.94,2.85,2.85,1.518617,10100.0
2006-07-25,2.77,2.81,2.7,2.7,1.43869,223260.0
2006-07-26,2.7,2.75,2.7,2.74,1.460004,73584.0
2006-07-27,2.73,2.75,2.7,2.7,1.43869,91910.0
2006-07-28,2.7,2.7,2.7,2.7,1.43869,0.0
2006-07-31,2.75,2.81,2.75,2.81,1.497303,108400.0
2006-08-01,2.81,2.81,2.81,2.81,1.497303,3820.0
2006-08-02,2.81,2.81,2.81,2.81,1.497303,0.0
2006-08-03,2.8,2.8,2.8,2.8,1.491975,16200.0
2006-08-04,2.8,2.8,2.8,2.8,1.491975,0.0
2006-08-07,2.78,2.8,2.78,2.78,1.481318,9845.0
2006-08-08,2.78,2.78,2.78,2.78,1.481318,0.0
2006-08-09,2.74,2.8,2.74,2.8,1.491975,4355.0
2006-08-10,2.79,2.8,2.79,2.8,1.491975,29600.0
2006-08-11,2.87,2.97,2.87,2.91,1.550588,1512940.0
2006-08-14,2.9,2.94,2.9,2.93,1.561245,153350.0
2006-08-15,2.92,2.94,2.9,2.94,1.566574,44892.0
2006-08-16,2.94,2.94,2.92,2.94,1.566574,15780.0
2006-08-17,2.92,2.95,2.9,2.95,1.571902,36473.0
2006-08-18,2.95,2.98,2.92,2.98,1.587888,39823.0
2006-08-21,2.95,2.96,2.95,2.96,1.577231,39183.0
2006-08-22,2.95,2.96,2.95,2.95,1.571902,34357.0
2006-08-23,2.96,2.96,2.95,2.96,1.577231,13054.0
2006-08-24,2.96,2.98,2.96,2.98,1.587888,9190.0
2006-08-25,2.98,3.0,2.98,3.0,1.598544,24660.0
2006-08-28,2.96,2.99,2.95,2.99,1.593216,11000.0
2006-08-29,2.99,3.01,2.97,2.97,1.582559,33279.0
2006-08-30,3.0,3.0,2.97,2.97,1.582559,9971.0
2006-08-31,2.97,3.03,2.97,3.0,1.598544,57279.0
2006-09-01,3.04,3.24,3.04,3.2,1.705114,109242.0
2006-09-04,3.22,3.35,3.22,3.25,1.731756,140879.0
2006-09-05,3.25,3.47,3.25,3.46,1.843655,288511.0
2006-09-06,3.5,3.5,3.4,3.4,1.811684,243008.0
2006-09-07,3.47,3.49,3.4,3.45,1.838326,154824.0
2006-09-08,3.42,3.45,3.42,3.45,1.838326,97600.0
2006-09-11,3.45,3.5,3.37,3.45,1.838326,322635.0
2006-09-12,3.37,3.41,3.35,3.41,1.817012,46168.0
2006-09-13,3.45,3.46,3.4,3.46,1.843655,251552.0
2006-09-14,3.49,3.64,3.46,3.62,1.92891,30626.0
2006-09-15,3.59,3.59,3.5,3.5,1.864968,13350.0
2006-09-18,3.5,3.5,3.48,3.48,1.854312,267120.0
2006-09-19,3.48,3.6,3.48,3.51,1.870297,25596.0
2006-09-20,3.5,3.5,3.47,3.47,1.8489830000000005,65242.0
2006-09-21,3.45,3.45,3.45,3.45,1.838326,20815.0
2006-09-22,3.45,3.45,3.42,3.43,1.827669,260711.0
2006-09-25,3.42,3.48,3.42,3.45,1.838326,15716.0
2006-09-26,3.46,3.46,3.42,3.43,1.827669,63723.0
2006-09-27,3.45,3.46,3.45,3.46,1.843655,29015.0
2006-09-28,3.45,3.45,3.43,3.44,1.832997,31523.0
2006-09-29,3.44,3.5,3.44,3.5,1.864968,36541.0
2006-10-02,3.5,3.79,3.5,3.79,2.019494,34450.0
2006-10-03,3.72,3.72,3.71,3.72,2.043826,4131.0
2006-10-04,3.79,3.8,3.6,3.7,2.032838,55105.0
2006-10-05,3.65,3.75,3.65,3.75,2.060309,214901.0
2006-10-06,3.79,3.8,3.6,3.7,2.032838,55105.0
2006-10-09,3.77,3.78,3.76,3.76,2.065803,55803.0
2006-10-10,3.77,3.77,3.74,3.75,2.060309,33058.0
2006-10-11,3.75,3.77,3.72,3.76,2.065803,15552.0
2006-10-12,3.75,3.78,3.75,3.76,2.065803,24850.0
2006-10-13,3.78,3.78,3.78,3.78,2.076791,4729.0
2006-10-16,3.85,3.85,3.84,3.85,2.11525,11172.0
2006-10-17,3.8,3.9,3.8,3.9,2.142721,11000.0
2006-10-18,3.9,3.9,3.9,3.9,2.142721,8820.0
2006-10-19,3.85,3.89,3.85,3.89,2.137227,45700.0
2006-10-20,3.85,3.85,3.77,3.85,2.11525,9250.0
2006-10-23,3.85,3.89,3.85,3.89,2.137227,20079.0
2006-10-24,3.9,3.9,3.89,3.89,2.137227,46283.0
2006-10-25,3.89,3.89,3.85,3.85,2.11525,9300.0
2006-10-26,3.85,3.86,3.75,3.85,2.11525,159100.0
2006-10-27,3.82,3.85,3.8,3.85,2.11525,27523.0
2006-10-29,3.98,4.05,3.98,4.02,2.208651,356526.0
2006-10-30,4.01,4.08,4.01,4.05,2.225133,88790.0
2006-10-31,4.05,4.05,4.0,4.02,2.208651,199393.0
2006-11-01,4.02,4.02,4.02,4.02,2.208651,43446.0
2006-11-02,4.03,4.06,4.0,4.03,2.2141450000000003,73681.0
2006-11-05,4.04,4.09,4.04,4.06,2.230628,966330.0
2006-11-06,4.15,4.18,4.12,4.13,2.269087,27853.0
2006-11-07,4.15,4.29,4.15,4.29,2.356993,45738.0
2006-11-08,4.3,4.31,4.24,4.27,2.346005,54457.0
2006-11-09,4.26,4.26,4.2,4.24,2.3295220000000003,12000.0
2006-11-12,4.25,4.26,4.2,4.26,2.340511,41046.0
2006-11-13,4.26,4.26,4.22,4.25,2.335016,18366.0
2006-11-14,4.22,4.22,4.2,4.21,2.31304,41800.0
2006-11-15,4.16,4.19,4.1,4.12,2.263592,243795.0
2006-11-16,4.12,4.14,4.12,4.12,2.263592,156536.0
2006-11-19,4.12,4.13,4.12,4.12,2.263592,117072.0
2006-11-20,4.16,4.16,4.09,4.09,2.24711,28559.0
2006-11-21,4.08,4.13,4.05,4.1,2.2526040000000003,23129.0
2006-11-22,4.08,4.11,4.0,4.05,2.225133,58346.0
2006-11-23,4.05,4.1,4.03,4.07,2.236122,35718.0
2006-11-26,4.07,4.14,4.0,4.08,2.241616,84802.0
2006-11-27,4.09,4.1,4.08,4.1,2.2526040000000003,213151.0
2006-11-28,4.1,4.1,4.05,4.09,2.24711,65400.0
2006-11-29,4.07,4.07,4.05,4.06,2.230628,90852.0
2006-11-30,4.07,4.07,3.97,4.04,2.219639,21983.0
2006-12-03,4.03,4.04,3.98,4.03,2.2141450000000003,9047.0
2006-12-04,4.0,4.1,3.97,4.1,2.2526040000000003,81440.0
2006-12-05,4.17,4.26,4.17,4.2,2.307545,129130.0
2006-12-06,4.2,4.2,4.1,4.19,2.302051,457979.0
2006-12-07,4.15,4.19,4.1,4.19,2.302051,436475.0
2006-12-10,4.19,4.19,4.11,4.19,2.302051,74134.0
2006-12-11,4.2,4.2,4.19,4.19,2.302051,28773.0
2006-12-12,4.2,4.25,4.18,4.25,2.335016,480365.0
2006-12-13,4.28,4.35,4.28,4.35,2.389958,40308.0
2006-12-14,4.35,4.35,4.32,4.35,2.389958,60408.0
2006-12-17,4.3,4.35,4.2,4.35,2.389958,238942.0
2006-12-18,4.35,4.39,4.3,4.35,2.389958,22000.0
2006-12-19,4.35,4.35,4.26,4.35,2.389958,28313.0
2006-12-20,4.29,4.3,4.22,4.3,2.362487,18210.0
2006-12-21,4.22,4.29,4.22,4.25,2.335016,6542.0
2006-12-26,4.26,4.26,4.25,4.25,2.335016,672.0
2006-12-27,4.26,4.28,4.25,4.27,2.346005,12209.0
2006-12-28,4.28,4.28,4.27,4.27,2.346005,13340.0
2007-01-01,4.26,4.26,4.26,4.26,2.340511,1859.0
2007-01-02,4.25,4.26,4.22,4.22,2.318533,7708.0
2007-01-03,4.25,4.26,4.25,4.25,2.335016,13344.0
2007-01-04,4.2,4.29,4.17,4.29,2.356993,25000.0
2007-01-07,4.28,4.29,4.25,4.27,2.346005,4080.0
2007-01-08,4.31,4.32,4.31,4.32,2.373475,2000.0
2007-01-09,4.35,4.35,4.35,4.35,2.389958,13755.0
2007-01-10,4.37,4.37,4.37,4.37,2.400946,2300.0
2007-01-11,4.36,4.39,4.36,4.39,2.411935,37251.0
2007-01-14,4.38,4.45,4.31,4.44,2.439405,230825.0
2007-01-15,4.44,4.44,4.39,4.43,2.433911,43020.0
2007-01-16,4.39,4.42,4.39,4.42,2.428417,178053.0
2007-01-17,4.42,4.55,4.42,4.55,2.499842,409899.0
2007-01-18,4.58,4.68,4.58,4.68,2.5712650000000004,419012.0
2007-01-21,4.8,5.12,4.8,5.1,2.80202,393034.0
2007-01-22,5.1,5.2,5.09,5.15,2.829491,298271.0
2007-01-23,5.26,5.44,5.25,5.35,2.939373,295562.0
2007-01-24,5.37,5.49,5.35,5.4,2.966844,189393.0
2007-01-28,5.36,5.4,5.32,5.4,2.966844,33249.0
2007-01-29,5.4,5.41,5.35,5.4,2.966844,71557.0
2007-01-30,5.4,5.4,5.32,5.4,2.966844,64200.0
2007-01-31,5.4,5.4,5.35,5.4,2.966844,77660.0
2007-02-01,5.39,5.4,5.33,5.36,2.944868,54739.0
2007-02-04,5.36,5.36,5.2,5.29,2.9064080000000003,50625.0
2007-02-05,5.28,5.28,5.0,5.15,2.829491,151982.0
2007-02-06,5.1,5.18,5.1,5.16,2.834985,82637.0
2007-02-07,5.25,5.35,5.13,5.35,2.939373,2907531.0
2007-02-08,5.5,5.69,5.12,5.38,2.9558560000000003,1229859.0
2007-02-11,5.38,5.38,5.12,5.12,2.813008,2927499.0
2007-02-12,5.1,5.29,5.1,5.2,2.856961,603164.0
2007-02-13,5.2,5.25,5.06,5.25,2.884432,485004.0
2007-02-14,5.25,5.25,5.2,5.23,2.873444,34393.0
2007-02-15,5.23,5.23,5.13,5.15,2.829491,17716.0
2007-02-18,5.15,5.2,5.12,5.2,2.856961,25901.0
2007-02-19,5.2,5.2,5.05,5.2,2.856961,53394.0
2007-02-20,5.14,5.25,5.09,5.25,2.884432,87492.0
2007-02-21,5.25,5.29,5.2,5.29,2.9064080000000003,111584.0
2007-02-22,5.29,5.29,5.23,5.24,2.878938,115860.0
2007-02-25,5.27,5.27,5.2,5.2,2.856961,39621.0
2007-02-26,5.09,5.15,5.07,5.15,2.829491,199177.0
2007-02-27,4.96,5.19,4.95,5.15,2.829491,147384.0
2007-02-28,5.2,5.2,4.74,4.85,2.6646650000000003,179649.0
2007-03-01,4.67,4.85,4.67,4.85,2.6646650000000003,200763.0
2007-03-04,4.76,5.0,4.76,4.95,2.719608,35281.0
2007-03-05,4.95,4.97,4.77,4.89,2.686642,30012.0
2007-03-06,4.86,4.99,4.86,4.99,2.7415830000000003,40305.0
2007-03-07,4.99,4.99,4.85,4.99,2.7415830000000003,33250.0
2007-03-08,4.99,4.99,4.95,4.97,2.730596,19784.0
2007-03-11,4.97,4.98,4.86,4.98,2.736089,12700.0
2007-03-12,4.97,4.97,4.82,4.94,2.714113,16365.0
2007-03-13,4.97,4.97,4.82,4.94,2.714113,16365.0
2007-03-14,4.84,4.85,4.7,4.8,2.637195,1510223.0
2007-03-15,4.8,4.8,4.72,4.8,2.637195,63100.0
2007-03-18,4.8,4.8,4.76,4.8,2.637195,58083.0
2007-03-19,4.79,4.8,4.79,4.8,2.637195,50000.0
2007-03-20,4.75,4.8,4.7,4.8,2.637195,28560.0
2007-03-21,4.75,4.8,4.7,4.8,2.637195,47897.0
2007-03-22,4.8,4.8,4.7,4.8,2.637195,43250.0
2007-03-26,4.74,4.74,4.68,4.71,2.587747,446568.0
2007-03-27,4.7,4.71,4.61,4.7,2.582253,49166.0
2007-03-28,4.74,4.75,4.72,4.72,2.593241,17666.0
2007-03-29,4.72,4.75,4.65,4.75,2.6097240000000004,47242.0
2007-03-30,4.75,4.75,4.71,4.75,2.653618,15228.0
2007-04-02,4.75,4.75,4.7,4.75,2.653618,8503.0
2007-04-03,4.72,4.74,4.7,4.7,2.625686,10773.0
2007-04-04,4.62,4.69,4.61,4.67,2.608926,29868.0
2007-04-05,4.66,4.7,4.66,4.7,2.625686,39353.0
2007-04-10,4.74,4.8,4.73,4.75,2.653618,31841.0
2007-04-11,4.75,4.75,4.62,4.7,2.625686,46154.0
2007-04-12,4.65,4.65,4.59,4.6,2.569819,141667.0
2007-04-13,4.57,4.6,4.55,4.59,2.564234,136511.0
2007-04-16,4.52,4.58,4.52,4.57,2.55306,30787.0
2007-04-17,4.56,4.58,4.5,4.56,2.547473,57638.0
