Date,Open,High,Low,Close,Adj Close,Volume
2007-12-03,1.15,1.15,1.15,1.15,1.15,24724.0
2007-12-04,1.2,1.2,1.2,1.2,1.2,4000.0
2007-12-05,1.2,1.2,1.2,1.2,1.2,3000.0
2007-12-06,0.956,0.956,0.956,0.956,0.956,0.0
2007-12-09,0.956,0.956,0.956,0.956,0.956,0.0
2007-12-10,1.15,1.15,1.15,1.15,1.15,4000.0
2007-12-11,0.956,0.956,0.956,0.956,0.956,0.0
2007-12-12,1.15,1.15,1.15,1.15,1.15,10000.0
2007-12-13,1.12,1.12,1.12,1.12,1.12,8000.0
2007-12-16,0.956,1.12,0.956,1.12,1.12,10000.0
2007-12-17,1.12,1.12,1.12,1.12,1.12,22000.0
2007-12-18,1.12,1.12,1.12,1.12,1.12,25000.0
2007-12-19,0.956,0.956,0.956,0.956,0.956,0.0
2007-12-20,0.956,0.956,0.956,0.956,0.956,0.0
2007-12-23,0.956,0.956,0.956,0.956,0.956,0.0
2007-12-26,0.956,0.956,0.956,0.956,0.956,0.0
2007-12-27,0.956,0.956,0.956,0.956,0.956,0.0
2007-12-30,0.956,0.956,0.956,0.956,0.956,0.0
2008-01-01,,,,,,
2008-01-02,,,,,,
2008-01-03,,,,,,
2008-01-06,,,,,,
2008-01-07,1.08,1.08,1.08,1.08,1.08,9000.0
2008-01-08,,,,,,
2008-01-09,1.08,1.08,1.08,1.08,1.08,11850.0
2008-01-10,,,,,,
2008-01-13,,,,,,
2008-01-14,,,,,,
2008-01-15,,,,,,
2008-01-16,,,,,,
2008-01-17,,,,,,
2008-01-20,,,,,,
2008-01-21,,,,,,
2008-01-22,,,,,,
2008-01-23,,,,,,
2008-01-24,,,,,,
2008-01-28,,,,,,
2008-01-29,,,,,,
2008-01-30,0.9673,0.9673,0.9673,0.9673,0.9673,0.0
2008-01-31,1.08,1.08,1.08,1.08,1.08,150000.0
2008-02-03,,,,,,
2008-02-04,,,,,,
2008-02-05,,,,,,
2008-02-06,,,,,,
2008-02-07,,,,,,
2008-02-10,,,,,,
2008-02-11,,,,,,
2008-02-12,1.05,1.05,1.05,1.05,1.05,9000.0
2008-02-13,,,,,,
2008-02-14,,,,,,
2008-02-17,,,,,,
2008-02-18,,,,,,
2008-02-19,,,,,,
2008-02-20,,,,,,
2008-02-21,,,,,,
2008-02-24,,,,,,
2008-02-25,1.02,1.02,1.02,1.02,1.02,13650.0
2008-02-26,1.02,1.02,1.02,1.02,1.02,2000.0
2008-02-27,,,,,,
2008-02-28,0.9725,0.9725,0.9725,0.9725,0.9725,0.0
2008-03-02,,,,,,
2008-03-03,1.02,1.02,1.02,1.02,1.02,10000.0
2008-03-04,,,,,,
2008-03-05,,,,,,
2008-03-06,,,,,,
2008-03-09,,,,,,
2008-03-10,1.02,1.02,1.0,1.0,1.0,38000.0
2008-03-11,,,,,,
2008-03-12,1.01,1.01,1.01,1.01,1.01,97500.0
2008-03-13,1.0,1.0,1.0,1.0,1.0,30000.0
2008-03-16,,,,,,
2008-03-17,1.0,1.0,1.0,1.0,1.0,69000.0
2008-03-18,,,,,,
2008-03-19,,,,,,
2008-03-24,1.0,1.0,1.0,1.0,1.0,11000.0
2008-03-25,,,,,,
2008-03-26,1.0,1.0,1.0,1.0,1.0,30000.0
2008-03-27,1.0,1.0,1.0,1.0,1.0,24000.0
2008-03-30,0.9652,0.9652,0.9652,0.9652,0.9652,0.0
2008-03-31,1.0,1.0,1.0,1.0,1.0,299250.0
2008-04-01,1.0,1.0,1.0,1.0,1.0,159000.0
2008-04-02,1.0,1.0,1.0,1.0,1.0,30000.0
2008-04-03,,,,,,
2008-04-07,1.0,1.0,1.0,1.0,1.0,6000.0
2008-04-08,1.0,1.0,1.0,1.0,1.0,26000.0
2008-04-09,,,,,,
2008-04-10,1.01,1.01,1.0,1.0,1.0,7000.0
2008-04-11,1.0,1.0,1.0,1.0,1.0,26000.0
2008-04-14,1.0,1.0,1.0,1.0,1.0,5500.0
2008-04-15,,,,,,
2008-04-16,,,,,,
2008-04-17,,,,,,
2008-04-18,,,,,,
2008-04-21,,,,,,
2008-04-22,,,,,,
2008-04-23,,,,,,
2008-04-24,,,,,,
2008-04-28,,,,,,
2008-04-29,1.0,1.0,1.0,1.0,1.0,7500.0
2008-04-30,0.9475,0.9475,0.9475,0.9475,0.9475,0.0
2008-05-01,1.0,1.0,1.0,1.0,1.0,5500.0
2008-05-02,,,,,,
2008-05-05,0.98,0.98,0.98,0.98,0.98,8500.0
2008-05-06,,,,,,
2008-05-07,0.98,0.98,0.98,0.98,0.98,21500.0
2008-05-08,,,,,,
2008-05-09,,,,,,
2008-05-12,,,,,,
2008-05-13,,,,,,
2008-05-14,,,,,,
2008-05-15,,,,,,
2008-05-16,,,,,,
2008-05-19,,,,,,
2008-05-20,,,,,,
2008-05-21,,,,,,
2008-05-22,,,,,,
2008-05-23,,,,,,
2008-05-26,,,,,,
2008-05-27,0.92,0.95,0.92,0.92,0.92,34000.0
2008-05-28,,,,,,
2008-05-29,,,,,,
2008-05-30,,,,,,
2008-06-02,0.926,0.926,0.926,0.926,0.926,0.0
2008-06-03,,,,,,
2008-06-04,0.93,0.93,0.93,0.93,0.93,25000.0
2008-06-05,0.93,0.93,0.93,0.93,0.93,2000.0
2008-06-06,,,,,,
2008-06-10,,,,,,
2008-06-11,,,,,,
2008-06-12,1.0,1.0,1.0,1.0,1.0,800000.0
2008-06-13,,,,,,
2008-06-16,0.92,0.92,0.92,0.92,0.92,20000.0
2008-06-17,,,,,,
2008-06-18,,,,,,
2008-06-19,,,,,,
2008-06-20,,,,,,
2008-06-23,,,,,,
2008-06-24,0.92,0.92,0.92,0.92,0.92,106000.0
2008-06-25,,,,,,
2008-06-26,,,,,,
2008-06-27,0.92,0.92,0.9,0.9,0.9,21974.0
2008-06-30,0.877,0.877,0.877,0.877,0.877,0.0
2008-07-01,,,,,,
2008-07-02,,,,,,
2008-07-03,,,,,,
2008-07-04,,,,,,
2008-07-07,,,,,,
2008-07-08,0.92,0.92,0.9,0.9,0.9,15000.0
2008-07-09,0.9,0.92,0.9,0.92,0.92,10000.0
2008-07-10,,,,,,
2008-07-11,,,,,,
2008-07-14,0.92,0.92,0.92,0.92,0.92,37276.0
2008-07-15,,,,,,
2008-07-16,,,,,,
2008-07-17,,,,,,
2008-07-18,,,,,,
2008-07-21,,,,,,
2008-07-22,,,,,,
2008-07-23,,,,,,
2008-07-24,,,,,,
2008-07-25,,,,,,
2008-07-28,,,,,,
2008-07-29,,,,,,
2008-07-30,,,,,,
2008-07-31,0.855,0.855,0.855,0.855,0.855,0.0
2008-08-01,,,,,,
2008-08-04,,,,,,
2008-08-05,,,,,,
2008-08-06,,,,,,
2008-08-07,,,,,,
2008-08-08,,,,,,
2008-08-11,,,,,,
2008-08-12,,,,,,
2008-08-13,,,,,,
2008-08-14,,,,,,
2008-08-15,,,,,,
2008-08-18,,,,,,
2008-08-19,,,,,,
2008-08-20,,,,,,
2008-08-21,,,,,,
2008-08-22,,,,,,
2008-08-25,,,,,,
2008-08-26,,,,,,
2008-08-27,,,,,,
2008-08-28,0.89,0.92,0.89,0.92,0.92,44000.0
2008-08-29,0.92,0.92,0.92,0.92,0.92,35000.0
2008-09-01,0.872,0.872,0.872,0.872,0.872,0.0
2008-09-02,0.872,0.872,0.872,0.872,0.872,0.0
2008-09-03,0.872,0.872,0.872,0.872,0.872,0.0
2008-09-04,0.872,0.872,0.872,0.872,0.872,0.0
2008-09-05,0.872,0.872,0.872,0.872,0.872,0.0
2008-09-08,0.872,0.872,0.872,0.872,0.872,0.0
2008-09-09,0.872,0.872,0.872,0.872,0.872,0.0
2008-09-10,0.92,0.92,0.9,0.9,0.9,10300.0
2008-09-11,0.872,0.872,0.872,0.872,0.872,0.0
2008-09-12,0.9,0.9,0.9,0.9,0.9,9700.0
2008-09-15,0.872,0.9,0.872,0.9,0.9,12000.0
2008-09-16,0.872,0.872,0.872,0.872,0.872,0.0
2008-09-17,0.88,0.88,0.88,0.88,0.88,3500.0
2008-09-18,0.872,0.872,0.872,0.872,0.872,0.0
2008-09-19,0.872,0.872,0.872,0.872,0.872,0.0
2008-09-22,0.872,0.9,0.872,0.9,0.9,5000.0
2008-09-23,0.872,0.872,0.872,0.872,0.872,0.0
2008-09-24,0.872,0.872,0.872,0.872,0.872,0.0
2008-09-25,0.872,0.872,0.872,0.872,0.872,0.0
2008-09-26,0.872,0.872,0.872,0.872,0.872,0.0
2008-09-29,0.872,0.872,0.872,0.872,0.872,0.0
2008-09-30,0.915,0.915,0.915,0.915,0.915,0.0
2008-10-01,,,,,,
2008-10-02,,,,,,
