Date,Open,High,Low,Close,Adj Close,Volume
2003-11-10,5.35725,5.35725,5.35725,5.35725,5.35725,0.0
2003-11-11,5.35725,6.10726,5.35725,5.35725,5.35725,194274.0
2003-11-12,5.46439,6.4287,5.46439,6.21441,6.21441,114186.0
2003-11-13,6.4287,6.96442,6.4287,6.85728,6.85728,75879.0
2003-11-16,6.96442,7.50015,6.96442,7.50015,7.50015,49195.0
2003-11-17,7.71444,8.35731,7.50015,8.03587,8.03587,54346.0
2003-11-18,8.14302,8.35731,7.71444,7.928730000000002,7.928730000000002,69012.0
2003-11-19,7.82158,7.82158,6.85728,6.85728,6.85728,61057.0
2003-11-20,6.85728,6.96442,6.21441,6.75013,6.75013,31829.0
2003-11-23,6.4287,6.6429899999999975,6.21441,6.4287,6.4287,26167.0
2003-11-24,6.75013,6.75013,6.53584,6.6429899999999975,6.6429899999999975,16672.0
2003-11-25,6.4287,6.4287,5.57154,5.57154,5.57154,42525.0
2003-11-26,5.67868,6.10726,5.67868,6.10726,6.10726,18129.0
2003-11-27,6.00012,6.4287,6.00012,6.32155,6.32155,32110.0
2003-11-30,6.32155,6.32155,6.10726,6.21441,6.21441,13798.0
2003-12-01,6.10726,6.10726,6.10726,6.10726,6.10726,10192.0
2003-12-02,6.10726,6.32155,6.00012,6.32155,6.32155,6505.0
2003-12-03,6.32155,6.32155,6.21441,6.21441,6.21441,3234.0
2003-12-04,6.21441,6.21441,6.10726,6.21441,6.21441,7892.0
2003-12-07,6.10726,6.10726,6.00012,6.00012,6.00012,9076.0
2003-12-08,6.00012,6.00012,5.67868,5.67868,5.67868,6907.0
2003-12-09,5.57154,6.10726,5.46439,5.7858300000000025,5.7858300000000025,14269.0
2003-12-10,5.67868,5.7858300000000025,5.57154,5.7858300000000025,5.7858300000000025,8757.0
2003-12-11,5.67868,5.7858300000000025,5.67868,5.7858300000000025,5.7858300000000025,1960.0
2003-12-14,5.67868,5.67868,5.46439,5.67868,5.67868,10173.0
2003-12-15,5.7858300000000025,6.21441,5.67868,6.21441,6.21441,5939.0
2003-12-16,6.00012,6.00012,5.67868,5.89297,5.89297,4200.0
2003-12-17,5.67868,5.7858300000000025,5.46439,5.7858300000000025,5.7858300000000025,18114.0
2003-12-18,5.57154,5.57154,5.57154,5.57154,5.57154,8120.0
2003-12-21,5.7858300000000025,5.7858300000000025,5.46439,5.46439,5.46439,9659.0
2003-12-22,5.57154,5.57154,5.46439,5.57154,5.57154,1977.0
2003-12-23,5.57154,5.57154,5.46439,5.46439,5.46439,2193.0
2003-12-24,,,,,,
2003-12-25,,,,,,
2003-12-28,5.46439,5.57154,5.46439,5.57154,5.57154,3640.0
2003-12-29,5.57154,5.57154,5.46439,5.46439,5.46439,3127.0
2003-12-30,5.46439,5.57154,5.46439,5.57154,5.57154,6619.0
2003-12-31,,,,,,
2004-01-01,5.57154,5.57154,5.46439,5.46439,5.46439,2613.0
2004-01-04,5.57154,5.89297,5.57154,5.89297,5.89297,9063.0
2004-01-05,5.89297,5.89297,5.89297,5.89297,5.89297,21759.0
2004-01-06,6.00012,6.21441,6.00012,6.10726,6.10726,4863.0
2004-01-07,6.10726,6.32155,6.10726,6.32155,6.32155,15443.0
2004-01-08,6.32155,6.4287,6.10726,6.4287,6.4287,21423.0
2004-01-11,6.4287,6.4287,5.89297,5.89297,5.89297,18235.0
2004-01-12,5.89297,6.00012,5.89297,6.00012,6.00012,8003.0
2004-01-13,6.00012,6.00012,6.00012,6.00012,6.00012,1167.0
2004-01-14,6.00012,6.00012,6.00012,6.00012,6.00012,0.0
2004-01-15,5.89297,5.89297,5.89297,5.89297,5.89297,4180.0
2004-01-18,5.89297,6.21441,5.89297,6.21441,6.21441,840.0
2004-01-19,6.21441,6.21441,5.7858300000000025,5.7858300000000025,5.7858300000000025,9372.0
2004-01-20,5.67868,5.89297,5.57154,5.67868,5.67868,12249.0
2004-01-21,5.7858300000000025,5.7858300000000025,5.46439,5.46439,5.46439,8905.0
2004-01-22,5.46439,5.7858300000000025,5.46439,5.7858300000000025,5.7858300000000025,4947.0
