Date,Open,High,Low,Close,Adj Close,Volume
2016-12-19,,,,,,
2016-12-20,1.07,1.22,1.07,1.2,1.151535,796740.0
2016-12-21,,,,,,
2016-12-22,,,,,,
2016-12-27,1.3,1.32,1.3,1.32,1.2666879999999998,1200.0
2016-12-28,1.3,1.31,1.275,1.275,1.2235049999999998,23866.0
2016-12-29,1.275,1.275,1.275,1.275,1.2235049999999998,0.0
2017-01-02,,,,,,
2017-01-03,1.28,1.28,1.28,1.28,1.228303,5000.0
2017-01-04,1.28,1.3,1.275,1.3,1.247496,58718.0
2017-01-05,,,,,,
2017-01-08,,,,,,
2017-01-09,,,,,,
2017-01-10,,,,,,
2017-01-11,,,,,,
2017-01-12,,,,,,
2017-01-15,,,,,,
2017-01-16,,,,,,
2017-01-17,,,,,,
2017-01-18,1.3,1.3,1.3,1.3,1.247496,5000.0
2017-01-19,,,,,,
2017-01-22,,,,,,
2017-01-23,,,,,,
2017-01-24,,,,,,
2017-01-26,1.35,1.35,1.35,1.35,1.295476,0.0
2017-01-29,,,,,,
2017-01-30,,,,,,
2017-01-31,,,,,,
2017-02-01,,,,,,
2017-02-02,,,,,,
2017-02-05,,,,,,
2017-02-06,,,,,,
2017-02-07,,,,,,
2017-02-08,,,,,,
2017-02-09,,,,,,
2017-02-12,,,,,,
2017-02-13,,,,,,
2017-02-14,,,,,,
2017-02-15,,,,,,
2017-02-16,,,,,,
2017-02-19,,,,,,
2017-02-20,1.55,1.55,1.55,1.55,1.487399,0.0
2017-02-21,1.6,1.6,1.52,1.52,1.45861,182500.0
2017-02-22,1.56,1.6,1.56,1.56,1.496995,41262.0
2017-02-23,1.56,1.56,1.5,1.5,1.439418,3282.0
2017-02-26,1.5,1.55,1.45,1.5,1.439418,25527.0
2017-02-27,1.5,1.55,1.5,1.55,1.487399,38027.0
2017-02-28,1.55,1.55,1.55,1.55,1.487399,0.0
2017-03-01,1.505,1.505,1.5,1.5,1.439418,10000.0
2017-03-02,,,,,,
2017-03-05,,,,,,
2017-03-06,,,,,,
2017-03-07,1.5,1.5,1.5,1.5,1.439418,7200.0
2017-03-08,,,,,,
2017-03-09,1.52,1.52,1.52,1.52,1.45861,7500.0
2017-03-12,,,,,,
2017-03-13,1.52,1.52,1.52,1.52,1.45861,5000.0
2017-03-14,1.52,1.52,1.52,1.52,1.45861,0.0
2017-03-15,,,,,,
2017-03-16,,,,,,
2017-03-19,,,,,,
2017-03-20,,,,,,
2017-03-21,1.6,1.6,1.6,1.6,1.535379,0.0
2017-03-22,1.6,1.6,1.6,1.6,1.535379,0.0
2017-03-23,,,,,,
2017-03-26,,,,,,
2017-03-27,,,,,,
2017-03-28,,,,,,
2017-03-29,,,,,,
2017-03-30,,,,,,
2017-04-03,,,,,,
2017-04-04,,,,,,
2017-04-05,,,,,,
2017-04-06,1.58,1.59,1.55,1.59,1.525783,21950.0
2017-04-07,1.59,1.59,1.59,1.59,1.525783,0.0
2017-04-10,1.575,1.575,1.575,1.575,1.511389,350.0
2017-04-11,1.575,1.575,1.575,1.575,1.511389,0.0
2017-04-12,1.575,1.575,1.575,1.575,1.511389,0.0
2017-04-13,,,,,,
2017-04-18,1.525,1.53,1.5,1.5,1.439418,35182.0
2017-04-19,1.5,1.5,1.46,1.46,1.401034,15000.0
2017-04-20,1.48,1.48,1.48,1.48,1.420226,11410.0
2017-04-21,1.5,1.5,1.5,1.5,1.439418,16500.0
2017-04-24,1.5,1.5,1.47,1.48,1.420226,56986.0
2017-04-26,1.48,1.54,1.48,1.54,1.477803,25255.0
2017-04-27,1.575,1.575,1.55,1.55,1.487399,8500.0
2017-04-28,1.575,1.575,1.55,1.575,1.511389,11650.0
2017-05-01,1.575,1.575,1.535,1.535,1.473004,6250.0
2017-05-02,1.535,1.535,1.535,1.535,1.473004,500.0
2017-05-03,1.535,1.535,1.535,1.535,1.473004,0.0
2017-05-04,1.53,1.56,1.53,1.56,1.496995,5535.0
2017-05-05,1.56,1.56,1.55,1.55,1.487399,15765.0
2017-05-08,1.55,1.55,1.5,1.5,1.439418,5936.0
2017-05-09,1.5,1.5,1.46,1.47,1.4106299999999998,16558.0
2017-05-10,1.5,1.5,1.45,1.455,1.396236,47992.0
2017-05-11,1.45,1.45,1.4,1.45,1.391438,62521.0
2017-05-12,1.46,1.49,1.43,1.43,1.3722450000000002,29434.0
2017-05-15,1.43,1.45,1.42,1.42,1.362649,86283.0
2017-05-16,1.42,1.42,1.42,1.42,1.362649,0.0
2017-05-17,1.42,1.42,1.42,1.42,1.362649,5000.0
2017-05-18,1.42,1.42,1.42,1.42,1.362649,0.0
2017-05-19,1.44,1.44,1.44,1.44,1.381841,10010.0
2017-05-22,1.41,1.44,1.4,1.4,1.343457,22987.0
2017-05-23,1.4,1.42,1.4,1.42,1.362649,45936.0
2017-05-24,1.42,1.42,1.42,1.42,1.362649,0.0
2017-05-25,1.42,1.42,1.42,1.42,1.362649,0.0
2017-05-26,1.42,1.45,1.42,1.42,1.362649,87341.0
2017-05-29,1.45,1.45,1.45,1.45,1.391438,19375.0
2017-05-30,1.45,1.45,1.45,1.45,1.391438,11276.0
2017-05-31,1.5,1.5,1.475,1.475,1.415428,35935.0
2017-06-01,1.45,1.45,1.45,1.45,1.391438,2500.0
2017-06-02,1.45,1.45,1.45,1.45,1.391438,0.0
2017-06-05,1.465,1.465,1.465,1.465,1.405832,3000.0
2017-06-06,1.45,1.45,1.45,1.45,1.391438,2500.0
2017-06-07,1.45,1.45,1.45,1.45,1.391438,11000.0
2017-06-08,1.45,1.46,1.45,1.46,1.401034,22724.0
2017-06-09,1.42,1.42,1.42,1.42,1.362649,4452.0
2017-06-13,1.42,1.42,1.41,1.42,1.362649,28403.0
2017-06-14,1.4,1.42,1.4,1.4,1.343457,18184.0
2017-06-15,1.4,1.4,1.4,1.4,1.343457,0.0
2017-06-16,1.4,1.4,1.4,1.4,1.343457,0.0
2017-06-19,1.4,1.4,1.4,1.4,1.343457,20000.0
2017-06-20,1.41,1.41,1.41,1.41,1.353053,8781.0
2017-06-21,1.43,1.43,1.41,1.41,1.353053,39508.0
2017-06-22,1.42,1.44,1.42,1.44,1.381841,8780.0
2017-06-23,1.42,1.42,1.39,1.42,1.362649,14000.0
2017-06-26,1.42,1.42,1.42,1.42,1.362649,11440.0
2017-06-27,1.41,1.42,1.41,1.42,1.362649,6664.0
2017-06-28,1.4,1.41,1.38,1.41,1.353053,18390.0
2017-06-29,1.39,1.39,1.38,1.38,1.324265,11000.0
2017-06-30,1.42,1.42,1.42,1.42,1.362649,346169.0
2017-07-03,1.45,1.47,1.45,1.47,1.4106299999999998,10450.0
2017-07-04,1.485,1.485,1.45,1.45,1.391438,278509.0
2017-07-05,1.43,1.43,1.43,1.43,1.3722450000000002,3000.0
2017-07-06,1.43,1.43,1.43,1.43,1.3722450000000002,0.0
2017-07-07,1.47,1.47,1.47,1.47,1.4106299999999998,2000.0
2017-07-10,1.43,1.43,1.42,1.42,1.362649,15900.0
2017-07-11,1.47,1.47,1.47,1.47,1.4106299999999998,1117.0
2017-07-12,1.44,1.44,1.43,1.43,1.3722450000000002,7196.0
2017-07-13,1.45,1.485,1.45,1.485,1.425024,7598.0
2017-07-14,1.5,1.5,1.5,1.5,1.439418,1000.0
2017-07-17,1.485,1.485,1.45,1.45,1.391438,376401.0
2017-07-18,1.48,1.5,1.43,1.5,1.439418,30500.0
2017-07-19,1.63,1.65,1.595,1.6,1.535379,223534.0
2017-07-20,1.6,1.6,1.565,1.565,1.501793,297790.0
2017-07-21,1.565,1.57,1.55,1.55,1.487399,30500.0
2017-07-24,1.545,1.545,1.545,1.545,1.482601,2000.0
2017-07-25,1.55,1.58,1.55,1.58,1.5161870000000002,20500.0
2017-07-26,1.55,1.55,1.55,1.55,1.487399,44133.0
2017-07-27,1.565,1.565,1.565,1.565,1.501793,350.0
2017-07-28,1.58,1.58,1.58,1.58,1.5161870000000002,1800.0
2017-07-31,1.575,1.575,1.575,1.575,1.511389,4500.0
2017-08-01,1.575,1.575,1.575,1.575,1.511389,0.0
2017-08-02,1.575,1.575,1.575,1.575,1.511389,0.0
2017-08-03,1.575,1.575,1.575,1.575,1.511389,0.0
2017-08-04,1.55,1.55,1.51,1.51,1.449014,14437.0
2017-08-07,1.51,1.51,1.43,1.43,1.3722450000000002,26652.0
2017-08-08,1.46,1.495,1.45,1.45,1.391438,16561.0
2017-08-09,1.43,1.45,1.43,1.45,1.391438,14007.0
2017-08-10,1.45,1.45,1.45,1.45,1.391438,0.0
2017-08-11,1.45,1.45,1.45,1.45,1.391438,0.0
2017-08-14,1.45,1.45,1.44,1.44,1.381841,45000.0
2017-08-15,1.43,1.43,1.42,1.42,1.362649,31751.0
2017-08-16,1.43,1.45,1.43,1.45,1.391438,9217.0
2017-08-17,1.45,1.45,1.45,1.45,1.391438,0.0
