Date,Open,High,Low,Close,Adj Close,Volume
2015-07-15,1.75,1.9,1.75,1.9,1.721212,7738695.0
2015-07-16,1.9,1.93,1.86,1.92,1.7393299999999998,4463297.0
2015-07-17,1.92,1.96,1.92,1.95,1.766507,665338.0
2015-07-20,1.96,1.97,1.905,1.97,1.784625,6020826.0
2015-07-21,1.975,1.975,1.93,1.95,1.766507,264995.0
2015-07-22,1.97,1.985,1.965,1.97,1.784625,325848.0
2015-07-23,1.98,2.0,1.98,1.99,1.802743,818120.0
2015-07-24,1.99,2.0,1.94,1.96,1.775566,118092.0
2015-07-27,1.965,1.97,1.95,1.96,1.775566,797002.0
2015-07-28,1.96,1.96,1.95,1.96,1.775566,81706.0
2015-07-29,1.96,1.975,1.955,1.965,1.780096,221595.0
2015-07-30,1.97,2.08,1.96,2.02,1.82992,1031579.0
2015-07-31,2.08,2.1,2.03,2.03,1.8389790000000001,714730.0
2015-08-03,2.08,2.08,2.05,2.08,1.8842740000000002,444748.0
2015-08-04,2.1,2.2,2.09,2.15,1.947688,705395.0
2015-08-05,2.17,2.2,2.15,2.17,1.9658060000000002,571766.0
2015-08-06,2.19,2.19,2.16,2.16,1.956747,175928.0
2015-08-07,2.18,2.18,2.08,2.11,1.9114509999999998,319778.0
2015-08-10,2.11,2.11,2.05,2.08,1.8842740000000002,390391.0
2015-08-11,2.08,2.13,2.05,2.11,1.9114509999999998,108458.0
2015-08-12,2.11,2.15,2.08,2.1,1.902393,153306.0
2015-08-13,2.08,2.08,2.05,2.06,1.8661560000000001,51137.0
2015-08-14,2.09,2.1,2.05,2.08,1.8842740000000002,430403.0
2015-08-17,2.13,2.13,2.07,2.08,1.8842740000000002,172053.0
2015-08-18,2.08,2.095,2.06,2.065,1.870686,113658.0
2015-08-19,2.09,2.12,2.065,2.1,1.902393,105684.0
2015-08-20,2.12,2.15,2.1,2.14,1.9386290000000002,129181.0
2015-08-21,2.14,2.24,2.14,2.24,2.029219,2748143.0
2015-08-24,2.15,2.2,2.12,2.15,1.947688,281578.0
2015-08-25,2.13,2.25,2.11,2.23,2.0201599999999997,627451.0
2015-08-26,2.2,2.25,2.18,2.24,2.029219,381617.0
2015-08-27,2.29,2.29,2.24,2.25,2.038278,364284.0
2015-08-28,2.25,2.26,2.15,2.15,1.947688,152131.0
2015-08-31,2.2,2.24,2.15,2.18,1.974865,450730.0
2015-09-01,2.18,2.2,2.16,2.2,1.9929830000000002,1244353.0
2015-09-02,2.2,2.2,2.14,2.15,1.947688,51655.0
2015-09-03,2.2,2.2,2.18,2.19,1.9839240000000002,568798.0
2015-09-04,2.21,2.22,2.16,2.18,1.974865,22484.0
2015-09-07,2.18,2.18,2.15,2.18,1.974865,34965.0
2015-09-08,2.19,2.2,2.18,2.2,1.9929830000000002,76746.0
2015-09-09,2.21,2.29,2.2,2.25,2.038278,237907.0
2015-09-10,2.24,2.25,2.2,2.22,2.011101,60327.0
2015-09-11,2.22,2.24,2.21,2.22,2.011101,79351.0
2015-09-14,2.24,2.24,2.2,2.22,2.011101,122150.0
2015-09-15,2.22,2.31,2.22,2.29,2.0745139999999997,272785.0
2015-09-16,2.29,2.31,2.25,2.3,2.083573,363201.0
2015-09-17,2.3,2.31,2.23,2.25,2.038278,178549.0
2015-09-18,2.26,2.4,2.26,2.34,2.119809,212585.0
2015-09-21,2.34,2.36,2.28,2.28,2.065455,145890.0
2015-09-22,2.33,2.33,2.29,2.32,2.101691,325010.0
2015-09-23,2.32,2.32,2.3,2.3,2.083573,37951.0
2015-09-24,2.3,2.33,2.3,2.33,2.11075,23574.0
2015-09-25,2.33,2.34,2.31,2.31,2.092632,42868.0
2015-09-28,2.33,2.35,2.27,2.29,2.0745139999999997,175443.0
2015-09-29,2.29,2.29,2.17,2.17,1.9658060000000002,1006484.0
2015-09-30,2.23,2.23,2.11,2.15,1.947688,343856.0
2015-10-01,2.17,2.24,2.1,2.24,2.029219,64726.0
2015-10-02,2.23,2.28,2.22,2.28,2.065455,1148355.0
2015-10-04,2.28,2.3,2.17,2.3,2.083573,68294.0
2015-10-05,2.3,2.34,2.3,2.34,2.119809,79395.0
2015-10-06,2.35,2.355,2.3,2.31,2.092632,104917.0
2015-10-07,2.32,2.35,2.31,2.35,2.128868,224384.0
2015-10-08,2.35,2.38,2.34,2.35,2.128868,135467.0
2015-10-11,2.37,2.39,2.32,2.39,2.165104,56688.0
2015-10-12,2.38,2.38,2.32,2.32,2.101691,60836.0
2015-10-13,2.32,2.375,2.32,2.37,2.146986,319548.0
2015-10-14,2.37,2.38,2.36,2.37,2.146986,138651.0
2015-10-15,2.37,2.59,2.32,2.46,2.2285169999999996,672623.0
2015-10-18,2.55,2.59,2.49,2.52,2.282871,754215.0
2015-10-19,2.51,2.54,2.485,2.49,2.255694,415606.0
2015-10-20,2.5,2.53,2.47,2.47,2.237576,734712.0
