Date,Open,High,Low,Close,Adj Close,Volume
2000-12-10,0.25,0.25,0.25,0.25,0.25,0.0
2000-12-11,0.26,0.26,0.22,0.24,0.24,605500.0
2000-12-12,0.24,0.24,0.22,0.235,0.235,295500.0
2000-12-13,0.24,0.24,0.23,0.23,0.23,280000.0
2000-12-14,0.23,0.23,0.22,0.23,0.23,164000.0
2000-12-17,0.24,0.25,0.24,0.25,0.25,114920.0
2000-12-18,0.25,0.25,0.23,0.24,0.24,91650.0
2000-12-19,0.245,0.245,0.23,0.245,0.245,145370.0
2000-12-20,0.24,0.245,0.24,0.24,0.24,50200.0
2000-12-21,0.24,0.25,0.24,0.25,0.25,66430.0
2000-12-24,,,,,,
2000-12-25,,,,,,
2000-12-26,0.25,0.25,0.25,0.25,0.25,41000.0
2000-12-27,0.24,0.24,0.235,0.235,0.235,80000.0
2000-12-28,0.25,0.25,0.235,0.235,0.235,14000.0
2000-12-31,,,,,,
2001-01-01,0.25,0.26,0.25,0.26,0.26,72930.0
2001-01-02,0.24,0.25,0.24,0.25,0.25,55000.0
2001-01-03,0.25,0.25,0.25,0.25,0.25,13000.0
2001-01-04,0.25,0.25,0.25,0.25,0.25,12000.0
2001-01-07,0.25,0.25,0.25,0.25,0.25,26070.0
2001-01-08,0.245,0.26,0.245,0.26,0.26,92630.0
2001-01-09,0.26,0.27,0.26,0.27,0.27,158000.0
2001-01-10,0.28,0.28,0.275,0.275,0.275,51000.0
2001-01-11,0.265,0.35,0.26,0.35,0.35,767130.0
2001-01-14,0.36,0.38,0.315,0.325,0.325,259825.0
2001-01-15,0.325,0.325,0.29,0.32,0.32,316500.0
2001-01-16,0.315,0.315,0.3,0.3,0.3,88085.0
2001-01-17,0.31,0.32,0.3,0.315,0.315,239730.0
2001-01-18,0.315,0.33,0.315,0.33,0.33,154645.0
2001-01-21,0.335,0.36,0.32,0.36,0.36,353000.0
2001-01-22,0.36,0.41,0.36,0.41,0.41,754990.0
2001-01-23,0.45,0.49,0.395,0.42,0.42,769697.0
2001-01-24,0.415,0.445,0.39,0.445,0.445,354728.0
2001-01-25,,,,,,
2001-01-28,0.445,0.445,0.4,0.405,0.405,605250.0
2001-01-29,0.4,0.4,0.365,0.37,0.37,280700.0
2001-01-30,0.354,0.37,0.35,0.37,0.37,207333.0
2001-01-31,0.37,0.39,0.37,0.39,0.39,172052.0
2001-02-01,0.39,0.4,0.375,0.38,0.38,70934.0
2001-02-04,0.397,0.397,0.38,0.38,0.38,100125.0
2001-02-05,0.38,0.385,0.38,0.385,0.385,35000.0
2001-02-06,0.38,0.38,0.36,0.36,0.36,88200.0
2001-02-07,0.36,0.36,0.32,0.34,0.34,167818.0
2001-02-08,0.34,0.365,0.33,0.365,0.365,121507.0
2001-02-11,0.365,0.365,0.36,0.36,0.36,78500.0
2001-02-12,0.365,0.37,0.365,0.37,0.37,80768.0
2001-02-13,0.37,0.37,0.35,0.37,0.37,135800.0
2001-02-14,0.37,0.37,0.36,0.36,0.36,53000.0
2001-02-15,0.35,0.355,0.325,0.35,0.35,132983.0
2001-02-18,0.36,0.36,0.36,0.36,0.36,39200.0
2001-02-19,0.35,0.35,0.35,0.35,0.35,117365.0
2001-02-20,0.35,0.35,0.34,0.34,0.34,39217.0
2001-02-21,0.31,0.32,0.31,0.32,0.32,46120.0
2001-02-22,0.34,0.36,0.34,0.355,0.355,193181.0
2001-02-25,0.36,0.36,0.36,0.36,0.36,51000.0
2001-02-26,0.36,0.37,0.36,0.37,0.37,63500.0
2001-02-27,0.365,0.365,0.365,0.365,0.365,44300.0
2001-02-28,0.365,0.365,0.36,0.36,0.36,40000.0
2001-03-01,0.36,0.36,0.35,0.35,0.35,73117.0
2001-03-04,0.36,0.36,0.36,0.36,0.36,19883.0
2001-03-05,0.36,0.36,0.36,0.36,0.36,5117.0
2001-03-06,0.34,0.34,0.32,0.32,0.32,8000.0
2001-03-07,0.34,0.34,0.33,0.33,0.33,55000.0
2001-03-08,0.336,0.34,0.33,0.33,0.33,14300.0
2001-03-11,0.335,0.335,0.33,0.33,0.33,56100.0
2001-03-12,0.33,0.35,0.33,0.33,0.33,100283.0
2001-03-13,0.33,0.33,0.33,0.33,0.33,23000.0
2001-03-14,0.33,0.34,0.33,0.34,0.34,60000.0
2001-03-15,0.345,0.37,0.345,0.37,0.37,40000.0
2001-03-18,0.36,0.365,0.36,0.365,0.365,27000.0
2001-03-19,0.37,0.38,0.37,0.38,0.38,41400.0
2001-03-20,0.36,0.36,0.35,0.35,0.35,51000.0
2001-03-21,0.34,0.34,0.33,0.33,0.33,15217.0
2001-03-22,0.31,0.31,0.31,0.31,0.31,12700.0
2001-03-26,0.33,0.33,0.33,0.33,0.33,24783.0
2001-03-27,0.33,0.35,0.33,0.35,0.35,14620.0
2001-03-28,0.36,0.37,0.36,0.37,0.37,33750.0
2001-03-29,0.37,0.37,0.36,0.36,0.36,63630.0
2001-03-30,0.365,0.365,0.365,0.365,0.365,5350.0
2001-04-02,0.37,0.37,0.37,0.37,0.37,22500.0
2001-04-03,0.37,0.375,0.36,0.375,0.375,43400.0
2001-04-04,0.36,0.36,0.35,0.35,0.35,81000.0
2001-04-05,0.37,0.37,0.37,0.37,0.37,5000.0
2001-04-06,0.37,0.37,0.355,0.355,0.355,0.0
2001-04-09,0.365,0.375,0.365,0.375,0.375,22000.0
2001-04-10,0.36,0.36,0.36,0.36,0.36,15000.0
2001-04-11,0.36,0.36,0.36,0.36,0.36,18867.0
2001-04-12,0.34,0.34,0.34,0.34,0.34,10000.0
2001-04-13,,,,,,
2001-04-16,,,,,,
2001-04-17,0.36,0.36,0.33,0.33,0.33,0.0
2001-04-18,0.36,0.37,0.36,0.37,0.37,5435.0
2001-04-19,0.37,0.37,0.37,0.37,0.37,0.0
2001-04-20,0.365,0.365,0.365,0.365,0.365,2000.0
2001-04-23,0.365,0.365,0.365,0.365,0.365,0.0
2001-04-24,0.35,0.35,0.35,0.35,0.35,13500.0
2001-04-25,,,,,,
2001-04-26,0.365,0.37,0.36,0.36,0.36,296803.0
2001-04-27,0.38,0.38,0.365,0.365,0.365,0.0
2001-04-30,0.365,0.37,0.36,0.36,0.36,53700.0
2001-05-01,0.36,0.36,0.36,0.36,0.36,1497.0
2001-05-02,0.35,0.35,0.35,0.35,0.35,28503.0
2001-05-03,0.36,0.36,0.35,0.35,0.35,8000.0
2001-05-04,0.37,0.37,0.37,0.37,0.37,13250.0
2001-05-07,0.37,0.37,0.37,0.37,0.37,5500.0
2001-05-08,0.35,0.35,0.34,0.34,0.34,26000.0
2001-05-09,0.35,0.35,0.34,0.34,0.34,0.0
2001-05-10,0.34,0.34,0.34,0.34,0.34,30000.0
2001-05-11,0.34,0.34,0.34,0.34,0.34,5000.0
2001-05-14,0.36,0.36,0.36,0.36,0.36,2000.0
2001-05-15,0.36,0.36,0.36,0.36,0.36,0.0
2001-05-16,0.36,0.36,0.36,0.36,0.36,0.0
2001-05-17,0.36,0.36,0.36,0.36,0.36,0.0
2001-05-18,0.36,0.36,0.36,0.36,0.36,0.0
2001-05-21,0.35,0.37,0.35,0.36,0.36,140497.0
2001-05-22,0.36,0.36,0.36,0.36,0.36,5400.0
2001-05-23,0.33,0.33,0.33,0.33,0.33,5895.0
2001-05-24,0.33,0.33,0.33,0.33,0.33,30000.0
2001-05-25,0.35,0.35,0.35,0.35,0.35,15950.0
2001-05-28,0.33,0.33,0.33,0.33,0.33,20000.0
2001-05-29,0.35,0.35,0.35,0.35,0.35,12148.0
2001-05-30,0.35,0.35,0.35,0.35,0.35,1852.0
2001-05-31,0.35,0.35,0.35,0.35,0.35,1852.0
2001-06-01,0.35,0.35,0.35,0.35,0.35,0.0
2001-06-04,0.33,0.33,0.3,0.3,0.3,16250.0
2001-06-05,0.3,0.3,0.3,0.3,0.3,0.0
2001-06-06,0.32,0.32,0.295,0.295,0.295,0.0
2001-06-07,0.295,0.295,0.295,0.295,0.295,46000.0
2001-06-08,0.295,0.295,0.295,0.295,0.295,8000.0
2001-06-11,,,,,,
2001-06-12,0.3,0.3,0.3,0.3,0.3,10200.0
2001-06-13,0.32,0.32,0.31,0.31,0.31,0.0
2001-06-14,0.31,0.31,0.31,0.31,0.31,56800.0
2001-06-15,0.3,0.3,0.3,0.3,0.3,20000.0
2001-06-18,0.3,0.3,0.3,0.3,0.3,24600.0
2001-06-19,0.3,0.31,0.295,0.31,0.31,49500.0
2001-06-20,0.31,0.31,0.31,0.31,0.31,0.0
2001-06-21,0.31,0.31,0.31,0.31,0.31,0.0
2001-06-22,0.31,0.31,0.31,0.31,0.31,0.0
2001-06-25,0.3,0.3,0.3,0.3,0.3,16448.0
2001-06-26,0.31,0.31,0.3,0.3,0.3,0.0
2001-06-27,0.31,0.31,0.3,0.3,0.3,0.0
2001-06-28,0.3,0.3,0.3,0.3,0.3,19300.0
2001-06-29,0.31,0.31,0.29,0.29,0.29,14700.0
2001-07-02,0.3,0.3,0.3,0.3,0.3,10000.0
2001-07-03,0.3,0.32,0.3,0.32,0.32,33258.0
2001-07-04,0.33,0.33,0.33,0.33,0.33,9000.0
2001-07-05,0.32,0.33,0.32,0.33,0.33,5000.0
2001-07-06,0.33,0.33,0.33,0.33,0.33,0.0
2001-07-09,0.3,0.3,0.27,0.27,0.27,22752.0
2001-07-10,0.26,0.26,0.26,0.26,0.26,7248.0
2001-07-11,0.28,0.28,0.28,0.28,0.28,5000.0
2001-07-12,0.29,0.31,0.29,0.3,0.3,58000.0
2001-07-13,0.3,0.3,0.3,0.3,0.3,0.0
2001-07-16,0.3,0.31,0.3,0.31,0.31,14101.0
2001-07-17,0.32,0.32,0.32,0.32,0.32,3999.0
2001-07-18,0.32,0.32,0.32,0.32,0.32,0.0
2001-07-19,0.32,0.32,0.32,0.32,0.32,6125.0
2001-07-20,0.3,0.3,0.3,0.3,0.3,50000.0
2001-07-23,0.32,0.32,0.29,0.29,0.29,0.0
2001-07-24,0.29,0.29,0.28,0.28,0.28,15000.0
2001-07-25,0.305,0.305,0.28,0.28,0.28,0.0
2001-07-26,0.29,0.3,0.29,0.3,0.3,7140.0
2001-07-27,0.285,0.285,0.28,0.28,0.28,100000.0
2001-07-30,0.285,0.285,0.285,0.285,0.285,30000.0
2001-07-31,0.29,0.29,0.285,0.285,0.285,108000.0
2001-08-01,0.29,0.29,0.29,0.29,0.29,30000.0
2001-08-02,0.29,0.295,0.29,0.295,0.295,160350.0
2001-08-03,0.29,0.29,0.285,0.285,0.285,0.0
2001-08-06,0.285,0.285,0.28,0.28,0.28,14700.0
2001-08-07,0.29,0.29,0.28,0.28,0.28,0.0
2001-08-08,0.29,0.29,0.29,0.29,0.29,7450.0
2001-08-09,0.3,0.3,0.29,0.29,0.29,0.0
2001-08-10,0.29,0.29,0.28,0.28,0.28,10550.0
2001-08-13,0.29,0.29,0.28,0.28,0.28,22392.0
2001-08-14,0.28,0.28,0.28,0.28,0.28,4000.0
2001-08-15,0.28,0.28,0.28,0.28,0.28,10000.0
2001-08-16,0.29,0.29,0.28,0.28,0.28,0.0
2001-08-17,0.29,0.29,0.29,0.29,0.29,34000.0
2001-08-20,0.29,0.29,0.29,0.29,0.29,625.0
2001-08-21,0.29,0.29,0.29,0.29,0.29,0.0
2001-08-22,0.29,0.29,0.29,0.29,0.29,0.0
2001-08-23,0.27,0.28,0.27,0.28,0.28,10000.0
2001-08-24,0.27,0.27,0.27,0.27,0.27,8200.0
2001-08-27,0.27,0.27,0.25,0.25,0.25,33800.0
2001-08-28,0.25,0.25,0.25,0.25,0.25,4000.0
2001-08-29,0.25,0.25,0.25,0.25,0.25,30000.0
2001-08-30,0.25,0.25,0.25,0.25,0.25,0.0
2001-08-31,0.25,0.25,0.24,0.24,0.24,0.0
2001-09-03,0.24,0.24,0.23,0.23,0.23,22500.0
2001-09-04,0.23,0.23,0.23,0.23,0.23,0.0
2001-09-05,0.23,0.23,0.23,0.23,0.23,0.0
2001-09-06,0.24,0.24,0.24,0.24,0.24,2000.0
2001-09-07,0.24,0.24,0.24,0.24,0.24,10500.0
2001-09-10,0.24,0.25,0.24,0.25,0.25,50500.0
2001-09-11,0.24,0.24,0.22,0.22,0.22,81610.0
