Date,Open,High,Low,Close,Adj Close,Volume
2011-08-29,1.77,1.77,1.75,1.76,1.462561,60485.0
2011-08-30,1.76,1.8,1.74,1.8,1.495801,108245.0
2011-08-31,1.8,1.8,1.78,1.8,1.495801,110018.0
2011-09-01,1.84,1.84,1.8,1.8,1.495801,143493.0
2011-09-02,1.8,1.83,1.8,1.82,1.512421,97467.0
2011-09-05,1.8,1.82,1.8,1.81,1.504111,151317.0
2011-09-06,1.81,1.81,1.8,1.8,1.495801,138020.0
2011-09-07,1.85,1.9,1.82,1.88,1.562281,306303.0
2011-09-08,1.9,1.91,1.88,1.89,1.570591,358096.0
2011-09-09,,,,,,
2011-09-12,,,,,,
2011-09-13,,,,,,
2011-09-14,,,,,,
2011-09-15,,,,,,
2011-09-16,,,,,,
2011-09-19,1.83,1.85,1.83,1.84,1.529041,18350.0
2011-09-20,,,,,,
2011-09-21,,,,,,
2011-09-22,,,,,,
2011-09-23,,,,,,
2011-09-26,,,,,,
2011-09-27,,,,,,
2011-09-28,,,,,,
2011-09-29,,,,,,
2011-09-30,,,,,,
2011-10-03,,,,,,
2011-10-04,,,,,,
2011-10-05,,,,,,
2011-10-06,,,,,,
2011-10-09,,,,,,
2011-10-10,,,,,,
2011-10-11,,,,,,
2011-10-12,,,,,,
2011-10-13,,,,,,
2011-10-16,,,,,,
2011-10-17,,,,,,
2011-10-18,,,,,,
2011-10-19,1.71,1.73,1.7,1.7,1.412701,30500.0
2011-10-20,,,,,,
2011-10-23,1.7,1.7,1.68,1.68,1.396081,7500.0
2011-10-24,,,,,,
2011-10-25,1.68,1.69,1.68,1.68,1.396081,40550.0
2011-10-26,,,,,,
2011-10-27,,,,,,
2011-10-30,1.7,1.71,1.7,1.71,1.421011,75000.0
2011-11-01,,,,,,
2011-11-02,,,,,,
2011-11-03,1.69,1.69,1.68,1.68,1.396081,17250.0
2011-11-06,,,,,,
2011-11-07,1.695,1.7,1.695,1.7,1.412701,5000.0
2011-11-08,,,,,,
2011-11-09,,,,,,
2011-11-10,1.69,1.71,1.68,1.71,1.421011,141268.0
2011-11-13,1.71,1.71,1.7,1.71,1.421011,71295.0
2011-11-14,1.7,1.73,1.7,1.71,1.421011,207015.0
2011-11-15,1.73,1.73,1.72,1.72,1.4293209999999998,14170.0
2011-11-16,1.71,1.71,1.71,1.71,1.421011,3450.0
2011-11-17,1.72,1.72,1.7,1.72,1.4293209999999998,8142.0
2011-11-20,1.7,1.71,1.7,1.71,1.421011,50344.0
2011-11-21,1.68,1.68,1.68,1.68,1.396081,9500.0
2011-11-22,1.7,1.7,1.68,1.68,1.396081,12360.0
2011-11-23,1.69,1.69,1.67,1.68,1.396081,58213.0
2011-11-24,1.68,1.68,1.67,1.67,1.387771,32820.0
2011-11-27,1.68,1.69,1.68,1.69,1.404391,8546.0
2011-11-28,1.68,1.68,1.67,1.67,1.387771,1900.0
2011-11-29,1.67,1.68,1.67,1.68,1.396081,20464.0
2011-11-30,1.68,1.68,1.67,1.67,1.387771,37346.0
2011-12-01,1.66,1.67,1.61,1.61,1.337911,12528.0
2011-12-04,1.61,1.65,1.61,1.65,1.371151,14700.0
2011-12-05,1.65,1.66,1.65,1.66,1.379461,52338.0
