Date,Open,High,Low,Close,Adj Close,Volume
2017-05-11,,,,,,
2017-05-12,1.03,1.07,1.01,1.07,1.07,697082.0
2017-05-15,1.08,1.12,1.07,1.07,1.07,234755.0
2017-05-16,1.07,1.08,1.04,1.06,1.06,118488.0
2017-05-17,1.08,1.08,1.05,1.05,1.05,62617.0
2017-05-18,1.05,1.05,1.04,1.04,1.04,36568.0
2017-05-19,1.05,1.07,1.05,1.07,1.07,10959.0
2017-05-22,1.07,1.14,1.07,1.14,1.14,63757.0
2017-05-23,1.13,1.13,1.08,1.08,1.08,97881.0
2017-05-24,1.09,1.09,1.09,1.09,1.09,9197.0
2017-05-25,1.09,1.13,1.09,1.12,1.12,57049.0
2017-05-26,1.09,1.12,1.09,1.11,1.11,73060.0
2017-05-29,1.1,1.1,1.05,1.05,1.05,49030.0
2017-05-30,1.06,1.08,1.06,1.08,1.08,3600.0
2017-05-31,1.08,1.08,1.045,1.045,1.045,34780.0
2017-06-01,1.05,1.05,1.05,1.05,1.05,3250.0
2017-06-02,1.05,1.055,1.05,1.05,1.05,53080.0
2017-06-05,1.055,1.055,1.04,1.05,1.05,38194.0
2017-06-06,1.03,1.05,1.02,1.04,1.04,52579.0
2017-06-07,1.02,1.04,1.02,1.03,1.03,40784.0
2017-06-08,1.03,1.04,1.02,1.02,1.02,44300.0
2017-06-09,1.02,1.02,1.02,1.02,1.02,21637.0
2017-06-13,1.02,1.03,1.0,1.0,1.0,85672.0
2017-06-14,1.0,1.0,0.99,1.0,1.0,49245.0
2017-06-15,0.99,0.99,0.99,0.99,0.99,10000.0
2017-06-16,0.99,0.99,0.97,0.97,0.97,12500.0
2017-06-19,0.97,1.0,0.95,0.96,0.96,88175.0
2017-06-20,0.99,0.99,0.97,0.97,0.97,10000.0
2017-06-21,1.0,1.0,1.0,1.0,1.0,29937.0
2017-06-22,0.975,1.0,0.96,1.0,1.0,35000.0
2017-06-23,0.98,0.98,0.975,0.975,0.975,10098.0
2017-06-26,0.97,0.97,0.97,0.97,0.97,10813.0
2017-06-27,0.99,0.99,0.99,0.99,0.99,10000.0
2017-06-28,0.97,0.97,0.955,0.955,0.955,22500.0
2017-06-29,0.96,0.96,0.96,0.96,0.96,4000.0
2017-06-30,0.99,0.99,0.99,0.99,0.99,10000.0
2017-07-03,0.99,0.99,0.99,0.99,0.99,0.0
2017-07-04,0.99,0.99,0.99,0.99,0.99,13101.0
2017-07-05,0.99,0.99,0.97,0.97,0.97,17151.0
2017-07-06,0.99,0.99,0.96,0.96,0.96,11919.0
2017-07-07,0.96,0.965,0.95,0.965,0.965,25462.0
2017-07-10,0.97,0.97,0.97,0.97,0.97,2000.0
2017-07-11,0.97,0.98,0.97,0.98,0.98,27500.0
2017-07-12,0.96,0.965,0.96,0.96,0.96,8900.0
2017-07-13,0.95,0.95,0.95,0.95,0.95,35500.0
2017-07-14,0.945,0.95,0.935,0.935,0.935,26506.0
2017-07-17,0.94,0.94,0.94,0.94,0.94,2000.0
2017-07-18,0.94,0.94,0.9,0.91,0.91,27000.0
2017-07-19,0.93,0.93,0.92,0.92,0.92,14998.0
2017-07-20,0.92,0.92,0.91,0.91,0.91,20800.0
2017-07-21,0.91,0.91,0.91,0.91,0.91,4300.0
2017-07-24,0.905,0.905,0.89,0.9,0.9,33000.0
2017-07-25,0.9,0.91,0.9,0.9,0.9,10708.0
2017-07-26,0.89,0.9,0.89,0.9,0.9,3000.0
2017-07-27,0.9,0.92,0.895,0.9,0.9,38000.0
2017-07-28,0.895,0.9,0.89,0.89,0.89,111155.0
2017-07-31,0.88,0.885,0.88,0.88,0.88,60247.0
2017-08-01,0.88,0.88,0.88,0.88,0.88,0.0
2017-08-02,0.88,0.88,0.88,0.88,0.88,3216.0
2017-08-03,0.92,0.93,0.92,0.93,0.93,11292.0
2017-08-04,0.92,0.92,0.92,0.92,0.92,7750.0
2017-08-07,0.9,0.9,0.89,0.89,0.89,10000.0
2017-08-08,0.88,0.9,0.87,0.87,0.87,26959.0
2017-08-09,0.9,0.93,0.9,0.92,0.92,37169.0
