Date,Open,High,Low,Close,Adj Close,Volume
2011-01-26,3.78,4.14,3.78,4.14,4.14,26389.0
2011-01-27,4.05,4.05,3.78,3.78,3.78,31567.0
2011-01-30,,,,,,
2011-01-31,3.87,3.87,3.87,3.87,3.87,2722.0
2011-02-01,3.96,4.5,3.96,4.5,4.5,6565.0
2011-02-02,4.5,4.77,4.41,4.41,4.41,21747.0
2011-02-03,4.5,4.77,4.32,4.77,4.77,22244.0
2011-02-06,4.59,4.59,4.5,4.5,4.5,10833.0
2011-02-07,4.77,5.4,4.77,5.22,5.22,10951.0
2011-02-08,5.22,5.22,4.77,5.04,5.04,11378.0
2011-02-09,5.04,5.04,4.5,4.5,4.5,22778.0
2011-02-10,4.68,4.68,4.5,4.5,4.5,8333.0
2011-02-13,5.31,5.76,5.31,5.31,5.31,93803.0
2011-02-14,5.49,5.49,5.22,5.22,5.22,15519.0
2011-02-15,5.4,5.4,4.86,5.22,5.22,9136.0
2011-02-16,5.4,5.4,5.22,5.22,5.22,32239.0
2011-02-17,5.31,5.4,5.13,5.31,5.31,11656.0
2011-02-20,5.76,7.38,5.76,6.93,6.93,196176.0
2011-02-21,7.02,7.11,6.12,6.21,6.21,76048.0
2011-02-22,6.21,6.93,6.12,6.12,6.12,37547.0
2011-02-23,6.3,6.48,5.67,5.76,5.76,49744.0
2011-02-24,5.85,6.03,5.76,5.94,5.94,14286.0
2011-02-27,5.94,5.94,5.76,5.76,5.76,7500.0
2011-02-28,5.76,5.76,5.13,5.13,5.13,20533.0
2011-03-01,5.04,5.76,5.04,5.58,5.58,17710.0
2011-03-02,5.58,5.67,5.58,5.67,5.67,6539.0
2011-03-03,5.67,5.67,5.58,5.58,5.58,1889.0
2011-03-06,5.58,5.94,5.31,5.31,5.31,8980.0
2011-03-07,,,,,,
2011-03-08,5.4,5.4,5.4,5.4,5.4,2020.0
2011-03-09,5.4,5.4,5.22,5.22,5.22,8605.0
2011-03-10,5.13,5.13,4.68,4.95,4.95,19444.0
2011-03-14,4.5,4.68,4.5,4.68,4.68,6037.0
2011-03-15,,,,,,
2011-03-16,,,,,,
2011-03-17,4.5,4.5,4.5,4.5,4.5,1111.0
2011-03-20,4.5,4.5,3.96,4.5,4.5,7778.0
2011-03-21,4.5,4.5,4.5,4.5,4.5,139.0
2011-03-22,4.5,4.5,4.32,4.32,4.32,500.0
2011-03-23,,,,,,
2011-03-24,4.32,4.5,4.32,4.5,4.5,4827.0
2011-03-27,4.5,4.5,4.32,4.32,4.32,6889.0
2011-03-28,4.32,4.32,4.14,4.32,4.32,6015.0
2011-03-29,4.14,4.32,4.14,4.32,4.32,12222.0
2011-03-30,4.32,4.32,4.14,4.32,4.32,17733.0
2011-03-31,4.14,4.32,4.14,4.32,4.32,7222.0
2011-04-04,4.5,4.5,4.5,4.5,4.5,556.0
2011-04-05,4.32,4.32,3.96,3.96,3.96,11111.0
2011-04-06,4.32,4.86,4.32,4.86,4.86,12424.0
2011-04-07,4.86,4.86,4.68,4.68,4.68,4135.0
2011-04-08,4.68,4.68,4.68,4.68,4.68,5906.0
2011-04-11,,,,,,
2011-04-12,4.23,4.32,4.14,4.14,4.14,1528.0
2011-04-13,4.32,4.32,4.32,4.32,4.32,556.0
2011-04-14,,,,,,
2011-04-15,4.05,4.14,4.05,4.14,4.14,3778.0
2011-04-18,4.14,4.14,4.14,4.14,4.14,8213.0
2011-04-19,4.14,4.23,4.14,4.23,4.23,5694.0
2011-04-20,4.23,4.23,4.23,4.23,4.23,556.0
2011-04-21,4.23,4.23,4.14,4.14,4.14,436.0
2011-04-27,4.14,4.14,4.05,4.05,4.05,4028.0
2011-04-28,,,,,,
2011-04-29,4.32,4.32,4.32,4.32,4.32,556.0
2011-05-02,4.32,4.32,4.32,4.32,4.32,417.0
2011-05-03,4.05,4.05,3.96,3.96,3.96,2361.0
2011-05-04,3.96,3.96,3.6,3.69,3.69,17097.0
2011-05-05,,,,,,
2011-05-06,3.96,3.96,3.69,3.69,3.69,5556.0
2011-05-09,,,,,,
2011-05-10,3.69,3.69,3.69,3.69,3.69,5500.0
2011-05-11,,,,,,
2011-05-12,,,,,,
2011-05-13,3.69,3.69,3.6,3.6,3.6,8611.0
2011-05-16,3.6,3.6,3.6,3.6,3.6,7222.0
2011-05-17,3.6,3.78,3.6,3.6,3.6,16972.0
2011-05-18,3.6,3.6,3.6,3.6,3.6,2699.0
2011-05-19,3.6,3.6,3.6,3.6,3.6,2222.0
2011-05-20,3.78,3.78,3.78,3.78,3.78,2778.0
2011-05-23,3.6,3.6,3.6,3.6,3.6,5556.0
2011-05-24,,,,,,
2011-05-25,3.6,3.6,3.6,3.6,3.6,556.0
2011-05-26,3.6,3.96,3.6,3.87,3.87,13031.0
2011-05-27,3.87,3.87,3.78,3.78,3.78,4167.0
2011-05-30,3.78,3.78,3.78,3.78,3.78,7889.0
2011-05-31,,,,,,
2011-06-01,4.41,4.41,4.41,4.41,4.41,1111.0
2011-06-02,3.96,3.96,3.96,3.96,3.96,944.0
2011-06-03,,,,,,
2011-06-06,3.96,3.96,3.96,3.96,3.96,556.0
2011-06-07,3.96,3.96,3.96,3.96,3.96,9306.0
2011-06-08,,,,,,
2011-06-09,,,,,,
2011-06-10,3.96,3.96,3.96,3.96,3.96,1389.0
2011-06-14,3.96,3.96,3.69,3.69,3.69,1944.0
2011-06-15,,,,,,
2011-06-16,3.6,3.6,3.6,3.6,3.6,1216.0
2011-06-17,3.6,3.6,3.6,3.6,3.6,833.0
2011-06-20,3.6,3.6,3.6,3.6,3.6,4167.0
2011-06-21,,,,,,
2011-06-22,3.6,3.6,3.24,3.24,3.24,2284.0
2011-06-23,3.42,3.42,3.42,3.42,3.42,3820.0
2011-06-24,,,,,,
2011-06-27,3.42,3.42,3.33,3.33,3.33,1007.0
2011-06-28,,,,,,
2011-06-29,3.33,3.33,3.33,3.33,3.33,1589.0
2011-06-30,,,,,,
2011-07-01,3.42,3.6,3.42,3.6,3.6,417.0
2011-07-04,,,,,,
2011-07-05,,,,,,
2011-07-06,,,,,,
2011-07-07,3.78,3.78,3.78,3.78,3.78,211.0
2011-07-08,3.96,4.14,3.96,4.14,4.14,556.0
2011-07-11,,,,,,
2011-07-12,4.05,4.05,4.05,4.05,4.05,556.0
2011-07-13,,,,,,
2011-07-14,4.05,4.05,3.87,3.87,3.87,1389.0
2011-07-15,,,,,,
2011-07-18,,,,,,
2011-07-19,3.96,3.96,3.96,3.96,3.96,139.0
2011-07-20,3.87,3.96,3.87,3.96,3.96,3056.0
2011-07-21,,,,,,
2011-07-22,,,,,,
2011-07-25,,,,,,
2011-07-26,3.96,3.96,3.96,3.96,3.96,2158.0
2011-07-27,3.87,3.87,3.87,3.87,3.87,9453.0
2011-07-28,,,,,,
2011-07-29,3.96,3.96,3.96,3.96,3.96,1944.0
2011-08-02,3.96,3.96,3.96,3.96,3.96,833.0
2011-08-03,3.87,3.87,3.87,3.87,3.87,1111.0
2011-08-04,,,,,,
2011-08-05,3.69,3.69,3.69,3.69,3.69,556.0
2011-08-08,3.24,3.24,3.15,3.15,3.15,14444.0
2011-08-09,2.7,2.7,2.7,2.7,2.7,444.0
2011-08-10,,,,,,
2011-08-11,2.7,2.7,2.7,2.7,2.7,686.0
2011-08-12,3.42,3.42,3.42,3.42,3.42,2500.0
2011-08-15,,,,,,
2011-08-16,,,,,,
2011-08-17,,,,,,
2011-08-18,,,,,,
2011-08-19,3.06,3.06,3.06,3.06,3.06,556.0
2011-08-22,3.06,3.06,3.06,3.06,3.06,50556.0
2011-08-23,,,,,,
2011-08-24,2.88,3.06,2.88,3.06,3.06,1533.0
2011-08-25,3.15,3.15,3.15,3.15,3.15,278.0
2011-08-26,,,,,,
