Date,Open,High,Low,Close,Adj Close,Volume
2003-10-13,0.65525,0.65525,0.65525,0.65525,0.460187,0.0
2003-10-14,0.90097,0.9665,0.8764,0.9665,0.67878,15481471.0
2003-10-15,0.9665,1.02383,0.9665,0.98288,0.690284,4157002.0
2003-10-16,0.98288,1.02383,0.98288,0.99926,0.701788,1021984.0
2003-10-17,1.00745,1.00745,0.95012,0.95012,0.667276,595319.0
2003-10-20,0.94193,0.95012,0.92555,0.94193,0.661524,1135510.0
2003-10-21,0.94193,0.95012,0.91736,0.91736,0.644269,1249377.0
2003-10-22,0.92555,0.93374,0.91736,0.91736,0.644269,419587.0
2003-10-23,0.91736,0.94193,0.91736,0.94193,0.661524,243313.0
2003-10-24,0.94193,0.94193,0.93374,0.93374,0.6557729999999999,215611.0
2003-10-26,0.93374,0.93374,0.92555,0.93374,0.6557729999999999,234648.0
2003-10-27,0.92555,0.93374,0.91736,0.91736,0.644269,192902.0
2003-10-28,0.92555,0.94193,0.91736,0.94193,0.661524,334119.0
2003-10-29,0.94193,0.9665,0.93374,0.9665,0.67878,281166.0
2003-10-30,0.97469,0.99926,0.97469,0.99107,0.696036,309443.0
2003-11-02,0.99926,0.99926,0.9665,0.9665,0.67878,128904.0
2003-11-03,0.9665,0.99107,0.9665,0.99107,0.696036,14823.0
2003-11-04,0.99107,0.99926,0.98288,0.99107,0.696036,86440.0
2003-11-05,0.98288,0.98288,0.95012,0.95012,0.667276,84392.0
2003-11-06,0.95012,0.98288,0.95012,0.98288,0.690284,74841.0
2003-11-09,0.98288,0.98288,0.97469,0.97469,0.6845319999999999,28032.0
2003-11-10,0.97469,0.98288,0.97469,0.97469,0.6845319999999999,149530.0
2003-11-11,0.9665,0.98288,0.9665,0.98288,0.690284,132523.0
2003-11-12,0.98288,0.98288,0.97469,0.98288,0.690284,139233.0
2003-11-13,0.97469,0.99107,0.97469,0.98288,0.690284,227332.0
2003-11-16,0.99107,0.99926,0.99107,0.99107,0.696036,37237.0
2003-11-17,0.99107,1.04022,0.98288,1.01564,0.713292,287590.0
2003-11-18,1.02383,1.04022,1.02383,1.03203,0.7248020000000001,121113.0
2003-11-19,1.03203,1.03203,1.00745,1.00745,0.70754,124689.0
2003-11-20,1.00745,1.01564,0.99107,0.99107,0.696036,61204.0
2003-11-23,0.99107,1.00745,0.99107,1.00745,0.70754,39069.0
2003-11-24,1.00745,1.00745,0.99107,0.99107,0.696036,95316.0
2003-11-25,0.99107,0.99926,0.99107,0.99107,0.696036,55551.0
2003-11-26,0.99926,1.00745,0.99926,1.00745,0.70754,59684.0
2003-11-27,1.01564,1.01564,1.01564,1.01564,0.713292,14452.0
2003-11-30,1.01564,1.02383,1.01564,1.02383,0.719043,42121.0
2003-12-01,1.02383,1.02383,1.01564,1.01564,0.713292,4323.0
2003-12-02,1.02383,1.02383,1.00745,1.01564,0.713292,19290.0
2003-12-03,1.02383,1.02383,1.01564,1.02383,0.719043,90345.0
2003-12-04,1.02383,1.04841,1.02383,1.04841,0.736306,54453.0
2003-12-07,1.03203,1.04841,1.02383,1.04841,0.736306,52142.0
2003-12-08,1.03203,1.04841,1.03203,1.03203,0.7248020000000001,38458.0
2003-12-09,1.04022,1.04022,1.04022,1.04022,0.730554,32887.0
2003-12-10,1.04022,1.10574,1.04022,1.08117,0.759314,263507.0
2003-12-11,1.08117,1.08117,1.04841,1.0729799999999998,0.753562,108416.0
2003-12-14,1.06479,1.09755,1.06479,1.08117,0.759314,178602.0
2003-12-15,1.06479,1.08117,1.0566,1.06479,0.7478100000000001,23685.0
2003-12-16,1.06479,1.08117,1.04022,1.04022,0.730554,102358.0
2003-12-17,1.04841,1.0566,1.04841,1.0566,0.742058,1015087.0
2003-12-18,1.0566,1.0566,1.04841,1.04841,0.736306,168634.0
2003-12-21,1.04841,1.06479,1.04841,1.06479,0.7478100000000001,20603.0
2003-12-22,1.06479,1.08117,1.06479,1.08117,0.759314,9865.0
