Date,Open,High,Low,Close,Adj Close,Volume
2012-03-28,0.21,0.23,0.21,0.21,0.21,260001.0
2012-03-29,0.21,0.25,0.21,0.245,0.245,384300.0
2012-04-02,0.24,0.24,0.23,0.23,0.23,60000.0
2012-04-03,0.23,0.23,0.23,0.23,0.23,0.0
2012-04-04,0.22,0.23,0.22,0.22,0.22,42275.0
2012-04-05,0.22,0.22,0.22,0.22,0.22,68000.0
2012-04-10,0.22,0.22,0.21,0.21,0.21,79600.0
2012-04-11,0.21,0.21,0.21,0.21,0.21,40225.0
2012-04-12,0.21,0.21,0.21,0.21,0.21,7394.0
2012-04-13,0.21,0.21,0.21,0.21,0.21,0.0
2012-04-16,0.21,0.21,0.21,0.21,0.21,0.0
2012-04-17,0.21,0.21,0.21,0.21,0.21,0.0
2012-04-18,0.2,0.2,0.185,0.185,0.185,42500.0
2012-04-19,0.185,0.185,0.185,0.185,0.185,0.0
2012-04-20,0.185,0.185,0.185,0.185,0.185,0.0
2012-04-23,0.185,0.185,0.185,0.185,0.185,0.0
2012-04-24,0.2,0.2,0.2,0.2,0.2,25000.0
2012-04-26,0.2,0.205,0.2,0.205,0.205,2000.0
2012-04-27,0.21,0.21,0.21,0.21,0.21,2606.0
2012-04-30,0.21,0.21,0.21,0.21,0.21,0.0
2012-05-01,0.21,0.21,0.21,0.21,0.21,0.0
2012-05-02,0.205,0.205,0.205,0.205,0.205,50000.0
2012-05-03,0.205,0.205,0.205,0.205,0.205,0.0
2012-05-04,0.205,0.205,0.205,0.205,0.205,0.0
2012-05-07,0.205,0.225,0.2,0.225,0.225,74000.0
2012-05-08,0.215,0.215,0.215,0.215,0.215,2223.0
2012-05-09,0.215,0.215,0.215,0.215,0.215,0.0
2012-05-10,0.215,0.215,0.215,0.215,0.215,0.0
2012-05-11,0.215,0.215,0.215,0.215,0.215,0.0
2012-05-14,0.2,0.2,0.18,0.18,0.18,105000.0
2012-05-15,0.18,0.18,0.18,0.18,0.18,20931.0
2012-05-16,0.18,0.18,0.18,0.18,0.18,0.0
2012-05-17,0.18,0.18,0.18,0.18,0.18,52000.0
2012-05-18,0.18,0.18,0.18,0.18,0.18,75000.0
2012-05-21,0.18,0.18,0.18,0.18,0.18,25000.0
2012-05-22,0.18,0.18,0.18,0.18,0.18,0.0
2012-05-23,0.18,0.18,0.18,0.18,0.18,0.0
2012-05-24,0.18,0.18,0.18,0.18,0.18,0.0
2012-05-25,0.18,0.18,0.18,0.18,0.18,0.0
2012-05-28,0.18,0.18,0.18,0.18,0.18,0.0
2012-05-29,0.18,0.18,0.18,0.18,0.18,0.0
2012-05-30,0.18,0.18,0.18,0.18,0.18,0.0
2012-05-31,0.18,0.18,0.18,0.18,0.18,0.0
2012-06-01,0.18,0.18,0.18,0.18,0.18,0.0
2012-06-04,0.17,0.17,0.17,0.17,0.17,26000.0
2012-06-05,0.17,0.17,0.17,0.17,0.17,0.0
2012-06-06,0.17,0.17,0.17,0.17,0.17,0.0
2012-06-07,0.17,0.17,0.17,0.17,0.17,0.0
2012-06-08,0.17,0.17,0.17,0.17,0.17,0.0
2012-06-12,0.17,0.17,0.17,0.17,0.17,0.0
2012-06-13,0.17,0.17,0.17,0.17,0.17,0.0
2012-06-14,0.17,0.17,0.17,0.17,0.17,0.0
2012-06-15,0.17,0.17,0.17,0.17,0.17,0.0
2012-06-18,0.17,0.17,0.17,0.17,0.17,0.0
2012-06-19,0.17,0.17,0.17,0.17,0.17,0.0
2012-06-20,0.17,0.17,0.17,0.17,0.17,0.0
2012-06-21,0.17,0.17,0.17,0.17,0.17,0.0
2012-06-22,0.17,0.17,0.17,0.17,0.17,0.0
2012-06-25,0.17,0.17,0.17,0.17,0.17,0.0
2012-06-26,0.17,0.17,0.17,0.17,0.17,0.0
2012-06-27,0.17,0.17,0.17,0.17,0.17,0.0
2012-06-28,0.17,0.17,0.17,0.17,0.17,0.0
2012-06-29,0.17,0.17,0.17,0.17,0.17,0.0
2012-07-02,0.17,0.17,0.17,0.17,0.17,0.0
2012-07-03,0.17,0.17,0.17,0.17,0.17,0.0
2012-07-04,0.17,0.17,0.17,0.17,0.17,0.0
2012-07-05,0.17,0.17,0.17,0.17,0.17,0.0
2012-07-06,0.17,0.17,0.17,0.17,0.17,0.0
2012-07-09,0.17,0.17,0.17,0.17,0.17,0.0
2012-07-10,0.17,0.17,0.17,0.17,0.17,0.0
2012-07-11,0.17,0.17,0.17,0.17,0.17,0.0
2012-07-12,0.17,0.17,0.17,0.17,0.17,0.0
2012-07-13,0.17,0.17,0.17,0.17,0.17,0.0
2012-07-16,0.17,0.17,0.17,0.17,0.17,0.0
2012-07-17,0.17,0.17,0.17,0.17,0.17,0.0
2012-07-18,0.17,0.17,0.17,0.17,0.17,0.0
2012-07-19,0.17,0.17,0.17,0.17,0.17,0.0
2012-07-20,0.17,0.17,0.17,0.17,0.17,0.0
2012-07-23,0.17,0.17,0.17,0.17,0.17,0.0
2012-07-24,0.17,0.17,0.17,0.17,0.17,0.0
2012-07-25,0.17,0.17,0.17,0.17,0.17,0.0
2012-07-26,0.17,0.17,0.17,0.17,0.17,0.0
2012-07-27,0.17,0.17,0.17,0.17,0.17,0.0
2012-07-30,0.17,0.17,0.17,0.17,0.17,0.0
2012-07-31,0.17,0.17,0.17,0.17,0.17,0.0
2012-08-01,0.17,0.17,0.17,0.17,0.17,0.0
2012-08-02,0.17,0.17,0.17,0.17,0.17,0.0
2012-08-03,0.17,0.17,0.17,0.17,0.17,9000.0
2012-08-06,0.17,0.17,0.17,0.17,0.17,0.0
2012-08-07,0.17,0.17,0.17,0.17,0.17,0.0
2012-08-08,0.17,0.17,0.17,0.17,0.17,0.0
2012-08-09,0.17,0.17,0.17,0.17,0.17,0.0
