Date,Open,High,Low,Close,Adj Close,Volume
2014-08-18,1.035,1.035,1.035,1.035,0.979819,3500.0
2014-08-19,1.035,1.035,1.035,1.035,0.979819,0.0
2014-08-20,,,,,,
2014-08-21,1.035,1.035,1.035,1.035,0.979819,0.0
2014-08-22,,,,,,
2014-08-25,,,,,,
2014-08-26,,,,,,
2014-08-27,,,,,,
2014-08-28,,,,,,
2014-08-29,0.9672,0.9672,0.9672,0.9672,0.915634,0.0
2014-09-01,,,,,,
2014-09-02,1.03,1.03,1.03,1.03,0.975085,0.0
2014-09-03,,,,,,
2014-09-04,,,,,,
2014-09-05,1.03,1.03,1.03,1.03,0.975085,0.0
2014-09-08,,,,,,
2014-09-09,,,,,,
2014-09-10,,,,,,
2014-09-11,,,,,,
2014-09-12,,,,,,
2014-09-15,,,,,,
2014-09-16,0.98,0.98,0.98,0.98,0.927751,1000.0
2014-09-17,,,,,,
2014-09-18,,,,,,
2014-09-19,,,,,,
2014-09-22,,,,,,
2014-09-23,,,,,,
2014-09-24,,,,,,
2014-09-25,1.0,1.0,1.0,1.0,0.946685,1.0
2014-09-26,,,,,,
2014-09-29,,,,,,
2014-09-30,0.915,0.915,0.915,0.915,0.866217,0.0
2014-10-01,,,,,,
2014-10-02,,,,,,
2014-10-03,,,,,,
2014-10-05,,,,,,
2014-10-06,,,,,,
2014-10-07,,,,,,
2014-10-08,,,,,,
2014-10-09,,,,,,
2014-10-12,,,,,,
2014-10-13,,,,,,
2014-10-14,,,,,,
2014-10-15,0.97,0.97,0.97,0.97,0.918285,0.0
2014-10-16,0.97,0.97,0.97,0.97,0.918285,0.0
2014-10-19,0.97,0.97,0.97,0.97,0.918285,0.0
2014-10-20,0.97,0.97,0.97,0.97,0.918285,0.0
2014-10-21,0.97,0.97,0.97,0.97,0.918285,0.0
2014-10-22,0.96,0.96,0.96,0.96,0.908818,7766.0
2014-10-23,0.96,0.96,0.96,0.96,0.908818,5162.0
2014-10-26,0.96,0.96,0.96,0.96,0.908818,0.0
2014-10-27,0.96,0.96,0.96,0.96,0.908818,0.0
2014-10-28,0.96,0.96,0.96,0.96,0.908818,0.0
2014-10-29,0.96,0.96,0.96,0.96,0.908818,0.0
2014-10-30,0.9666,0.9666,0.9666,0.9666,0.915066,0.0
2014-11-02,0.96,0.96,0.96,0.96,0.908818,0.0
2014-11-03,0.96,0.96,0.96,0.96,0.908818,0.0
2014-11-04,0.96,0.96,0.96,0.96,0.908818,0.0
2014-11-05,0.96,0.96,0.96,0.96,0.908818,0.0
2014-11-06,0.96,0.96,0.96,0.96,0.908818,0.0
2014-11-09,0.96,0.96,0.96,0.96,0.908818,0.0
2014-11-10,,,,,,
2014-11-11,0.96,0.96,0.96,0.96,0.908818,0.0
2014-11-12,,,,,,
2014-11-13,0.96,0.96,0.96,0.96,0.908818,0.0
2014-11-16,0.96,0.96,0.96,0.96,0.908818,0.0
2014-11-17,,,,,,
2014-11-18,0.89,0.89,0.89,0.89,0.84255,10000.0
2014-11-19,0.89,0.89,0.89,0.89,0.84255,0.0
2014-11-20,,,,,,
2014-11-23,0.89,0.89,0.89,0.89,0.84255,0.0
2014-11-24,0.86,0.87,0.86,0.87,0.823616,11000.0
2014-11-25,,,,,,
2014-11-26,0.86,0.86,0.86,0.86,0.814149,10000.0
2014-11-27,0.9644,0.9644,0.9644,0.9644,0.912983,0.0
2014-11-30,,,,,,
2014-12-01,,,,,,
2014-12-02,,,,,,
2014-12-03,0.83,0.85,0.83,0.85,0.804682,30000.0
2014-12-04,0.85,0.85,0.85,0.85,0.804682,0.0
2014-12-07,,,,,,
2014-12-08,0.85,0.85,0.85,0.85,0.804682,0.0
2014-12-09,,,,,,
2014-12-10,,,,,,
2014-12-11,0.83,0.83,0.83,0.83,0.785748,0.0
2014-12-14,0.83,0.83,0.83,0.83,0.785748,0.0
2014-12-15,,,,,,
2014-12-16,0.835,0.835,0.835,0.835,0.790482,4000.0
2014-12-17,0.83,0.83,0.83,0.83,0.785748,15000.0
2014-12-18,,,,,,
2014-12-21,,,,,,
2014-12-22,,,,,,
2014-12-23,,,,,,
2014-12-28,0.9,0.9,0.9,0.9,0.852017,0.0
2014-12-29,,,,,,
2014-12-30,0.9767,0.9767,0.9767,0.9767,0.924627,0.0
2015-01-01,0.9,0.9,0.9,0.9,0.852017,0.0
2015-01-04,,,,,,
2015-01-05,,,,,,
2015-01-06,,,,,,
2015-01-07,,,,,,
2015-01-08,,,,,,
2015-01-11,,,,,,
2015-01-12,,,,,,
2015-01-13,,,,,,
2015-01-14,,,,,,
2015-01-15,,,,,,
2015-01-18,,,,,,
2015-01-19,,,,,,
2015-01-20,,,,,,
2015-01-21,,,,,,
2015-01-22,,,,,,
2015-01-26,,,,,,
2015-01-27,0.85,0.85,0.85,0.85,0.804682,21000.0
2015-01-28,0.86,0.86,0.85,0.85,0.804682,7700.0
2015-01-29,1.0172,1.0172,1.0172,1.0172,0.962968,0.0
2015-02-01,0.85,0.85,0.85,0.85,0.804682,0.0
2015-02-02,0.92,0.92,0.86,0.86,0.814149,30000.0
2015-02-03,0.86,0.86,0.86,0.86,0.814149,0.0
2015-02-04,0.9,0.9,0.9,0.9,0.852017,19000.0
2015-02-05,0.9,0.9,0.9,0.9,0.852017,0.0
2015-02-08,0.9,0.9,0.9,0.9,0.852017,0.0
2015-02-09,,,,,,
2015-02-10,0.9,0.9,0.9,0.9,0.852017,0.0
2015-02-11,0.9,0.9,0.87,0.9,0.852017,14462.0
2015-02-12,,,,,,
2015-02-15,0.9,0.9,0.9,0.9,0.852017,0.0
2015-02-16,0.9,0.9,0.9,0.9,0.852017,0.0
2015-02-17,0.9,0.9,0.9,0.9,0.852017,0.0
2015-02-18,,,,,,
2015-02-19,0.9,0.9,0.9,0.9,0.852017,0.0
2015-02-22,0.9,0.9,0.9,0.9,0.852017,0.0
2015-02-23,,,,,,
2015-02-24,,,,,,
2015-02-25,0.9,0.9,0.9,0.9,0.852017,0.0
2015-02-26,1.0493,1.0493,1.0493,1.0493,0.993356,0.0
2015-03-01,0.85,0.85,0.85,0.85,0.804682,2500.0
2015-03-02,0.85,0.85,0.85,0.85,0.804682,0.0
2015-03-03,0.86,0.86,0.83,0.83,0.785748,10000.0
2015-03-04,0.83,0.83,0.83,0.83,0.785748,0.0
2015-03-05,0.83,0.83,0.83,0.83,0.785748,0.0
2015-03-08,0.83,0.83,0.83,0.83,0.785748,3500.0
2015-03-09,0.83,0.83,0.83,0.83,0.785748,0.0
2015-03-10,0.83,0.83,0.83,0.83,0.785748,0.0
2015-03-11,0.83,0.83,0.83,0.83,0.785748,0.0
2015-03-12,0.83,0.83,0.83,0.83,0.785748,0.0
2015-03-15,0.835,0.835,0.83,0.83,0.785748,10000.0
2015-03-16,0.83,0.83,0.83,0.83,0.785748,0.0
2015-03-17,0.83,0.83,0.83,0.83,0.785748,0.0
2015-03-18,0.83,0.83,0.83,0.83,0.785748,0.0
2015-03-19,0.83,0.83,0.83,0.83,0.785748,0.0
2015-03-22,0.83,0.83,0.83,0.83,0.785748,0.0
2015-03-23,0.83,0.83,0.83,0.83,0.792569,20000.0
2015-03-24,0.85,0.85,0.85,0.85,0.8116680000000001,17716.0
2015-03-25,0.85,0.85,0.85,0.85,0.8116680000000001,0.0
2015-03-26,0.85,0.85,0.85,0.85,0.8116680000000001,0.0
2015-03-29,0.81,0.81,0.81,0.81,0.773471,12072.0
2015-03-30,1.037,1.037,1.037,1.037,0.990234,0.0
2015-03-31,0.815,0.815,0.815,0.815,0.778246,5000.0
2015-04-01,0.83,0.83,0.83,0.83,0.792569,2000.0
2015-04-07,0.83,0.83,0.83,0.83,0.792569,0.0
2015-04-08,0.83,0.83,0.83,0.83,0.792569,0.0
2015-04-09,0.83,0.83,0.82,0.82,0.7830199999999999,25000.0
2015-04-10,0.82,0.82,0.82,0.82,0.7830199999999999,0.0
2015-04-13,0.82,0.82,0.82,0.82,0.7830199999999999,0.0
2015-04-14,0.83,0.83,0.83,0.83,0.792569,10286.0
2015-04-15,0.83,0.83,0.83,0.83,0.792569,0.0
2015-04-16,0.83,0.83,0.83,0.83,0.792569,20000.0
2015-04-17,0.83,0.83,0.83,0.83,0.792569,20000.0
2015-04-20,0.83,0.83,0.83,0.83,0.792569,15000.0
2015-04-21,0.85,0.9,0.85,0.87,0.830766,42284.0
2015-04-22,0.85,0.9,0.845,0.845,0.8068930000000001,55484.0
2015-04-23,0.83,0.83,0.83,0.83,0.792569,10000.0
2015-04-24,0.9,0.9,0.9,0.9,0.8594129999999999,7500.0
2015-04-27,0.84,0.84,0.83,0.83,0.792569,50000.0
2015-04-28,0.9,0.9,0.84,0.84,0.802118,14000.0
2015-04-29,0.88,0.88,0.83,0.83,0.792569,27000.0
2015-04-30,1.0028,1.0028,1.0028,1.0028,0.957577,0.0
2015-05-01,0.83,0.83,0.83,0.83,0.792569,0.0
2015-05-04,0.835,0.835,0.83,0.83,0.792569,42984.0
2015-05-05,0.9,0.9,0.9,0.9,0.8594129999999999,1552.0
2015-05-06,0.9,0.9,0.9,0.9,0.8594129999999999,0.0
2015-05-07,0.9,0.9,0.9,0.9,0.8594129999999999,0.0
2015-05-08,0.9,0.9,0.9,0.9,0.8594129999999999,0.0
2015-05-11,0.84,0.84,0.825,0.83,0.792569,32000.0
2015-05-12,0.845,0.86,0.845,0.86,0.821216,1926.0
2015-05-13,0.82,0.82,0.82,0.82,0.7830199999999999,28074.0
