Date,Open,High,Low,Close,Adj Close,Volume
2014-11-20,1.0,1.0,0.94,0.96,0.96,200000.0
2014-11-23,0.94,0.94,0.94,0.94,0.94,25000.0
2014-11-24,,,,,,
2014-11-25,,,,,,
2014-11-26,0.94,0.94,0.94,0.94,0.94,45000.0
2014-11-27,0.92,0.92,0.92,0.92,0.92,1300.0
2014-11-30,,,,,,
2014-12-01,0.91,0.91,0.9,0.9,0.9,60600.0
2014-12-02,,,,,,
2014-12-03,0.91,0.91,0.91,0.91,0.91,21160.0
2014-12-04,0.93,0.94,0.93,0.94,0.94,55300.0
2014-12-07,0.94,0.94,0.92,0.92,0.92,114850.0
2014-12-08,0.91,0.91,0.88,0.89,0.89,195400.0
2014-12-09,0.87,0.87,0.87,0.87,0.87,30100.0
2014-12-10,0.89,0.89,0.865,0.865,0.865,13389.0
2014-12-11,0.87,0.89,0.87,0.89,0.89,15000.0
2014-12-14,0.865,0.865,0.86,0.86,0.86,20000.0
2014-12-15,0.86,0.86,0.86,0.86,0.86,2511.0
2014-12-16,0.86,0.86,0.83,0.86,0.86,45065.0
2014-12-17,,,,,,
2014-12-18,0.86,0.86,0.86,0.86,0.86,93000.0
2014-12-21,0.86,0.86,0.85,0.86,0.86,224800.0
2014-12-22,0.86,0.86,0.86,0.86,0.86,37000.0
2014-12-23,0.86,0.86,0.85,0.85,0.85,153600.0
2014-12-28,0.85,0.85,0.85,0.85,0.85,0.0
2014-12-29,0.85,0.85,0.85,0.85,0.85,1450.0
2014-12-30,0.85,0.85,0.85,0.85,0.85,0.0
2015-01-01,0.85,0.85,0.85,0.85,0.85,5000.0
2015-01-04,0.85,0.85,0.85,0.85,0.85,49000.0
2015-01-05,0.85,0.85,0.85,0.85,0.85,0.0
2015-01-06,0.85,0.86,0.85,0.86,0.86,30000.0
2015-01-07,0.86,0.86,0.86,0.86,0.86,0.0
2015-01-08,0.86,0.86,0.86,0.86,0.86,144270.0
2015-01-11,0.86,0.86,0.84,0.84,0.84,67575.0
2015-01-12,0.865,0.89,0.865,0.89,0.89,27800.0
2015-01-13,0.89,0.94,0.89,0.91,0.91,130069.0
2015-01-14,0.92,0.92,0.91,0.91,0.91,29501.0
2015-01-15,0.905,0.905,0.885,0.885,0.885,4883.0
2015-01-18,0.89,0.91,0.88,0.91,0.91,11424.0
2015-01-19,0.91,0.91,0.91,0.91,0.91,0.0
2015-01-20,0.91,0.91,0.91,0.91,0.91,3300.0
2015-01-21,0.88,0.88,0.88,0.88,0.88,49494.0
2015-01-22,0.88,0.88,0.88,0.88,0.88,0.0
