Date,Open,High,Low,Close,Adj Close,Volume
2009-09-10,3.92,3.99,3.85,3.99,2.743695,16733600.0
2009-09-11,4.0,4.05,3.89,3.94,2.709312,1998000.0
2009-09-14,3.96,3.96,3.7,3.78,2.599289,1968200.0
2009-09-15,3.78,3.8,3.56,3.63,2.496143,1610100.0
2009-09-16,3.63,3.73,3.62,3.68,2.530525,1089400.0
2009-09-17,3.7,3.71,3.64,3.7,2.544278,2109100.0
2009-09-18,3.69,3.83,3.69,3.81,2.619919,1192900.0
2009-09-21,3.85,3.85,3.78,3.8,2.613042,1897800.0
2009-09-22,3.81,3.84,3.77,3.8,2.613042,841000.0
2009-09-23,3.81,3.81,3.77,3.78,2.599289,1030100.0
2009-09-24,3.73,3.75,3.7,3.72,2.558031,2301000.0
2009-09-25,3.74,3.8,3.71,3.72,2.558031,1790600.0
2009-09-28,3.71,3.75,3.71,3.72,2.558031,1046000.0
2009-09-29,3.72,3.72,3.62,3.67,2.5236490000000003,672200.0
2009-09-30,3.69,3.78,3.69,3.75,2.57866,528100.0
2009-10-01,3.7,3.79,3.7,3.77,2.592413,218300.0
2009-10-02,3.71,3.76,3.71,3.73,2.564907,236900.0
2009-10-04,3.76,3.77,3.71,3.72,2.558031,85200.0
2009-10-05,3.72,3.8,3.72,3.8,2.613042,150100.0
2009-10-06,3.79,3.84,3.74,3.84,2.640548,226800.0
2009-10-07,3.81,3.9,3.78,3.86,2.654301,467900.0
2009-10-08,3.85,3.9,3.85,3.89,2.67493,701000.0
2009-10-11,3.88,3.92,3.87,3.9,2.681807,823600.0
2009-10-12,3.89,3.9,3.79,3.83,2.633672,292400.0
2009-10-13,3.85,3.9,3.84,3.9,2.681807,769100.0
2009-10-14,3.9,3.9,3.81,3.86,2.654301,767300.0
2009-10-15,3.88,3.9,3.87,3.9,2.681807,734800.0
2009-10-18,3.9,3.92,3.85,3.9,2.681807,562500.0
2009-10-19,3.91,4.03,3.9,4.03,2.7712,588200.0
2009-10-20,4.03,4.03,3.96,3.96,2.723065,562200.0
2009-10-21,4.01,4.1,4.01,4.1,2.819335,600200.0
2009-10-22,4.15,4.16,4.03,4.09,2.812459,915400.0
2009-10-25,4.08,4.08,4.02,4.05,2.784953,153400.0
2009-10-26,4.01,4.03,3.98,4.0,2.750571,651400.0
2009-10-27,4.02,4.07,3.99,4.01,2.757448,1102900.0
2009-10-28,4.01,4.03,3.98,4.0,2.750571,541400.0
2009-10-29,4.05,4.1,4.01,4.09,2.812459,134400.0
2009-11-01,4.06,4.15,4.04,4.15,2.853717,268900.0
2009-11-02,4.11,4.14,4.03,4.1,2.819335,393900.0
2009-11-03,4.12,4.13,4.03,4.11,2.826212,188800.0
2009-11-04,4.13,4.16,4.13,4.16,2.860594,334000.0
2009-11-05,4.15,4.25,4.15,4.25,2.922482,573400.0
2009-11-08,4.29,4.39,4.2,4.38,3.011875,169000.0
2009-11-09,4.4,4.45,4.36,4.36,2.998122,449200.0
2009-11-10,4.44,4.49,4.35,4.35,2.991246,132700.0
2009-11-11,4.38,4.48,4.35,4.48,3.0806400000000003,223000.0
2009-11-12,4.46,4.53,4.4,4.53,3.115021,210400.0
2009-11-15,4.55,4.55,4.47,4.5,3.094393,306800.0
2009-11-16,4.5,4.56,4.46,4.5,3.094393,267300.0
2009-11-17,4.5,4.5,4.46,4.5,3.094393,83800.0
2009-11-18,4.48,4.56,4.46,4.52,3.108145,228300.0
2009-11-19,4.55,4.65,4.55,4.63,3.183785,82800.0
2009-11-22,4.63,4.64,4.52,4.6,3.163157,85800.0
2009-11-23,4.6,4.6,4.51,4.55,3.128775,940200.0
2009-11-24,4.53,4.53,4.39,4.47,3.073763,222700.0
2009-11-25,4.47,4.59,4.41,4.56,3.13565,711600.0
2009-11-26,4.52,4.52,4.42,4.45,3.06001,117500.0
2009-11-29,4.6,4.6,4.48,4.48,3.0806400000000003,375800.0
2009-11-30,4.48,4.68,4.48,4.66,3.204415,435300.0
2009-12-01,4.7,4.8,4.63,4.7,3.23192,731200.0
2009-12-02,4.7,4.7,4.57,4.69,3.225044,647300.0
2009-12-03,4.75,4.9,4.66,4.88,3.355696,1029000.0
2009-12-06,4.88,4.9,4.69,4.8,3.300685,432200.0
2009-12-07,4.85,4.89,4.77,4.82,3.314438,781000.0
2009-12-08,4.82,4.82,4.82,4.82,3.314438,0.0
2009-12-09,4.77,4.86,4.77,4.78,3.286932,330828.0
2009-12-10,4.85,4.96,4.8,4.9,3.369449,692184.0
2009-12-13,4.92,4.92,4.75,4.86,3.341944,190745.0
2009-12-14,4.87,5.02,4.85,5.0,3.438213,1235278.0
2009-12-15,4.99,5.0,4.92,4.95,3.403831,239710.0
2009-12-16,4.95,4.99,4.88,4.88,3.355696,563495.0
2009-12-17,4.87,5.1,4.79,5.05,3.472596,3289696.0
2009-12-20,5.03,5.2,5.03,5.2,3.575742,303927.0
2009-12-21,5.2,5.4,5.14,5.3,3.644506,664511.0
2009-12-22,5.4,5.42,5.32,5.35,3.678888,286304.0
2009-12-23,5.4,5.7,5.4,5.42,3.727024,575058.0
2009-12-28,5.42,5.5,5.34,5.42,3.727024,133205.0
2009-12-29,5.45,5.45,5.35,5.37,3.6926410000000014,53408.0
2009-12-30,5.42,5.45,5.35,5.35,3.678888,88075.0
2010-01-03,5.35,5.5,5.35,5.38,3.699518,201037.0
2010-01-04,5.45,5.48,5.44,5.45,3.747653,762168.0
2010-01-05,5.46,5.46,5.4,5.41,3.720147,1133167.0
2010-01-06,5.4,5.41,5.36,5.4,3.713271,451179.0
2010-01-07,5.4,5.4,5.1,5.18,3.561989,415297.0
2010-01-10,5.2,5.25,4.95,5.03,3.458843,897917.0
2010-01-11,4.94,5.02,4.77,4.99,3.431337,730627.0
2010-01-12,4.96,5.08,4.92,5.04,3.4657190000000004,175071.0
2010-01-13,5.05,5.08,5.0,5.05,3.472596,403061.0
2010-01-14,5.05,5.13,5.04,5.11,3.5138540000000003,158097.0
2010-01-17,5.13,5.16,5.01,5.14,3.5344830000000003,373536.0
2010-01-18,5.11,5.11,4.86,5.0,3.438213,347590.0
2010-01-19,5.01,5.01,4.79,4.79,3.2938080000000003,168226.0
2010-01-20,4.75,4.9,4.67,4.79,3.2938080000000003,258935.0
2010-01-21,4.67,4.96,4.55,4.94,3.396955,360381.0
