Date,Open,High,Low,Close,Adj Close,Volume
2005-12-29,1.034,1.034,1.034,1.034,1.034,0.0
2006-01-02,1.034,1.034,1.034,1.034,1.034,0.0
2006-01-03,,,,,,
2006-01-04,,,,,,
2006-01-05,,,,,,
2006-01-08,,,,,,
2006-01-09,,,,,,
2006-01-10,,,,,,
2006-01-11,,,,,,
2006-01-12,,,,,,
2006-01-15,,,,,,
2006-01-16,,,,,,
2006-01-17,,,,,,
2006-01-18,,,,,,
2006-01-19,,,,,,
2006-01-22,,,,,,
2006-01-23,,,,,,
2006-01-24,,,,,,
2006-01-26,,,,,,
2006-01-29,,,,,,
2006-01-30,1.1134,1.1134,1.1134,1.1134,1.1134,0.0
2006-01-31,,,,,,
2006-02-01,,,,,,
2006-02-02,,,,,,
2006-02-05,,,,,,
2006-02-06,,,,,,
2006-02-07,,,,,,
2006-02-08,,,,,,
2006-02-09,,,,,,
2006-02-12,,,,,,
2006-02-13,,,,,,
2006-02-14,,,,,,
2006-02-15,,,,,,
2006-02-16,,,,,,
2006-02-19,,,,,,
2006-02-20,,,,,,
2006-02-21,,,,,,
2006-02-22,,,,,,
2006-02-23,,,,,,
2006-02-26,,,,,,
2006-02-27,1.1617,1.1617,1.1617,1.1617,1.1617,0.0
2006-02-28,,,,,,
2006-03-01,,,,,,
2006-03-02,,,,,,
2006-03-05,,,,,,
2006-03-06,,,,,,
2006-03-07,,,,,,
2006-03-08,,,,,,
2006-03-09,,,,,,
2006-03-12,,,,,,
2006-03-13,,,,,,
2006-03-14,,,,,,
2006-03-15,,,,,,
2006-03-16,,,,,,
2006-03-19,,,,,,
2006-03-20,,,,,,
2006-03-21,,,,,,
2006-03-22,,,,,,
2006-03-23,,,,,,
2006-03-26,,,,,,
2006-03-27,,,,,,
2006-03-28,,,,,,
2006-03-29,,,,,,
2006-03-30,1.2206,1.2206,1.2206,1.2206,1.2206,0.0
2006-04-03,,,,,,
2006-04-04,,,,,,
2006-04-05,,,,,,
2006-04-06,,,,,,
2006-04-07,,,,,,
2006-04-10,,,,,,
2006-04-11,,,,,,
2006-04-12,,,,,,
2006-04-13,,,,,,
2006-04-18,,,,,,
2006-04-19,,,,,,
2006-04-20,,,,,,
2006-04-21,,,,,,
2006-04-24,,,,,,
2006-04-26,,,,,,
2006-04-27,,,,,,
2006-04-28,,,,,,
2006-05-01,1.2899,1.2899,1.2899,1.2899,1.2899,0.0
2006-05-02,,,,,,
2006-05-03,,,,,,
2006-05-04,,,,,,
2006-05-05,,,,,,
2006-05-08,,,,,,
2006-05-09,,,,,,
2006-05-10,,,,,,
2006-05-11,,,,,,
2006-05-12,,,,,,
2006-05-15,,,,,,
2006-05-16,,,,,,
2006-05-17,,,,,,
2006-05-18,,,,,,
2006-05-19,,,,,,
2006-05-22,,,,,,
2006-05-23,,,,,,
2006-05-24,,,,,,
2006-05-25,,,,,,
2006-05-26,,,,,,
2006-05-29,,,,,,
2006-05-30,,,,,,
2006-05-31,1.3203,1.3203,1.3203,1.3203,1.3203,0.0
2006-06-01,,,,,,
2006-06-02,,,,,,
2006-06-05,,,,,,
2006-06-06,,,,,,
2006-06-07,,,,,,
2006-06-08,,,,,,
2006-06-09,,,,,,
2006-06-13,,,,,,
2006-06-14,,,,,,
2006-06-15,,,,,,
2006-06-16,,,,,,
2006-06-19,,,,,,
2006-06-20,,,,,,
2006-06-21,,,,,,
2006-06-22,,,,,,
2006-06-23,,,,,,
2006-06-26,,,,,,
2006-06-27,,,,,,
2006-06-28,,,,,,
2006-06-29,,,,,,
2006-06-30,1.2973,1.2973,1.2973,1.2973,1.2973,0.0
2006-07-03,,,,,,
2006-07-04,,,,,,
2006-07-05,,,,,,
2006-07-06,,,,,,
2006-07-07,,,,,,
2006-07-10,,,,,,
2006-07-11,,,,,,
2006-07-12,,,,,,
2006-07-13,,,,,,
2006-07-14,,,,,,
2006-07-17,,,,,,
2006-07-18,,,,,,
2006-07-19,,,,,,
2006-07-20,,,,,,
2006-07-21,,,,,,
2006-07-24,,,,,,
2006-07-25,,,,,,
2006-07-26,,,,,,
2006-07-27,,,,,,
2006-07-28,,,,,,
2006-07-31,1.274,1.274,1.274,1.274,1.274,0.0
2006-08-01,,,,,,
2006-08-02,,,,,,
2006-08-03,,,,,,
2006-08-04,,,,,,
2006-08-07,,,,,,
2006-08-08,,,,,,
2006-08-09,,,,,,
2006-08-10,,,,,,
2006-08-11,,,,,,
2006-08-14,,,,,,
2006-08-15,,,,,,
2006-08-16,,,,,,
2006-08-17,,,,,,
2006-08-18,,,,,,
2006-08-21,,,,,,
2006-08-22,,,,,,
2006-08-23,,,,,,
2006-08-24,,,,,,
2006-08-25,,,,,,
2006-08-28,,,,,,
2006-08-29,,,,,,
2006-08-30,,,,,,
2006-08-31,1.3069,1.3069,1.3069,1.3069,1.3069,0.0
2006-09-01,,,,,,
2006-09-04,,,,,,
2006-09-05,,,,,,
2006-09-06,,,,,,
2006-09-07,,,,,,
2006-09-08,,,,,,
2006-09-11,,,,,,
2006-09-12,,,,,,
2006-09-13,,,,,,
2006-09-14,,,,,,
2006-09-15,,,,,,
2006-09-18,,,,,,
2006-09-19,,,,,,
2006-09-20,,,,,,
2006-09-21,,,,,,
2006-09-22,,,,,,
2006-09-25,,,,,,
2006-09-26,,,,,,
2006-09-27,,,,,,
2006-09-28,,,,,,
2006-09-29,,,,,,
2006-10-02,1.3201,1.3201,1.3201,1.3201,1.3201,0.0
2006-10-03,,,,,,
2006-10-04,,,,,,
2006-10-05,,,,,,
2006-10-06,,,,,,
2006-10-09,,,,,,
2006-10-10,,,,,,
2006-10-11,,,,,,
2006-10-12,,,,,,
2006-10-13,,,,,,
2006-10-16,,,,,,
2006-10-17,,,,,,
2006-10-18,,,,,,
2006-10-19,,,,,,
2006-10-20,,,,,,
2006-10-23,,,,,,
2006-10-24,,,,,,
2006-10-25,,,,,,
2006-10-26,,,,,,
2006-10-27,,,,,,
2006-10-29,,,,,,
2006-10-30,1.473,1.473,1.473,1.473,1.473,0.0
2006-10-31,,,,,,
2006-11-01,,,,,,
2006-11-02,,,,,,
2006-11-05,,,,,,
2006-11-06,,,,,,
2006-11-07,,,,,,
2006-11-08,,,,,,
2006-11-09,,,,,,
2006-11-12,,,,,,
2006-11-13,,,,,,
2006-11-14,,,,,,
2006-11-15,,,,,,
2006-11-16,,,,,,
2006-11-19,,,,,,
2006-11-20,,,,,,
2006-11-21,,,,,,
2006-11-22,,,,,,
2006-11-23,,,,,,
2006-11-26,,,,,,
2006-11-27,,,,,,
2006-11-28,,,,,,
2006-11-29,1.195,1.195,1.195,1.195,1.195,0.0
2006-11-30,1.185,1.185,1.185,1.185,1.185,0.0
2006-12-03,1.185,1.1885,1.185,1.1885,1.1885,0.0
2006-12-04,0.56,0.56,0.56,0.56,0.56,86206.0
2006-12-05,0.56,0.5625,0.56,0.5625,0.5625,89654.0
2006-12-06,0.5675,0.57,0.5675,0.57,0.57,60000.0
2006-12-07,0.5725,0.635,0.5725,0.635,0.635,95800.0
2006-12-10,1.1941,1.1941,0.6075,0.61,0.61,88000.0
2006-12-11,0.5925,0.5925,0.58,0.58,0.58,144744.0
2006-12-12,0.585,0.585,0.585,0.585,0.585,61800.0
2006-12-13,0.575,0.5775,0.575,0.575,0.575,59048.0
2006-12-14,0.57,0.575,0.56,0.575,0.575,149466.0
2006-12-17,1.2364,1.2364,0.5775,0.58,0.58,267448.0
2006-12-18,0.58,0.59,0.58,0.59,0.59,86366.0
2006-12-19,0.585,0.585,0.58,0.58,0.58,81780.0
2006-12-20,0.58,0.58,0.58,0.58,0.58,33020.0
2006-12-21,0.5825,0.5825,0.5825,0.5825,0.5825,24472.0
2006-12-26,1.2519,1.2519,0.5825,0.5825,0.5825,6880.0
2006-12-27,0.58,0.5825,0.575,0.5825,0.5825,25890.0
2006-12-28,0.5825,0.5825,0.57,0.5825,0.5825,25172.0
2007-01-01,1.2766,1.2766,0.5825,0.5825,0.5825,36000.0
2007-01-02,0.575,0.58,0.57,0.58,0.58,117242.0
2007-01-03,0.58,0.58,0.58,0.58,0.58,40000.0
2007-01-04,0.58,0.58,0.575,0.575,0.575,69420.0
2007-01-07,1.2579,1.2579,0.575,0.575,0.575,3448.0
2007-01-08,0.575,0.575,0.575,0.575,0.575,30022.0
2007-01-09,0.58,0.58,0.58,0.58,0.58,20000.0
2007-01-10,0.5825,0.585,0.5825,0.585,0.585,63018.0
2007-01-11,0.59,0.5975,0.59,0.5975,0.5975,25000.0
2007-01-14,1.2731,1.2731,0.5975,0.5975,0.5975,0.0
2007-01-15,0.5975,0.5975,0.5775,0.585,0.585,302000.0
2007-01-16,0.585,0.585,0.585,0.585,0.585,0.0
2007-01-17,0.58,0.58,0.58,0.58,0.58,200000.0
2007-01-18,0.58,0.58,0.58,0.58,0.58,0.0
2007-01-21,1.2819,1.2819,0.5975,0.5975,0.5975,13000.0
