Date,Open,High,Low,Close,Adj Close,Volume
2010-02-22,0.20192000000000002,0.23076999999999998,0.20192000000000002,0.20192000000000002,0.12209400000000001,145600.0
2010-02-23,0.23076999999999998,0.23076999999999998,0.23076999999999998,0.23076999999999998,0.13953800000000002,36400.0
2010-02-24,0.23076999999999998,0.23076999999999998,0.21154,0.21154,0.127911,26000.0
2010-02-25,,,,,,
2010-02-28,0.23076999999999998,0.23076999999999998,0.23076999999999998,0.23076999999999998,0.13953800000000002,2600.0
2010-03-01,,,,,,
2010-03-02,0.20192000000000002,0.20192000000000002,0.20192000000000002,0.20192000000000002,0.12209400000000001,5200.0
2010-03-03,,,,,,
2010-03-04,0.17787999999999998,0.19230999999999998,0.17787999999999998,0.19230999999999998,0.116283,15600.0
2010-03-07,,,,,,
2010-03-08,,,,,,
2010-03-09,,,,,,
2010-03-10,,,,,,
2010-03-11,,,,,,
2010-03-14,,,,,,
2010-03-15,,,,,,
2010-03-16,,,,,,
2010-03-17,,,,,,
2010-03-18,,,,,,
2010-03-21,,,,,,
2010-03-22,0.14423,0.14423,0.14423,0.14423,0.087211,10400.0
2010-03-23,0.14423,0.14423,0.14423,0.14423,0.087211,10400.0
2010-03-24,0.14423,0.14423,0.14423,0.14423,0.087211,10400.0
2010-03-25,,,,,,
2010-03-28,,,,,,
2010-03-29,,,,,,
2010-03-30,,,,,,
2010-03-31,,,,,,
2010-04-06,,,,,,
2010-04-07,,,,,,
2010-04-08,,,,,,
2010-04-09,0.18269000000000002,0.18269000000000002,0.18269000000000002,0.18269000000000002,0.11046600000000001,8320.0
2010-04-12,,,,,,
2010-04-13,,,,,,
2010-04-14,,,,,,
2010-04-15,0.14904,0.14904,0.14904,0.14904,0.090119,31200.0
2010-04-16,,,,,,
2010-04-19,0.14904,0.14904,0.14423,0.14423,0.087211,27171.0
2010-04-20,0.14904,0.14904,0.14904,0.14904,0.090119,1429.0
2010-04-21,,,,,,
2010-04-22,,,,,,
2010-04-23,,,,,,
2010-04-27,,,,,,
2010-04-28,,,,,,
2010-04-29,,,,,,
2010-04-30,0.17787999999999998,0.17787999999999998,0.17787999999999998,0.17787999999999998,0.10755799999999999,10400.0
2010-05-03,0.17787999999999998,0.17787999999999998,0.17787999999999998,0.17787999999999998,0.10755799999999999,13495.0
2010-05-04,,,,,,
2010-05-05,0.15385,0.18269000000000002,0.15385,0.18269000000000002,0.11046600000000001,15600.0
2010-05-06,,,,,,
2010-05-07,,,,,,
2010-05-10,,,,,,
2010-05-11,0.18269000000000002,0.18269000000000002,0.18269000000000002,0.18269000000000002,0.11046600000000001,10400.0
2010-05-12,,,,,,
2010-05-13,,,,,,
2010-05-14,,,,,,
2010-05-17,,,,,,
2010-05-18,,,,,,
2010-05-19,,,,,,
2010-05-20,,,,,,
2010-05-21,,,,,,
2010-05-24,,,,,,
2010-05-25,,,,,,
2010-05-26,,,,,,
2010-05-27,0.15385,0.15385,0.15385,0.15385,0.093027,10400.0
2010-05-28,,,,,,
2010-05-31,,,,,,
2010-06-01,,,,,,
2010-06-02,,,,,,
2010-06-03,,,,,,
2010-06-04,,,,,,
2010-06-07,,,,,,
2010-06-08,,,,,,
2010-06-09,,,,,,
2010-06-10,,,,,,
2010-06-11,0.16346,0.16346,0.16346,0.16346,0.098838,10400.0
2010-06-15,,,,,,
2010-06-16,,,,,,
2010-06-17,,,,,,
2010-06-18,,,,,,
2010-06-21,0.11538,0.11538,0.11538,0.11538,0.069766,20800.0
2010-06-22,0.14423,0.14423,0.14423,0.14423,0.087211,83200.0
2010-06-23,0.14423,0.14423,0.14423,0.14423,0.087211,4523.0
2010-06-24,,,,,,
2010-06-25,,,,,,
2010-06-28,,,,,,
2010-06-29,,,,,,
2010-06-30,,,,,,
2010-07-01,,,,,,
2010-07-02,0.14423,0.14423,0.14423,0.14423,0.087211,677.0
2010-07-05,,,,,,
2010-07-06,,,,,,
2010-07-07,,,,,,
2010-07-08,,,,,,
2010-07-09,,,,,,
2010-07-12,,,,,,
2010-07-13,,,,,,
2010-07-14,,,,,,
2010-07-15,,,,,,
2010-07-16,,,,,,
2010-07-19,,,,,,
2010-07-20,,,,,,
2010-07-21,,,,,,
2010-07-22,,,,,,
2010-07-23,,,,,,
2010-07-26,,,,,,
2010-07-27,,,,,,
2010-07-28,,,,,,
2010-07-29,,,,,,
2010-07-30,0.14423,0.14423,0.14423,0.14423,0.087211,59280.0
2010-08-02,0.14423,0.14423,0.14423,0.14423,0.087211,33280.0
2010-08-03,,,,,,
2010-08-04,,,,,,
2010-08-05,,,,,,
2010-08-06,,,,,,
2010-08-09,,,,,,
2010-08-10,0.12019,0.12019,0.12019,0.12019,0.072675,59280.0
2010-08-11,,,,,,
2010-08-12,,,,,,
2010-08-13,,,,,,
2010-08-16,,,,,,
2010-08-17,,,,,,
2010-08-18,,,,,,
2010-08-19,,,,,,
2010-08-20,,,,,,
2010-08-23,,,,,,
2010-08-24,,,,,,
2010-08-25,,,,,,
2010-08-26,,,,,,
2010-08-27,0.11058,0.12019,0.11058,0.12019,0.072675,20504.0
2010-08-30,,,,,,
2010-08-31,,,,,,
2010-09-01,,,,,,
2010-09-02,,,,,,
2010-09-03,,,,,,
2010-09-06,,,,,,
2010-09-07,,,,,,
2010-09-08,,,,,,
2010-09-09,,,,,,
2010-09-10,0.14423,0.14423,0.14423,0.14423,0.087211,20504.0
2010-09-13,,,,,,
2010-09-14,,,,,,
2010-09-15,,,,,,
2010-09-16,,,,,,
2010-09-17,,,,,,
2010-09-20,,,,,,
2010-09-21,,,,,,
2010-09-22,,,,,,
2010-09-23,,,,,,
2010-09-24,,,,,,
2010-09-27,,,,,,
2010-09-28,,,,,,
2010-09-29,,,,,,
2010-09-30,,,,,,
2010-10-01,,,,,,
2010-10-03,,,,,,
