Date,Open,High,Low,Close,Adj Close,Volume
2008-07-07,0.25,0.27,0.21,0.27,0.27,3132500.0
2008-07-08,0.26,0.31,0.24,0.245,0.245,1631700.0
2008-07-09,0.25,0.265,0.245,0.25,0.25,626459.0
2008-07-10,0.25,0.25,0.23,0.24,0.24,120200.0
2008-07-11,0.235,0.25,0.22,0.25,0.25,716200.0
2008-07-14,0.24,0.24,0.235,0.235,0.235,332600.0
2008-07-15,0.235,0.245,0.225,0.24,0.24,366091.0
2008-07-16,0.24,0.24,0.22,0.24,0.24,197109.0
2008-07-17,0.24,0.24,0.24,0.24,0.24,0.0
2008-07-18,0.22,0.22,0.215,0.215,0.215,120000.0
2008-07-21,0.215,0.225,0.2,0.225,0.225,166900.0
2008-07-22,0.205,0.21,0.205,0.21,0.21,715841.0
2008-07-23,0.22,0.22,0.21,0.22,0.22,157100.0
2008-07-24,0.215,0.22,0.21,0.21,0.21,388809.0
2008-07-25,0.21,0.21,0.2,0.21,0.21,133047.0
2008-07-28,0.2,0.2,0.2,0.2,0.2,49000.0
2008-07-29,0.2,0.2,0.19,0.2,0.2,437500.0
2008-07-30,0.2,0.2,0.2,0.2,0.2,45000.0
2008-07-31,0.21,0.215,0.21,0.215,0.215,209044.0
2008-08-01,0.215,0.215,0.2,0.2,0.2,260956.0
2008-08-04,0.21,0.21,0.2,0.2,0.2,72500.0
2008-08-05,0.2,0.2,0.19,0.195,0.195,130989.0
2008-08-06,0.195,0.195,0.19,0.195,0.195,173456.0
2008-08-07,0.195,0.195,0.195,0.195,0.195,66600.0
2008-08-08,0.195,0.195,0.195,0.195,0.195,6675.0
2008-08-11,0.195,0.195,0.195,0.195,0.195,32000.0
2008-08-12,0.195,0.195,0.18,0.18,0.18,18000.0
2008-08-13,0.18,0.2,0.18,0.2,0.2,77000.0
2008-08-14,0.195,0.2,0.195,0.2,0.2,21176.0
2008-08-15,0.185,0.2,0.18,0.2,0.2,55000.0
2008-08-18,0.18,0.18,0.17,0.17,0.17,101075.0
2008-08-19,0.17,0.17,0.17,0.17,0.17,5000.0
2008-08-20,0.155,0.155,0.155,0.155,0.155,15000.0
2008-08-21,0.18,0.18,0.155,0.155,0.155,0.0
2008-08-22,0.18,0.18,0.155,0.155,0.155,0.0
2008-08-25,0.18,0.18,0.155,0.155,0.155,0.0
2008-08-26,0.16,0.16,0.16,0.16,0.16,25000.0
2008-08-27,0.16,0.16,0.16,0.16,0.16,80000.0
2008-08-28,0.16,0.165,0.15,0.165,0.165,161600.0
2008-08-29,0.18,0.18,0.18,0.18,0.18,1000.0
2008-09-01,0.17,0.17,0.17,0.17,0.17,35000.0
2008-09-02,0.17,0.17,0.16,0.16,0.16,85325.0
2008-09-03,0.165,0.165,0.165,0.165,0.165,34325.0
2008-09-04,0.165,0.165,0.15,0.15,0.15,90000.0
2008-09-05,0.12,0.15,0.12,0.15,0.15,140000.0
2008-09-08,0.14,0.155,0.14,0.155,0.155,71782.0
2008-09-09,0.155,0.155,0.155,0.155,0.155,35000.0
2008-09-10,0.14,0.14,0.12,0.14,0.14,70000.0
2008-09-11,0.14,0.14,0.14,0.14,0.14,0.0
2008-09-12,0.15,0.15,0.15,0.15,0.15,48982.0
2008-09-15,0.16,0.16,0.15,0.15,0.15,0.0
2008-09-16,0.15,0.15,0.12,0.12,0.12,83218.0
2008-09-17,0.12,0.125,0.12,0.125,0.125,170675.0
2008-09-18,0.1,0.1,0.1,0.1,0.1,150000.0
2008-09-19,0.14,0.14,0.14,0.14,0.14,70000.0
2008-09-22,0.15,0.15,0.135,0.135,0.135,56000.0
2008-09-23,0.135,0.135,0.13,0.13,0.13,33218.0
2008-09-24,0.12,0.135,0.12,0.135,0.135,83000.0
2008-09-25,0.135,0.155,0.135,0.145,0.145,171457.0
2008-09-26,0.145,0.145,0.14,0.14,0.14,56343.0
2008-09-29,0.14,0.14,0.14,0.14,0.14,0.0
2008-09-30,0.12,0.13,0.12,0.13,0.13,85100.0
2008-10-01,0.145,0.145,0.13,0.13,0.13,0.0
2008-10-02,0.13,0.13,0.11,0.11,0.11,251900.0
2008-10-03,0.11,0.11,0.11,0.11,0.11,229509.0
2008-10-05,0.11,0.11,0.11,0.11,0.11,0.0
2008-10-06,0.1,0.1,0.1,0.1,0.1,28000.0
2008-10-07,0.1,0.1,0.075,0.075,0.075,227000.0
2008-10-08,0.075,0.075,0.075,0.075,0.075,197400.0
2008-10-09,0.07,0.07,0.055999999999999994,0.06,0.06,397600.0
2008-10-12,0.052000000000000005,0.065,0.052000000000000005,0.065,0.065,273000.0
2008-10-13,0.065,0.065,0.065,0.065,0.065,10000.0
2008-10-14,0.081,0.081,0.081,0.081,0.081,23000.0
2008-10-15,0.085,0.085,0.081,0.081,0.081,53000.0
2008-10-16,0.081,0.081,0.081,0.081,0.081,9000.0
2008-10-19,0.065,0.065,0.065,0.065,0.065,32000.0
2008-10-20,0.07,0.07,0.065,0.065,0.065,0.0
2008-10-21,0.068,0.068,0.06,0.06,0.06,62400.0
2008-10-22,0.06,0.06,0.06,0.06,0.06,500.0
2008-10-23,0.09,0.09,0.06,0.06,0.06,0.0
2008-10-26,0.06,0.06,0.047,0.047,0.047,150000.0
2008-10-27,0.06,0.06,0.047,0.047,0.047,0.0
2008-10-28,0.047,0.047,0.047,0.047,0.047,0.0
2008-10-29,0.052000000000000005,0.054000000000000006,0.052000000000000005,0.054000000000000006,0.054000000000000006,300000.0
2008-10-30,0.06,0.06,0.052000000000000005,0.052000000000000005,0.052000000000000005,0.0
2008-11-02,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.0
2008-11-03,0.057999999999999996,0.06,0.057999999999999996,0.06,0.06,42500.0
2008-11-04,0.06,0.06,0.06,0.06,0.06,37400.0
2008-11-05,0.06,0.06,0.06,0.06,0.06,0.0
2008-11-06,0.055,0.055,0.051,0.051,0.051,150000.0
2008-11-09,0.051,0.051,0.051,0.051,0.051,50000.0
2008-11-10,0.051,0.051,0.051,0.051,0.051,0.0
2008-11-11,0.047,0.047,0.047,0.047,0.047,20000.0
2008-11-12,0.047,0.047,0.047,0.047,0.047,80200.0
2008-11-13,0.042,0.042,0.042,0.042,0.042,95000.0
2008-11-16,0.042,0.042,0.042,0.042,0.042,38000.0
2008-11-17,0.042,0.042,0.035,0.035,0.035,35000.0
2008-11-18,0.035,0.038,0.035,0.035,0.035,99500.0
2008-11-19,0.03,0.03,0.025,0.025,0.025,604809.0
2008-11-20,0.025,0.025,0.025,0.025,0.025,100000.0
2008-11-23,0.025,0.025,0.025,0.025,0.025,0.0
2008-11-24,0.027999999999999997,0.027999999999999997,0.027999999999999997,0.027999999999999997,0.027999999999999997,90000.0
2008-11-25,0.027999999999999997,0.027999999999999997,0.027999999999999997,0.027999999999999997,0.027999999999999997,25000.0
2008-11-26,0.035,0.035,0.027999999999999997,0.027999999999999997,0.027999999999999997,0.0
2008-11-27,0.027999999999999997,0.027999999999999997,0.027000000000000003,0.027000000000000003,0.027000000000000003,100000.0
2008-11-30,0.035,0.035,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.0
2008-12-01,0.035,0.035,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.0
2008-12-02,0.035,0.035,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.0
2008-12-03,0.035,0.035,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.0
2008-12-04,0.035,0.035,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.0
2008-12-07,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.027000000000000003,0.027000000000000003,111800.0
