Date,Open,High,Low,Close,Adj Close,Volume
2011-11-22,2.32,2.52,2.32,2.44,1.855434,1703389.0
2011-11-23,2.52,2.56,2.49,2.52,1.916268,6057524.0
2011-11-24,2.53,2.54,2.49,2.53,1.923872,770615.0
2011-11-27,2.56,2.58,2.51,2.53,1.923872,336420.0
2011-11-28,2.56,2.56,2.51,2.53,1.923872,1154171.0
2011-11-29,2.47,2.51,2.43,2.5,1.901059,1162057.0
2011-11-30,2.52,2.52,2.42,2.43,1.84783,553137.0
2011-12-01,2.41,2.41,2.28,2.34,1.779391,2082337.0
2011-12-04,2.3,2.31,2.25,2.25,1.710953,1546262.0
2011-12-05,2.19,2.32,2.18,2.3,1.7489740000000005,3488976.0
2011-12-06,2.31,2.32,2.28,2.29,1.74137,1923915.0
2011-12-07,2.26,2.32,2.25,2.28,1.733766,1895558.0
2011-12-08,2.25,2.3,2.25,2.28,1.733766,2521623.0
2011-12-11,2.32,2.36,2.32,2.33,1.771787,1916466.0
2011-12-12,2.32,2.33,2.31,2.31,1.756579,1112458.0
2011-12-13,2.29,2.29,2.24,2.24,1.7033490000000002,1937138.0
2011-12-14,2.22,2.25,2.2,2.24,1.7033490000000002,1758234.0
2011-12-15,2.26,2.33,2.26,2.3,1.7489740000000005,7076525.0
2011-12-18,2.31,2.31,2.27,2.27,1.726161,808923.0
2011-12-19,2.27,2.3,2.26,2.28,1.733766,1413395.0
2011-12-20,2.29,2.35,2.27,2.31,1.756579,817011.0
2011-12-21,2.32,2.4,2.32,2.34,1.779391,357899.0
2011-12-22,2.37,2.39,2.36,2.38,1.809809,576284.0
2011-12-27,2.38,2.38,2.29,2.34,1.779391,786298.0
2011-12-28,2.33,2.36,2.33,2.34,1.779391,190622.0
2011-12-29,2.34,2.4,2.34,2.38,1.809809,281753.0
2012-01-02,2.38,2.38,2.33,2.37,1.802204,25944.0
2012-01-03,2.36,2.36,2.32,2.33,1.771787,314587.0
2012-01-04,2.32,2.35,2.27,2.31,1.756579,272860.0
2012-01-05,2.31,2.35,2.3,2.34,1.779391,495065.0
2012-01-08,2.35,2.38,2.35,2.37,1.802204,356235.0
2012-01-09,2.42,2.46,2.41,2.44,1.855434,201204.0
2012-01-10,2.48,2.48,2.44,2.44,1.855434,49869.0
2012-01-11,2.42,2.45,2.4,2.44,1.855434,663408.0
2012-01-12,2.45,2.48,2.4,2.43,1.84783,60946.0
2012-01-15,2.45,2.45,2.42,2.42,1.840225,453282.0
2012-01-16,2.41,2.43,2.4,2.42,1.840225,622392.0
2012-01-17,2.46,2.46,2.44,2.45,1.863038,145854.0
2012-01-18,2.45,2.46,2.42,2.43,1.84783,64736.0
2012-01-19,2.43,2.45,2.38,2.38,1.809809,547405.0
2012-01-22,2.38,2.4,2.38,2.38,1.809809,3180.0
2012-01-23,2.42,2.45,2.41,2.44,1.855434,385026.0
2012-01-24,2.45,2.48,2.42,2.48,1.88585,57227.0
2012-01-26,2.48,2.54,2.48,2.52,1.916268,214788.0
2012-01-29,2.54,2.57,2.54,2.55,1.93908,189360.0
2012-01-30,2.55,2.57,2.52,2.54,1.931476,112679.0
2012-01-31,2.54,2.55,2.53,2.54,1.931476,108312.0
2012-02-01,2.57,2.57,2.55,2.56,1.946685,103461.0
2012-02-02,2.59,2.6,2.57,2.58,1.961893,905717.0
2012-02-05,2.55,2.56,2.52,2.53,1.923872,108702.0
2012-02-06,2.57,2.58,2.56,2.57,1.954289,170547.0
2012-02-07,2.57,2.57,2.56,2.57,1.954289,494814.0
2012-02-08,2.57,2.58,2.56,2.57,1.954289,284072.0
2012-02-09,2.57,2.59,2.56,2.58,1.961893,778789.0
2012-02-12,2.57,2.57,2.55,2.56,1.946685,61847.0
2012-02-13,2.56,2.57,2.55,2.55,1.93908,56859.0
2012-02-14,2.57,2.58,2.55,2.57,1.954289,228364.0
2012-02-15,2.56,2.56,2.53,2.54,1.931476,31294.0
2012-02-16,2.54,2.54,2.52,2.52,1.916268,190857.0
2012-02-19,2.54,2.54,2.52,2.54,1.931476,20794.0
2012-02-20,2.54,2.57,2.54,2.57,1.954289,4979.0
2012-02-21,2.55,2.55,2.52,2.54,1.931476,63928.0
2012-02-22,2.52,2.53,2.52,2.53,1.923872,3884.0
2012-02-23,2.53,2.53,2.5,2.5,1.901059,13080.0
2012-02-26,2.51,2.53,2.51,2.53,1.923872,15180.0
2012-02-27,2.52,2.54,2.52,2.52,1.916268,37603.0
2012-02-28,2.55,2.56,2.53,2.54,1.931476,29757.0
2012-02-29,2.53,2.57,2.53,2.57,1.954289,107490.0
2012-03-01,2.59,2.62,2.57,2.59,1.969497,44709.0
2012-03-04,2.59,2.61,2.54,2.54,1.931476,27620.0
2012-03-05,2.6,2.6,2.5,2.54,1.931476,8597.0
2012-03-06,2.54,2.6,2.54,2.56,1.946685,21779.0
2012-03-07,2.55,2.63,2.55,2.61,1.984706,34762.0
2012-03-08,2.66,2.74,2.62,2.71,2.060748,53219.0
2012-03-11,2.8,2.85,2.8,2.81,2.136791,832108.0
2012-03-12,2.77,2.82,2.75,2.8,2.129186,72996.0
2012-03-13,2.81,2.83,2.8,2.81,2.136791,268184.0
2012-03-14,2.79,2.84,2.79,2.8,2.129186,106373.0
2012-03-15,2.82,2.84,2.75,2.78,2.113977,467670.0
2012-03-18,2.8,2.83,2.75,2.78,2.113977,47680.0
2012-03-19,2.78,2.79,2.7,2.72,2.068352,52942.0
2012-03-20,2.71,2.75,2.67,2.7,2.053144,33400.0
