Date,Open,High,Low,Close,Adj Close,Volume
2017-01-22,0.175,0.175,0.175,0.175,0.175,10674
2017-01-23,0.175,0.175,0.17,0.17,0.17,175000
2017-01-24,0.17,0.17,0.16,0.16,0.16,110147
2017-01-26,0.16,0.165,0.16,0.16,0.16,105000
2017-01-29,0.16,0.16,0.15,0.15,0.15,222113
2017-01-30,0.16,0.195,0.15,0.195,0.195,800711
2017-01-31,0.2,0.225,0.19,0.2,0.2,303685
2017-02-01,0.19,0.19,0.18,0.18,0.18,225000
2017-02-02,0.19,0.19,0.19,0.19,0.19,15310
2017-02-05,0.17,0.17,0.16,0.16,0.16,289418
2017-02-06,0.16,0.16,0.155,0.155,0.155,50000
2017-02-07,0.16,0.165,0.16,0.165,0.165,13613
2017-02-08,0.17,0.17,0.165,0.165,0.165,29558
2017-02-09,0.165,0.165,0.165,0.165,0.165,0
2017-02-12,0.165,0.165,0.165,0.165,0.165,0
2017-02-13,0.165,0.165,0.165,0.165,0.165,12500
2017-02-14,0.17,0.17,0.17,0.17,0.17,10748
2017-02-15,0.17,0.17,0.16,0.16,0.16,11948
2017-02-16,0.16,0.16,0.16,0.16,0.16,0
2017-02-19,0.16,0.16,0.16,0.16,0.16,0
2017-02-20,0.16,0.16,0.16,0.16,0.16,50000
2017-02-21,0.16,0.16,0.155,0.155,0.155,120028
2017-02-22,0.15,0.15,0.125,0.125,0.125,92500
2017-02-23,0.145,0.145,0.135,0.135,0.135,87940
2017-02-26,0.145,0.145,0.135,0.135,0.135,324860
2017-02-27,0.17,0.17,0.16,0.16,0.16,22000
2017-02-28,0.155,0.16,0.155,0.155,0.155,203125
2017-03-01,0.15,0.16,0.15,0.15,0.15,102147
2017-03-02,0.15,0.15,0.15,0.15,0.15,0
2017-03-05,0.16,0.16,0.16,0.16,0.16,43515
2017-03-06,0.165,0.165,0.165,0.165,0.165,39880
2017-03-07,0.16,0.16,0.16,0.16,0.16,10645
2017-03-08,0.16,0.16,0.16,0.16,0.16,128353
2017-03-09,0.16,0.16,0.16,0.16,0.16,10000
2017-03-12,0.16,0.16,0.16,0.16,0.16,0
2017-03-13,0.15,0.15,0.15,0.15,0.15,80000
2017-03-14,0.15,0.15,0.15,0.15,0.15,0
2017-03-15,0.15,0.15,0.15,0.15,0.15,0
2017-03-16,0.14,0.145,0.14,0.145,0.145,48576
2017-03-19,0.145,0.155,0.145,0.155,0.155,167877
2017-03-20,0.145,0.145,0.14,0.14,0.14,271681
2017-03-21,0.145,0.145,0.145,0.145,0.145,3500
2017-03-22,0.14,0.14,0.14,0.14,0.14,201328
2017-03-23,0.14,0.14,0.14,0.14,0.14,8395
2017-03-26,0.14,0.14,0.14,0.14,0.14,225000
2017-03-27,0.14,0.14,0.14,0.14,0.14,65277
2017-03-28,0.14,0.14,0.135,0.135,0.135,420376
2017-03-29,0.135,0.135,0.135,0.135,0.135,260000
2017-03-30,0.135,0.135,0.135,0.135,0.135,240000
2017-04-03,0.135,0.135,0.135,0.135,0.135,0
2017-04-04,0.135,0.135,0.135,0.135,0.135,0
2017-04-05,0.135,0.135,0.135,0.135,0.135,0
2017-04-06,0.13,0.13,0.13,0.13,0.13,7070
2017-04-07,0.13,0.13,0.13,0.13,0.13,0
2017-04-10,0.13,0.13,0.13,0.13,0.13,0
2017-04-11,0.13,0.13,0.13,0.13,0.13,0
2017-04-12,0.125,0.125,0.125,0.125,0.125,8267
2017-04-13,0.125,0.125,0.125,0.125,0.125,0
2017-04-18,0.125,0.125,0.1,0.1,0.1,160000
2017-04-19,0.1,0.1,0.1,0.1,0.1,0
2017-04-20,0.1,0.1,0.1,0.1,0.1,0
2017-04-21,0.1,0.1,0.1,0.1,0.1,0
2017-04-24,0.11,0.11,0.11,0.11,0.11,10000
2017-04-26,0.11,0.11,0.11,0.11,0.11,0
2017-04-27,0.11,0.11,0.11,0.11,0.11,0
2017-04-28,0.11,0.11,0.11,0.11,0.11,0
2017-05-01,0.11,0.11,0.11,0.11,0.11,0
2017-05-02,0.11,0.11,0.11,0.11,0.11,7059
2017-05-03,0.11,0.11,0.11,0.11,0.11,18096
2017-05-04,0.11,0.11,0.11,0.11,0.11,0
2017-05-05,0.115,0.115,0.115,0.115,0.115,209496
2017-05-08,0.115,0.115,0.11,0.11,0.11,100093
2017-05-09,0.115,0.13,0.115,0.13,0.13,45000
2017-05-10,0.11,0.11,0.11,0.11,0.11,108026
2017-05-11,0.105,0.105,0.1,0.1,0.1,225000
2017-05-12,0.1,0.1,0.1,0.1,0.1,0
2017-05-15,0.1,0.1,0.1,0.1,0.1,6111
2017-05-16,0.11,0.11,0.11,0.11,0.11,36697
2017-05-17,0.1,0.105,0.1,0.1,0.1,565000
2017-05-18,0.09,0.09,0.08,0.08,0.08,45158
2017-05-19,0.08,0.08,0.08,0.08,0.08,0
2017-05-22,0.08,0.08,0.08,0.08,0.08,0
2017-05-23,0.09,0.095,0.085,0.095,0.095,200000
2017-05-24,0.09,0.09,0.09,0.09,0.09,170000
2017-05-25,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,0.08800000000000001,527500
2017-05-26,0.09,0.09,0.09,0.09,0.09,50000
2017-05-29,0.09,0.09,0.09,0.09,0.09,150000
2017-05-30,0.09,0.09,0.09,0.09,0.09,0
2017-05-31,0.08800000000000001,0.09,0.08800000000000001,0.09,0.09,60000
2017-06-01,0.09,0.09,0.09,0.09,0.09,165000
2017-06-02,0.09,0.09,0.09,0.09,0.09,0
2017-06-05,0.09,0.09,0.09,0.09,0.09,0
2017-06-06,0.09,0.09,0.09,0.09,0.09,0
2017-06-07,0.09,0.09,0.09,0.09,0.09,0
2017-06-08,0.095,0.098,0.095,0.098,0.098,30000
2017-06-09,0.098,0.098,0.098,0.098,0.098,0
2017-06-13,0.098,0.1,0.098,0.1,0.1,10000
2017-06-14,0.1,0.1,0.1,0.1,0.1,50000
2017-06-15,0.08800000000000001,0.08800000000000001,0.087,0.087,0.087,110000
2017-06-16,0.092,0.092,0.09,0.09,0.09,412222
2017-06-19,0.087,0.087,0.087,0.087,0.087,36947
2017-06-20,0.09,0.1,0.09,0.1,0.1,267778
2017-06-21,0.1,0.1,0.1,0.1,0.1,0
2017-06-22,0.1,0.1,0.1,0.1,0.1,0
2017-06-23,0.1,0.1,0.1,0.1,0.1,0
2017-06-26,0.1,0.1,0.1,0.1,0.1,30000
2017-06-27,0.1,0.1,0.096,0.096,0.096,341664
2017-06-28,0.096,0.096,0.096,0.096,0.096,0
2017-06-29,0.096,0.096,0.096,0.096,0.096,0
2017-06-30,0.08800000000000001,0.08800000000000001,0.085,0.085,0.085,171111
2017-07-03,0.085,0.085,0.085,0.085,0.085,0
2017-07-04,0.085,0.085,0.085,0.085,0.085,0
2017-07-05,0.085,0.085,0.085,0.085,0.085,0
2017-07-06,0.085,0.085,0.085,0.085,0.085,0
2017-07-07,0.086,0.086,0.085,0.085,0.085,125000
2017-07-10,0.09,0.09,0.085,0.085,0.085,164644
2017-07-11,0.085,0.085,0.085,0.085,0.085,0
2017-07-12,0.085,0.085,0.084,0.084,0.084,10000
2017-07-13,0.084,0.084,0.084,0.084,0.084,0
2017-07-14,0.084,0.084,0.084,0.084,0.084,0
2017-07-17,0.084,0.084,0.084,0.084,0.084,0
2017-07-18,0.084,0.084,0.084,0.084,0.084,0
2017-07-19,0.084,0.084,0.084,0.084,0.084,0
2017-07-20,0.084,0.084,0.084,0.084,0.084,0
2017-07-21,0.084,0.084,0.084,0.084,0.084,0
2017-07-24,0.084,0.084,0.084,0.084,0.084,0
2017-07-25,0.084,0.084,0.084,0.084,0.084,0
2017-07-26,0.084,0.084,0.084,0.084,0.084,0
2017-07-27,0.084,0.084,0.084,0.084,0.084,0
2017-07-28,0.084,0.084,0.084,0.084,0.084,0
2017-07-31,0.084,0.084,0.084,0.084,0.084,0
2017-08-01,0.084,0.084,0.084,0.084,0.084,0
2017-08-02,0.084,0.084,0.084,0.084,0.084,0
2017-08-03,0.084,0.084,0.084,0.084,0.084,0
2017-08-04,0.083,0.083,0.083,0.083,0.083,40000
2017-08-07,0.083,0.083,0.083,0.083,0.083,0
2017-08-08,0.083,0.083,0.083,0.083,0.083,0
2017-08-09,0.083,0.083,0.083,0.083,0.083,0
2017-08-10,0.083,0.083,0.083,0.083,0.083,40016
2017-08-11,0.083,0.083,0.083,0.083,0.083,0
2017-08-14,0.083,0.083,0.083,0.083,0.083,0
2017-08-15,0.083,0.083,0.083,0.083,0.083,0
2017-08-16,0.083,0.096,0.083,0.09,0.09,37095
2017-08-17,0.09,0.09,0.09,0.09,0.09,97889
2017-08-18,0.09,0.09,0.09,0.09,0.09,0
2017-08-21,0.09,0.09,0.09,0.09,0.09,0
2017-08-22,0.09,0.09,0.09,0.09,0.09,0
2017-08-23,0.1,0.12,0.1,0.12,0.12,200000
2017-08-24,0.12,0.13,0.12,0.13,0.13,68737
2017-08-25,0.15,0.15,0.145,0.145,0.145,31250
2017-08-28,0.145,0.145,0.145,0.145,0.145,0
2017-08-29,0.15,0.16,0.15,0.16,0.16,300000
2017-08-30,0.16,0.16,0.15,0.15,0.15,51625
2017-08-31,0.15,0.15,0.15,0.15,0.15,90782
2017-09-01,0.165,0.165,0.16,0.16,0.16,22369
2017-09-04,0.16,0.16,0.16,0.16,0.16,0
2017-09-05,0.15,0.15,0.15,0.15,0.15,6500
2017-09-06,0.15,0.15,0.15,0.15,0.15,100956
2017-09-07,0.15,0.15,0.15,0.15,0.15,12611
2017-09-08,0.15,0.16,0.15,0.16,0.16,50000
2017-09-11,0.15,0.165,0.15,0.16,0.16,224174
2017-09-12,0.16,0.17,0.16,0.16,0.16,39124
2017-09-13,0.16,0.16,0.16,0.16,0.16,28750
2017-09-14,0.155,0.17,0.155,0.165,0.165,162471
2017-09-15,0.165,0.165,0.16,0.16,0.16,68279
2017-09-18,0.16,0.16,0.16,0.16,0.16,0
2017-09-19,0.155,0.16,0.155,0.16,0.16,26250
2017-09-20,0.16,0.16,0.16,0.16,0.16,0
2017-09-21,0.16,0.16,0.16,0.16,0.16,0
2017-09-22,0.16,0.16,0.16,0.16,0.16,0
2017-09-25,0.16,0.16,0.16,0.16,0.16,0
2017-09-26,0.16,0.16,0.16,0.16,0.16,0
2017-09-27,0.16,0.16,0.16,0.16,0.16,14500
2017-09-28,0.16,0.16,0.16,0.16,0.16,0
2017-09-29,0.14,0.14,0.14,0.14,0.14,20265
2017-10-01,0.14,0.14,0.14,0.14,0.14,0
2017-10-02,0.14,0.14,0.14,0.14,0.14,0
2017-10-03,0.14,0.14,0.14,0.14,0.14,0
2017-10-04,0.14,0.14,0.14,0.14,0.14,0
2017-10-05,0.12,0.12,0.12,0.12,0.12,125735
2017-10-08,0.12,0.12,0.105,0.105,0.105,158765
2017-10-09,0.11,0.11,0.105,0.105,0.105,26205
2017-10-10,0.11,0.11,0.11,0.11,0.11,100000
2017-10-11,0.115,0.115,0.115,0.115,0.115,92550
2017-10-12,0.115,0.115,0.115,0.115,0.115,9853
2017-10-15,0.115,0.115,0.115,0.115,0.115,0
2017-10-16,0.115,0.115,0.115,0.115,0.115,20147
2017-10-17,0.11,0.11,0.11,0.11,0.11,125000
2017-10-18,0.105,0.105,0.105,0.105,0.105,15748
2017-10-19,0.105,0.105,0.105,0.105,0.105,100000
2017-10-22,0.105,0.115,0.1,0.115,0.115,93282
2017-10-23,0.115,0.115,0.115,0.115,0.115,0
2017-10-24,0.11,0.11,0.1,0.1,0.1,906000
2017-10-25,0.1,0.1,0.1,0.1,0.1,0
2017-10-26,0.1,0.1,0.1,0.1,0.1,41000
2017-10-29,0.1,0.1,0.1,0.1,0.1,40000
2017-10-30,0.095,0.095,0.095,0.095,0.095,37500
2017-10-31,0.099,0.099,0.099,0.099,0.099,12500
2017-11-01,0.095,0.095,0.095,0.095,0.095,100000
2017-11-02,0.092,0.092,0.092,0.092,0.092,16421
2017-11-05,0.092,0.1,0.092,0.1,0.1,221285
2017-11-06,0.1,0.1,0.1,0.1,0.1,0
2017-11-07,0.1,0.1,0.1,0.1,0.1,0
2017-11-08,0.1,0.1,0.1,0.1,0.1,0
2017-11-09,0.091,0.091,0.086,0.086,0.086,288364
2017-11-12,0.086,0.086,0.084,0.084,0.084,400000
2017-11-13,0.084,0.084,0.084,0.084,0.084,0
2017-11-14,0.08199999999999999,0.08199999999999999,0.08199999999999999,0.08199999999999999,0.08199999999999999,10
2017-11-15,0.08199999999999999,0.08199999999999999,0.08,0.08,0.08,312851
2017-11-16,0.08,0.08,0.079,0.08,0.08,45060
