Date,Open,High,Low,Close,Adj Close,Volume
2016-11-06,0.7,0.7,0.36,0.4,0.4,1339553
2016-11-07,0.41,0.41,0.37,0.375,0.375,161864
2016-11-08,0.38,0.38,0.3,0.335,0.335,574469
2016-11-09,0.34,0.36,0.34,0.35,0.35,169657
2016-11-10,0.35,0.4,0.35,0.4,0.4,386844
2016-11-13,0.38,0.38,0.36,0.38,0.38,304025
2016-11-14,0.37,0.37,0.33,0.365,0.365,83250
2016-11-15,0.335,0.335,0.33,0.33,0.33,149603
2016-11-16,0.305,0.355,0.3,0.35,0.35,191471
2016-11-17,0.35,0.35,0.35,0.35,0.35,51490
2016-11-20,0.355,0.355,0.24,0.265,0.265,699811
2016-11-21,0.28,0.3,0.27,0.27,0.27,217330
2016-11-22,0.285,0.295,0.285,0.295,0.295,27834
2016-11-23,0.295,0.295,0.295,0.295,0.295,2000
2016-11-24,0.295,0.295,0.295,0.295,0.295,5000
2016-11-27,0.295,0.295,0.29,0.295,0.295,81786
2016-11-28,0.3,0.3,0.28,0.3,0.3,104000
2016-11-29,0.3,0.305,0.28,0.3,0.3,260439
2016-11-30,0.285,0.285,0.27,0.27,0.27,93057
2016-12-01,0.27,0.27,0.27,0.27,0.27,100000
2016-12-04,0.27,0.27,0.27,0.27,0.27,5000
2016-12-05,0.27,0.27,0.26,0.27,0.27,42166
2016-12-06,0.26,0.26,0.23,0.23,0.23,362738
2016-12-07,0.23,0.25,0.23,0.25,0.25,160000
2016-12-08,0.265,0.27,0.265,0.27,0.27,23828
2016-12-11,0.28,0.285,0.24,0.24,0.24,68000
2016-12-12,0.25,0.25,0.23,0.235,0.235,252700
2016-12-13,0.235,0.235,0.235,0.235,0.235,0
2016-12-14,0.245,0.245,0.24,0.24,0.24,61000
2016-12-15,0.24,0.24,0.24,0.24,0.24,0
2016-12-18,0.24,0.24,0.24,0.24,0.24,98554
2016-12-19,0.24,0.24,0.23,0.23,0.23,69136
2016-12-20,0.23,0.235,0.225,0.23,0.23,694267
2016-12-21,0.225,0.225,0.22,0.225,0.225,51247
2016-12-22,0.22,0.22,0.21,0.21,0.21,325453
2016-12-27,0.21,0.21,0.21,0.21,0.21,0
2016-12-28,0.21,0.21,0.21,0.21,0.21,0
2016-12-29,0.205,0.205,0.205,0.205,0.205,30000
2017-01-02,0.205,0.22,0.205,0.22,0.22,123300
2017-01-03,0.22,0.225,0.22,0.225,0.225,5000
2017-01-04,0.225,0.225,0.225,0.225,0.225,0
2017-01-05,0.225,0.225,0.225,0.225,0.225,15000
2017-01-08,0.225,0.225,0.225,0.225,0.225,0
2017-01-09,0.245,0.245,0.24,0.24,0.24,48000
2017-01-10,0.245,0.25,0.24,0.24,0.24,82080
2017-01-11,0.24,0.24,0.24,0.24,0.24,0
2017-01-12,0.24,0.24,0.24,0.24,0.24,0
2017-01-15,0.24,0.24,0.24,0.24,0.24,0
2017-01-16,0.235,0.235,0.235,0.235,0.235,30000
2017-01-17,0.235,0.235,0.2,0.235,0.235,170000
2017-01-18,0.235,0.235,0.235,0.235,0.235,0
2017-01-19,0.235,0.235,0.22,0.23,0.23,179800
2017-01-22,0.23,0.23,0.23,0.23,0.23,0
2017-01-23,0.21,0.21,0.21,0.21,0.21,7000
2017-01-24,0.21,0.21,0.21,0.21,0.21,14000
2017-01-26,0.21,0.21,0.21,0.21,0.21,0
2017-01-29,0.21,0.21,0.21,0.21,0.21,105800
2017-01-30,0.21,0.21,0.21,0.21,0.21,0
2017-01-31,0.215,0.215,0.215,0.215,0.215,97232
2017-02-01,0.22,0.22,0.21,0.21,0.21,223201
2017-02-02,0.22,0.22,0.22,0.22,0.22,62499
2017-02-05,0.225,0.225,0.21,0.21,0.21,254500
2017-02-06,0.22,0.22,0.22,0.22,0.22,50000
2017-02-07,0.22,0.22,0.22,0.22,0.22,22500
2017-02-08,0.22,0.22,0.22,0.22,0.22,0
2017-02-09,0.215,0.215,0.2,0.21,0.21,287000
2017-02-12,0.21,0.21,0.21,0.21,0.21,38000
2017-02-13,0.21,0.21,0.21,0.21,0.21,0
2017-02-14,0.21,0.21,0.21,0.21,0.21,0
2017-02-15,0.205,0.21,0.19,0.21,0.21,222540
2017-02-16,0.21,0.21,0.2,0.2,0.2,57500
2017-02-19,0.2,0.2,0.2,0.2,0.2,192657
2017-02-20,0.2,0.2,0.2,0.2,0.2,10343
2017-02-21,0.2,0.2,0.2,0.2,0.2,0
2017-02-22,0.195,0.2,0.18,0.18,0.18,108030
2017-02-23,0.185,0.185,0.18,0.18,0.18,21200
2017-02-26,0.18,0.185,0.18,0.185,0.185,8104
2017-02-27,0.185,0.185,0.185,0.185,0.185,0
2017-02-28,0.18,0.18,0.15,0.15,0.15,145000
2017-03-01,0.155,0.19,0.155,0.19,0.19,66357
2017-03-02,0.19,0.19,0.19,0.19,0.19,47000
2017-03-05,0.19,0.195,0.19,0.195,0.195,23000
2017-03-06,0.195,0.195,0.19,0.19,0.19,10000
2017-03-07,0.18,0.18,0.17,0.17,0.17,239723
2017-03-08,0.17,0.17,0.17,0.17,0.17,16420
2017-03-09,0.17,0.17,0.17,0.17,0.17,0
2017-03-12,0.17,0.17,0.17,0.17,0.17,0
2017-03-13,0.17,0.17,0.17,0.17,0.17,0
2017-03-14,0.19,0.19,0.185,0.19,0.19,236466
2017-03-15,0.19,0.19,0.19,0.19,0.19,115000
2017-03-16,0.19,0.19,0.18,0.18,0.18,137778
2017-03-19,0.17,0.17,0.15,0.16,0.16,922984
2017-03-20,0.16,0.16,0.16,0.16,0.16,130000
2017-03-21,0.16,0.16,0.16,0.16,0.16,100000
2017-03-22,0.155,0.155,0.155,0.155,0.155,5000
2017-03-23,0.155,0.17,0.155,0.17,0.17,197140
2017-03-26,0.17,0.17,0.17,0.17,0.17,0
2017-03-27,0.16,0.17,0.16,0.16,0.16,723230
2017-03-28,0.16,0.16,0.16,0.16,0.16,0
2017-03-29,0.16,0.16,0.16,0.16,0.16,0
2017-03-30,0.16,0.16,0.16,0.16,0.16,0
2017-04-03,0.16,0.16,0.16,0.16,0.16,0
2017-04-04,0.17,0.17,0.17,0.17,0.17,33000
2017-04-05,0.17,0.17,0.17,0.17,0.17,0
2017-04-06,0.17,0.17,0.17,0.17,0.17,0
2017-04-07,0.17,0.17,0.17,0.17,0.17,0
2017-04-10,0.17,0.17,0.17,0.17,0.17,5000
2017-04-11,0.17,0.17,0.17,0.17,0.17,58000
2017-04-12,0.165,0.165,0.165,0.165,0.165,68800
2017-04-13,0.17,0.17,0.155,0.155,0.155,187941
2017-04-18,0.155,0.165,0.155,0.165,0.165,53250
2017-04-19,0.165,0.165,0.165,0.165,0.165,0
2017-04-20,0.15,0.15,0.15,0.15,0.15,42500
2017-04-21,0.15,0.15,0.15,0.15,0.15,8000
2017-04-24,0.155,0.155,0.155,0.155,0.155,63300
2017-04-26,0.155,0.155,0.155,0.155,0.155,0
2017-04-27,0.15,0.15,0.15,0.15,0.15,42000
2017-04-28,0.15,0.15,0.15,0.15,0.15,0
2017-05-01,0.15,0.15,0.13,0.13,0.13,72025
2017-05-02,0.135,0.15,0.135,0.145,0.145,215000
2017-05-03,0.14,0.14,0.14,0.14,0.14,50000
2017-05-04,0.15,0.15,0.14,0.14,0.14,318888
2017-05-05,0.15,0.15,0.145,0.145,0.145,49110
2017-05-08,0.15,0.15,0.14,0.15,0.15,56500
2017-05-09,0.15,0.15,0.15,0.15,0.15,0
2017-05-10,0.145,0.145,0.14,0.142,0.142,230000
2017-05-11,0.145,0.15,0.14,0.15,0.15,55000
2017-05-12,0.14,0.14,0.135,0.135,0.135,266344
2017-05-15,0.135,0.135,0.135,0.135,0.135,8833
2017-05-16,0.14,0.14,0.1,0.1,0.1,26667
2017-05-17,0.11,0.11,0.11,0.11,0.11,55335
2017-05-18,0.1,0.1,0.095,0.1,0.1,287221
2017-05-19,0.1,0.145,0.1,0.12,0.12,1044967
2017-05-22,0.14,0.145,0.14,0.145,0.145,80333
2017-05-23,0.125,0.125,0.125,0.125,0.125,11000
2017-05-24,0.125,0.145,0.12,0.145,0.145,62000
2017-05-25,0.12,0.12,0.12,0.12,0.12,50742
2017-05-26,0.12,0.12,0.12,0.12,0.12,16000
2017-05-29,0.12,0.12,0.12,0.12,0.12,0
2017-05-30,0.12,0.12,0.12,0.12,0.12,3000
2017-05-31,0.14,0.14,0.12,0.12,0.12,23576
2017-06-01,0.12,0.12,0.12,0.12,0.12,0
2017-06-02,0.12,0.12,0.11,0.11,0.11,103980
2017-06-05,0.12,0.125,0.12,0.125,0.125,15000
2017-06-06,0.125,0.125,0.125,0.125,0.125,0
2017-06-07,0.12,0.12,0.12,0.12,0.12,10000
2017-06-08,0.12,0.12,0.115,0.115,0.115,268755
2017-06-09,0.115,0.115,0.115,0.115,0.115,14171
2017-06-13,0.115,0.125,0.11,0.125,0.125,61080
2017-06-14,0.125,0.125,0.125,0.125,0.125,0
2017-06-15,0.125,0.125,0.125,0.125,0.125,0
2017-06-16,0.11,0.11,0.11,0.11,0.11,3400
2017-06-19,0.13,0.15,0.13,0.15,0.15,56641
2017-06-20,0.15,0.15,0.145,0.15,0.15,83000
2017-06-21,0.15,0.15,0.15,0.15,0.15,98445
2017-06-22,0.15,0.15,0.15,0.15,0.15,0
2017-06-23,0.125,0.145,0.125,0.145,0.145,43000
2017-06-26,0.145,0.145,0.145,0.145,0.145,0
2017-06-27,0.13,0.13,0.13,0.13,0.13,14040
2017-06-28,0.125,0.125,0.115,0.115,0.115,38000
2017-06-29,0.115,0.115,0.115,0.115,0.115,103536
2017-06-30,0.115,0.115,0.11,0.11,0.11,103030
2017-07-03,0.11,0.11,0.11,0.11,0.11,0
2017-07-04,0.115,0.115,0.115,0.115,0.115,3780
2017-07-05,0.115,0.115,0.115,0.115,0.115,0
2017-07-06,0.13,0.13,0.13,0.13,0.13,8888
2017-07-07,0.125,0.125,0.12,0.12,0.12,56160
2017-07-10,0.115,0.115,0.115,0.115,0.115,70000
2017-07-11,0.12,0.12,0.12,0.12,0.12,16700
2017-07-12,0.12,0.12,0.12,0.12,0.12,0
2017-07-13,0.115,0.115,0.115,0.115,0.115,26220
2017-07-14,0.115,0.115,0.115,0.115,0.115,0
2017-07-17,0.115,0.115,0.105,0.105,0.105,103750
2017-07-18,0.115,0.115,0.115,0.115,0.115,10920
2017-07-19,0.115,0.115,0.115,0.115,0.115,0
2017-07-20,0.115,0.115,0.115,0.115,0.115,0
2017-07-21,0.115,0.115,0.115,0.115,0.115,0
2017-07-24,0.115,0.115,0.115,0.115,0.115,0
2017-07-25,0.14,0.145,0.14,0.145,0.145,36000
2017-07-26,0.145,0.145,0.145,0.145,0.145,0
2017-07-27,0.145,0.145,0.145,0.145,0.145,0
2017-07-28,0.145,0.145,0.13,0.13,0.13,31892
2017-07-31,0.12,0.12,0.115,0.115,0.115,40000
2017-08-01,0.115,0.115,0.115,0.115,0.115,10000
2017-08-02,0.11,0.11,0.11,0.11,0.11,4000
2017-08-03,0.11,0.11,0.1,0.105,0.105,369037
2017-08-04,0.105,0.105,0.105,0.105,0.105,0
2017-08-07,0.105,0.105,0.1,0.1,0.1,27000
2017-08-08,0.1,0.1,0.1,0.1,0.1,1500
2017-08-09,0.1,0.1,0.1,0.1,0.1,0
2017-08-10,0.105,0.105,0.105,0.105,0.105,50000
2017-08-11,0.11,0.11,0.1,0.1,0.1,31030
2017-08-14,0.1,0.1,0.1,0.1,0.1,0
2017-08-15,0.1,0.1,0.1,0.1,0.1,0
2017-08-16,0.1,0.1,0.1,0.1,0.1,0
2017-08-17,0.1,0.1,0.1,0.1,0.1,0
2017-08-18,0.1,0.1,0.1,0.1,0.1,0
2017-08-21,0.1,0.1,0.1,0.1,0.1,0
2017-08-22,0.105,0.105,0.1,0.1,0.1,23000
2017-08-23,0.1,0.1,0.1,0.1,0.1,0
2017-08-24,0.105,0.105,0.105,0.105,0.105,20000
2017-08-25,0.1,0.1,0.1,0.1,0.1,20000
