Date,Open,High,Low,Close,Adj Close,Volume
2011-02-16,0.11667,0.12834,0.11667,0.11959000000000004,0.11959000000000004,667676.0
2011-02-17,0.11667,0.12834,0.11667,0.12834,0.12834,608965.0
2011-02-20,0.12834,0.12834,0.12251,0.12542,0.12542,545112.0
2011-02-21,,,,,,
2011-02-22,0.12251,0.12251,0.11667,0.11667,0.11667,145706.0
2011-02-23,0.11667,0.12251,0.11667,0.12251,0.12251,59997.0
2011-02-24,0.12542,0.12542,0.12251,0.12542,0.12542,134512.0
2011-02-27,,,,,,
2011-02-28,0.12251,0.12251,0.12251,0.12251,0.12251,33427.0
2011-03-01,0.11667,0.11667,0.11376,0.11376,0.11376,53997.0
2011-03-02,,,,,,
2011-03-03,0.11667,0.11959000000000004,0.11667,0.11959000000000004,0.11959000000000004,98566.0
2011-03-06,,,,,,
2011-03-07,,,,,,
2011-03-08,,,,,,
2011-03-09,,,,,,
2011-03-10,,,,,,
2011-03-14,0.10501,0.10501,0.10209,0.10209,0.10209,464545.0
2011-03-15,,,,,,
2011-03-16,0.09626,0.09626,0.0875,0.0875,0.0875,342838.0
2011-03-17,0.10501,0.10501,0.09917,0.09917,0.09917,51374.0
2011-03-20,,,,,,
2011-03-21,0.10501,0.10501,0.10501,0.10501,0.10501,5143.0
2011-03-22,,,,,,
2011-03-23,,,,,,
2011-03-24,,,,,,
2011-03-27,,,,,,
2011-03-28,0.09626,0.09626,0.09626,0.09626,0.09626,8571.0
2011-03-29,,,,,,
2011-03-30,0.09334,0.09334,0.09334,0.09334,0.09334,56568.0
2011-03-31,0.0875,0.0875,0.0875,0.0875,0.0875,360082.0
2011-04-04,0.09626,0.09626,0.09626,0.09626,0.09626,85709.0
2011-04-05,,,,,,
2011-04-06,,,,,,
2011-04-07,0.09334,0.09334,0.09334,0.09334,0.09334,20570.0
2011-04-08,,,,,,
2011-04-11,0.09334,0.09334,0.08459,0.0875,0.0875,179990.0
2011-04-12,0.0875,0.0875,0.0875,0.0875,0.0875,16833.0
2011-04-13,,,,,,
2011-04-14,0.09042,0.09042,0.09042,0.09042,0.09042,26570.0
2011-04-15,0.09042,0.09042,0.09042,0.09042,0.09042,21324.0
2011-04-18,0.09334,0.09334,0.09334,0.09334,0.09334,55814.0
2011-04-19,0.0875,0.09334,0.0875,0.09334,0.09334,31712.0
2011-04-20,0.09334,0.09334,0.09042,0.09042,0.09042,118176.0
2011-04-21,,,,,,
2011-04-27,,,,,,
2011-04-28,,,,,,
2011-04-29,,,,,,
2011-05-02,,,,,,
2011-05-03,0.09042,0.09042,0.09042,0.09042,0.09042,11411.0
2011-05-04,0.0875,0.0875,0.08459,0.08459,0.08459,166782.0
2011-05-05,,,,,,
2011-05-06,,,,,,
2011-05-09,0.07875,0.07875,0.07875,0.07875,0.07875,25713.0
2011-05-10,0.08167,0.08167,0.08167,0.08167,0.08167,121707.0
