Date,Open,High,Low,Close,Adj Close,Volume
2001-02-12,27.8629,27.8629,27.8629,27.8629,27.797543,19.0
2001-02-13,,,,,,
2001-02-14,27.8629,27.8629,27.8629,27.8629,27.797543,0.0
2001-02-15,27.8629,27.8629,27.8629,27.8629,27.797543,0.0
2001-02-18,,,,,,
2001-02-19,27.8629,27.8629,27.8629,27.8629,27.797543,0.0
2001-02-20,,,,,,
2001-02-21,,,,,,
2001-02-22,,,,,,
2001-02-25,,,,,,
2001-02-26,,,,,,
2001-02-27,25.8074,25.8074,25.8074,25.8074,25.746864,44.0
2001-02-28,25.8074,25.8074,25.8074,25.8074,25.746864,22.0
2001-03-01,25.8074,25.8074,25.8074,25.8074,25.746864,0.0
2001-03-04,25.8074,25.8074,25.8074,25.8074,25.746864,0.0
2001-03-05,,,,,,
2001-03-06,28.9608,28.9608,23.481701,23.481701,23.42662,0.0
2001-03-07,23.9804,23.9804,23.9804,23.9804,23.92415,0.0
2001-03-08,,,,,,
2001-03-11,,,,,,
2001-03-12,22.8384,22.8384,22.8384,22.8384,22.784828,44.0
2001-03-13,20.5546,20.5546,20.5546,20.5546,20.506386,131.0
2001-03-14,20.5546,20.5546,20.5546,20.5546,20.506386,200.0
2001-03-15,20.5546,20.5546,20.5546,20.5546,20.506386,0.0
2001-03-18,,,,,,
2001-03-19,,,,,,
2001-03-20,20.5546,20.5546,20.5546,20.5546,20.506386,0.0
2001-03-21,,,,,,
2001-03-22,,,,,,
2001-03-26,,,,,,
2001-03-27,,,,,,
2001-03-28,20.5546,20.5546,20.5546,20.5546,20.506386,0.0
2001-03-29,20.5546,20.5546,20.5546,20.5546,20.506386,153.0
2001-03-30,,,,,,
2001-04-02,,,,,,
2001-04-03,21.696501,21.696501,21.696501,21.696501,21.645607,88.0
2001-04-04,,,,,,
2001-04-05,20.5546,20.5546,20.5546,20.5546,20.506386,0.0
2001-04-06,,,,,,
2001-04-09,,,,,,
2001-04-10,20.5546,20.5546,20.5546,20.5546,20.506386,0.0
2001-04-11,20.5546,20.5546,20.5546,20.5546,20.506386,0.0
2001-04-12,20.5546,20.5546,20.5546,20.5546,20.506386,0.0
2001-04-13,,,,,,
2001-04-16,,,,,,
2001-04-17,20.5546,20.5546,20.5546,20.5546,20.506386,0.0
2001-04-18,20.5546,20.5546,20.5546,20.5546,20.506386,0.0
2001-04-19,20.5546,20.5546,20.5546,20.5546,20.506386,0.0
2001-04-20,20.5546,20.5546,20.5546,20.5546,20.506386,0.0
2001-04-23,20.5546,20.5546,20.5546,20.5546,20.506386,0.0
2001-04-24,,,,,,
2001-04-25,,,,,,
2001-04-26,20.5546,20.5546,20.5546,20.5546,20.506386,0.0
2001-04-27,,,,,,
2001-04-30,20.5546,20.5546,20.5546,20.5546,20.506386,0.0
2001-05-01,,,,,,
2001-05-02,20.5546,20.5546,20.5546,20.5546,20.506386,0.0
2001-05-03,20.5546,20.5546,20.5546,20.5546,20.506386,0.0
2001-05-04,20.5546,20.5546,20.5546,20.5546,20.506386,0.0
2001-05-07,21.696501,21.696501,21.696501,21.696501,21.645607,88.0
2001-05-08,22.8384,22.8384,22.8384,22.8384,22.784828,22.0
2001-05-09,,,,,,
2001-05-10,25.829901,25.829901,23.481701,23.481701,23.42662,0.0
2001-05-11,,,,,,
2001-05-14,,,,,,
2001-05-15,20.5546,20.5546,20.5546,20.5546,20.506386,0.0
