Date,Open,High,Low,Close,Adj Close,Volume
2015-10-26,0.35,0.37,0.3,0.32,0.32,391328.0
2015-10-27,,,,,,
2015-10-28,,,,,,
2015-10-29,,,,,,
2015-11-01,,,,,,
2015-11-02,,,,,,
2015-11-03,,,,,,
2015-11-04,0.3,0.3,0.285,0.285,0.285,53975.0
2015-11-05,,,,,,
2015-11-08,,,,,,
2015-11-09,,,,,,
2015-11-10,,,,,,
2015-11-11,,,,,,
2015-11-12,,,,,,
2015-11-15,,,,,,
2015-11-16,,,,,,
2015-11-17,,,,,,
2015-11-18,,,,,,
2015-11-19,,,,,,
2015-11-22,0.3,0.3,0.3,0.3,0.3,0.0
2015-11-23,0.29,0.29,0.26,0.29,0.29,21306.0
2015-11-24,,,,,,
2015-11-25,,,,,,
2015-11-26,,,,,,
2015-11-29,,,,,,
2015-11-30,,,,,,
2015-12-01,,,,,,
2015-12-02,,,,,,
2015-12-03,,,,,,
2015-12-06,,,,,,
2015-12-07,,,,,,
2015-12-08,,,,,,
2015-12-09,,,,,,
2015-12-10,,,,,,
2015-12-13,,,,,,
2015-12-14,,,,,,
2015-12-15,,,,,,
2015-12-16,,,,,,
2015-12-17,,,,,,
2015-12-20,0.29,0.29,0.29,0.29,0.29,0.0
2015-12-21,,,,,,
2015-12-22,,,,,,
2015-12-23,0.29,0.29,0.29,0.29,0.29,0.0
2015-12-27,0.29,0.29,0.29,0.29,0.29,0.0
2015-12-28,0.29,0.29,0.29,0.29,0.29,0.0
2015-12-29,0.29,0.29,0.29,0.29,0.29,0.0
2015-12-30,0.22,0.27,0.22,0.27,0.27,52000.0
2016-01-03,0.27,0.27,0.27,0.27,0.27,0.0
2016-01-04,0.27,0.27,0.27,0.27,0.27,0.0
2016-01-05,0.27,0.27,0.27,0.27,0.27,0.0
2016-01-06,0.27,0.27,0.27,0.27,0.27,0.0
2016-01-07,0.27,0.27,0.27,0.27,0.27,0.0
2016-01-10,0.27,0.27,0.27,0.27,0.27,0.0
2016-01-11,0.27,0.27,0.27,0.27,0.27,0.0
2016-01-12,0.27,0.27,0.27,0.27,0.27,0.0
2016-01-13,0.27,0.27,0.27,0.27,0.27,0.0
2016-01-14,0.27,0.27,0.27,0.27,0.27,0.0
2016-01-17,0.2,0.23,0.17,0.23,0.23,39188.0
2016-01-18,0.23,0.23,0.23,0.23,0.23,0.0
2016-01-19,0.23,0.23,0.23,0.23,0.23,0.0
2016-01-20,0.23,0.23,0.23,0.23,0.23,0.0
2016-01-21,0.23,0.23,0.23,0.23,0.23,0.0
2016-01-24,0.23,0.23,0.23,0.23,0.23,0.0
2016-01-26,0.23,0.23,0.23,0.23,0.23,0.0
2016-01-27,,,,,,
2016-01-28,0.22,0.28,0.22,0.24,0.24,60000.0
2016-01-31,0.24,0.24,0.24,0.24,0.24,0.0
2016-02-01,0.24,0.24,0.24,0.24,0.24,0.0
2016-02-02,0.24,0.24,0.24,0.24,0.24,0.0
2016-02-03,0.24,0.24,0.24,0.24,0.24,0.0
2016-02-04,,,,,,
2016-02-07,0.19,0.19,0.19,0.19,0.19,4000.0
2016-02-08,0.21,0.22,0.18,0.22,0.22,31000.0
2016-02-09,0.22,0.22,0.22,0.22,0.22,0.0
2016-02-10,0.175,0.215,0.175,0.215,0.215,6522.0
2016-02-11,,,,,,
2016-02-14,,,,,,
2016-02-15,0.2,0.22,0.2,0.22,0.22,27409.0
2016-02-16,,,,,,
2016-02-17,,,,,,
2016-02-18,0.27,0.27,0.27,0.27,0.27,0.0
2016-02-21,0.27,0.27,0.27,0.27,0.27,0.0
2016-02-22,,,,,,
2016-02-23,0.27,0.27,0.27,0.27,0.27,0.0
2016-02-24,0.27,0.27,0.27,0.27,0.27,0.0
2016-02-25,,,,,,
2016-02-28,0.27,0.27,0.27,0.27,0.27,0.0
2016-02-29,0.27,0.27,0.27,0.27,0.27,0.0
2016-03-01,,,,,,
2016-03-02,,,,,,
2016-03-03,0.27,0.27,0.27,0.27,0.27,0.0
2016-03-06,,,,,,
2016-03-07,,,,,,
2016-03-08,0.27,0.27,0.27,0.27,0.27,0.0
2016-03-09,,,,,,
2016-03-10,,,,,,
2016-03-13,,,,,,
2016-03-14,,,,,,
2016-03-15,,,,,,
2016-03-16,,,,,,
2016-03-17,,,,,,
2016-03-20,,,,,,
2016-03-21,,,,,,
2016-03-22,0.2,0.2,0.2,0.2,0.2,16000.0
2016-03-23,,,,,,
2016-03-28,0.22,0.22,0.2,0.2,0.2,4000.0
2016-03-29,,,,,,
2016-03-30,0.2,0.2,0.2,0.2,0.2,0.0
2016-03-31,0.2,0.2,0.2,0.2,0.2,0.0
2016-04-04,0.2,0.2,0.2,0.2,0.2,0.0
2016-04-05,,,,,,
2016-04-06,,,,,,
2016-04-07,,,,,,
2016-04-08,0.2,0.2,0.2,0.2,0.2,0.0
2016-04-11,,,,,,
2016-04-12,,,,,,
2016-04-13,,,,,,
2016-04-14,,,,,,
2016-04-15,,,,,,
2016-04-18,,,,,,
2016-04-19,,,,,,
2016-04-20,,,,,,
2016-04-21,,,,,,
2016-04-22,,,,,,
2016-04-26,,,,,,
2016-04-27,0.205,0.205,0.205,0.205,0.205,0.0
2016-04-28,0.205,0.205,0.205,0.205,0.205,0.0
2016-04-29,0.205,0.205,0.205,0.205,0.205,0.0
2016-05-02,0.205,0.205,0.205,0.205,0.205,0.0
2016-05-03,0.205,0.205,0.205,0.205,0.205,0.0
2016-05-04,0.205,0.205,0.205,0.205,0.205,0.0
