Date,Open,High,Low,Close,Adj Close,Volume
2015-05-11,0.895,0.9,0.79,0.83,0.83,1701805
2015-05-12,0.845,0.845,0.8,0.8,0.8,869959
2015-05-13,0.805,0.845,0.79,0.84,0.84,322984
2015-05-14,0.83,0.835,0.82,0.82,0.82,151497
2015-05-15,0.83,0.88,0.815,0.87,0.87,560819
2015-05-18,0.875,0.935,0.865,0.92,0.92,740324
2015-05-19,0.94,0.97,0.9,0.92,0.92,309490
2015-05-20,0.945,0.95,0.91,0.915,0.915,188592
2015-05-21,0.93,0.94,0.9,0.91,0.91,181566
2015-05-22,0.9,0.91,0.9,0.9,0.9,92937
2015-05-25,0.9,0.9,0.9,0.9,0.9,561
2015-05-26,0.87,0.9,0.87,0.88,0.88,114102
2015-05-27,0.88,0.91,0.845,0.88,0.88,218614
2015-05-28,0.845,0.88,0.84,0.85,0.85,10852
2015-05-29,0.85,0.85,0.79,0.79,0.79,209878
2015-06-01,0.79,0.8,0.71,0.79,0.79,1198937
2015-06-02,0.785,0.79,0.755,0.79,0.79,18520
2015-06-03,0.78,0.78,0.77,0.78,0.78,9112
2015-06-04,0.77,0.77,0.75,0.765,0.765,198045
2015-06-05,0.75,0.765,0.73,0.765,0.765,177943
2015-06-09,0.765,0.77,0.72,0.74,0.74,81228
2015-06-10,0.76,0.8,0.76,0.76,0.76,65565
2015-06-11,0.78,0.8,0.77,0.78,0.78,228433
2015-06-12,0.78,0.8,0.75,0.79,0.79,271521
2015-06-15,0.8,0.84,0.79,0.84,0.84,155700
2015-06-16,0.84,0.84,0.83,0.84,0.84,6303
2015-06-17,0.83,0.83,0.81,0.82,0.82,42372
2015-06-18,0.82,0.82,0.82,0.82,0.82,0
2015-06-19,0.785,0.815,0.785,0.8,0.8,65993
2015-06-22,0.795,0.795,0.77,0.77,0.77,105387
2015-06-23,0.79,0.79,0.79,0.79,0.79,25000
2015-06-24,0.79,0.81,0.79,0.81,0.81,151613
2015-06-25,0.8,0.82,0.8,0.82,0.82,37500
2015-06-26,0.82,0.82,0.82,0.82,0.82,1000
2015-06-29,0.82,0.82,0.82,0.82,0.82,0
2015-06-30,0.8,0.82,0.79,0.82,0.82,41515
2015-07-01,0.82,0.82,0.82,0.82,0.82,0
2015-07-02,0.77,0.81,0.765,0.81,0.81,13610
2015-07-03,0.76,0.805,0.76,0.805,0.805,88786
2015-07-06,0.81,0.81,0.81,0.81,0.81,1000
2015-07-07,0.8,0.8,0.8,0.8,0.8,3000
2015-07-08,0.8,0.8,0.8,0.8,0.8,335
2015-07-09,0.8,0.8,0.8,0.8,0.8,0
2015-07-10,0.8,0.8,0.8,0.8,0.8,0
2015-07-13,0.79,0.81,0.77,0.77,0.77,55863
2015-07-14,0.8,0.82,0.8,0.81,0.81,43528
2015-07-15,0.82,0.82,0.82,0.82,0.82,5200
2015-07-16,0.8,0.82,0.8,0.82,0.82,24000
2015-07-17,0.82,0.86,0.82,0.85,0.85,242777
2015-07-20,0.86,0.87,0.85,0.86,0.86,74569
2015-07-21,0.86,0.92,0.86,0.91,0.91,191109
2015-07-22,0.89,0.91,0.89,0.9,0.9,74994
2015-07-23,0.91,0.94,0.91,0.94,0.94,106585
2015-07-24,0.965,1.015,0.965,1.015,1.015,544255
2015-07-27,1.03,1.05,1.025,1.045,1.045,161936
2015-07-28,1.06,1.1,1.05,1.06,1.06,194444
2015-07-29,1.055,1.06,1.0,1.05,1.05,184100
2015-07-30,1.05,1.06,1.04,1.06,1.06,175739
2015-07-31,1.07,1.1,1.07,1.09,1.09,118763
2015-08-03,1.1,1.185,1.095,1.12,1.12,161796
2015-08-04,1.11,1.11,1.07,1.08,1.08,29759
2015-08-05,1.1,1.14,1.095,1.11,1.11,146909
2015-08-06,1.1,1.105,1.065,1.1,1.1,33486
2015-08-07,1.08,1.1,1.065,1.1,1.1,28460
2015-08-10,1.065,1.08,1.06,1.06,1.06,10693
2015-08-11,1.075,1.08,1.075,1.08,1.08,10950
2015-08-12,1.08,1.08,1.05,1.065,1.065,24956
2015-08-13,1.06,1.065,0.97,1.05,1.05,65073
2015-08-14,1.05,1.06,1.03,1.06,1.06,37073
2015-08-17,1.065,1.065,1.05,1.05,1.05,103816
2015-08-18,1.05,1.065,0.98,1.04,1.04,51383
2015-08-19,1.04,1.05,1.025,1.045,1.045,43062
2015-08-20,1.045,1.15,1.045,1.115,1.115,376465
2015-08-21,1.14,1.14,1.09,1.14,1.14,101724
2015-08-24,1.1,1.1,1.0,1.03,1.03,131068
2015-08-25,1.0,1.05,0.95,1.0,1.0,127916
2015-08-26,1.04,1.05,1.005,1.05,1.05,64899
2015-08-27,1.05,1.11,1.05,1.1,1.1,25461
2015-08-28,1.1,1.1,1.09,1.1,1.1,15460
2015-08-31,1.05,1.1,0.995,1.0,1.0,111381
2015-09-01,1.0,1.0,0.99,1.0,1.0,24026
2015-09-02,0.98,1.0,0.955,0.98,0.98,72297
2015-09-03,0.95,0.95,0.88,0.88,0.88,23237
2015-09-04,0.92,0.92,0.89,0.9,0.9,130000
