Date,Open,High,Low,Close,Adj Close,Volume
2016-06-14,0.33,0.38,0.32,0.365,0.365,3564702.0
2016-06-15,0.39,0.455,0.39,0.44,0.44,2491680.0
2016-06-16,0.48,0.65,0.48,0.595,0.595,3873186.0
2016-06-17,0.57,0.61,0.45,0.475,0.475,2549166.0
2016-06-20,0.49,0.52,0.455,0.5,0.5,644036.0
2016-06-21,0.505,0.52,0.465,0.48,0.48,356040.0
2016-06-22,0.48,0.49,0.455,0.46,0.46,211944.0
2016-06-23,0.46,0.475,0.45,0.46,0.46,213179.0
2016-06-24,0.46,0.495,0.43,0.43,0.43,659965.0
2016-06-27,0.45,0.46,0.43,0.46,0.46,133158.0
2016-06-28,0.46,0.47,0.445,0.47,0.47,115005.0
2016-06-29,0.47,0.475,0.46,0.47,0.47,188802.0
2016-06-30,0.475,0.52,0.475,0.52,0.52,397947.0
2016-07-01,0.52,0.565,0.51,0.55,0.55,443083.0
2016-07-04,0.55,0.57,0.53,0.57,0.57,420649.0
2016-07-05,0.565,0.57,0.55,0.56,0.56,198266.0
2016-07-06,0.58,0.595,0.57,0.575,0.575,453398.0
2016-07-07,0.575,0.59,0.57,0.57,0.57,340966.0
2016-07-08,0.57,0.59,0.57,0.575,0.575,153460.0
2016-07-11,0.59,0.59,0.55,0.56,0.56,384774.0
2016-07-12,0.57,0.58,0.56,0.56,0.56,186439.0
2016-07-13,0.56,0.575,0.55,0.56,0.56,239839.0
2016-07-14,0.57,0.575,0.54,0.54,0.54,412009.0
2016-07-15,0.54,0.54,0.49,0.52,0.52,227436.0
2016-07-18,0.515,0.525,0.505,0.52,0.52,67763.0
2016-07-19,0.5,0.5,0.465,0.47,0.47,180917.0
2016-07-20,0.48,0.48,0.455,0.46,0.46,193939.0
2016-07-21,0.46,0.46,0.425,0.46,0.46,454576.0
2016-07-22,0.48,0.485,0.47,0.47,0.47,151276.0
2016-07-25,0.47,0.48,0.465,0.465,0.465,97250.0
2016-07-26,0.46,0.47,0.46,0.47,0.47,147816.0
2016-07-27,0.48,0.48,0.47,0.47,0.47,77105.0
2016-07-28,0.47,0.47,0.455,0.455,0.455,118069.0
2016-07-29,0.46,0.46,0.45,0.45,0.45,121995.0
