Date,Open,High,Low,Close,Adj Close,Volume
2014-06-25,2.29,2.34,2.28,2.3,2.024713,4486688.0
2014-06-26,2.32,2.37,2.32,2.35,2.0687290000000003,1952035.0
2014-06-27,2.37,2.38,2.37,2.375,2.090736,347222.0
2014-06-30,2.37,2.38,2.37,2.37,2.086335,129866.0
2014-07-01,2.38,2.45,2.38,2.42,2.13035,296408.0
2014-07-02,2.45,2.5,2.42,2.45,2.15676,222485.0
2014-07-03,2.46,2.55,2.46,2.46,2.165563,607585.0
2014-07-04,2.55,2.57,2.5,2.52,2.218381,416568.0
2014-07-07,2.51,2.55,2.51,2.51,2.209578,33785.0
2014-07-08,2.49,2.49,2.43,2.48,2.183169,90785.0
2014-07-09,2.48,2.48,2.48,2.48,2.183169,0.0
2014-07-10,2.48,2.48,2.48,2.48,2.183169,0.0
2014-07-11,2.38,2.4,2.38,2.4,2.1127439999999997,27271.0
2014-07-14,2.45,2.45,2.45,2.45,2.15676,750.0
2014-07-15,2.35,2.4,2.35,2.38,2.095138,108513.0
2014-07-16,2.4,2.4,2.38,2.38,2.095138,16227.0
2014-07-17,2.38,2.38,2.38,2.38,2.095138,2120.0
2014-07-18,2.36,2.36,2.35,2.35,2.0687290000000003,10260.0
2014-07-21,2.35,2.35,2.35,2.35,2.0687290000000003,0.0
2014-07-22,2.335,2.335,2.32,2.32,2.042319,75117.0
2014-07-23,2.33,2.33,2.33,2.33,2.051123,6870.0
2014-07-24,2.3,2.3,2.3,2.3,2.024713,47367.0
2014-07-25,2.3,2.3,2.3,2.3,2.024713,0.0
2014-07-28,2.31,2.35,2.31,2.35,2.0687290000000003,58977.0
2014-07-29,2.35,2.35,2.35,2.35,2.0687290000000003,1000.0
2014-07-30,2.34,2.35,2.34,2.35,2.0687290000000003,21815.0
2014-07-31,2.35,2.35,2.35,2.35,2.0687290000000003,33000.0
2014-08-01,2.08,2.08,2.01,2.05,1.8046360000000001,385342.0
2014-08-04,2.03,2.03,2.02,2.02,1.7782259999999999,15815.0
2014-08-05,2.02,2.02,1.95,1.95,1.716605,43000.0
2014-08-06,1.875,1.875,1.85,1.85,1.628574,827.0
2014-08-07,2.02,2.02,2.0,2.0,1.76062,20315.0
2014-08-08,2.0,2.07,2.0,2.03,1.787029,1257298.0
2014-08-11,2.0,2.0,2.0,2.0,1.76062,1000.0
2014-08-12,1.955,1.955,1.955,1.955,1.721006,1000.0
2014-08-13,1.955,1.955,1.955,1.955,1.721006,50500.0
2014-08-14,1.94,1.95,1.94,1.95,1.716605,20000.0
2014-08-15,1.95,1.95,1.95,1.95,1.716605,0.0
2014-08-18,1.96,1.96,1.96,1.96,1.7254080000000005,1170000.0
2014-08-19,2.0,2.0,1.935,1.935,1.7034,16570.0
2014-08-20,1.935,1.935,1.935,1.935,1.7034,0.0
2014-08-21,1.985,1.985,1.98,1.98,1.7430139999999998,16305.0
2014-08-22,1.985,1.985,1.975,1.98,1.7430139999999998,47746.0
2014-08-25,1.985,1.99,1.97,1.97,1.7342110000000002,36722.0
2014-08-26,1.97,2.0,1.96,2.0,1.76062,281374.0
2014-08-27,2.0,2.0,2.0,2.0,1.76062,0.0
2014-08-28,2.0,2.0,2.0,2.0,1.76062,0.0
2014-08-29,2.01,2.01,2.0,2.0,1.76062,64887.0
2014-09-01,2.04,2.07,2.03,2.07,1.822242,19832.0
2014-09-02,2.1,2.12,2.1,2.1,1.8486509999999998,75029.0
2014-09-03,2.1,2.1,2.1,2.1,1.8486509999999998,0.0
2014-09-04,2.07,2.07,2.07,2.07,1.822242,9523.0
2014-09-05,2.07,2.07,2.07,2.07,1.822242,0.0
2014-09-08,2.07,2.07,2.07,2.07,1.822242,0.0
2014-09-09,2.07,2.07,2.07,2.07,1.822242,0.0
2014-09-10,2.07,2.07,2.07,2.07,1.822242,0.0
2014-09-11,2.07,2.07,2.07,2.07,1.822242,0.0
2014-09-12,2.07,2.07,2.07,2.07,1.822242,0.0
2014-09-15,2.07,2.07,2.07,2.07,1.822242,0.0
2014-09-16,2.0,2.0,1.97,1.97,1.7342110000000002,11002.0
2014-09-17,1.98,1.98,1.97,1.97,1.7342110000000002,22315.0
2014-09-18,1.965,1.965,1.965,1.965,1.729809,1204.0
2014-09-19,1.97,1.97,1.965,1.97,1.7342110000000002,27796.0
2014-09-22,1.97,2.0,1.97,1.99,1.7518169999999995,107221.0
2014-09-23,1.98,2.0,1.96,2.0,1.76062,21017.0
2014-09-24,2.0,2.0,1.96,1.98,1.7430139999999998,25679.0
2014-09-25,1.98,1.98,1.96,1.96,1.7254080000000005,40.0
2014-09-26,2.05,2.05,2.05,2.05,1.8046360000000001,25.0
2014-09-29,1.96,1.96,1.925,1.925,1.6945970000000001,16610.0
2014-09-30,1.925,1.925,1.925,1.925,1.6945970000000001,0.0
2014-10-01,1.925,1.925,1.925,1.925,1.6945970000000001,25.0
2014-10-02,1.925,1.925,1.925,1.925,1.6945970000000001,122.0
2014-10-03,1.85,1.85,1.85,1.85,1.628574,44468.0
2014-10-05,1.85,1.85,1.85,1.85,1.628574,20043.0
2014-10-06,1.87,1.895,1.87,1.89,1.663786,23548.0
2014-10-07,1.87,1.9,1.87,1.895,1.6681869999999999,44618.0
2014-10-08,1.85,1.85,1.85,1.85,1.628574,26.0
2014-10-09,1.88,1.965,1.88,1.9,1.6725889999999999,15145.0
2014-10-12,1.99,1.99,1.99,1.99,1.7518169999999995,26.0
2014-10-13,1.96,1.96,1.96,1.96,1.7254080000000005,25.0
2014-10-14,1.98,1.98,1.98,1.98,1.7430139999999998,25.0
2014-10-15,1.92,1.92,1.92,1.92,1.6901950000000001,25.0
2014-10-16,1.92,1.92,1.92,1.92,1.6901950000000001,27.0
