Date,Open,High,Low,Close,Adj Close,Volume
2008-02-19,0.4,0.44,0.365,0.39,0.39,583179.0
2008-02-20,0.385,0.39,0.34,0.37,0.37,280601.0
2008-02-21,0.35,0.36,0.345,0.345,0.345,79304.0
2008-02-24,0.34,0.34,0.3,0.3,0.3,97000.0
2008-02-25,0.3,0.33,0.3,0.3,0.3,116373.0
2008-02-26,0.305,0.34,0.305,0.31,0.31,51002.0
2008-02-27,0.33,0.35,0.33,0.35,0.35,50820.0
2008-02-28,0.35,0.35,0.33,0.35,0.35,23000.0
2008-03-02,0.33,0.345,0.33,0.345,0.345,31480.0
2008-03-03,0.305,0.35,0.3,0.35,0.35,81000.0
2008-03-04,0.35,0.35,0.3,0.3,0.3,97000.0
2008-03-05,0.345,0.345,0.3,0.32,0.32,45000.0
2008-03-06,0.3,0.31,0.29,0.29,0.29,58500.0
2008-03-09,0.3,0.31,0.29,0.31,0.31,70500.0
2008-03-10,0.31,0.31,0.29,0.31,0.31,84500.0
2008-03-11,0.31,0.31,0.31,0.31,0.31,36000.0
2008-03-12,0.35,0.35,0.31,0.31,0.31,0.0
2008-03-13,0.315,0.34,0.315,0.315,0.315,93731.0
2008-03-16,0.32,0.32,0.3,0.315,0.315,50000.0
2008-03-17,0.28,0.28,0.25,0.26,0.26,40000.0
2008-03-18,0.27,0.3,0.27,0.3,0.3,24000.0
2008-03-19,0.3,0.3,0.3,0.3,0.3,3000.0
2008-03-24,0.275,0.275,0.26,0.26,0.26,36000.0
2008-03-25,0.27,0.27,0.26,0.26,0.26,30000.0
2008-03-26,0.26,0.26,0.26,0.26,0.26,4000.0
2008-03-27,0.28,0.28,0.27,0.27,0.27,0.0
2008-03-30,0.28,0.3,0.27,0.27,0.27,44000.0
2008-03-31,0.29,0.3,0.26,0.26,0.26,82000.0
2008-04-01,0.26,0.3,0.26,0.28,0.28,153000.0
2008-04-02,0.25,0.27,0.25,0.27,0.27,134342.0
2008-04-03,0.29,0.29,0.26,0.26,0.26,0.0
2008-04-07,0.26,0.26,0.25,0.25,0.25,30658.0
2008-04-08,0.25,0.25,0.25,0.25,0.25,0.0
2008-04-09,0.25,0.25,0.25,0.25,0.25,0.0
2008-04-10,0.25,0.25,0.25,0.25,0.25,0.0
2008-04-11,0.25,0.25,0.25,0.25,0.25,0.0
2008-04-14,0.25,0.25,0.25,0.25,0.25,0.0
2008-04-15,0.3,0.3,0.25,0.25,0.25,0.0
