Date,Open,High,Low,Close,Adj Close,Volume
2005-04-12,1.98531,1.98531,1.98531,1.98531,1.98531,366990.0
2005-04-13,1.98531,1.98531,1.98531,1.98531,1.98531,391073.0
2005-04-14,1.98531,1.98531,1.97538,1.97538,1.97538,346377.0
2005-04-15,1.98035,1.98035,1.98035,1.98035,1.98035,78199.0
2005-04-18,,,,,,
2005-04-19,1.98035,1.98035,1.97538,1.98035,1.98035,98222.0
2005-04-20,,,,,,
2005-04-21,,,,,,
2005-04-22,,,,,,
2005-04-26,,,,,,
2005-04-27,,,,,,
2005-04-28,,,,,,
2005-04-29,,,,,,
2005-05-02,,,,,,
2005-05-03,,,,,,
2005-05-04,,,,,,
2005-05-05,,,,,,
2005-05-06,,,,,,
2005-05-09,,,,,,
2005-05-10,,,,,,
2005-05-11,,,,,,
2005-05-12,1.97538,1.97538,1.9654599999999998,1.9654599999999998,1.9654599999999998,18748.0
2005-05-13,1.97538,1.97538,1.97538,1.97538,1.97538,75908.0
2005-05-16,,,,,,
2005-05-17,1.97538,1.97538,1.97538,1.97538,1.97538,30405.0
2005-05-18,1.97538,1.97538,1.9654599999999998,1.97538,1.97538,44269.0
2005-05-19,,,,,,
2005-05-20,,,,,,
2005-05-23,,,,,,
2005-05-24,,,,,,
2005-05-25,,,,,,
2005-05-26,,,,,,
2005-05-27,,,,,,
2005-05-30,1.97538,1.97538,1.97538,1.97538,1.97538,46794.0
2005-05-31,,,,,,
2005-06-01,1.97538,1.97538,1.97042,1.97042,1.97042,51060.0
2005-06-02,1.97042,1.97538,1.97042,1.97538,1.97538,69764.0
2005-06-03,,,,,,
2005-06-06,,,,,,
2005-06-07,,,,,,
2005-06-08,,,,,,
2005-06-09,,,,,,
2005-06-10,,,,,,
2005-06-14,1.98035,1.98035,1.95553,1.95553,1.95553,108735.0
2005-06-15,,,,,,
2005-06-16,1.95553,1.95553,1.95553,1.95553,1.95553,7102.0
2005-06-17,,,,,,
2005-06-20,,,,,,
2005-06-21,1.98035,1.98035,1.98035,1.98035,1.98035,48101.0
2005-06-22,,,,,,
2005-06-23,,,,,,
2005-06-24,1.98035,1.98035,1.9059,1.9456,1.9456,71430.0
2005-06-27,1.9456,1.95553,1.9456,1.95553,1.95553,31970.0
2005-06-28,,,,,,
2005-06-29,1.97538,1.97538,1.97538,1.97538,1.97538,15161.0
2005-06-30,,,,,,
2005-07-01,1.97538,1.97538,1.97538,1.97538,1.97538,11585.0
2005-07-04,,,,,,
2005-07-05,1.97538,1.97538,1.97538,1.97538,1.97538,1879.0
2005-07-06,1.97538,1.98531,1.97538,1.98531,1.98531,85944.0
2005-07-07,,,,,,
2005-07-08,1.98531,1.98531,1.98531,1.98531,1.98531,0.0
2005-07-11,,,,,,
2005-07-12,2.00516,2.00516,2.00516,2.00516,2.00516,97190.0
2005-07-13,,,,,,
2005-07-14,,,,,,
2005-07-15,2.00516,2.00516,2.00516,2.00516,2.00516,11474.0
2005-07-18,1.9952400000000001,2.0150900000000003,1.9952400000000001,2.0150900000000003,2.0150900000000003,18372.0
2005-07-19,,,,,,
2005-07-20,,,,,,
2005-07-21,,,,,,
2005-07-22,,,,,,
2005-07-25,,,,,,
2005-07-26,,,,,,
2005-07-27,,,,,,
2005-07-28,,,,,,
2005-07-29,,,,,,
2005-08-01,1.97538,1.97538,1.97538,1.97538,1.97538,35002.0
2005-08-02,,,,,,
2005-08-03,1.97538,1.98531,1.9654599999999998,1.9654599999999998,1.9654599999999998,162065.0
2005-08-04,,,,,,
2005-08-05,1.97042,1.97042,1.9654599999999998,1.9654599999999998,1.9654599999999998,47226.0
2005-08-08,,,,,,
2005-08-09,,,,,,
2005-08-10,,,,,,
2005-08-11,,,,,,
2005-08-12,1.97538,1.97538,1.9654599999999998,1.97538,1.97538,126315.0
2005-08-15,1.97538,1.97538,1.96049,1.96049,1.96049,59429.0
2005-08-16,1.96049,1.97538,1.95553,1.95553,1.95553,39441.0
2005-08-17,1.95553,1.97538,1.9456,1.9456,1.9456,64705.0
2005-08-18,1.9456,1.98531,1.9456,1.9456,1.9456,46372.0
2005-08-19,1.95553,1.95553,1.9456,1.9456,1.9456,25185.0
2005-08-22,,,,,,
2005-08-23,,,,,,
2005-08-24,1.97042,1.97042,1.9505700000000001,1.9505700000000001,1.9505700000000001,8312.0
2005-08-25,1.9505700000000001,1.9505700000000001,1.9406400000000001,1.9456,1.9456,328866.0
2005-08-26,1.9406400000000001,1.9406400000000001,1.9356799999999998,1.9406400000000001,1.9406400000000001,106058.0
2005-08-29,,,,,,
2005-08-30,,,,,,
2005-08-31,1.9356799999999998,1.9456,1.9356799999999998,1.9456,1.9456,10074.0
2005-09-01,,,,,,
2005-09-02,,,,,,
2005-09-05,,,,,,
2005-09-06,1.9654599999999998,1.97538,1.9356799999999998,1.9356799999999998,1.9356799999999998,57095.0
2005-09-07,1.95553,1.95553,1.95553,1.95553,1.95553,12995.0
2005-09-08,1.9356799999999998,1.9456,1.9356799999999998,1.9456,1.9456,29391.0
2005-09-09,,,,,,
2005-09-12,1.9456,1.9456,1.9456,1.9456,1.9456,45202.0
2005-09-13,,,,,,
2005-09-14,1.9456,1.95553,1.9456,1.9456,1.9456,74596.0
2005-09-15,,,,,,
2005-09-16,1.9456,1.9456,1.9356799999999998,1.9356799999999998,1.9356799999999998,40063.0
2005-09-19,,,,,,
2005-09-20,1.9406400000000001,1.95553,1.9406400000000001,1.9406400000000001,1.9406400000000001,72728.0
2005-09-21,,,,,,
2005-09-22,,,,,,
2005-09-23,1.9456,1.95553,1.9207900000000002,1.9505700000000001,1.9505700000000001,200921.0
2005-09-26,,,,,,
2005-09-27,,,,,,
2005-09-28,,,,,,
2005-09-29,,,,,,
2005-09-30,,,,,,
2005-10-03,1.91582,1.91582,1.91582,1.91582,1.91582,42311.0
2005-10-04,1.9356799999999998,1.9456,1.9356799999999998,1.9406400000000001,1.9406400000000001,53241.0
2005-10-05,,,,,,
2005-10-06,1.9356799999999998,1.9356799999999998,1.9356799999999998,1.9356799999999998,1.9356799999999998,269842.0
2005-10-07,1.91582,1.92575,1.91582,1.92575,1.92575,9369.0
2005-10-10,1.91582,1.92575,1.9059,1.92575,1.92575,54450.0
2005-10-11,1.91582,1.92575,1.91582,1.92575,1.92575,26857.0
2005-10-12,1.92575,1.92575,1.91582,1.91582,1.91582,251361.0
2005-10-13,,,,,,
2005-10-14,,,,,,
2005-10-17,1.8513,1.9108599999999998,1.8513,1.8860400000000002,1.8860400000000002,24855.0
2005-10-18,,,,,,
2005-10-19,1.8959700000000002,1.8959700000000002,1.8959700000000002,1.8959700000000002,1.8959700000000002,10074.0
2005-10-20,,,,,,
2005-10-21,,,,,,
2005-10-24,1.8959700000000002,1.8959700000000002,1.8513,1.8513,1.8513,58339.0
2005-10-25,,,,,,
2005-10-26,,,,,,
2005-10-27,1.8860400000000002,1.8860400000000002,1.8860400000000002,1.8860400000000002,1.8860400000000002,39238.0
2005-10-28,1.8810799999999999,1.8810799999999999,1.8810799999999999,1.8810799999999999,1.8810799999999999,31313.0
2005-10-30,,,,,,
2005-10-31,,,,,,
2005-11-01,,,,,,
2005-11-02,,,,,,
2005-11-03,1.8364099999999999,1.8364099999999999,1.8264799999999999,1.8264799999999999,1.8264799999999999,47612.0
2005-11-06,,,,,,
2005-11-07,1.84634,1.8810799999999999,1.80663,1.80663,1.80663,100914.0
2005-11-08,1.8364099999999999,1.8364099999999999,1.80663,1.80663,1.80663,19392.0
2005-11-09,,,,,,
2005-11-10,1.8115900000000005,1.8264799999999999,1.8115900000000005,1.8264799999999999,1.8264799999999999,165012.0
2005-11-13,1.8264799999999999,1.8661900000000002,1.81656,1.8661900000000002,1.8661900000000002,27823.0
2005-11-14,,,,,,
2005-11-15,1.8413700000000002,1.8413700000000002,1.8413700000000002,1.8413700000000002,1.8413700000000002,4030.0
2005-11-16,,,,,,
2005-11-17,,,,,,
2005-11-20,,,,,,
2005-11-21,1.8364099999999999,1.8364099999999999,1.81656,1.81656,1.81656,17378.0
