Date,Open,High,Low,Close,Adj Close,Volume
2013-12-09,2.08,2.09,2.04,2.07,1.520165,21322928
2013-12-10,2.06,2.06,2.02,2.02,1.4834459999999998,3956170
2013-12-11,2.03,2.04,2.0,2.0,1.468758,1598101
2013-12-12,2.0,2.0,1.93,1.935,1.421024,2060352
2013-12-15,1.91,1.94,1.91,1.91,1.402665,1004740
2013-12-16,1.94,1.9425,1.915,1.915,1.406336,1027790
2013-12-17,1.92,1.94,1.9,1.9,1.3953209999999998,3400470
2013-12-18,1.92,1.96,1.92,1.96,1.439383,221633
2013-12-19,1.96,2.01,1.95,1.995,1.465087,310169
2013-12-22,2.03,2.04,2.02,2.04,1.498134,16277
2013-12-23,2.04,2.04,1.99,1.99,1.461415,17898
2013-12-26,1.99,1.99,1.95,1.975,1.450399,145146
2013-12-29,2.0,2.02,2.0,2.02,1.4834459999999998,192142
2013-12-30,2.02,2.02,2.0,2.02,1.4834459999999998,152451
2014-01-01,2.02,2.02,1.995,2.0,1.468758,20824
2014-01-02,2.0,2.0,2.0,2.0,1.468758,9007
2014-01-05,2.01,2.02,2.0,2.01,1.476102,74165
2014-01-06,2.01,2.01,1.99,1.995,1.465087,502189
2014-01-07,2.0,2.03,1.99,2.03,1.49079,378722
2014-01-08,2.06,2.08,2.02,2.05,1.505477,227368
2014-01-09,2.06,2.07,2.05,2.05,1.505477,435920
2014-01-12,2.04,2.09,2.04,2.06,1.512821,60634
2014-01-13,2.06,2.07,2.05,2.07,1.520165,91190
2014-01-14,2.07,2.08,2.06,2.07,1.520165,113248
2014-01-15,2.07,2.09,2.05,2.09,1.534853,80312
2014-01-16,2.07,2.07,2.06,2.07,1.520165,72531
2014-01-19,2.07,2.07,2.06,2.07,1.520165,33826
2014-01-20,2.07,2.07,2.05,2.05,1.505477,197225
2014-01-21,2.05,2.06,2.05,2.06,1.512821,352523
2014-01-22,2.05,2.06,2.05,2.05,1.505477,15102
2014-01-23,2.04,2.05,2.04,2.04,1.498134,146306
2014-01-27,2.04,2.04,2.02,2.04,1.498134,121967
2014-01-28,2.05,2.05,2.02,2.02,1.4834459999999998,76423
2014-01-29,2.02,2.04,2.02,2.03,1.49079,132236
2014-01-30,2.03,2.03,1.99,2.02,1.4834459999999998,189535
2014-02-02,2.0,2.02,1.99,2.0,1.468758,164656
2014-02-03,2.0,2.03,1.97,2.0,1.468758,117286
2014-02-04,2.0,2.04,1.98,2.01,1.476102,917376
2014-02-05,2.01,2.03,2.01,2.02,1.4834459999999998,217823
2014-02-06,2.02,2.05,2.015,2.02,1.4834459999999998,265617
2014-02-09,2.03,2.04,2.02,2.02,1.4834459999999998,340807
2014-02-10,2.02,2.05,2.02,2.02,1.4834459999999998,909049
2014-02-11,2.02,2.03,2.0,2.03,1.49079,143038
2014-02-12,2.02,2.03,2.01,2.02,1.4834459999999998,48135
2014-02-13,2.02,2.02,2.0,2.0,1.468758,138530
2014-02-16,2.0,2.01,2.0,2.0,1.468758,32565
2014-02-17,2.005,2.02,2.0,2.02,1.4834459999999998,300098
2014-02-18,2.01,2.03,2.01,2.02,1.4834459999999998,101016
2014-02-19,2.0,2.01,1.99,2.0,1.468758,679434
2014-02-20,2.0,2.0,1.99,1.995,1.465087,668434
2014-02-23,2.0,2.0,1.99,1.99,1.461415,530679
2014-02-24,2.0,2.0,1.99,1.995,1.465087,99125
2014-02-25,1.99,1.995,1.99,1.99,1.461415,50631
2014-02-26,1.99,1.99,1.98,1.99,1.461415,216281
2014-02-27,1.98,1.995,1.98,1.99,1.461415,235445
2014-03-02,1.985,1.99,1.96,1.97,1.446727,120841
2014-03-03,1.99,1.995,1.99,1.995,1.465087,36529
2014-03-04,1.995,2.1,1.995,2.06,1.512821,469004
2014-03-05,2.06,2.09,2.06,2.09,1.534853,128561
2014-03-06,2.08,2.11,2.08,2.1,1.542196,446940
2014-03-09,2.1,2.11,2.1,2.1,1.542196,958609
2014-03-10,2.1,2.11,2.09,2.1,1.542196,209957
2014-03-11,2.1,2.11,2.09,2.09,1.534853,196011
2014-03-12,2.11,2.17,2.09,2.13,1.5642280000000002,505966
2014-03-13,2.12,2.12,2.1,2.1,1.542196,486302
2014-03-16,2.11,2.12,2.1,2.1,1.542196,534808
2014-03-17,2.1,2.11,2.1,2.11,1.54954,564162
2014-03-18,2.105,2.115,2.09,2.09,1.534853,368191
2014-03-19,2.09,2.1,2.07,2.07,1.520165,543330
2014-03-20,2.09,2.1,2.04,2.04,1.498134,10794437
2014-03-23,2.05,2.09,1.995,2.05,1.505477,772775
2014-03-24,2.04,2.08,2.02,2.02,1.4834459999999998,119205
2014-03-25,2.02,2.07,1.995,2.01,1.476102,489443
2014-03-26,2.05,2.05,1.995,2.0,1.468758,277555
2014-03-27,2.01,2.04,1.98,2.0,1.468758,802630
2014-03-30,2.0,2.01,1.96,1.99,1.461415,852130
2014-03-31,1.98,2.06,1.98,2.03,1.49079,153552
2014-04-01,2.03,2.05,2.02,2.02,1.4834459999999998,75141
2014-04-02,2.03,2.06,2.03,2.03,1.49079,67684
2014-04-03,2.05,2.06,2.03,2.04,1.498134,129479
2014-04-07,2.02,2.06,2.02,2.04,1.498134,208311
2014-04-08,2.03,2.035,2.02,2.03,1.49079,61262
2014-04-09,2.03,2.06,2.03,2.04,1.498134,243373
2014-04-10,2.04,2.06,2.035,2.04,1.498134,410594
2014-04-11,2.04,2.065,2.04,2.05,1.505477,93612
2014-04-14,2.05,2.05,2.03,2.03,1.49079,85079
2014-04-15,2.04,2.04,2.02,2.03,1.49079,139937
2014-04-16,2.07,2.08,2.04,2.06,1.512821,780232
2014-04-17,2.06,2.08,2.04,2.08,1.527509,127187
2014-04-22,2.08,2.1,2.05,2.05,1.505477,74490
2014-04-23,2.08,2.1,2.06,2.1,1.542196,85183
2014-04-24,2.1,2.1,2.07,2.08,1.527509,39054
2014-04-28,2.08,2.09,2.05,2.06,1.512821,118084
2014-04-29,2.06,2.08,2.06,2.08,1.527509,59628
2014-04-30,2.08,2.08,2.06,2.06,1.512821,104252
