Date,Open,High,Low,Close,Adj Close,Volume
2014-07-28,2.1,2.21,2.09,2.21,2.0251330000000003,83365467.0
2014-07-29,2.24,2.26,2.21,2.23,2.04346,37474155.0
2014-07-30,2.23,2.29,2.225,2.27,2.080114,47340237.0
2014-07-31,2.27,2.28,2.25,2.26,2.070951,31110183.0
2014-08-01,2.22,2.25,2.22,2.24,2.052623,13898853.0
2014-08-04,2.24,2.25,2.23,2.23,2.04346,5689227.0
2014-08-05,2.23,2.25,2.23,2.25,2.061787,15769856.0
2014-08-06,2.25,2.27,2.24,2.24,2.052623,17364647.0
2014-08-07,2.24,2.25,2.21,2.21,2.0251330000000003,7420876.0
2014-08-08,2.2,2.21,2.14,2.16,1.979315,10084569.0
2014-08-11,2.17,2.185,2.16,2.16,1.979315,4074558.0
2014-08-12,2.17,2.19,2.15,2.19,2.006806,7664558.0
2014-08-13,2.18,2.2,2.17,2.19,2.006806,4411894.0
2014-08-14,2.19,2.19,2.17,2.18,1.997642,3536839.0
2014-08-15,2.18,2.22,2.175,2.21,2.0251330000000003,8035169.0
2014-08-18,2.21,2.235,2.21,2.22,2.034297,3246257.0
2014-08-19,2.23,2.245,2.22,2.24,2.052623,4610055.0
2014-08-20,2.24,2.25,2.23,2.25,2.061787,1582347.0
2014-08-21,2.25,2.26,2.23,2.26,2.070951,6110216.0
2014-08-22,2.26,2.27,2.25,2.27,2.080114,4568135.0
2014-08-25,2.26,2.28,2.255,2.27,2.080114,2322272.0
2014-08-26,2.27,2.28,2.265,2.27,2.080114,1920524.0
2014-08-27,2.27,2.29,2.22,2.23,2.04346,3995818.0
2014-08-28,2.23,2.25,2.23,2.24,2.052623,1261492.0
2014-08-29,2.24,2.28,2.235,2.28,2.089277,2969233.0
2014-09-01,2.28,2.28,2.265,2.28,2.089277,1878331.0
2014-09-02,2.27,2.27,2.24,2.27,2.080114,1962758.0
2014-09-03,2.26,2.315,2.26,2.31,2.116768,8551067.0
2014-09-04,2.31,2.34,2.31,2.32,2.125931,5292225.0
2014-09-05,2.33,2.375,2.32,2.36,2.162585,4185673.0
2014-09-08,2.35,2.36,2.31,2.32,2.125931,2017161.0
2014-09-09,2.33,2.37,2.32,2.36,2.162585,2933372.0
2014-09-10,2.36,2.37,2.32,2.34,2.144258,3929209.0
2014-09-11,2.36,2.41,2.35,2.41,2.208403,4919109.0
2014-09-12,2.4,2.44,2.4,2.42,2.217566,8503519.0
2014-09-15,2.41,2.435,2.38,2.42,2.217566,3789010.0
2014-09-16,2.41,2.43,2.38,2.42,2.217566,2371885.0
2014-09-17,2.43,2.45,2.425,2.44,2.235893,3079753.0
2014-09-18,2.43,2.45,2.42,2.43,2.22673,3591909.0
2014-09-19,2.44,2.45,2.43,2.43,2.22673,2579701.0
2014-09-22,2.44,2.45,2.415,2.45,2.245057,5973452.0
2014-09-23,2.44,2.45,2.43,2.44,2.235893,2151888.0
2014-09-24,2.42,2.44,2.42,2.44,2.235893,4733328.0
2014-09-25,2.44,2.45,2.43,2.45,2.245057,7438178.0
2014-09-26,2.44,2.44,2.42,2.44,2.235893,3439602.0
2014-09-29,2.44,2.515,2.435,2.46,2.25422,3851919.0
2014-09-30,2.47,2.48,2.43,2.44,2.235893,3303592.0
2014-10-01,2.43,2.46,2.42,2.46,2.25422,2484949.0
2014-10-02,2.44,2.45,2.44,2.45,2.245057,8331341.0
