Date,Open,High,Low,Close,Adj Close,Volume
2008-11-02,12.9529,12.9529,12.9529,12.9529,12.9529,154.0
2008-11-03,13.6006,13.6006,13.6006,13.6006,13.6006,77.0
2008-11-04,,,,,,
2008-11-05,,,,,,
2008-11-06,,,,,,
2008-11-09,13.6006,13.6006,13.6006,13.6006,13.6006,676.0
2008-11-10,,,,,,
2008-11-11,,,,,,
2008-11-12,,,,,,
2008-11-13,12.9529,12.9529,12.9529,12.9529,12.9529,0.0
2008-11-16,,,,,,
2008-11-17,,,,,,
2008-11-18,,,,,,
2008-11-19,,,,,,
2008-11-20,,,,,,
2008-11-23,,,,,,
2008-11-24,,,,,,
2008-11-25,,,,,,
2008-11-26,,,,,,
2008-11-27,12.9529,12.9529,12.9529,12.9529,12.9529,154.0
2008-11-30,,,,,,
2008-12-01,,,,,,
2008-12-02,,,,,,
2008-12-03,,,,,,
2008-12-04,,,,,,
2008-12-07,13.4711,13.6006,13.4711,13.6006,13.6006,147.0
2008-12-08,,,,,,
2008-12-09,,,,,,
2008-12-10,,,,,,
2008-12-11,,,,,,
2008-12-14,,,,,,
2008-12-15,,,,,,
2008-12-16,12.9529,12.9529,12.9529,12.9529,12.9529,77.0
2008-12-17,12.8234,12.8234,12.8234,12.8234,12.8234,425.0
2008-12-18,,,,,,
2008-12-21,14.4574,14.4574,12.9971,12.9971,12.9971,0.0
2008-12-22,,,,,,
2008-12-23,14.4574,14.4574,12.9971,12.9971,12.9971,0.0
2008-12-28,14.4574,14.4574,12.9971,12.9971,12.9971,0.0
2008-12-29,,,,,,
2008-12-30,12.8234,12.8234,12.8234,12.8234,12.8234,0.0
2009-01-01,,,,,,
2009-01-04,,,,,,
2009-01-05,12.8234,12.8234,12.8234,12.8234,12.8234,0.0
2009-01-06,,,,,,
2009-01-07,,,,,,
2009-01-08,,,,,,
2009-01-11,12.3053,12.3053,12.3053,12.3053,12.3053,154.0
2009-01-12,,,,,,
2009-01-13,,,,,,
2009-01-14,,,,,,
2009-01-15,,,,,,
2009-01-18,,,,,,
2009-01-19,,,,,,
2009-01-20,,,,,,
2009-01-21,,,,,,
2009-01-22,,,,,,
2009-01-26,12.3053,12.3053,12.3053,12.3053,12.3053,0.0
2009-01-27,,,,,,
2009-01-28,11.6576,11.6576,11.6576,11.6576,11.6576,0.0
2009-01-29,,,,,,
2009-02-01,11.6576,11.6576,11.6576,11.6576,11.6576,39.0
2009-02-02,,,,,,
2009-02-03,,,,,,
2009-02-04,11.6576,11.6576,11.6576,11.6576,11.6576,0.0
2009-02-05,,,,,,
2009-02-08,,,,,,
2009-02-09,,,,,,
2009-02-10,,,,,,
2009-02-11,11.6576,11.6576,11.6576,11.6576,11.6576,0.0
2009-02-12,,,,,,
2009-02-15,,,,,,
2009-02-16,11.6576,11.6576,11.6576,11.6576,11.6576,0.0
2009-02-17,,,,,,
2009-02-18,,,,,,
2009-02-19,,,,,,
2009-02-22,11.9748,11.9748,10.9526,10.9526,10.9526,0.0
2009-02-23,,,,,,
2009-02-24,11.6828,11.6828,10.9526,10.9526,10.9526,0.0
2009-02-25,,,,,,
2009-02-26,10.6214,10.6214,9.84423,9.84423,9.84423,232.0
2009-03-01,,,,,,
2009-03-02,9.84423,9.84423,9.84423,9.84423,9.84423,0.0
2009-03-03,,,,,,
2009-03-04,11.9748,11.9748,10.2224,10.2224,10.2224,0.0
2009-03-05,,,,,,
2009-03-08,,,,,,
2009-03-09,11.6828,11.6828,10.2224,10.2224,10.2224,0.0
2009-03-10,,,,,,
2009-03-11,,,,,,
2009-03-12,,,,,,
2009-03-15,10.3623,10.3623,10.3623,10.3623,10.3623,0.0
2009-03-16,,,,,,
2009-03-17,10.4712,10.4712,10.4712,10.4712,10.4712,0.0
2009-03-18,10.4712,10.4712,10.4712,10.4712,10.4712,0.0
2009-03-19,,,,,,
2009-03-22,,,,,,
2009-03-23,,,,,,
2009-03-24,,,,,,
2009-03-25,10.4712,10.4712,10.4712,10.4712,10.4712,0.0
2009-03-26,10.4712,10.4712,10.4712,10.4712,10.4712,0.0
2009-03-29,,,,,,
2009-03-30,10.4712,10.4712,10.4712,10.4712,10.4712,0.0
2009-03-31,,,,,,
2009-04-01,8.50788,8.50788,7.9843199999999985,7.9843199999999985,7.9843199999999985,946.0
2009-04-02,,,,,,
2009-04-06,7.9843199999999985,8.70422,7.9843199999999985,8.70422,8.70422,382.0
2009-04-07,,,,,,
2009-04-08,,,,,,
2009-04-09,,,,,,
2009-04-14,,,,,,
2009-04-15,,,,,,
2009-04-16,11.5368,11.5368,8.76215,8.76215,8.76215,0.0
2009-04-17,,,,,,
2009-04-20,,,,,,
2009-04-21,,,,,,
2009-04-22,,,,,,
2009-04-23,,,,,,
2009-04-24,,,,,,
2009-04-27,,,,,,
2009-04-28,11.5368,11.5368,8.76215,8.76215,8.76215,0.0
2009-04-29,,,,,,
2009-04-30,7.85343,7.85343,7.85343,7.85343,7.85343,191.0
2009-05-01,,,,,,
2009-05-04,,,,,,
2009-05-05,10.2225,10.2225,8.03197,8.03197,8.03197,0.0
2009-05-06,7.85343,7.85343,7.85343,7.85343,7.85343,0.0
2009-05-07,,,,,,
2009-05-08,,,,,,
2009-05-11,,,,,,
2009-05-12,9.16234,9.16234,9.16234,9.16234,9.16234,153.0
2009-05-13,9.16234,9.16234,9.16234,9.16234,9.16234,0.0
2009-05-14,,,,,,
2009-05-15,,,,,,
2009-05-18,9.16234,9.16234,9.16234,9.16234,9.16234,0.0
2009-05-19,9.16234,9.16234,9.16234,9.16234,9.16234,0.0
2009-05-20,9.16234,9.16234,9.16234,9.16234,9.16234,0.0
2009-05-21,,,,,,
2009-05-22,,,,,,
2009-05-25,,,,,,
2009-05-26,,,,,,
2009-05-27,,,,,,
2009-05-28,9.16234,9.16234,9.16234,9.16234,9.16234,0.0
2009-05-29,,,,,,
2009-06-01,6.54453,6.54453,3.27226,4.97384,4.97384,12530.0
2009-06-02,,,,,,
2009-06-03,,,,,,
2009-06-04,,,,,,
2009-06-05,,,,,,
2009-06-09,,,,,,
2009-06-10,6.15185,6.15185,6.15185,6.15185,6.15185,0.0
2009-06-11,,,,,,
2009-06-12,6.15185,6.15185,6.15185,6.15185,6.15185,76.0
2009-06-15,6.15185,6.15185,6.15185,6.15185,6.15185,0.0
2009-06-16,,,,,,
2009-06-17,6.15185,6.15185,6.15185,6.15185,6.15185,0.0
2009-06-18,,,,,,
2009-06-19,,,,,,
2009-06-22,,,,,,
2009-06-23,,,,,,
2009-06-24,,,,,,
2009-06-25,6.54453,6.54453,6.54453,6.54453,6.54453,0.0
2009-06-26,,,,,,
2009-06-29,,,,,,
2009-06-30,,,,,,
2009-07-01,6.54453,6.54453,6.54453,6.54453,6.54453,0.0
2009-07-02,6.54453,6.54453,6.02096,6.02096,6.02096,497.0
2009-07-03,,,,,,
2009-07-06,,,,,,
2009-07-07,6.02096,6.02096,6.02096,6.02096,6.02096,0.0
2009-07-08,,,,,,
2009-07-09,5.4974,5.4974,5.4974,5.4974,5.4974,0.0
2009-07-10,,,,,,
2009-07-13,,,,,,
2009-07-14,,,,,,
2009-07-15,,,,,,
2009-07-16,5.23562,5.23562,5.23562,5.23562,5.23562,0.0
2009-07-17,,,,,,
2009-07-20,,,,,,
2009-07-21,,,,,,
2009-07-22,5.23562,5.23562,5.23562,5.23562,5.23562,0.0
2009-07-23,5.23562,5.23562,5.23562,5.23562,5.23562,0.0
2009-07-24,,,,,,
2009-07-27,5.23562,5.23562,5.23562,5.23562,5.23562,0.0
2009-07-28,,,,,,
2009-07-29,,,,,,
2009-07-30,,,,,,
2009-07-31,5.23562,5.23562,5.23562,5.23562,5.23562,0.0
2009-08-03,,,,,,
2009-08-04,,,,,,
2009-08-05,,,,,,
2009-08-06,5.23562,5.23562,5.23562,5.23562,5.23562,0.0
2009-08-07,,,,,,
2009-08-10,,,,,,
2009-08-11,7.59165,7.59165,7.59165,7.59165,7.59165,76.0
2009-08-12,,,,,,
2009-08-13,8.116810000000001,8.116810000000001,8.116810000000001,8.116810000000001,8.116810000000001,0.0
2009-08-14,,,,,,
2009-08-17,8.116810000000001,8.116810000000001,8.116810000000001,8.116810000000001,8.116810000000001,0.0
2009-08-18,,,,,,
