Date,Open,High,Low,Close,Adj Close,Volume
2000-08-07,2.75,2.75,2.75,2.75,0.824127,0.0
2000-08-08,3.02,3.1,3.0,3.01,0.902044,544954048.0
2000-08-09,2.99,2.99,2.85,2.88,0.863086,76860056.0
2000-08-10,2.85,2.9,2.82,2.87,0.860089,48512668.0
2000-08-11,2.88,2.9,2.87,2.89,0.866083,20820644.0
2000-08-14,2.9,2.91,2.89,2.9,0.869079,6143154.0
2000-08-15,3.0,3.02,2.96,2.99,0.896051,28727940.0
2000-08-16,2.99,3.01,2.97,2.99,0.896051,12328411.0
2000-08-17,3.0,3.04,3.0,3.02,0.905041,9362422.0
2000-08-18,3.04,3.04,2.98,2.98,0.8930540000000001,8595982.0
2000-08-21,2.98,3.02,2.95,2.95,0.8840629999999999,10344067.0
2000-08-22,2.92,2.97,2.91,2.97,0.890057,8320930.0
2000-08-23,2.98,3.0,2.96,2.98,0.8930540000000001,3933999.0
2000-08-24,2.97,2.98,2.95,2.97,0.890057,3779590.0
2000-08-25,2.96,2.97,2.96,2.96,0.8870600000000001,7390031.0
2000-08-27,2.95,2.96,2.91,2.92,0.875073,3254164.0
2000-08-28,2.91,2.91,2.85,2.86,0.857092,5800734.0
2000-08-29,2.85,2.88,2.83,2.83,0.848101,3975981.0
2000-08-30,2.84,2.89,2.83,2.86,0.857092,3062403.0
2000-08-31,2.87,2.89,2.86,2.87,0.860089,3347110.0
2000-09-03,2.87,2.87,2.82,2.85,0.854095,4216625.0
2000-09-04,2.83,2.83,2.81,2.81,0.842108,2648156.0
2000-09-05,2.82,2.83,2.8,2.81,0.842108,3201624.0
2000-09-06,2.8,2.8,2.71,2.71,0.81214,12780450.0
2000-09-07,2.7,2.7,2.65,2.67,0.8001520000000001,7162883.0
2000-09-10,2.68,2.68,2.62,2.63,0.788165,3876925.0
2000-09-11,2.62,2.63,2.58,2.62,0.785168,2111502.0
2000-09-12,2.61,2.68,2.6,2.68,0.803149,1946904.0
2000-09-13,2.72,2.79,2.62,2.62,0.785168,5798683.0
2000-09-14,2.63,2.7,2.62,2.67,0.8001520000000001,2369725.0
2000-09-17,2.63,2.63,2.6,2.61,0.782171,6115796.0
