Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,,,,,,
2018-01-02,0.125,0.125,0.125,0.125,0.125,0.0
2018-01-03,0.125,0.125,0.125,0.125,0.125,0.0
2018-01-04,0.125,0.125,0.125,0.125,0.125,0.0
2018-01-07,0.125,0.125,0.125,0.125,0.125,5100.0
2018-01-08,0.105,0.11,0.1,0.11,0.11,274932.0
2018-01-09,0.12,0.12,0.12,0.12,0.12,23000.0
2018-01-10,0.12,0.12,0.12,0.12,0.12,0.0
2018-01-11,0.115,0.115,0.1,0.1,0.1,380000.0
2018-01-14,0.1,0.1,0.1,0.1,0.1,27000.0
2018-01-15,0.11,0.11,0.11,0.11,0.11,3000.0
2018-01-16,0.11,0.11,0.105,0.11,0.11,69319.0
2018-01-17,0.11,0.11,0.105,0.105,0.105,65500.0
2018-01-18,0.1,0.11,0.1,0.105,0.105,85000.0
2018-01-21,0.105,0.105,0.1,0.105,0.105,27500.0
2018-01-22,0.105,0.105,0.105,0.105,0.105,0.0
2018-01-23,0.1,0.105,0.1,0.105,0.105,50000.0
2018-01-24,0.1,0.1,0.095,0.1,0.1,144694.0
2018-01-28,0.1,0.1,0.1,0.1,0.1,2500.0
2018-01-29,0.096,0.1,0.09,0.1,0.1,271773.0
2018-01-30,0.096,0.1,0.09,0.1,0.1,271773.0
2018-01-31,0.091,0.091,0.09,0.09,0.09,100000.0
2018-02-01,0.092,0.092,0.09,0.09,0.09,250000.0
2018-02-04,0.09,0.09,0.087,0.087,0.087,95910.0
2018-02-05,0.09,0.094,0.08199999999999999,0.08199999999999999,0.08199999999999999,186907.0
2018-02-06,0.09,0.094,0.08199999999999999,0.08199999999999999,0.08199999999999999,186907.0
2018-02-07,0.075,0.08,0.075,0.08,0.08,298172.0
2018-02-08,0.077,0.077,0.077,0.077,0.077,11449.0
2018-02-11,0.075,0.075,0.075,0.075,0.075,23328.0
2018-02-12,0.078,0.078,0.077,0.077,0.077,9500.0
2018-02-13,0.07200000000000001,0.07200000000000001,0.06,0.068,0.068,855809.0
2018-02-14,0.07,0.07,0.067,0.067,0.067,25682.0
2018-02-15,0.07,0.07,0.065,0.065,0.065,386445.0
2018-02-18,0.07,0.07,0.06,0.067,0.067,444079.0
2018-02-19,0.061,0.065,0.06,0.065,0.065,103539.0
2018-02-20,0.065,0.065,0.065,0.065,0.065,10000.0
2018-02-21,0.06,0.063,0.06,0.062,0.062,217551.0
2018-02-22,0.06,0.063,0.06,0.062,0.062,217551.0
2018-02-25,0.063,0.063,0.057999999999999996,0.062,0.062,253750.0
2018-02-27,0.062,0.062,0.062,0.062,0.062,77250.0
2018-02-28,0.062,0.065,0.062,0.065,0.065,63334.0
2018-03-01,0.065,0.065,0.065,0.065,0.065,0.0
2018-03-04,0.065,0.065,0.065,0.065,0.065,0.0
2018-03-05,0.063,0.063,0.062,0.063,0.063,91818.0
2018-03-06,0.064,0.065,0.064,0.065,0.065,10725.0
2018-03-07,0.07,0.07,0.07,0.07,0.07,22000.0
2018-03-08,0.07,0.07,0.07,0.07,0.07,40000.0
2018-03-11,0.076,0.076,0.063,0.065,0.065,357706.0
2018-03-12,0.076,0.076,0.063,0.065,0.065,357706.0
2018-03-13,0.063,0.063,0.062,0.062,0.062,245316.0
2018-03-14,0.062,0.062,0.062,0.062,0.062,55000.0
