Date,Open,High,Low,Close,Adj Close,Volume
1997-09-30,0.235,0.235,0.235,0.235,0.235,0.0
1997-10-01,,,,,,
1997-10-02,,,,,,
1997-10-03,,,,,,
1997-10-06,,,,,,
1997-10-07,,,,,,
1997-10-08,,,,,,
1997-10-09,,,,,,
1997-10-10,,,,,,
1997-10-13,,,,,,
1997-10-14,,,,,,
1997-10-15,,,,,,
1997-10-16,,,,,,
1997-10-17,,,,,,
1997-10-20,,,,,,
1997-10-21,,,,,,
1997-10-22,,,,,,
1997-10-23,,,,,,
1997-10-24,,,,,,
1997-10-26,,,,,,
1997-10-27,,,,,,
1997-10-28,,,,,,
1997-10-29,,,,,,
1997-10-30,0.19,0.19,0.19,0.19,0.19,0.0
1997-11-02,,,,,,
1997-11-03,,,,,,
1997-11-04,,,,,,
1997-11-05,,,,,,
1997-11-06,,,,,,
1997-11-09,,,,,,
1997-11-10,,,,,,
1997-11-11,,,,,,
1997-11-12,,,,,,
1997-11-13,,,,,,
1997-11-16,,,,,,
1997-11-17,,,,,,
1997-11-18,,,,,,
1997-11-19,,,,,,
1997-11-20,,,,,,
1997-11-23,,,,,,
1997-11-24,,,,,,
1997-11-25,,,,,,
1997-11-26,,,,,,
1997-11-27,0.155,0.155,0.155,0.155,0.155,0.0
1997-11-30,,,,,,
1997-12-01,,,,,,
1997-12-02,,,,,,
1997-12-03,,,,,,
1997-12-04,,,,,,
1997-12-07,,,,,,
1997-12-08,,,,,,
1997-12-09,,,,,,
1997-12-10,,,,,,
1997-12-11,,,,,,
1997-12-14,,,,,,
1997-12-15,,,,,,
1997-12-16,,,,,,
1997-12-17,,,,,,
1997-12-18,,,,,,
1997-12-21,,,,,,
1997-12-22,,,,,,
1997-12-23,,,,,,
1997-12-24,,,,,,
1997-12-25,,,,,,
1997-12-28,,,,,,
1997-12-29,,,,,,
1997-12-30,0.13,0.13,0.13,0.13,0.13,0.0
1997-12-31,,,,,,
1998-01-01,,,,,,
1998-01-04,,,,,,
1998-01-05,,,,,,
1998-01-06,,,,,,
1998-01-07,,,,,,
1998-01-08,,,,,,
1998-01-11,,,,,,
1998-01-12,,,,,,
1998-01-13,,,,,,
1998-01-14,,,,,,
1998-01-15,,,,,,
1998-01-18,,,,,,
1998-01-19,,,,,,
1998-01-20,,,,,,
1998-01-21,,,,,,
1998-01-22,,,,,,
1998-01-25,,,,,,
1998-01-26,,,,,,
1998-01-27,,,,,,
1998-01-28,,,,,,
1998-01-29,0.105,0.105,0.105,0.105,0.105,0.0
1998-02-01,,,,,,
1998-02-02,,,,,,
1998-02-03,,,,,,
1998-02-04,,,,,,
1998-02-05,,,,,,
1998-02-08,,,,,,
1998-02-09,,,,,,
1998-02-10,,,,,,
1998-02-11,,,,,,
1998-02-12,,,,,,
1998-02-15,,,,,,
1998-02-16,,,,,,
1998-02-17,,,,,,
1998-02-18,,,,,,
1998-02-19,,,,,,
1998-02-22,,,,,,
1998-02-23,,,,,,
1998-02-24,,,,,,
1998-02-25,,,,,,
