Date,Open,High,Low,Close,Adj Close,Volume
2007-11-14,25.4,25.4,25.4,25.4,22.975216,13.0
2007-11-15,,,,,,
2007-11-18,,,,,,
2007-11-19,,,,,,
2007-11-20,,,,,,
2007-11-21,,,,,,
2007-11-22,,,,,,
2007-11-25,,,,,,
2007-11-26,,,,,,
2007-11-27,,,,,,
2007-11-28,,,,,,
2007-11-29,,,,,,
2007-12-02,,,,,,
2007-12-03,25.92,26.17,25.92,26.17,23.671707,1000.0
2007-12-04,,,,,,
2007-12-05,26.620001,27.09,26.620001,27.09,24.50388,2590.0
2007-12-06,,,,,,
2007-12-09,,,,,,
2007-12-10,,,,,,
2007-12-11,,,,,,
2007-12-12,,,,,,
2007-12-13,,,,,,
2007-12-16,25.77,25.780001,25.049999,25.049999,22.658627,3010.0
2007-12-17,,,,,,
2007-12-18,,,,,,
2007-12-19,,,,,,
2007-12-20,,,,,,
2007-12-23,,,,,,
2007-12-26,,,,,,
2007-12-27,,,,,,
2007-12-30,,,,,,
2008-01-01,,,,,,
2008-01-02,,,,,,
2008-01-03,,,,,,
2008-01-06,,,,,,
2008-01-07,25.42,25.42,25.42,25.42,22.993305,100.0
2008-01-08,,,,,,
2008-01-09,,,,,,
2008-01-10,,,,,,
2008-01-13,,,,,,
2008-01-14,,,,,,
2008-01-15,,,,,,
2008-01-16,,,,,,
2008-01-17,,,,,,
2008-01-20,,,,,,
2008-01-21,,,,,,
2008-01-22,,,,,,
2008-01-23,,,,,,
2008-01-24,,,,,,
2008-01-28,,,,,,
2008-01-29,,,,,,
2008-01-30,,,,,,
2008-01-31,,,,,,
2008-02-03,,,,,,
2008-02-04,,,,,,
2008-02-05,21.370001,21.370001,21.0,21.0,18.995256,1735.0
2008-02-06,,,,,,
2008-02-07,,,,,,
2008-02-10,,,,,,
2008-02-11,20.940001,20.940001,20.940001,20.940001,18.940985,505.0
2008-02-12,,,,,,
2008-02-13,,,,,,
2008-02-14,,,,,,
2008-02-17,,,,,,
2008-02-18,,,,,,
2008-02-19,,,,,,
2008-02-20,,,,,,
2008-02-21,,,,,,
2008-02-24,,,,,,
2008-02-25,,,,,,
2008-02-26,,,,,,
2008-02-27,,,,,,
2008-02-28,,,,,,
2008-03-02,,,,,,
2008-03-03,,,,,,
2008-03-04,,,,,,
2008-03-05,,,,,,
2008-03-06,19.32,19.35,19.190001,19.190001,17.358045999999998,1570.0
2008-03-09,,,,,,
2008-03-10,,,,,,
2008-03-11,,,,,,
2008-03-12,,,,,,
2008-03-13,,,,,,
2008-03-16,18.18,18.18,18.139999,18.15,16.417328,2000.0
2008-03-17,18.0,18.0,18.0,18.0,16.281651,1500.0
2008-03-18,,,,,,
2008-03-19,,,,,,
2008-03-24,,,,,,
2008-03-25,19.389999,19.389999,19.389999,19.389999,17.538956,3.0
2008-03-26,,,,,,
2008-03-27,,,,,,
2008-03-30,,,,,,
2008-03-31,,,,,,
2008-04-01,,,,,,
2008-04-02,,,,,,
2008-04-03,,,,,,
2008-04-07,,,,,,
2008-04-08,,,,,,
2008-04-09,20.49,20.49,20.059999,20.059999,18.144993,887.0
2008-04-10,20.040001,20.040001,20.040001,20.040001,18.126902,1.0
2008-04-11,,,,,,
2008-04-14,,,,,,
2008-04-15,,,,,,
2008-04-16,,,,,,
2008-04-17,,,,,,
2008-04-18,19.92,19.92,19.879999,19.879999,17.982176000000006,650.0
2008-04-21,,,,,,
2008-04-22,20.139999,20.139999,20.139999,20.139999,18.217354,22.0
2008-04-23,,,,,,
2008-04-24,20.469999,20.620001,20.469999,20.620001,18.651533,2502.0
2008-04-28,,,,,,
2008-04-29,,,,,,
2008-04-30,,,,,,
2008-05-01,,,,,,
2008-05-02,,,,,,
2008-05-05,,,,,,
2008-05-06,,,,,,
2008-05-07,21.25,21.25,20.969999,20.969999,18.968119,2175.0
2008-05-08,,,,,,
2008-05-09,,,,,,
2008-05-12,,,,,,
2008-05-13,,,,,,
2008-05-14,,,,,,
2008-05-15,,,,,,
2008-05-16,,,,,,
2008-05-19,,,,,,
2008-05-20,,,,,,
2008-05-21,20.049999,20.049999,20.049999,20.049999,18.135946,274.0
2008-05-22,,,,,,
2008-05-23,,,,,,
2008-05-26,,,,,,
2008-05-27,,,,,,
2008-05-28,20.1,20.1,20.1,20.1,18.181173,3.0
2008-05-29,,,,,,
2008-05-30,,,,,,
2008-06-02,,,,,,
2008-06-03,,,,,,
2008-06-04,,,,,,
2008-06-05,,,,,,
2008-06-06,,,,,,
2008-06-10,,,,,,
2008-06-11,,,,,,
2008-06-12,,,,,,
2008-06-13,,,,,,
2008-06-16,,,,,,
2008-06-17,,,,,,
2008-06-18,19.35,19.5,19.35,19.5,17.638453,4577.0
2008-06-19,,,,,,
2008-06-20,18.91,19.219999,18.91,18.91,17.104774,0.0
2008-06-23,,,,,,
2008-06-24,,,,,,
2008-06-25,18.51,18.51,18.5,18.5,16.733917,6777.0
2008-06-26,18.299999,18.299999,18.200001,18.200001,16.462555,1200.0
2008-06-27,,,,,,
2008-06-30,17.82,17.82,17.82,17.82,16.118832,43.0
2008-07-01,,,,,,
2008-07-02,,,,,,
2008-07-03,,,,,,
2008-07-04,17.309998999999998,17.309998999999998,17.309998999999998,17.309998999999998,15.657516,4.0
2008-07-07,17.200001,17.35,17.200001,17.35,15.6937,2252.0
2008-07-08,,,,,,
2008-07-09,,,,,,
2008-07-10,,,,,,
2008-07-11,17.190001000000002,17.190001000000002,17.190001000000002,17.190001000000002,15.548974,4.0
2008-07-14,,,,,,
2008-07-15,,,,,,
2008-07-16,,,,,,
2008-07-17,16.93,16.93,16.719998999999998,16.719998999999998,15.123841,1252.0
2008-07-18,,,,,,
2008-07-21,17.09,17.24,17.09,17.24,15.594203,1178.0
2008-07-22,,,,,,
2008-07-23,,,,,,
2008-07-24,,,,,,
2008-07-25,17.639999,17.65,17.530001000000002,17.530001000000002,15.856519,7001.0
2008-07-28,,,,,,
2008-07-29,,,,,,
2008-07-30,,,,,,
2008-07-31,,,,,,
2008-08-01,,,,,,
2008-08-04,,,,,,
2008-08-05,,,,,,
2008-08-06,,,,,,
2008-08-07,17.43,18.040001,17.43,17.43,15.766064000000002,0.0
2008-08-08,,,,,,
2008-08-11,,,,,,
2008-08-12,,,,,,
2008-08-13,,,,,,
2008-08-14,,,,,,
2008-08-15,,,,,,
2008-08-18,,,,,,
2008-08-19,,,,,,
2008-08-20,,,,,,
2008-08-21,,,,,,
2008-08-22,,,,,,
2008-08-25,18.07,18.190001,18.07,18.190001,16.45351,990.0
2008-08-26,,,,,,
2008-08-27,,,,,,
2008-08-28,,,,,,
2008-08-29,,,,,,
2008-09-01,,,,,,
2008-09-02,,,,,,
2008-09-03,,,,,,
2008-09-04,,,,,,
2008-09-05,,,,,,
2008-09-08,,,,,,
2008-09-09,19.290001,19.290001,19.290001,19.290001,17.448501999999998,2.0
2008-09-10,,,,,,
2008-09-11,18.790001,18.790001,18.790001,18.790001,16.996233,2.0
2008-09-12,,,,,,
2008-09-15,,,,,,
2008-09-16,17.6,17.6,17.59,17.59,15.910789,500.0
2008-09-17,,,,,,
2008-09-18,,,,,,
2008-09-19,,,,,,
2008-09-22,17.629998999999994,17.629998999999994,17.27,17.559998999999998,15.883653,2003.0
2008-09-23,,,,,,
2008-09-24,,,,,,
2008-09-25,,,,,,
2008-09-26,,,,,,
2008-09-29,,,,,,
2008-09-30,15.85,16.08,15.61,16.08,14.544938,53030.0
2008-10-01,16.530001000000002,16.530001000000002,16.469998999999998,16.469998999999998,14.897707999999998,2230.0
2008-10-02,,,,,,
2008-10-03,16.389999,16.389999,16.389999,16.389999,14.825345,3.0
2008-10-05,,,,,,
2008-10-06,,,,,,
2008-10-07,,,,,,
2008-10-08,,,,,,
2008-10-09,16.02,16.02,15.7,15.86,14.345941,2954.0
2008-10-12,,,,,,
2008-10-13,,,,,,
2008-10-14,,,,,,
2008-10-15,,,,,,
2008-10-16,,,,,,
2008-10-19,,,,,,
2008-10-20,,,,,,
2008-10-21,,,,,,
2008-10-22,,,,,,
2008-10-23,,,,,,
2008-10-26,15.4,15.4,15.4,15.4,13.929853,0.0
2008-10-27,,,,,,
2008-10-28,15.54,15.54,15.25,15.25,13.794174,1301.0
2008-10-29,,,,,,
2008-10-30,,,,,,
2008-11-02,,,,,,
2008-11-03,,,,,,
2008-11-04,,,,,,
2008-11-05,,,,,,
2008-11-06,15.57,15.65,15.56,15.65,14.155988,5000.0
2008-11-09,,,,,,
2008-11-10,,,,,,
2008-11-11,,,,,,
2008-11-12,,,,,,
2008-11-13,,,,,,
2008-11-16,,,,,,
2008-11-17,,,,,,
2008-11-18,,,,,,
2008-11-19,,,,,,
2008-11-20,,,,,,
2008-11-23,,,,,,
2008-11-24,,,,,,
2008-11-25,,,,,,
2008-11-26,,,,,,
2008-11-27,,,,,,
2008-11-30,,,,,,
2008-12-01,,,,,,
2008-12-02,,,,,,
2008-12-03,,,,,,
2008-12-04,,,,,,
2008-12-07,,,,,,
2008-12-08,,,,,,
2008-12-09,,,,,,
2008-12-10,,,,,,
2008-12-11,,,,,,
2008-12-14,,,,,,
2008-12-15,,,,,,
2008-12-16,,,,,,
2008-12-17,,,,,,
2008-12-18,,,,,,
2008-12-21,,,,,,
2008-12-22,16.15,16.15,16.15,16.15,14.608256,0.0
2008-12-23,,,,,,
2008-12-28,,,,,,
2008-12-29,,,,,,
2008-12-30,,,,,,
2009-01-01,,,,,,
2009-01-04,,,,,,
2009-01-05,,,,,,
2009-01-06,,,,,,
2009-01-07,,,,,,
2009-01-08,15.19,15.19,15.19,15.19,13.739901,100.0
2009-01-11,,,,,,
2009-01-12,,,,,,
2009-01-13,,,,,,
2009-01-14,,,,,,
2009-01-15,,,,,,
2009-01-18,,,,,,
2009-01-19,,,,,,
2009-01-20,,,,,,
2009-01-21,,,,,,
2009-01-22,,,,,,
2009-01-26,,,,,,
2009-01-27,14.6,14.6,14.6,14.6,13.206225,0.0
2009-01-28,,,,,,
2009-01-29,,,,,,
2009-02-01,15.75,15.9,15.73,15.73,14.228351000000002,5539.0
2009-02-02,,,,,,
2009-02-03,,,,,,
2009-02-04,,,,,,
2009-02-05,15.46,15.46,15.46,15.46,13.984126000000002,0.0
2009-02-08,,,,,,
2009-02-09,,,,,,
2009-02-10,,,,,,
2009-02-11,,,,,,
2009-02-12,15.17,15.17,15.17,15.17,13.721811,0.0
2009-02-15,,,,,,
2009-02-16,15.17,15.17,15.17,15.17,13.721811,0.0
2009-02-17,,,,,,
2009-02-18,,,,,,
2009-02-19,14.93,14.93,14.93,14.93,13.504724,0.0
2009-02-22,,,,,,
2009-02-23,,,,,,
2009-02-24,,,,,,
2009-02-25,,,,,,
2009-02-26,,,,,,
2009-03-01,,,,,,
2009-03-02,,,,,,
2009-03-03,,,,,,
2009-03-04,,,,,,
2009-03-05,,,,,,
2009-03-08,14.56,14.56,14.56,14.56,13.170044,0.0
2009-03-09,,,,,,
2009-03-10,14.36,14.36,14.36,14.36,12.989137,350.0
2009-03-11,,,,,,
2009-03-12,,,,,,
2009-03-15,,,,,,
2009-03-16,,,,,,
2009-03-17,14.36,14.36,14.36,14.36,12.989137,0.0
2009-03-18,,,,,,
2009-03-19,14.36,14.36,14.36,14.36,12.989137,0.0
2009-03-22,,,,,,
2009-03-23,,,,,,
2009-03-24,,,,,,
2009-03-25,,,,,,
2009-03-26,,,,,,
2009-03-29,,,,,,
2009-03-30,,,,,,
2009-03-31,,,,,,
2009-04-01,,,,,,
2009-04-02,15.34,15.49,15.21,15.3,13.839401,5941.0
2009-04-06,,,,,,
2009-04-07,,,,,,
2009-04-08,,,,,,
2009-04-09,,,,,,
2009-04-14,,,,,,
2009-04-15,,,,,,
2009-04-16,,,,,,
2009-04-17,,,,,,
2009-04-20,,,,,,
2009-04-21,16.4,16.4,16.200001,16.290001,14.734893,7001.0
2009-04-22,,,,,,
2009-04-23,,,,,,
2009-04-24,,,,,,
2009-04-27,,,,,,
2009-04-28,,,,,,
2009-04-29,,,,,,
2009-04-30,,,,,,
2009-05-01,,,,,,
2009-05-04,,,,,,
2009-05-05,16.969998999999998,16.969998999999998,16.969998999999998,16.969998999999998,15.349977,300.0
2009-05-06,,,,,,
2009-05-07,17.440001000000002,17.440001000000002,17.299999,17.309998999999998,15.657516,958.0
2009-05-08,,,,,,
2009-05-11,,,,,,
2009-05-12,,,,,,
2009-05-13,,,,,,
2009-05-14,,,,,,
2009-05-15,,,,,,
2009-05-18,,,,,,
2009-05-19,,,,,,
2009-05-20,,,,,,
2009-05-21,,,,,,
2009-05-22,,,,,,
2009-05-25,,,,,,
2009-05-26,,,,,,
2009-05-27,,,,,,
2009-05-28,,,,,,
2009-05-29,,,,,,
2009-06-01,,,,,,
2009-06-02,,,,,,
2009-06-03,,,,,,
2009-06-04,,,,,,
2009-06-05,18.040001,18.040001,18.040001,18.040001,16.317830999999998,1627.0
2009-06-09,,,,,,
2009-06-10,,,,,,
2009-06-11,17.77,17.77,17.77,17.77,16.073605,0.0
2009-06-12,,,,,,
2009-06-15,,,,,,
2009-06-16,,,,,,
2009-06-17,,,,,,
2009-06-18,,,,,,
2009-06-19,,,,,,
2009-06-22,,,,,,
2009-06-23,,,,,,
2009-06-24,,,,,,
2009-06-25,,,,,,
2009-06-26,,,,,,
2009-06-29,,,,,,
2009-06-30,,,,,,
2009-07-01,,,,,,
2009-07-02,,,,,,
2009-07-03,17.049999,17.049999,16.93,17.01,15.386156,6440.0
2009-07-06,,,,,,
2009-07-07,,,,,,
2009-07-08,,,,,,
2009-07-09,,,,,,
2009-07-10,,,,,,
2009-07-13,,,,,,
2009-07-14,,,,,,
2009-07-15,,,,,,
2009-07-16,,,,,,
2009-07-17,,,,,,
2009-07-20,17.790001,17.790001,17.790001,17.790001,16.091696,320.0
2009-07-21,,,,,,
2009-07-22,18.25,18.4,18.110001,18.139999,16.408282999999994,1711.0
2009-07-23,,,,,,
2009-07-24,,,,,,
2009-07-27,,,,,,
2009-07-28,18.68,18.780001,18.43,18.43,16.670599,3322.0
2009-07-29,18.59,18.59,18.59,18.59,16.815325,268.0
2009-07-30,,,,,,
2009-07-31,,,,,,
2009-08-03,,,,,,
2009-08-04,,,,,,
2009-08-05,18.58,18.610001,18.43,18.43,16.670599,3925.0
2009-08-06,,,,,,
2009-08-07,,,,,,
2009-08-10,,,,,,
2009-08-11,,,,,,
2009-08-12,,,,,,
2009-08-13,,,,,,
2009-08-14,,,,,,
2009-08-17,,,,,,
2009-08-18,17.85,18.030001,17.85,18.0,16.281651,1634.0
2009-08-19,,,,,,
2009-08-20,,,,,,
2009-08-21,,,,,,
2009-08-24,,,,,,
2009-08-25,18.18,18.18,18.09,18.09,16.363058,5121.0
2009-08-26,,,,,,
2009-08-27,,,,,,
2009-08-28,,,,,,
2009-08-31,17.629998999999994,17.629998999999994,17.34,17.4,15.738928,4916.0
2009-09-01,,,,,,
2009-09-02,17.129998999999998,17.129998999999998,17.129998999999998,17.129998999999998,15.494701999999998,0.0
2009-09-03,,,,,,
2009-09-04,,,,,,
2009-09-07,,,,,,
2009-09-08,,,,,,
2009-09-09,,,,,,
2009-09-10,,,,,,
2009-09-11,,,,,,
2009-09-14,,,,,,
2009-09-15,,,,,,
2009-09-16,,,,,,
2009-09-17,,,,,,
2009-09-18,,,,,,
2009-09-21,,,,,,
2009-09-22,,,,,,
2009-09-23,,,,,,
2009-09-24,,,,,,
2009-09-25,,,,,,
2009-09-28,,,,,,
2009-09-29,17.700001,17.700001,17.559998999999998,17.559998999999998,15.883653,1682.0
2009-09-30,,,,,,
2009-10-01,17.58,17.610001,17.58,17.6,15.919835999999998,2728.0
2009-10-02,,,,,,
2009-10-04,,,,,,
2009-10-05,,,,,,
2009-10-06,17.33,17.34,17.33,17.34,15.684656,6688.0
2009-10-07,,,,,,
2009-10-08,,,,,,
2009-10-11,,,,,,
2009-10-12,,,,,,
2009-10-13,17.379998999999998,17.379998999999998,17.35,17.35,15.6937,1230.0
2009-10-14,,,,,,
2009-10-15,,,,,,
2009-10-18,,,,,,
2009-10-19,,,,,,
2009-10-20,17.84,17.84,17.84,17.84,16.136925,1453.0
2009-10-21,,,,,,
2009-10-22,,,,,,
2009-10-25,,,,,,
2009-10-26,,,,,,
2009-10-27,,,,,,
2009-10-28,17.379998999999998,17.379998999999998,17.360001,17.360001,15.702746,2303.0
2009-10-29,,,,,,
2009-11-01,,,,,,
2009-11-02,,,,,,
2009-11-03,,,,,,
2009-11-04,,,,,,
2009-11-05,,,,,,
2009-11-08,,,,,,
2009-11-09,,,,,,
2009-11-10,,,,,,
2009-11-11,,,,,,
2009-11-12,,,,,,
2009-11-15,,,,,,
2009-11-16,,,,,,
2009-11-17,,,,,,
2009-11-18,,,,,,
2009-11-19,,,,,,
2009-11-22,,,,,,
2009-11-23,,,,,,
2009-11-24,,,,,,
2009-11-25,,,,,,
2009-11-26,,,,,,
2009-11-29,,,,,,
2009-11-30,,,,,,
2009-12-01,,,,,,
2009-12-02,,,,,,
2009-12-03,,,,,,
2009-12-06,,,,,,
2009-12-07,,,,,,
2009-12-08,,,,,,
2009-12-09,,,,,,
2009-12-10,,,,,,
2009-12-13,17.790001,17.790001,17.790001,17.790001,16.091696,1453.0
2009-12-14,,,,,,
2009-12-15,,,,,,
2009-12-16,,,,,,
2009-12-17,,,,,,
2009-12-20,,,,,,
2009-12-21,17.66,17.75,17.66,17.75,16.055513,5816.0
2009-12-22,17.5,17.5,17.469998999999998,17.469998999999998,15.802245,2572.0
2009-12-23,,,,,,
2009-12-28,,,,,,
2009-12-29,,,,,,
2009-12-30,,,,,,
2010-01-03,,,,,,
2010-01-04,,,,,,
2010-01-05,,,,,,
2010-01-06,,,,,,
2010-01-07,,,,,,
2010-01-10,,,,,,
2010-01-11,17.549999,17.549999,17.549999,17.549999,15.874607999999998,171.0
2010-01-12,,,,,,
2010-01-13,,,,,,
2010-01-14,,,,,,
2010-01-17,,,,,,
2010-01-18,,,,,,
2010-01-19,,,,,,
2010-01-20,,,,,,
2010-01-21,,,,,,
2010-01-24,,,,,,
2010-01-26,,,,,,
2010-01-27,,,,,,
2010-01-28,,,,,,
2010-01-31,,,,,,
2010-02-01,,,,,,
2010-02-02,,,,,,
2010-02-03,,,,,,
2010-02-04,,,,,,
2010-02-07,,,,,,
2010-02-08,,,,,,
2010-02-09,,,,,,
2010-02-10,16.889999,16.889999,16.889999,16.889999,15.277614000000002,500.0
2010-02-11,,,,,,
2010-02-14,,,,,,
2010-02-15,,,,,,
2010-02-16,,,,,,
2010-02-17,17.110001,17.110001,16.969998999999998,17.09,15.458521,9417.0
2010-02-18,,,,,,
2010-02-21,,,,,,
2010-02-22,16.870001000000002,17.01,16.870001000000002,16.969998999999998,15.349977,11460.0
2010-02-23,,,,,,
2010-02-24,,,,,,
2010-02-25,,,,,,
2010-02-28,,,,,,
2010-03-01,,,,,,
2010-03-02,17.469998999999998,17.469998999999998,17.370001000000002,17.370001000000002,15.711794,1598.0
2010-03-03,,,,,,
2010-03-04,,,,,,
2010-03-07,,,,,,
2010-03-08,,,,,,
2010-03-09,,,,,,
2010-03-10,,,,,,
2010-03-11,,,,,,
2010-03-14,,,,,,
2010-03-15,,,,,,
2010-03-16,17.540001,17.77,17.540001,17.77,16.073605,321.0
2010-03-17,17.75,17.75,17.75,17.75,16.055513,400.0
2010-03-18,,,,,,
2010-03-21,,,,,,
2010-03-22,17.700001,17.700001,17.700001,17.700001,16.010285999999994,7.0
2010-03-23,,,,,,
2010-03-24,17.76,17.76,17.76,17.76,16.06456,0.0
2010-03-25,,,,,,
2010-03-28,,,,,,
2010-03-29,,,,,,
2010-03-30,,,,,,
2010-03-31,,,,,,
2010-04-06,,,,,,
2010-04-07,,,,,,
2010-04-08,,,,,,
2010-04-09,,,,,,
2010-04-12,,,,,,
2010-04-13,,,,,,
2010-04-14,,,,,,
2010-04-15,,,,,,
2010-04-16,,,,,,
2010-04-19,,,,,,
2010-04-20,,,,,,
2010-04-21,,,,,,
2010-04-22,,,,,,
2010-04-23,,,,,,
2010-04-27,17.34,17.34,17.309998999999998,17.309998999999998,15.657516,807.0
2010-04-28,,,,,,
2010-04-29,,,,,,
2010-04-30,,,,,,
2010-05-03,,,,,,
2010-05-04,,,,,,
2010-05-05,,,,,,
2010-05-06,,,,,,
2010-05-07,,,,,,
2010-05-10,,,,,,
2010-05-11,,,,,,
2010-05-12,,,,,,
2010-05-13,,,,,,
2010-05-14,,,,,,
2010-05-17,,,,,,
2010-05-18,17.0,17.0,17.0,17.0,15.377114,113.0
2010-05-19,,,,,,
2010-05-20,17.1,17.1,17.1,17.1,15.467566,0.0
2010-05-21,17.309998999999998,17.75,17.309998999999998,17.75,16.055513,2670.0
2010-05-24,,,,,,
2010-05-25,,,,,,
2010-05-26,17.52,17.52,17.52,17.52,15.84747,140.0
2010-05-27,,,,,,
2010-05-28,,,,,,
2010-05-31,,,,,,
2010-06-01,,,,,,
2010-06-02,,,,,,
2010-06-03,17.59,17.59,17.59,17.59,15.910789,22000.0
2010-06-04,,,,,,
2010-06-07,,,,,,
2010-06-08,,,,,,
2010-06-09,,,,,,
2010-06-10,,,,,,
2010-06-11,,,,,,
2010-06-15,,,,,,
2010-06-16,,,,,,
2010-06-17,,,,,,
2010-06-18,,,,,,
