Date,Open,High,Low,Close,Adj Close,Volume
2016-11-06,3.14,3.22,3.1,3.22,3.069348,9133996.0
2016-11-07,3.23,3.33,3.23,3.29,3.136073,7531418.0
2016-11-08,3.3,3.3,3.12,3.19,3.040751,2501398.0
2016-11-09,3.22,3.28,3.22,3.27,3.117008,1095636.0
2016-11-10,3.26,3.26,3.2,3.24,3.088412,768977.0
2016-11-13,3.23,3.24,3.17,3.19,3.040751,971268.0
2016-11-14,3.2,3.21,3.16,3.19,3.040751,2589793.0
2016-11-15,3.18,3.19,3.15,3.18,3.031219,1062334.0
2016-11-16,3.16,3.17,3.05,3.14,2.993091,1004361.0
2016-11-17,3.15,3.16,3.13,3.15,3.002623,507290.0
2016-11-20,3.15,3.15,3.11,3.11,2.964494,1384238.0
2016-11-21,3.1,3.12,3.07,3.09,2.94543,3132793.0
2016-11-22,3.09,3.09,3.06,3.08,2.935898,1163343.0
2016-11-23,3.09,3.09,3.04,3.06,2.916833,663124.0
2016-11-24,3.05,3.05,3.0,3.02,2.878705,703133.0
2016-11-27,3.01,3.09,3.01,3.06,2.916833,425832.0
2016-11-28,,,,,,
2016-11-29,3.12,3.16,3.1,3.16,3.012155,395872.0
2016-11-30,3.15,3.15,3.13,3.15,3.002623,326994.0
2016-12-01,,,,,,
2016-12-04,,,,,,
2016-12-05,3.13,3.15,3.05,3.1,2.954962,175174.0
2016-12-06,3.1,3.11,3.06,3.08,2.935898,343291.0
2016-12-07,,,,,,
2016-12-08,,,,,,
2016-12-11,3.11,3.13,3.06,3.1,2.954962,272700.0
2016-12-12,,,,,,
2016-12-13,3.12,3.14,3.09,3.12,2.974026,791324.0
2016-12-14,3.07,3.12,3.01,3.1,2.954962,1856994.0
2016-12-15,3.09,3.1,3.05,3.08,2.935898,571629.0
2016-12-18,3.05,3.07,3.04,3.06,2.916833,834030.0
2016-12-19,3.08,3.13,3.07,3.12,2.974026,872550.0
2016-12-20,3.15,3.17,3.15,3.16,3.012155,2436425.0
2016-12-21,3.16,3.23,3.16,3.23,3.07888,1330400.0
2016-12-22,3.21,3.22,3.2,3.22,3.069348,645316.0
2016-12-27,3.22,3.22,3.2,3.21,3.059816,237682.0
