Date,Open,High,Low,Close,Adj Close,Volume
2006-04-26,2.54334,2.54334,2.40709,2.54334,2.54334,127390.0
2006-04-27,,,,,,
2006-04-28,,,,,,
2006-05-01,,,,,,
2006-05-02,,,,,,
2006-05-03,,,,,,
2006-05-04,2.40709,2.45251,2.31626,2.45251,2.45251,51735.0
2006-05-05,,,,,,
2006-05-08,,,,,,
2006-05-09,2.36167,2.45251,2.31626,2.45251,2.45251,49706.0
2006-05-10,,,,,,
2006-05-11,2.40709,2.45251,2.40709,2.45251,2.45251,34134.0
2006-05-12,2.45251,2.49792,2.40709,2.49792,2.49792,19998.0
2006-05-15,,,,,,
2006-05-16,,,,,,
2006-05-17,2.36167,2.49792,2.36167,2.49792,2.49792,10503.0
2006-05-18,,,,,,
2006-05-19,,,,,,
2006-05-22,,,,,,
2006-05-23,,,,,,
2006-05-24,,,,,,
2006-05-25,,,,,,
2006-05-26,,,,,,
2006-05-29,,,,,,
2006-05-30,2.36167,2.36167,2.18001,2.18001,2.18001,14223.0
2006-05-31,,,,,,
2006-06-01,,,,,,
2006-06-02,,,,,,
2006-06-05,,,,,,
2006-06-06,2.72501,2.72501,2.49792,2.54334,2.54334,71586.0
2006-06-07,,,,,,
2006-06-08,2.54334,2.54334,2.45251,2.54334,2.54334,21368.0
2006-06-09,,,,,,
2006-06-13,,,,,,
2006-06-14,,,,,,
2006-06-15,,,,,,
2006-06-16,,,,,,
2006-06-19,2.36167,2.49792,2.36167,2.49792,2.49792,15413.0
2006-06-20,,,,,,
2006-06-21,,,,,,
2006-06-22,,,,,,
2006-06-23,,,,,,
2006-06-26,2.81584,3.40626,2.81584,3.40626,3.40626,51659.0
2006-06-27,,,,,,
2006-06-28,,,,,,
2006-06-29,,,,,,
2006-06-30,,,,,,
2006-07-03,,,,,,
2006-07-04,,,,,,
2006-07-05,,,,,,
2006-07-06,,,,,,
2006-07-07,,,,,,
2006-07-10,,,,,,
2006-07-11,,,,,,
2006-07-12,,,,,,
2006-07-13,,,,,,
2006-07-14,,,,,,
2006-07-17,,,,,,
2006-07-18,,,,,,
2006-07-19,,,,,,
2006-07-20,,,,,,
2006-07-21,,,,,,
2006-07-24,,,,,,
2006-07-25,6.2675199999999975,6.35835,6.2221,6.35835,6.35835,7387.0
2006-07-26,,,,,,
2006-07-27,,,,,,
2006-07-28,,,,,,
2006-07-31,,,,,,
2006-08-01,,,,,,
2006-08-02,,,,,,
2006-08-03,,,,,,
2006-08-04,,,,,,
2006-08-07,6.3319,6.46758,6.24144,6.46758,6.46758,9996.0
2006-08-08,,,,,,
2006-08-09,,,,,,
2006-08-10,,,,,,
2006-08-11,,,,,,
2006-08-14,5.87962,5.97007,5.87962,5.87962,5.87962,7412.0
2006-08-15,,,,,,
2006-08-16,,,,,,
2006-08-17,,,,,,
2006-08-18,,,,,,
2006-08-21,,,,,,
2006-08-22,,,,,,
2006-08-23,,,,,,
