Date,Open,High,Low,Close,Adj Close,Volume
2010-12-09,20.23,20.23,20.23,20.23,17.020191,400.0
2010-12-12,20.23,20.299999,20.209999,20.219999,17.011785999999994,60050.0
2010-12-13,20.32,20.32,20.299999,20.299999,17.079088,20000.0
2010-12-14,20.379999,20.379999,20.34,20.34,17.11274,1698.0
2010-12-15,20.34,20.35,20.34,20.35,17.121159,8000.0
2010-12-16,,,,,,
2010-12-19,20.25,20.25,20.25,20.25,17.037022,367.0
2010-12-20,20.26,20.33,20.26,20.33,17.104328,16200.0
2010-12-21,20.379999,20.379999,20.379999,20.379999,17.146397,490.0
2010-12-22,20.49,20.5,20.49,20.5,17.247355,10476.0
2010-12-23,,,,,,
2010-12-28,20.530001,20.530001,20.32,20.34,17.11274,26290.0
2010-12-29,,,,,,
2010-12-30,,,,,,
2011-01-03,20.360001,20.370001,20.25,20.25,17.037022,5525.0
2011-01-04,20.26,20.26,20.1,20.15,16.95289,38375.0
2011-01-05,20.15,20.15,20.08,20.09,16.902407,10125.0
2011-01-06,20.120001,20.120001,20.049999,20.049999,16.868752,10050.0
2011-01-09,,,,,,
2011-01-10,,,,,,
2011-01-11,20.139999,20.139999,20.120001,20.139999,16.944477,19200.0
2011-01-12,20.34,20.450001,20.34,20.450001,17.205289999999998,22700.0
2011-01-13,,,,,,
2011-01-16,20.459999,20.459999,20.32,20.35,17.121159,8810.0
2011-01-17,20.41,20.48,20.41,20.48,17.230526,378.0
2011-01-18,20.51,20.66,20.51,20.66,17.381966000000002,11444.0
2011-01-19,20.5,20.5,20.5,20.5,17.247355,5500.0
2011-01-20,20.5,20.5,20.26,20.299999,17.079088,20565.0
2011-01-23,,,,,,
2011-01-24,,,,,,
2011-01-26,20.75,20.75,20.5,20.52,17.264183,3206.0
2011-01-27,20.469999,20.469999,20.370001,20.370001,17.13798,2888.0
2011-01-30,22.610001,22.610001,20.209999,20.209999,17.003366,12235.0
2011-01-31,20.35,20.35,20.35,20.35,17.121159,650.0
2011-02-01,20.51,20.52,20.49,20.49,17.238939000000002,10026.0
2011-02-02,20.450001,20.58,20.450001,20.58,17.314663,23301.0
2011-02-03,20.76,20.77,20.76,20.76,17.466103,26670.0
2011-02-06,20.799999,20.799999,20.75,20.780001,17.482929000000002,19350.0
2011-02-07,20.879999,20.879999,20.83,20.870001,17.558649,52233.0
2011-02-08,21.040001,21.040001,20.940001,20.959999,17.634369,5926.0
2011-02-09,20.91,20.969999,20.91,20.940001,17.617542,12821.0
2011-02-10,21.0,21.0,20.870001,20.870001,17.558649,12802.0
2011-02-13,20.969999,21.1,20.93,21.1,17.752153,19231.0
2011-02-14,,,,,,
2011-02-15,21.07,21.110001,21.049999,21.110001,17.760569,8648.0
2011-02-16,21.15,21.16,21.120001,21.139999,17.785809,2497.0
2011-02-17,21.15,21.15,21.110001,21.129999,17.777399,234.0
2011-02-20,21.0,21.049999,20.940001,20.98,17.651194,4649.0
2011-02-21,21.030001,21.030001,20.82,20.860001,17.550235999999998,12104.0
2011-02-22,20.82,20.83,20.77,20.77,17.474514000000006,8687.0
2011-02-23,20.709999,20.719999,20.65,20.700001,17.415623,2024.0
2011-02-24,20.700001,20.780001,20.66,20.719999,17.432449,1557.0
2011-02-27,20.73,20.76,20.709999,20.76,17.466103,14798.0
2011-02-28,20.85,20.85,20.76,20.799999,17.499754,922.0
2011-03-01,20.610001,20.68,20.59,20.68,17.398794,16658.0
2011-03-02,,,,,,
2011-03-03,20.9,20.959999,20.9,20.959999,17.634369,26020.0
2011-03-06,20.9,20.9,20.65,20.65,17.373552,5279.0
2011-03-07,20.610001,20.74,20.610001,20.709999,17.424032,75550.0
2011-03-08,20.629999,20.629999,20.549999,20.549999,17.289419,5385.0
2011-03-09,20.5,20.5,20.280001,20.299999,17.079088,9642.0
2011-03-10,20.15,20.15,19.99,20.110001,16.919233,1941.0
