Date,Open,High,Low,Close,Adj Close,Volume
2014-11-20,3.32,3.4,3.21,3.38,2.822262,2301487.0
2014-11-23,3.4,3.4,3.25,3.31,2.7638130000000003,1177516.0
2014-11-24,,,,,,
2014-11-25,3.32,3.33,3.21,3.25,2.7137130000000003,351785.0
2014-11-26,,,,,,
2014-11-27,3.3,3.3,3.27,3.27,2.730413,170124.0
2014-11-30,3.27,3.27,3.25,3.25,2.7137130000000003,1076286.0
2014-12-01,,,,,,
2014-12-02,3.27,3.3,3.26,3.3,2.755463,341737.0
2014-12-03,3.28,3.36,3.27,3.3,2.755463,597458.0
2014-12-04,,,,,,
2014-12-07,,,,,,
2014-12-08,3.4,3.42,3.34,3.36,2.805562,420872.0
2014-12-09,,,,,,
2014-12-10,3.31,3.43,3.31,3.39,2.830612,397830.0
2014-12-11,3.4,3.45,3.39,3.4,2.838962,142871.0
2014-12-14,3.43,3.45,3.38,3.39,2.830612,203067.0
2014-12-15,,,,,,
2014-12-16,,,,,,
2014-12-17,,,,,,
2014-12-18,3.37,3.43,3.37,3.43,2.864011,100976.0
2014-12-21,,,,,,
2014-12-22,3.46,3.5,3.45,3.46,2.889061,155898.0
2014-12-23,,,,,,
2014-12-28,3.5,3.5,3.48,3.48,2.905761,45545.0
2014-12-29,3.5,3.5,3.49,3.49,2.91411,11971.0
2014-12-30,3.5,3.51,3.49,3.5,2.922461,60358.0
2015-01-01,3.5,3.55,3.49,3.54,2.95586,47229.0
2015-01-04,,,,,,
2015-01-05,3.49,3.53,3.49,3.52,2.93916,398365.0
2015-01-06,,,,,,
2015-01-07,3.58,3.75,3.58,3.66,3.056059,197484.0
2015-01-08,3.68,3.74,3.68,3.74,3.1228580000000004,123503.0
2015-01-11,3.71,3.85,3.71,3.81,3.181307,154571.0
2015-01-12,3.82,3.82,3.65,3.75,3.131207,91373.0
2015-01-13,,,,,,
2015-01-14,,,,,,
2015-01-15,3.53,3.615,3.53,3.6,3.005959,50812.0
2015-01-18,3.61,3.64,3.57,3.6,3.005959,54414.0
2015-01-19,3.6,3.67,3.6,3.67,3.064409,121461.0
2015-01-20,,,,,,
2015-01-21,3.65,3.69,3.61,3.65,3.047709,167476.0
2015-01-22,3.65,3.78,3.6,3.67,3.064409,102213.0
2015-01-26,,,,,,
2015-01-27,3.8,3.82,3.78,3.82,3.189657,355747.0
2015-01-28,3.8,3.84,3.78,3.83,3.198007,108978.0
2015-01-29,,,,,,
2015-02-01,,,,,,
2015-02-02,3.78,3.88,3.78,3.88,3.2397560000000003,437105.0
2015-02-03,,,,,,
2015-02-04,4.08,4.25,4.05,4.24,3.5403519999999995,186214.0
2015-02-05,4.25,4.28,4.21,4.25,3.548702,245231.0
2015-02-08,4.25,4.26,4.07,4.07,3.3984050000000003,404977.0
2015-02-09,4.1,4.14,4.01,4.03,3.3650050000000005,271472.0
2015-02-10,4.15,4.19,4.08,4.1,3.423454,203914.0
2015-02-11,4.15,4.19,4.06,4.09,3.415104,191238.0
2015-02-12,4.1,4.1,4.04,4.07,3.3984050000000003,169119.0
2015-02-15,,,,,,
2015-02-16,4.28,4.28,4.2,4.24,3.5403519999999995,132357.0
2015-02-17,4.24,4.39,4.2,4.34,3.623851,224730.0
2015-02-18,4.35,4.4,4.3,4.37,3.648901,171339.0
2015-02-19,,,,,,
2015-02-22,4.42,4.55,4.42,4.5,3.75745,98144.0
2015-02-23,,,,,,
2015-02-24,,,,,,
2015-02-25,,,,,,
2015-02-26,4.41,4.8,4.41,4.72,3.941146,764889.0
2015-03-01,4.68,4.79,4.68,4.72,3.941146,178385.0
2015-03-02,4.71,4.99,4.71,4.9,4.131446,118955.0
2015-03-03,4.85,4.87,4.77,4.77,4.021836,235132.0
2015-03-04,4.74,4.87,4.74,4.8,4.047132,75599.0
2015-03-05,4.92,4.92,4.74,4.8,4.047132,82239.0
2015-03-08,4.74,4.75,4.62,4.69,3.954384,176091.0
2015-03-09,4.71,4.73,4.54,4.55,3.836343,360435.0
2015-03-10,4.53,4.6,4.53,4.59,3.870069,416350.0
2015-03-11,4.6,4.71,4.6,4.65,3.920658,337459.0
2015-03-12,4.68,4.85,4.64,4.7,3.962815,160565.0
2015-03-15,4.7,4.82,4.7,4.74,3.996541000000001,91461.0
2015-03-16,4.77,4.92,4.75,4.89,4.123014,228825.0
2015-03-17,4.9,4.99,4.89,4.97,4.190467,268930.0
2015-03-18,4.98,5.19,4.95,4.99,4.207329,944932.0
2015-03-19,5.0,5.0,4.86,4.89,4.123014,1430152.0
2015-03-22,4.88,4.9,4.83,4.88,4.1145830000000005,59232.0
2015-03-23,4.89,4.96,4.84,4.92,4.1483089999999985,128151.0
2015-03-24,4.9,4.93,4.86,4.92,4.1483089999999985,198643.0
2015-03-25,4.9,5.09,4.9,5.0,4.215761,251152.0
2015-03-26,5.0,5.05,4.92,5.0,4.215761,95420.0
2015-03-29,4.97,5.0,4.92,4.94,4.165173,47673.0
2015-03-30,4.95,5.0,4.88,4.89,4.123014,89622.0
2015-03-31,4.9,5.03,4.79,4.8,4.047132,293051.0
2015-04-01,4.84,4.84,4.6,4.65,3.920658,1071446.0
2015-04-07,4.65,4.75,4.44,4.48,3.777322,730981.0
2015-04-08,4.5,4.6,4.43,4.5,3.794185,446106.0
2015-04-09,4.5,4.52,4.35,4.41,3.718301,443117.0
2015-04-10,4.45,4.55,4.45,4.5,3.794185,584751.0
2015-04-13,4.53,4.61,4.5,4.52,3.811048,288099.0
2015-04-14,4.52,4.7,4.52,4.7,3.962815,749892.0
2015-04-15,4.7,4.745,4.67,4.7,3.962815,1520322.0
2015-04-16,4.69,4.73,4.62,4.66,3.929089,194761.0
2015-04-17,4.69,4.72,4.6,4.63,3.903795,108934.0
2015-04-20,4.62,4.71,4.53,4.59,3.870069,236774.0
2015-04-21,4.56,4.61,4.5,4.5,3.794185,339011.0
2015-04-22,4.55,4.55,4.45,4.5,3.794185,257260.0
2015-04-23,4.5,4.5,4.3,4.49,3.785753,249515.0
2015-04-24,4.49,4.51,4.42,4.49,3.785753,151457.0
2015-04-27,4.46,4.54,4.45,4.5,3.794185,255690.0
2015-04-28,4.48,4.49,4.4,4.45,3.752028,70152.0
2015-04-29,4.4,4.42,4.3,4.32,3.642418,127623.0
2015-04-30,4.3,4.32,4.2,4.32,3.642418,196148.0
2015-05-01,4.32,4.42,4.26,4.3,3.625555,78589.0
2015-05-04,4.35,4.36,4.29,4.34,3.659281,84203.0
2015-05-05,4.34,4.5,4.33,4.34,3.659281,96238.0
2015-05-06,4.38,4.38,4.18,4.21,3.549671,127429.0
2015-05-07,4.19,4.39,4.15,4.35,3.667712,264804.0
2015-05-08,4.33,4.41,4.15,4.32,3.642418,230680.0
