Date,Open,High,Low,Close,Adj Close,Volume
2000-12-11,1.9,1.9,1.9,1.9,0.7441909999999999,0.0
2000-12-12,1.662,1.7,1.41,1.43,0.560102,6983017.0
2000-12-13,1.45,1.61,1.41,1.6,0.626687,1845383.0
2000-12-14,1.61,1.61,1.51,1.54,0.603187,712749.0
2000-12-17,1.52,1.53,1.48,1.51,0.591436,371289.0
2000-12-18,1.54,1.59,1.52,1.57,0.614937,417658.0
2000-12-19,1.59,1.65,1.58,1.6,0.626687,358881.0
2000-12-20,1.58,1.58,1.52,1.57,0.614937,327573.0
2000-12-21,1.6,1.62,1.55,1.59,0.622771,120573.0
2000-12-24,,,,,,
2000-12-25,,,,,,
2000-12-26,1.59,1.59,1.55,1.58,0.618854,67837.0
2000-12-27,1.55,1.57,1.53,1.57,0.614937,63149.0
2000-12-28,1.55,1.55,1.53,1.53,0.59927,53048.0
2000-12-31,,,,,,
2001-01-01,1.55,1.55,1.52,1.55,0.607103,131040.0
2001-01-02,1.54,1.54,1.5,1.5,0.587519,87844.0
2001-01-03,1.54,1.57,1.5,1.51,0.591436,115928.0
2001-01-04,1.52,1.52,1.49,1.49,0.5836020000000001,141028.0
2001-01-07,1.49,1.49,1.43,1.43,0.560102,228832.0
2001-01-08,1.43,1.43,1.31,1.4,0.5483520000000001,240745.0
2001-01-09,1.4,1.4,1.2,1.3,0.5091829999999999,320256.0
2001-01-10,1.3,1.37,1.3,1.34,0.5248510000000001,143493.0
2001-01-11,1.35,1.36,1.31,1.34,0.5248510000000001,102521.0
2001-01-14,1.32,1.32,1.25,1.25,0.48959899999999995,276227.0
2001-01-15,1.233,1.233,1.1,1.21,0.47393199999999996,258568.0
2001-01-16,1.21,1.28,1.2,1.27,0.497433,97842.0
2001-01-17,1.3,1.42,1.3,1.37,0.536601,175775.0
2001-01-18,1.38,1.5,1.38,1.5,0.587519,193323.0
2001-01-21,1.52,1.57,1.52,1.53,0.59927,255524.0
2001-01-22,1.5,1.55,1.48,1.55,0.607103,167765.0
2001-01-23,1.55,1.57,1.55,1.57,0.614937,292014.0
2001-01-24,1.56,1.59,1.55,1.59,0.622771,82120.0
2001-01-25,,,,,,
2001-01-28,1.59,1.59,1.54,1.54,0.603187,50762.0
2001-01-29,1.575,1.59,1.55,1.57,0.614937,58099.0
2001-01-30,1.6,1.6,1.55,1.56,0.61102,215396.0
2001-01-31,1.55,1.55,1.45,1.47,0.575769,176576.0
2001-02-01,1.45,1.45,1.41,1.45,0.5679350000000001,134073.0
2001-02-04,1.46,1.46,1.4,1.4,0.5483520000000001,122726.0
2001-02-05,1.47,1.47,1.41,1.46,0.571852,158827.0
2001-02-06,1.514,1.514,1.4,1.4,0.5483520000000001,127077.0
2001-02-07,1.41,1.48,1.41,1.45,0.5679350000000001,85807.0
2001-02-08,1.42,1.44,1.41,1.41,0.552268,41619.0
2001-02-11,1.41,1.41,1.33,1.37,0.536601,141620.0
2001-02-12,1.34,1.38,1.33,1.35,0.528767,159907.0
2001-02-13,1.34,1.34,1.3,1.34,0.5248510000000001,100069.0
2001-02-14,1.3430000000000002,1.35,1.34,1.34,0.5248510000000001,349532.0
