Date,Open,High,Low,Close,Adj Close,Volume
2018-02-18,,,,,,
2018-02-19,0.098,0.1775,0.085,0.16,0.16,63273009.0
2018-02-20,0.16,0.18,0.13,0.13,0.13,25384644.0
2018-02-21,0.13,0.14,0.12,0.13,0.13,16163461.0
2018-02-22,0.14,0.18,0.135,0.18,0.18,25597683.0
2018-02-25,0.215,0.2375,0.2,0.2,0.2,56449030.0
2018-02-27,0.2,0.215,0.19,0.205,0.205,13840321.0
2018-02-28,0.18,0.19,0.172,0.175,0.175,8379866.0
2018-03-01,0.165,0.165,0.15,0.16,0.16,9795083.0
2018-03-04,0.16,0.175,0.145,0.145,0.145,9355220.0
2018-03-05,0.15,0.15,0.135,0.14,0.14,6569168.0
2018-03-06,0.135,0.155,0.135,0.15,0.15,5808956.0
2018-03-07,0.155,0.165,0.155,0.155,0.155,3151009.0
2018-03-08,0.155,0.18,0.15,0.165,0.165,11831469.0
2018-03-11,0.175,0.18,0.17,0.17,0.17,3699192.0
2018-03-12,0.17,0.17,0.155,0.16,0.16,3883859.0
2018-03-13,0.16,0.165,0.155,0.155,0.155,1572919.0
2018-03-14,0.155,0.185,0.155,0.165,0.165,12432426.0
2018-03-15,0.165,0.17,0.16,0.16,0.16,3395763.0
2018-03-18,0.165,0.17,0.16,0.16,0.16,2135862.0
2018-03-19,0.165,0.185,0.165,0.18,0.18,8267797.0
2018-03-20,0.19,0.2375,0.19,0.215,0.215,23442954.0
2018-03-21,0.185,0.225,0.18,0.215,0.215,11961315.0
2018-03-22,0.225,0.26,0.21,0.235,0.235,21853514.0
2018-03-25,0.23,0.27,0.195,0.24,0.24,19318604.0
2018-03-26,0.265,0.29,0.24,0.24,0.24,21735830.0
2018-03-27,0.235,0.28,0.23,0.255,0.255,23548856.0
2018-03-28,0.26,0.265,0.235,0.235,0.235,5861154.0
2018-04-03,0.24,0.247,0.215,0.215,0.215,9768937.0
2018-04-04,0.225,0.235,0.215,0.22,0.22,5731014.0
2018-04-05,0.22,0.22,0.205,0.205,0.205,2888400.0
2018-04-06,0.205,0.205,0.185,0.19,0.19,8004937.0
2018-04-09,0.185,0.185,0.175,0.185,0.185,5129186.0
2018-04-10,0.185,0.225,0.185,0.225,0.225,5392782.0
2018-04-11,0.23,0.245,0.205,0.205,0.205,5966456.0
2018-04-12,0.205,0.23,0.2,0.2,0.2,8774794.0
2018-04-13,0.205,0.21,0.195,0.195,0.195,3833790.0
2018-04-16,0.2,0.2,0.19,0.19,0.19,2917816.0
2018-04-17,0.19,0.215,0.19,0.2,0.2,5651006.0
2018-04-18,0.2,0.205,0.195,0.195,0.195,1754228.0
2018-04-19,0.2,0.205,0.195,0.195,0.195,1633601.0
2018-04-20,0.195,0.2,0.195,0.195,0.195,1225016.0
2018-04-23,0.2,0.2,0.19,0.19,0.19,1375857.0
2018-04-24,0.195,0.195,0.19,0.19,0.19,727284.0
2018-04-26,0.19,0.195,0.18,0.18,0.18,1283289.0
2018-04-27,0.185,0.185,0.165,0.165,0.165,6345826.0
2018-04-30,0.17,0.175,0.165,0.175,0.175,854432.0
2018-05-01,0.175,0.18,0.165,0.165,0.165,1426025.0
2018-05-02,0.165,0.17,0.165,0.17,0.17,616377.0
2018-05-03,0.175,0.18,0.165,0.165,0.165,1927452.0
2018-05-04,0.17,0.17,0.16,0.16,0.16,2693803.0
2018-05-07,0.165,0.165,0.16,0.16,0.16,980647.0
2018-05-08,0.165,0.175,0.165,0.17,0.17,1056239.0
2018-05-09,0.17,0.175,0.165,0.165,0.165,1574407.0
2018-05-10,0.17,0.175,0.17,0.175,0.175,862595.0
2018-05-11,0.175,0.185,0.175,0.175,0.175,947992.0
2018-05-14,0.175,0.18,0.165,0.17,0.17,1037028.0
2018-05-15,0.17,0.17,0.16,0.16,0.16,2391122.0
2018-05-16,0.16,0.16,0.15,0.155,0.155,3886278.0
2018-05-17,0.155,0.165,0.155,0.155,0.155,912227.0
2018-05-18,0.155,0.155,0.145,0.145,0.145,2018815.0
2018-05-21,0.145,0.15,0.135,0.14,0.14,4380234.0
2018-05-22,0.145,0.15,0.135,0.14,0.14,4380234.0
2018-05-23,0.14,0.14,0.14,0.14,0.14,0.0
2018-05-24,0.165,0.17,0.155,0.155,0.155,7250534.0
2018-05-25,0.155,0.155,0.14,0.14,0.14,2721171.0
2018-05-28,0.14,0.145,0.13,0.135,0.135,3225241.0
2018-05-29,0.13,0.135,0.13,0.13,0.13,3668167.0
2018-05-30,0.145,0.145,0.14,0.145,0.145,4578206.0
2018-05-31,0.145,0.145,0.14,0.14,0.14,776814.0
2018-06-01,0.14,0.1425,0.14,0.14,0.14,1188714.0
2018-06-04,0.13,0.135,0.12,0.125,0.125,7717902.0
2018-06-05,0.125,0.125,0.11,0.12,0.12,4794528.0
