Date,Open,High,Low,Close,Adj Close,Volume
2014-04-17,2.41,2.7,2.41,2.7,2.2151400000000003,18502724.0
2014-04-22,2.7,2.73,2.59,2.6,2.133098,3605748.0
2014-04-23,2.6,2.62,2.55,2.57,2.108485,3499961.0
2014-04-24,2.57,2.58,2.54,2.56,2.1002810000000003,1686587.0
2014-04-28,2.56,2.56,2.55,2.56,2.1002810000000003,352223.0
2014-04-29,2.55,2.62,2.55,2.6,2.133098,1733274.0
2014-04-30,2.64,2.65,2.6,2.6,2.133098,2573494.0
2014-05-01,2.63,2.63,2.57,2.57,2.108485,788198.0
2014-05-02,2.6,2.6,2.49,2.51,2.0592599999999996,4895450.0
2014-05-05,2.52,2.55,2.5,2.52,2.0674639999999997,180745.0
2014-05-06,2.52,2.56,2.52,2.55,2.092077,1382670.0
2014-05-07,2.55,2.6,2.55,2.58,2.116689,832458.0
2014-05-08,2.58,2.6,2.57,2.58,2.116689,466557.0
2014-05-09,2.6,2.6,2.58,2.6,2.133098,206759.0
2014-05-12,2.59,2.61,2.56,2.59,2.124894,577214.0
2014-05-13,2.59,2.64,2.59,2.61,2.141302,604836.0
2014-05-14,2.61,2.61,2.61,2.61,2.141302,0.0
2014-05-15,2.39,2.49,2.39,2.47,2.026443,11050694.0
2014-05-16,2.47,2.48,2.45,2.48,2.034647,1377065.0
2014-05-19,2.48,2.48,2.45,2.45,2.010035,615997.0
2014-05-20,2.47,2.48,2.45,2.47,2.026443,511191.0
2014-05-21,2.48,2.56,2.47,2.56,2.1002810000000003,2733628.0
2014-05-22,2.6,2.62,2.55,2.6,2.133098,2399588.0
2014-05-23,2.64,2.64,2.6,2.64,2.165915,750008.0
2014-05-26,2.63,2.68,2.61,2.65,2.1741189999999997,804355.0
2014-05-27,2.66,2.69,2.62,2.66,2.182323,659986.0
2014-05-28,2.67,2.75,2.66,2.72,2.2315490000000002,509653.0
2014-05-29,2.79,2.79,2.7,2.7,2.2151400000000003,621999.0
2014-05-30,2.7,2.72,2.7,2.7,2.2151400000000003,364652.0
2014-06-02,2.71,2.72,2.68,2.72,2.2315490000000002,1183499.0
2014-06-03,2.7,2.7,2.64,2.66,2.182323,308255.0
