Date,Open,High,Low,Close,Adj Close,Volume
2004-06-08,0.2,0.2,0.17,0.17,0.17,925000.0
2004-06-09,0.17,0.175,0.17,0.175,0.175,310000.0
2004-06-10,0.175,0.175,0.175,0.175,0.175,5714.0
2004-06-11,0.175,0.175,0.175,0.175,0.175,174142.0
2004-06-14,,,,,,
2004-06-15,0.175,0.175,0.17,0.17,0.17,261000.0
2004-06-16,0.17,0.185,0.17,0.185,0.185,214144.0
2004-06-17,0.185,0.185,0.185,0.185,0.185,6500.0
2004-06-18,0.18,0.18,0.17,0.18,0.18,264746.0
2004-06-21,0.16,0.16,0.16,0.16,0.16,7272.0
2004-06-22,0.175,0.175,0.175,0.175,0.175,10000.0
2004-06-23,,,,,,
2004-06-24,,,,,,
2004-06-25,,,,,,
2004-06-28,,,,,,
2004-06-29,0.165,0.165,0.16,0.16,0.16,157228.0
2004-06-30,0.16,0.165,0.16,0.165,0.165,272772.0
2004-07-01,0.17,0.17,0.17,0.17,0.17,25000.0
2004-07-02,0.17,0.17,0.17,0.17,0.17,5000.0
2004-07-05,0.17,0.175,0.17,0.175,0.175,405000.0
2004-07-06,0.18,0.18,0.18,0.18,0.18,257928.0
2004-07-07,0.18,0.18,0.18,0.18,0.18,97572.0
2004-07-08,,,,,,
2004-07-09,0.17,0.18,0.17,0.18,0.18,155000.0
2004-07-12,,,,,,
2004-07-13,,,,,,
2004-07-14,,,,,,
2004-07-15,0.17,0.185,0.17,0.185,0.185,322254.0
2004-07-16,0.175,0.18,0.175,0.18,0.18,46500.0
2004-07-19,,,,,,
2004-07-20,,,,,,
2004-07-21,,,,,,
2004-07-22,,,,,,
2004-07-23,,,,,,
2004-07-26,,,,,,
2004-07-27,0.18,0.18,0.18,0.18,0.18,20000.0
2004-07-28,0.18,0.18,0.18,0.18,0.18,119300.0
2004-07-29,,,,,,
2004-07-30,,,,,,
2004-08-02,0.18,0.19,0.18,0.19,0.19,209700.0
2004-08-03,0.19,0.19,0.185,0.185,0.185,34482.0
2004-08-04,0.185,0.195,0.185,0.195,0.195,220518.0
2004-08-05,0.2,0.22,0.2,0.215,0.215,361000.0
2004-08-06,0.22,0.22,0.215,0.215,0.215,72185.0
2004-08-09,0.22,0.22,0.21,0.21,0.21,54700.0
2004-08-10,0.205,0.205,0.205,0.205,0.205,29800.0
2004-08-11,0.215,0.215,0.2,0.215,0.215,101580.0
2004-08-12,0.21,0.23,0.21,0.22,0.22,199750.0
2004-08-13,0.22,0.22,0.22,0.22,0.22,10000.0
2004-08-16,0.22,0.22,0.22,0.22,0.22,5000.0
2004-08-17,0.22,0.22,0.21,0.21,0.21,29000.0
2004-08-18,0.205,0.205,0.205,0.205,0.205,20000.0
2004-08-19,0.215,0.215,0.215,0.215,0.215,10000.0
2004-08-20,0.22,0.22,0.22,0.22,0.22,200000.0
2004-08-23,0.215,0.215,0.21,0.21,0.21,80000.0
2004-08-24,0.21,0.21,0.2,0.2,0.2,327000.0
2004-08-25,0.2,0.21,0.2,0.21,0.21,123000.0
