Date,Open,High,Low,Close,Adj Close,Volume
2009-11-12,1.775,1.82,1.74,1.76,0.962705,66149100.0
2009-11-15,1.78,1.795,1.76,1.77,0.968175,9805500.0
2009-11-16,1.78,1.79,1.76,1.76,0.962705,3935800.0
2009-11-17,1.75,1.75,1.715,1.725,0.94356,4924300.0
2009-11-18,1.725,1.735,1.72,1.725,0.94356,4115800.0
2009-11-19,1.715,1.72,1.695,1.7,0.929886,4812000.0
2009-11-22,1.695,1.705,1.69,1.705,0.932621,3074000.0
2009-11-23,1.7,1.71,1.67,1.71,0.935356,2569400.0
2009-11-24,1.71,1.735,1.7,1.72,0.940825,2233600.0
2009-11-25,1.72,1.74,1.72,1.73,0.946295,1066300.0
2009-11-26,1.69,1.72,1.68,1.7,0.929886,2401600.0
2009-11-29,1.69,1.7,1.68,1.7,0.929886,1873600.0
2009-11-30,1.685,1.7,1.665,1.665,0.910741,2520900.0
2009-12-01,1.665,1.665,1.6,1.605,0.877921,2172900.0
2009-12-02,1.61,1.68,1.61,1.68,0.918946,1779300.0
2009-12-03,1.68,1.68,1.64,1.66,0.908006,564300.0
2009-12-06,1.665,1.67,1.615,1.63,0.8915959999999999,494200.0
2009-12-07,1.615,1.64,1.615,1.63,0.8915959999999999,630400.0
2009-12-08,1.62,1.635,1.615,1.625,0.888861,795300.0
2009-12-09,1.635,1.65,1.635,1.645,0.8998010000000001,609300.0
2009-12-10,1.65,1.68,1.65,1.67,0.913476,446800.0
2009-12-13,1.685,1.685,1.665,1.665,0.910741,240800.0
2009-12-14,1.66,1.67,1.645,1.67,0.913476,1435000.0
2009-12-15,1.65,1.67,1.64,1.67,0.913476,502300.0
2009-12-16,1.66,1.66,1.645,1.645,0.8998010000000001,188000.0
2009-12-17,1.635,1.635,1.61,1.63,0.8915959999999999,837600.0
2009-12-20,1.63,1.64,1.625,1.63,0.8915959999999999,464600.0
2009-12-21,1.62,1.645,1.61,1.635,0.894331,768200.0
2009-12-22,1.62,1.63,1.61,1.625,0.888861,751600.0
2009-12-23,1.635,1.645,1.625,1.64,0.897066,1052900.0
2009-12-28,,,,,,
2009-12-29,1.63,1.635,1.615,1.62,0.886126,601200.0
2009-12-30,1.625,1.63,1.615,1.62,0.886126,1690700.0
2010-01-03,1.62,1.63,1.57,1.595,0.872452,551637.0
2010-01-04,1.6,1.6,1.515,1.565,0.856042,2860639.0
2010-01-05,1.56,1.585,1.535,1.54,0.842367,1652856.0
2010-01-06,1.54,1.58,1.54,1.58,0.864247,2034256.0
2010-01-07,1.6,1.61,1.565,1.6,0.875186,2920580.0
2010-01-10,1.585,1.6,1.58,1.59,0.869717,146615.0
2010-01-11,1.595,1.595,1.585,1.595,0.872452,284324.0
2010-01-12,1.56,1.625,1.56,1.6,0.875186,542651.0
2010-01-13,1.6,1.62,1.6,1.605,0.877921,422759.0
2010-01-14,1.605,1.615,1.605,1.615,0.883391,700135.0
2010-01-17,1.61,1.62,1.61,1.615,0.883391,169428.0
2010-01-18,1.605,1.61,1.58,1.595,0.872452,514508.0
2010-01-19,1.58,1.6,1.575,1.6,0.875186,1125774.0
2010-01-20,1.58,1.58,1.57,1.58,0.864247,385880.0
2010-01-21,1.575,1.58,1.555,1.57,0.858777,205183.0
2010-01-24,1.57,1.57,1.55,1.56,0.8533069999999999,60076.0
2010-01-26,1.56,1.6,1.56,1.58,0.864247,8861851.0
2010-01-27,1.58,1.6,1.56,1.585,0.8669819999999999,2327104.0
2010-01-28,1.565,1.575,1.55,1.55,0.8478370000000001,610319.0
2010-01-31,1.55,1.585,1.55,1.57,0.858777,506170.0
2010-02-01,1.57,1.615,1.565,1.57,0.858777,479280.0
2010-02-02,1.6,1.61,1.58,1.595,0.872452,378485.0
2010-02-03,1.59,1.59,1.55,1.59,0.869717,297555.0
2010-02-04,1.55,1.55,1.5,1.535,0.8396319999999999,1151675.0
2010-02-07,1.55,1.57,1.525,1.54,0.842367,401480.0
2010-02-08,1.53,1.535,1.505,1.52,0.831427,413920.0
2010-02-09,1.52,1.525,1.48,1.505,0.8232219999999999,727222.0
2010-02-10,1.53,1.555,1.505,1.54,0.842367,362641.0
2010-02-11,1.56,1.57,1.54,1.55,0.8478370000000001,622918.0
2010-02-14,1.555,1.58,1.55,1.58,0.864247,325920.0
2010-02-15,1.58,1.615,1.575,1.615,0.883391,667502.0
2010-02-16,1.625,1.63,1.595,1.625,0.888861,583575.0
2010-02-17,1.62,1.65,1.615,1.65,0.902536,580523.0
2010-02-18,1.64,1.645,1.625,1.64,0.897066,482415.0
2010-02-21,1.625,1.68,1.62,1.66,0.908006,489769.0
2010-02-22,1.66,1.665,1.65,1.665,0.910741,413671.0
2010-02-23,1.675,1.68,1.645,1.665,0.910741,230502.0
2010-02-24,1.64,1.67,1.64,1.645,0.8998010000000001,500188.0
2010-02-25,1.64,1.66,1.61,1.65,0.902536,253745.0
2010-02-28,1.66,1.68,1.655,1.68,0.918946,541937.0
2010-03-01,1.68,1.69,1.665,1.69,0.924416,748394.0
2010-03-02,1.69,1.69,1.68,1.69,0.924416,466789.0
2010-03-03,1.68,1.71,1.68,1.71,0.935356,1366678.0
2010-03-04,1.7,1.71,1.695,1.705,0.932621,417353.0
2010-03-07,1.705,1.71,1.7,1.705,0.932621,415644.0
2010-03-08,1.705,1.745,1.7,1.7,0.929886,1501981.0
2010-03-09,1.7,1.73,1.7,1.72,0.940825,950387.0
2010-03-10,1.715,1.725,1.7,1.7,0.929886,1252136.0
2010-03-11,1.715,1.72,1.705,1.71,0.935356,780971.0
2010-03-14,1.72,1.725,1.7,1.715,0.93809,349975.0
2010-03-15,1.715,1.715,1.7,1.705,0.932621,339308.0
2010-03-16,1.715,1.75,1.7,1.74,0.951765,725966.0
2010-03-17,1.87,1.91,1.825,1.91,1.0447540000000002,8959117.0
2010-03-18,1.89,1.925,1.83,1.91,1.0447540000000002,6804750.0
2010-03-21,1.86,1.9,1.86,1.9,1.039284,574579.0
2010-03-22,1.9,1.9,1.835,1.865,1.020139,736605.0
2010-03-23,1.865,1.88,1.855,1.88,1.028344,532056.0
2010-03-24,1.85,1.87,1.825,1.85,1.011934,1384489.0
2010-03-25,1.835,1.875,1.83,1.85,1.011934,594277.0
2010-03-28,1.86,1.88,1.86,1.88,1.028344,550731.0
2010-03-29,1.875,1.895,1.875,1.89,1.033814,898559.0
2010-03-30,1.89,1.9,1.88,1.89,1.033814,502237.0
2010-03-31,1.895,1.9,1.88,1.89,1.033814,1209486.0
2010-04-06,1.89,1.91,1.89,1.91,1.0447540000000002,296876.0
2010-04-07,1.91,1.92,1.9,1.915,1.047489,1534626.0
