Date,Open,High,Low,Close,Adj Close,Volume
2016-09-07,0.2,0.2,0.175,0.195,0.195,417476
2016-09-08,0.19,0.19,0.155,0.175,0.175,320693
2016-09-09,0.19,0.2,0.185,0.19,0.19,343722
2016-09-12,0.195,0.195,0.195,0.195,0.195,80000
2016-09-13,0.19,0.19,0.165,0.165,0.165,312425
2016-09-14,0.165,0.165,0.145,0.15,0.15,314781
2016-09-15,0.155,0.17,0.15,0.15,0.15,343732
2016-09-16,0.15,0.165,0.15,0.15,0.15,110772
2016-09-19,0.15,0.15,0.13,0.13,0.13,138250
2016-09-20,0.14,0.14,0.135,0.135,0.135,52750
2016-09-21,0.135,0.135,0.125,0.125,0.125,394000
2016-09-22,0.13,0.13,0.13,0.13,0.13,20000
2016-09-23,0.15,0.15,0.135,0.15,0.15,181380
2016-09-26,0.16,0.16,0.16,0.16,0.16,80000
2016-09-27,0.165,0.17,0.165,0.17,0.17,94776
2016-09-28,0.17,0.18,0.17,0.18,0.18,119700
2016-09-29,0.18,0.18,0.17,0.17,0.17,38000
2016-09-30,0.17,0.17,0.17,0.17,0.17,42947
2016-10-02,0.165,0.165,0.155,0.155,0.155,96436
2016-10-03,0.16,0.16,0.16,0.16,0.16,16276
2016-10-04,0.16,0.16,0.16,0.16,0.16,0
2016-10-05,0.175,0.175,0.165,0.165,0.165,12994
2016-10-06,0.165,0.165,0.165,0.165,0.165,0
2016-10-09,0.17,0.18,0.17,0.175,0.175,81685
2016-10-10,0.175,0.175,0.175,0.175,0.175,44300
2016-10-11,0.18,0.18,0.18,0.18,0.18,23290
2016-10-12,0.18,0.18,0.18,0.18,0.18,94798
2016-10-13,0.18,0.18,0.17,0.17,0.17,23012
2016-10-16,0.17,0.18,0.17,0.18,0.18,48536
2016-10-17,0.18,0.18,0.18,0.18,0.18,0
2016-10-18,0.18,0.18,0.18,0.18,0.18,0
2016-10-19,0.18,0.18,0.18,0.18,0.18,8801
2016-10-20,0.18,0.25,0.18,0.23,0.23,1530002
2016-10-23,0.23,0.24,0.225,0.23,0.23,107837
2016-10-24,0.225,0.225,0.21,0.215,0.215,232432
2016-10-25,0.225,0.225,0.21,0.21,0.21,81530
2016-10-26,0.22,0.22,0.22,0.22,0.22,100000
2016-10-27,0.22,0.22,0.215,0.215,0.215,29416
2016-10-30,0.23,0.285,0.23,0.285,0.285,392210
2016-10-31,0.28,0.28,0.245,0.27,0.27,282748
2016-11-01,0.285,0.315,0.28,0.28,0.28,117480
2016-11-02,0.28,0.28,0.255,0.255,0.255,40900
2016-11-03,0.28,0.28,0.26,0.28,0.28,268400
