Date,Open,High,Low,Close,Adj Close,Volume
2017-03-26,,,,,,
2017-03-27,0.22,0.22,0.175,0.18,0.18,693179.0
2017-03-28,,,,,,
2017-03-29,0.175,0.175,0.15,0.155,0.155,953315.0
2017-03-30,,,,,,
2017-04-03,0.15,0.16,0.15,0.155,0.155,84537.0
2017-04-04,0.157,0.16,0.155,0.155,0.155,68875.0
2017-04-05,,,,,,
2017-04-06,0.17,0.17,0.165,0.165,0.165,128939.0
2017-04-07,0.16,0.16,0.15,0.155,0.155,47666.0
2017-04-10,0.15,0.15,0.15,0.15,0.15,115001.0
2017-04-11,0.15,0.15,0.125,0.15,0.15,73000.0
2017-04-12,0.15,0.15,0.145,0.145,0.145,32866.0
2017-04-13,0.145,0.145,0.145,0.145,0.145,5000.0
2017-04-18,0.145,0.145,0.145,0.145,0.145,0.0
2017-04-19,0.15,0.15,0.15,0.15,0.15,6500.0
2017-04-20,0.15,0.15,0.14,0.14,0.14,61000.0
2017-04-21,0.14,0.14,0.14,0.14,0.14,3211.0
2017-04-24,0.145,0.165,0.145,0.16,0.16,73777.0
2017-04-26,0.16,0.165,0.16,0.165,0.165,8422.0
2017-04-27,0.16,0.165,0.16,0.165,0.165,27406.0
2017-04-28,0.165,0.165,0.165,0.165,0.165,0.0
2017-05-01,0.165,0.165,0.165,0.165,0.165,20500.0
2017-05-02,0.15,0.15,0.15,0.15,0.15,57713.0
2017-05-03,0.15,0.15,0.15,0.15,0.15,0.0
2017-05-04,0.15,0.15,0.15,0.15,0.15,0.0
2017-05-05,0.155,0.16,0.155,0.155,0.155,13460.0
2017-05-08,0.145,0.145,0.145,0.145,0.145,50000.0
2017-05-09,0.15,0.15,0.145,0.145,0.145,15000.0
2017-05-10,0.15,0.15,0.145,0.15,0.15,108965.0
2017-05-11,0.15,0.15,0.15,0.15,0.15,0.0
2017-05-12,0.13,0.13,0.13,0.13,0.13,25187.0
2017-05-15,0.12,0.12,0.12,0.12,0.12,51225.0
2017-05-16,0.13,0.13,0.12,0.12,0.12,70267.0
2017-05-17,0.12,0.13,0.12,0.13,0.13,70958.0
2017-05-18,0.13,0.13,0.12,0.12,0.12,30500.0
2017-05-19,0.125,0.125,0.125,0.125,0.125,55500.0
2017-05-22,0.125,0.125,0.125,0.125,0.125,20075.0
2017-05-23,0.125,0.135,0.125,0.135,0.135,24000.0
2017-05-24,0.135,0.135,0.135,0.135,0.135,4000.0
2017-05-25,0.135,0.135,0.125,0.125,0.125,4407.0
2017-05-26,0.13,0.135,0.13,0.135,0.135,39220.0
2017-05-29,0.135,0.135,0.13,0.13,0.13,30000.0
2017-05-30,0.135,0.14,0.135,0.14,0.14,20500.0
2017-05-31,0.13,0.13,0.13,0.13,0.13,4000.0
2017-06-01,0.13,0.13,0.125,0.13,0.13,105000.0
2017-06-02,0.13,0.13,0.13,0.13,0.13,1276.0
2017-06-05,0.125,0.125,0.125,0.125,0.125,6668.0
2017-06-06,0.115,0.115,0.1,0.105,0.105,150405.0
2017-06-07,0.1,0.115,0.1,0.1,0.1,129612.0
2017-06-08,0.1,0.105,0.1,0.105,0.105,71000.0
2017-06-09,0.105,0.105,0.105,0.105,0.105,0.0
2017-06-13,0.105,0.11,0.105,0.11,0.11,20000.0
2017-06-14,0.11,0.11,0.1,0.1,0.1,82532.0
2017-06-15,0.1,0.1,0.1,0.1,0.1,52000.0
2017-06-16,0.1,0.1,0.1,0.1,0.1,25000.0
2017-06-19,0.1,0.1,0.1,0.1,0.1,10000.0
2017-06-20,0.1,0.1,0.1,0.1,0.1,161451.0
2017-06-21,0.1,0.105,0.095,0.095,0.095,125000.0
2017-06-22,0.095,0.1,0.095,0.1,0.1,52650.0
2017-06-23,0.1,0.1,0.1,0.1,0.1,2850.0
2017-06-26,0.1,0.1,0.1,0.1,0.1,21000.0
2017-06-27,0.095,0.095,0.09,0.09,0.09,145150.0
2017-06-28,0.09,0.09,0.09,0.09,0.09,2889.0
2017-06-29,0.09,0.09,0.09,0.09,0.09,16500.0
2017-06-30,0.09,0.09,0.08900000000000001,0.09,0.09,42001.0
2017-07-03,0.09,0.09,0.09,0.09,0.09,27653.0
2017-07-04,0.099,0.099,0.085,0.085,0.085,24000.0
2017-07-05,0.085,0.085,0.07,0.07,0.07,30000.0
2017-07-06,0.071,0.071,0.071,0.071,0.071,5000.0
2017-07-07,0.071,0.071,0.071,0.071,0.071,0.0
2017-07-10,0.078,0.086,0.078,0.086,0.086,42500.0
2017-07-11,0.09300000000000001,0.12,0.09300000000000001,0.12,0.12,194199.0
2017-07-12,0.13,0.13,0.115,0.115,0.115,117500.0
2017-07-13,0.115,0.115,0.1,0.1,0.1,83500.0
2017-07-14,0.12,0.12,0.1,0.1,0.1,11000.0
2017-07-17,0.1,0.1,0.1,0.1,0.1,0.0
2017-07-18,0.105,0.105,0.105,0.105,0.105,15000.0
2017-07-19,0.115,0.12,0.115,0.12,0.12,15000.0
2017-07-20,0.12,0.12,0.12,0.12,0.12,16000.0
2017-07-21,0.12,0.12,0.12,0.12,0.12,0.0
2017-07-24,0.12,0.12,0.105,0.105,0.105,20181.0
2017-07-25,0.105,0.105,0.105,0.105,0.105,50000.0
2017-07-26,0.125,0.125,0.12,0.12,0.12,33207.0
2017-07-27,0.12,0.12,0.12,0.12,0.12,4208.0
2017-07-28,0.12,0.13,0.12,0.13,0.13,14000.0
2017-07-31,0.13,0.13,0.13,0.13,0.13,48346.0
2017-08-01,0.13,0.13,0.13,0.13,0.13,2162.0
2017-08-02,0.13,0.13,0.13,0.13,0.13,0.0
2017-08-03,0.13,0.13,0.13,0.13,0.13,15005.0
2017-08-04,0.13,0.13,0.13,0.13,0.13,0.0
2017-08-07,0.13,0.13,0.13,0.13,0.13,0.0
2017-08-08,0.145,0.145,0.145,0.145,0.145,4138.0
2017-08-09,0.145,0.145,0.145,0.145,0.145,0.0
2017-08-10,0.145,0.145,0.145,0.145,0.145,0.0
2017-08-11,0.145,0.145,0.145,0.145,0.145,0.0
2017-08-14,0.13,0.13,0.13,0.13,0.13,2500.0
2017-08-15,0.13,0.13,0.125,0.13,0.13,17693.0
2017-08-16,0.13,0.13,0.13,0.13,0.13,13725.0
2017-08-17,0.115,0.115,0.115,0.115,0.115,19687.0
2017-08-18,0.13,0.13,0.13,0.13,0.13,18250.0
2017-08-21,0.13,0.13,0.13,0.13,0.13,5000.0
2017-08-22,0.13,0.13,0.13,0.13,0.13,0.0
2017-08-23,0.12,0.12,0.12,0.12,0.12,6788.0
2017-08-24,0.11,0.11,0.105,0.105,0.105,68212.0
2017-08-25,0.1,0.1,0.1,0.1,0.1,10000.0
2017-08-28,0.1,0.1,0.1,0.1,0.1,0.0
2017-08-29,0.1,0.1,0.1,0.1,0.1,10300.0
2017-08-30,0.1,0.1,0.1,0.1,0.1,0.0
2017-08-31,0.105,0.105,0.1,0.1,0.1,9112.0
2017-09-01,0.1,0.1,0.1,0.1,0.1,0.0
2017-09-04,0.1,0.105,0.1,0.105,0.105,103337.0
2017-09-05,0.105,0.105,0.105,0.105,0.105,0.0
2017-09-06,0.105,0.105,0.1,0.1,0.1,25000.0
2017-09-07,0.11,0.11,0.105,0.105,0.105,27000.0
2017-09-08,0.105,0.105,0.1,0.1,0.1,100000.0
2017-09-11,0.1,0.1,0.1,0.1,0.1,7139.0
2017-09-12,0.12,0.12,0.11,0.11,0.11,88127.0
2017-09-13,0.115,0.115,0.11,0.115,0.115,264775.0
2017-09-14,0.12,0.125,0.115,0.125,0.125,85989.0
2017-09-15,0.125,0.125,0.125,0.125,0.125,13862.0
2017-09-18,0.125,0.13,0.125,0.13,0.13,57650.0
2017-09-19,0.13,0.13,0.13,0.13,0.13,0.0
2017-09-20,0.13,0.13,0.13,0.13,0.13,3400.0
2017-09-21,0.13,0.13,0.125,0.125,0.125,36156.0
2017-09-22,0.12,0.12,0.12,0.12,0.12,8266.0
2017-09-25,0.115,0.115,0.115,0.115,0.115,7000.0
2017-09-26,0.115,0.115,0.1,0.1,0.1,28356.0
2017-09-27,0.1,0.1,0.1,0.1,0.1,0.0
2017-09-28,0.105,0.105,0.1,0.1,0.1,28502.0
2017-09-29,0.1,0.1,0.1,0.1,0.1,0.0
