Date,Open,High,Low,Close,Adj Close,Volume
1999-08-16,1200.0,1200.0,1200.0,1200.0,1200.0,0.0
1999-08-17,980.0,980.0,810.0,820.0,820.0,5014.0
1999-08-18,830.0,830.0,700.0,750.0,750.0,1165.0
1999-08-19,870.0,870.0,770.0,870.0,870.0,1222.0
1999-08-20,930.0,930.0,870.0,910.0,910.0,720.0
1999-08-23,960.0,960.0,920.0,950.0,950.0,861.0
1999-08-24,970.0,970.0,890.0,890.0,890.0,339.0
1999-08-25,910.0,910.0,870.0,900.0,900.0,280.0
1999-08-26,900.0,900.0,900.0,900.0,900.0,326.0
1999-08-27,900.0,900.0,860.0,900.0,900.0,922.0
1999-08-30,910.0,910.0,860.0,910.0,910.0,140.0
1999-08-31,920.0,920.0,880.0,920.0,920.0,175.0
1999-09-01,900.0,900.0,890.0,890.0,890.0,102.0
1999-09-02,890.0,890.0,890.0,890.0,890.0,210.0
1999-09-03,900.0,900.0,890.0,900.0,900.0,399.0
1999-09-06,890.0,890.0,890.0,890.0,890.0,50.0
1999-09-07,890.0,890.0,880.0,890.0,890.0,319.0
1999-09-08,880.0,880.0,880.0,880.0,880.0,160.0
1999-09-09,880.0,880.0,850.0,880.0,880.0,126.0
1999-09-10,890.0,890.0,870.0,880.0,880.0,256.0
1999-09-13,880.0,880.0,850.0,850.0,850.0,137.0
1999-09-14,850.0,850.0,800.0,820.0,820.0,149.0
1999-09-15,820.0,820.0,820.0,820.0,820.0,209.0
1999-09-16,830.0,830.0,820.0,820.0,820.0,221.0
1999-09-17,820.0,820.0,800.0,820.0,820.0,303.0
1999-09-20,820.0,820.0,750.0,800.0,800.0,117.0
1999-09-21,810.0,810.0,800.0,800.0,800.0,339.0
1999-09-22,800.0,800.0,760.0,800.0,800.0,38.0
1999-09-23,770.0,770.0,700.0,750.0,750.0,96.0
1999-09-24,730.0,730.0,690.0,700.0,700.0,52.0
1999-09-27,730.0,730.0,700.0,700.0,700.0,119.0
1999-09-28,700.0,700.0,680.0,680.0,680.0,36.0
1999-09-29,680.0,680.0,660.0,680.0,680.0,69.0
1999-09-30,700.0,700.0,670.0,700.0,700.0,94.0
1999-10-01,690.0,700.0,690.0,700.0,700.0,160.0
1999-10-04,700.0,700.0,700.0,700.0,700.0,16.0
1999-10-05,700.0,700.0,700.0,700.0,700.0,48.0
1999-10-06,700.0,710.0,700.0,700.0,700.0,92.0
1999-10-07,700.0,710.0,700.0,700.0,700.0,25.0
1999-10-08,700.0,720.0,700.0,720.0,720.0,28.0
1999-10-11,720.0,730.0,700.0,700.0,700.0,34.0
1999-10-12,700.0,710.0,700.0,700.0,700.0,25.0
1999-10-13,700.0,700.0,700.0,700.0,700.0,32.0
1999-10-14,700.0,710.0,700.0,710.0,710.0,32.0
1999-10-15,720.0,720.0,700.0,710.0,710.0,342.0
