Date,Open,High,Low,Close,Adj Close,Volume
2005-11-28,20.0,20.0,20.0,20.0,20.0,0.0
2005-11-29,22.0,22.0,18.0,18.0,18.0,2634.0
2005-11-30,19.0,20.0,19.0,19.0,19.0,1974.0
2005-12-01,19.0,19.5,18.0,18.0,18.0,916.0
2005-12-04,17.0,17.0,17.0,17.0,17.0,223.0
2005-12-05,17.5,17.5,17.5,17.5,17.5,234.0
2005-12-06,17.0,19.0,17.0,19.0,19.0,800.0
2005-12-07,19.0,19.5,19.0,19.5,19.5,300.0
2005-12-08,19.5,20.0,19.5,20.0,20.0,530.0
2005-12-11,19.5,19.5,19.5,19.5,19.5,200.0
2005-12-12,19.5,19.5,19.5,19.5,19.5,0.0
2005-12-13,19.5,19.5,19.5,19.5,19.5,0.0
2005-12-14,19.5,19.5,19.5,19.5,19.5,150.0
2005-12-15,19.5,19.5,19.5,19.5,19.5,0.0
2005-12-18,19.5,20.0,19.5,20.0,20.0,3030.0
2005-12-19,20.0,20.0,20.0,20.0,20.0,1200.0
2005-12-20,20.0,20.0,20.0,20.0,20.0,376.0
2005-12-21,20.0,20.5,20.0,20.5,20.5,251.0
2005-12-22,20.5,20.5,20.5,20.5,20.5,0.0
2005-12-27,20.0,20.0,20.0,20.0,20.0,450.0
2005-12-28,20.0,20.0,20.0,20.0,20.0,0.0
2005-12-29,20.0,20.0,20.0,20.0,20.0,0.0
2006-01-02,20.0,20.0,20.0,20.0,20.0,120.0
2006-01-03,20.0,20.0,20.0,20.0,20.0,0.0
2006-01-04,20.0,20.0,20.0,20.0,20.0,0.0
2006-01-05,20.0,20.0,20.0,20.0,20.0,250.0
2006-01-08,20.0,20.0,19.0,19.0,19.0,200.0
2006-01-09,20.0,20.0,19.0,19.0,19.0,586.0
2006-01-10,19.0,19.0,19.0,19.0,19.0,0.0
2006-01-11,19.0,19.0,19.0,19.0,19.0,0.0
2006-01-12,19.0,19.0,19.0,19.0,19.0,0.0
2006-01-15,18.0,18.0,18.0,18.0,18.0,664.0
2006-01-16,18.0,18.0,18.0,18.0,18.0,0.0
2006-01-17,18.0,18.0,18.0,18.0,18.0,367.0
2006-01-18,17.0,17.0,17.0,17.0,17.0,59.0
2006-01-19,17.0,17.0,17.0,17.0,17.0,30.0
2006-01-22,16.0,16.0,16.0,16.0,16.0,543.0
2006-01-23,20.0,20.5,20.0,20.5,20.5,197.0
2006-01-24,20.5,20.5,20.5,20.5,20.5,0.0
2006-01-26,20.0,20.0,19.0,19.0,19.0,220.0
2006-01-29,19.0,19.0,19.0,19.0,19.0,0.0
2006-01-30,19.0,19.0,19.0,19.0,19.0,560.0
2006-01-31,19.0,19.0,19.0,19.0,19.0,0.0
2006-02-01,19.0,19.0,19.0,19.0,19.0,0.0
2006-02-02,17.0,17.0,16.0,16.0,16.0,650.0
2006-02-05,19.0,19.0,19.0,19.0,19.0,250.0
2006-02-06,19.0,19.0,19.0,19.0,19.0,410.0
2006-02-07,17.0,17.0,16.0,16.0,16.0,1110.0
2006-02-08,15.0,19.0,15.0,19.0,19.0,800.0
2006-02-09,19.0,19.0,17.0,17.0,17.0,450.0
2006-02-12,17.0,17.0,17.0,17.0,17.0,0.0
2006-02-13,17.0,17.0,17.0,17.0,17.0,0.0
2006-02-14,19.0,19.0,19.0,19.0,19.0,310.0
2006-02-15,19.0,19.0,19.0,19.0,19.0,0.0
2006-02-16,19.0,19.0,19.0,19.0,19.0,0.0
2006-02-19,19.0,19.0,19.0,19.0,19.0,200.0
2006-02-20,19.0,19.0,19.0,19.0,19.0,0.0
2006-02-21,19.0,19.0,19.0,19.0,19.0,0.0
2006-02-22,19.0,19.0,19.0,19.0,19.0,0.0
2006-02-23,17.0,17.0,17.0,17.0,17.0,430.0
2006-02-26,19.0,19.0,19.0,19.0,19.0,50.0
2006-02-27,19.0,19.0,19.0,19.0,19.0,0.0
2006-02-28,19.0,19.0,19.0,19.0,19.0,0.0
2006-03-01,19.0,19.0,19.0,19.0,19.0,259.0
2006-03-02,19.0,19.0,19.0,19.0,19.0,150.0
2006-03-05,19.0,19.0,19.0,19.0,19.0,0.0
2006-03-06,19.0,19.0,19.0,19.0,19.0,0.0
2006-03-07,18.0,18.0,18.0,18.0,18.0,250.0
2006-03-08,18.0,18.0,18.0,18.0,18.0,0.0
2006-03-09,18.0,18.0,18.0,18.0,18.0,0.0
2006-03-12,17.0,17.0,17.0,17.0,17.0,35.0
2006-03-13,17.0,17.0,17.0,17.0,17.0,0.0
2006-03-14,17.0,17.0,17.0,17.0,17.0,0.0
2006-03-15,18.5,18.5,17.5,17.5,17.5,200.0
2006-03-16,17.5,17.5,17.5,17.5,17.5,585.0
