Date,Open,High,Low,Close,Adj Close,Volume
2011-05-26,0.225,0.25,0.225,0.23,0.23,526304.0
2011-05-27,0.225,0.225,0.22,0.22,0.22,65800.0
2011-05-30,0.21,0.21,0.19,0.19,0.19,363696.0
2011-05-31,0.19,0.2,0.19,0.2,0.2,42700.0
2011-06-01,0.2,0.21,0.2,0.21,0.21,55000.0
2011-06-02,0.2,0.21,0.2,0.21,0.21,75000.0
2011-06-03,0.21,0.21,0.2,0.205,0.205,45000.0
2011-06-06,,,,,,
2011-06-07,0.21,0.21,0.18,0.18,0.18,190000.0
2011-06-08,,,,,,
2011-06-09,0.18,0.2,0.18,0.2,0.2,60000.0
2011-06-10,0.2,0.2,0.2,0.2,0.2,32500.0
2011-06-14,0.2,0.21,0.2,0.21,0.21,100000.0
2011-06-15,,,,,,
2011-06-16,0.19,0.19,0.19,0.19,0.19,52500.0
2011-06-17,0.19,0.19,0.185,0.185,0.185,87500.0
2011-06-20,0.185,0.23,0.185,0.215,0.215,335000.0
2011-06-21,0.2,0.225,0.2,0.225,0.225,62346.0
2011-06-22,,,,,,
2011-06-23,,,,,,
2011-06-24,,,,,,
2011-06-27,0.225,0.225,0.225,0.225,0.225,154.0
2011-06-28,0.2,0.2,0.2,0.2,0.2,9846.0
2011-06-29,0.2,0.2,0.2,0.2,0.2,20000.0
2011-06-30,,,,,,
2011-07-01,,,,,,
2011-07-04,0.2,0.2,0.2,0.2,0.2,2500.0
2011-07-05,,,,,,
2011-07-06,0.2,0.2,0.2,0.2,0.2,62654.0
2011-07-07,,,,,,
2011-07-08,,,,,,
2011-07-11,,,,,,
2011-07-12,0.19,0.19,0.19,0.19,0.19,10000.0
2011-07-13,,,,,,
2011-07-14,,,,,,
2011-07-15,0.19,0.19,0.19,0.19,0.19,30000.0
2011-07-18,,,,,,
2011-07-19,0.19,0.2,0.19,0.2,0.2,20245.0
2011-07-20,0.2,0.2,0.18,0.18,0.18,22500.0
2011-07-21,,,,,,
2011-07-22,0.18,0.18,0.18,0.18,0.18,15000.0
2011-07-25,0.18,0.18,0.18,0.18,0.18,10000.0
2011-07-26,0.18,0.18,0.18,0.18,0.18,30000.0
2011-07-27,0.2,0.2,0.2,0.2,0.2,42500.0
2011-07-28,,,,,,
2011-07-29,0.18,0.18,0.18,0.18,0.18,35000.0
2011-08-02,0.18,0.18,0.18,0.18,0.18,65000.0
2011-08-03,0.18,0.18,0.17,0.17,0.17,10000.0
2011-08-04,0.17,0.17,0.17,0.17,0.17,10000.0
2011-08-05,,,,,,
2011-08-08,0.16,0.16,0.16,0.16,0.16,5000.0
2011-08-09,,,,,,
2011-08-10,,,,,,
2011-08-11,,,,,,
2011-08-12,0.16,0.19,0.16,0.19,0.19,110000.0
2011-08-15,0.2,0.2,0.2,0.2,0.2,2255.0
2011-08-16,0.2,0.2,0.2,0.2,0.2,57500.0
2011-08-17,,,,,,
2011-08-18,0.2,0.2,0.2,0.2,0.2,55000.0
2011-08-19,0.2,0.2,0.2,0.2,0.2,35000.0
2011-08-22,0.2,0.2,0.2,0.2,0.2,50000.0
2011-08-23,0.2,0.2,0.2,0.2,0.2,40245.0
2011-08-24,0.195,0.2,0.195,0.2,0.2,44755.0
2011-08-25,,,,,,
2011-08-26,,,,,,
2011-08-29,0.2,0.2,0.2,0.2,0.2,5245.0
2011-08-30,,,,,,
2011-08-31,0.185,0.185,0.185,0.185,0.185,119755.0
2011-09-01,,,,,,
2011-09-02,,,,,,
2011-09-05,0.18,0.18,0.18,0.18,0.18,32500.0
2011-09-06,,,,,,
2011-09-07,,,,,,
2011-09-08,0.2,0.2,0.2,0.2,0.2,100000.0
2011-09-09,0.2,0.2,0.2,0.2,0.2,50000.0
2011-09-12,0.2,0.2,0.2,0.2,0.2,10000.0
2011-09-13,0.18,0.18,0.18,0.18,0.18,20000.0
2011-09-14,,,,,,
2011-09-15,,,,,,
2011-09-16,,,,,,
2011-09-19,,,,,,
2011-09-20,,,,,,
2011-09-21,,,,,,
2011-09-22,,,,,,
2011-09-23,0.17,0.17,0.17,0.17,0.17,40000.0
2011-09-26,0.15,0.15,0.15,0.15,0.15,11500.0
2011-09-27,0.14,0.15,0.14,0.15,0.15,6000.0
2011-09-28,,,,,,
2011-09-29,,,,,,
2011-09-30,,,,,,
2011-10-03,,,,,,
2011-10-04,,,,,,
2011-10-05,,,,,,
2011-10-06,,,,,,
2011-10-09,,,,,,
2011-10-10,,,,,,
2011-10-11,,,,,,
2011-10-12,,,,,,
2011-10-13,,,,,,
2011-10-16,,,,,,
2011-10-17,,,,,,
2011-10-18,,,,,,
2011-10-19,,,,,,
2011-10-20,,,,,,
2011-10-23,,,,,,
2011-10-24,,,,,,
2011-10-25,,,,,,
2011-10-26,,,,,,
2011-10-27,,,,,,
2011-10-30,,,,,,
2011-11-01,,,,,,
2011-11-02,,,,,,
2011-11-03,,,,,,
2011-11-06,,,,,,
2011-11-07,,,,,,
2011-11-08,,,,,,
2011-11-09,,,,,,
2011-11-10,,,,,,
2011-11-13,,,,,,
2011-11-14,,,,,,
2011-11-15,0.15,0.15,0.15,0.15,0.15,15000.0
2011-11-16,0.15,0.15,0.15,0.15,0.15,0.0
2011-11-17,0.15,0.15,0.15,0.15,0.15,0.0
2011-11-20,0.15,0.15,0.15,0.15,0.15,0.0
2011-11-21,0.15,0.15,0.15,0.15,0.15,0.0
2011-11-22,0.15,0.15,0.15,0.15,0.15,0.0
2011-11-23,0.15,0.15,0.15,0.15,0.15,0.0
2011-11-24,0.15,0.15,0.15,0.15,0.15,0.0
2011-11-27,0.15,0.15,0.15,0.15,0.15,0.0
