Date,Open,High,Low,Close,Adj Close,Volume
2006-12-18,1.015,1.03,0.99,1.015,1.015,3940197.0
2006-12-19,1.02,1.04,1.02,1.035,1.035,1632474.0
2006-12-20,1.04,1.04,1.03,1.035,1.035,1771444.0
2006-12-21,1.04,1.04,1.03,1.04,1.04,999500.0
2006-12-26,1.04,1.04,1.03,1.03,1.03,249500.0
2006-12-27,1.035,1.035,1.025,1.03,1.03,770894.0
2006-12-28,1.025,1.03,1.02,1.03,1.03,284139.0
2007-01-01,0.99,1.03,0.99,1.025,1.025,193900.0
2007-01-02,1.025,1.025,1.01,1.015,1.015,417997.0
2007-01-03,1.015,1.02,1.01,1.02,1.02,335303.0
2007-01-04,1.02,1.025,1.015,1.02,1.02,249323.0
2007-01-07,1.015,1.015,1.0,1.0,1.0,892957.0
2007-01-08,1.005,1.005,0.99,0.995,0.995,384099.0
2007-01-09,1.0,1.0,0.98,0.99,0.99,439625.0
2007-01-10,0.99,1.0,0.99,1.0,1.0,333200.0
2007-01-11,1.0,1.005,0.995,0.995,0.995,706500.0
2007-01-14,0.995,1.0,0.99,0.995,0.995,468100.0
2007-01-15,1.0,1.0,0.99,0.995,0.995,691148.0
2007-01-16,1.0,1.0,1.0,1.0,1.0,357000.0
2007-01-17,0.995,1.0,0.995,1.0,1.0,361500.0
2007-01-18,1.0,1.02,0.995,1.02,1.02,552400.0
2007-01-21,1.02,1.025,0.995,0.995,0.995,952593.0
2007-01-22,1.0,1.005,1.0,1.0,1.0,1738800.0
2007-01-23,1.0,1.03,1.0,1.02,1.02,312767.0
2007-01-24,1.015,1.03,1.01,1.01,1.01,143083.0
2007-01-28,1.02,1.025,1.015,1.02,1.02,737055.0
2007-01-29,1.015,1.025,1.01,1.01,1.01,719801.0
2007-01-30,0.99,0.99,0.99,0.99,0.99,0.0
2007-01-31,1.01,1.02,1.005,1.005,1.005,588700.0
2007-02-01,1.01,1.015,1.005,1.01,1.01,314001.0
2007-02-04,1.01,1.01,1.0,1.0,1.0,819650.0
2007-02-05,1.005,1.01,1.0,1.0,1.0,1411349.0
2007-02-06,1.01,1.01,0.995,1.0,1.0,800471.0
2007-02-07,1.0,1.0,0.995,1.0,1.0,835200.0
2007-02-08,1.0,1.0,0.995,1.0,1.0,162579.0
2007-02-11,1.005,1.01,1.0,1.01,1.01,169000.0
2007-02-12,1.005,1.01,0.995,1.0,1.0,668310.0
2007-02-13,1.0,1.01,0.995,1.01,1.01,495640.0
2007-02-14,1.0,1.0,0.995,0.995,0.995,613989.0
2007-02-15,1.0,1.01,1.0,1.0,1.0,268100.0
2007-02-18,1.0,1.0,0.995,1.0,1.0,179500.0
2007-02-19,1.0,1.005,1.0,1.0,1.0,264500.0
2007-02-20,1.0,1.005,1.0,1.005,1.005,4367690.0
2007-02-21,1.005,1.005,1.0,1.005,1.005,328165.0
2007-02-22,1.005,1.01,1.005,1.01,1.01,248575.0
2007-02-25,1.005,1.01,1.0,1.01,1.01,245918.0
2007-02-26,1.005,1.005,1.0,1.0,1.0,500000.0
2007-02-27,0.99,0.99,0.99,0.99,0.99,0.0
2007-02-28,0.975,0.99,0.97,0.975,0.975,455920.0
2007-03-01,0.975,0.98,0.975,0.975,0.975,142400.0
2007-03-04,0.98,0.98,0.95,0.965,0.965,447319.0
2007-03-05,0.97,0.97,0.96,0.965,0.965,304150.0
2007-03-06,0.97,0.98,0.97,0.975,0.975,415861.0
2007-03-07,0.98,1.0,0.98,0.99,0.99,300561.0
2007-03-08,0.99,0.99,0.98,0.99,0.99,64500.0
2007-03-11,0.99,0.995,0.99,0.995,0.995,101000.0
2007-03-12,0.995,0.995,0.985,0.99,0.99,276814.0
2007-03-13,0.975,0.99,0.97,0.99,0.99,200500.0
2007-03-14,0.985,0.99,0.98,0.985,0.985,88000.0
2007-03-15,0.99,1.0,0.98,0.99,0.99,322500.0
2007-03-18,0.99,0.99,0.97,0.98,0.98,487221.0
2007-03-19,0.99,0.99,0.96,0.96,0.96,942000.0
2007-03-20,0.97,0.975,0.95,0.96,0.96,400500.0
2007-03-21,0.97,0.975,0.97,0.97,0.97,288720.0
2007-03-22,0.965,0.975,0.96,0.97,0.97,515809.0
2007-03-26,0.97,0.98,0.965,0.97,0.97,258200.0
