Date,Open,High,Low,Close,Adj Close,Volume
2015-02-23,0.6,0.65,0.395,0.44,0.44,2761054
2015-02-24,0.48,0.91,0.48,0.87,0.87,7564381
2015-02-25,0.835,0.91,0.71,0.71,0.71,2649377
2015-02-26,0.745,0.885,0.73,0.78,0.78,1527233
2015-03-01,0.88,2.02,0.84,1.75,1.75,5032901
2015-03-02,1.82,3.15,1.57,1.65,1.65,7444949
2015-03-03,1.485,1.485,1.035,1.11,1.11,3296344
2015-03-04,1.09,1.345,1.03,1.315,1.315,2027991
2015-03-05,1.245,1.32,1.15,1.18,1.18,1373564
2015-03-08,1.15,1.15,1.05,1.09,1.09,778042
2015-03-09,1.105,1.155,1.055,1.08,1.08,380797
2015-03-10,1.06,1.07,0.86,0.9,0.9,1583437
2015-03-11,0.88,0.94,0.81,0.81,0.81,1087067
2015-03-12,0.81,0.81,0.625,0.695,0.695,3505449
2015-03-15,0.68,0.85,0.65,0.76,0.76,2036371
2015-03-16,0.8,0.82,0.695,0.695,0.695,810333
2015-03-17,0.705,0.725,0.655,0.695,0.695,472479
2015-03-18,0.7,0.765,0.67,0.705,0.705,457872
2015-03-19,0.7,0.725,0.67,0.67,0.67,305063
2015-03-22,0.675,1.24,0.66,1.24,1.24,5725000
2015-03-23,1.28,1.29,1.0,1.125,1.125,6327291
2015-03-24,1.045,1.52,1.045,1.345,1.345,7269440
2015-03-25,1.3,1.345,1.225,1.29,1.29,2192185
2015-03-26,1.295,1.33,1.235,1.25,1.25,277070
2015-03-29,1.23,1.23,1.01,1.05,1.05,287821
2015-03-30,1.07,1.26,1.03,1.045,1.045,654751
2015-03-31,1.075,1.08,1.0,1.03,1.03,278938
2015-04-01,1.05,1.05,0.93,0.97,0.97,273024
2015-04-07,0.97,1.0,0.9,0.925,0.925,199709
2015-04-08,0.945,1.08,0.935,1.01,1.01,293556
2015-04-09,1.03,1.05,0.99,1.025,1.025,195779
2015-04-10,1.0,1.0,0.96,1.0,1.0,80987
2015-04-13,1.0,1.0,0.945,0.955,0.955,193853
2015-04-14,0.955,0.955,0.87,0.89,0.89,285816
2015-04-15,0.9,0.94,0.9,0.925,0.925,64310
2015-04-16,0.93,0.93,0.89,0.89,0.89,122000
2015-04-17,0.89,0.95,0.865,0.95,0.95,93217
2015-04-20,0.95,0.95,0.88,0.905,0.905,475873
2015-04-21,0.92,1.05,0.905,0.905,0.905,761014
2015-04-22,0.95,0.95,0.9,0.905,0.905,100353
2015-04-23,0.915,0.92,0.89,0.91,0.91,112227
2015-04-24,0.9,0.925,0.88,0.9,0.9,89958
2015-04-27,0.885,0.93,0.88,0.92,0.92,163764
2015-04-28,0.92,0.935,0.885,0.885,0.885,114363
2015-04-29,0.9,0.92,0.86,0.86,0.86,404317
2015-04-30,0.88,0.9,0.855,0.855,0.855,151067
2015-05-01,0.87,0.875,0.85,0.85,0.85,54511
2015-05-04,0.855,0.88,0.85,0.88,0.88,181615
2015-05-05,0.88,0.895,0.86,0.895,0.895,72938
2015-05-06,0.895,0.9,0.855,0.89,0.89,78038
2015-05-07,0.87,0.89,0.855,0.855,0.855,61000
2015-05-08,0.885,0.89,0.855,0.86,0.86,37894
2015-05-11,0.87,0.88,0.86,0.86,0.86,30621
2015-05-12,0.86,0.93,0.86,0.91,0.91,125138
2015-05-13,0.89,0.92,0.86,0.86,0.86,153185
2015-05-14,0.865,0.88,0.86,0.86,0.86,159674
2015-05-15,0.87,0.885,0.855,0.86,0.86,134522
2015-05-18,0.86,0.87,0.84,0.84,0.84,93665
2015-05-19,0.84,0.84,0.77,0.81,0.81,183597
2015-05-20,0.85,0.85,0.755,0.81,0.81,105767
2015-05-21,0.81,0.83,0.81,0.825,0.825,59025
2015-05-22,0.8,0.81,0.79,0.79,0.79,34542
2015-05-25,0.81,0.81,0.78,0.78,0.78,54436
2015-05-26,0.8,0.85,0.8,0.81,0.81,178144
2015-05-27,0.8,0.8,0.78,0.785,0.785,50207
2015-05-28,0.785,0.795,0.725,0.74,0.74,334553
2015-05-29,0.75,0.82,0.75,0.78,0.78,91959
2015-06-01,0.8,0.82,0.77,0.77,0.77,44035
2015-06-02,0.79,0.79,0.775,0.775,0.775,72989
2015-06-03,0.775,0.82,0.75,0.78,0.78,259467
2015-06-04,0.75,0.765,0.74,0.765,0.765,113547
2015-06-05,0.765,0.78,0.75,0.75,0.75,72250
2015-06-09,0.75,0.79,0.75,0.75,0.75,104294
2015-06-10,0.75,0.755,0.75,0.755,0.755,76793
2015-06-11,0.785,0.785,0.75,0.76,0.76,88615
2015-06-12,0.75,0.75,0.74,0.74,0.74,62387
2015-06-15,0.765,0.82,0.75,0.755,0.755,224437
2015-06-16,0.78,0.785,0.76,0.76,0.76,2079
2015-06-17,0.855,1.1,0.815,0.925,0.925,2677599
2015-06-18,0.93,0.95,0.78,0.8,0.8,640970
2015-06-19,0.79,0.82,0.77,0.81,0.81,238132
2015-06-22,0.8,0.8,0.77,0.775,0.775,89916
2015-06-23,0.8,0.815,0.76,0.76,0.76,113272
2015-06-24,0.76,0.78,0.76,0.78,0.78,36774
2015-06-25,0.78,0.795,0.76,0.765,0.765,103885
2015-06-26,0.765,0.78,0.76,0.76,0.76,108829
2015-06-29,0.77,0.8,0.735,0.735,0.735,285296
2015-06-30,0.75,0.755,0.735,0.755,0.755,73039
2015-07-01,0.745,0.755,0.73,0.74,0.74,79373
2015-07-02,0.755,0.755,0.74,0.74,0.74,27877
2015-07-03,0.74,0.74,0.73,0.73,0.73,54500
2015-07-06,0.73,0.75,0.725,0.74,0.74,101370
2015-07-07,0.74,0.74,0.72,0.735,0.735,189636
2015-07-08,0.72,0.72,0.64,0.685,0.685,340838
2015-07-09,0.69,0.69,0.67,0.69,0.69,184801
2015-07-10,0.69,0.69,0.665,0.67,0.67,27543
2015-07-13,0.69,0.69,0.66,0.67,0.67,43685
2015-07-14,0.69,0.7,0.655,0.655,0.655,100758
2015-07-15,0.675,0.685,0.655,0.685,0.685,15486
2015-07-16,0.7,0.7,0.655,0.66,0.66,58500
2015-07-17,0.67,0.71,0.64,0.675,0.675,953782
2015-07-20,0.68,0.82,0.68,0.72,0.72,1663696
2015-07-21,0.76,0.78,0.71,0.725,0.725,826270
2015-07-22,0.75,0.785,0.685,0.735,0.735,720645
2015-07-23,0.725,0.75,0.665,0.695,0.695,529204
2015-07-24,0.69,0.705,0.67,0.675,0.675,125064
2015-07-27,0.69,0.74,0.685,0.715,0.715,124555
2015-07-28,0.7,0.715,0.68,0.71,0.71,13176
2015-07-29,0.71,0.73,0.71,0.73,0.73,4205
2015-07-30,0.73,0.735,0.71,0.73,0.73,57928
2015-07-31,0.73,0.74,0.695,0.74,0.74,13425
2015-08-03,0.74,0.74,0.74,0.74,0.74,699
2015-08-04,0.73,0.76,0.68,0.73,0.73,221997
2015-08-05,0.705,0.705,0.65,0.68,0.68,203657
2015-08-06,0.68,0.695,0.64,0.68,0.68,212001
2015-08-07,0.68,0.68,0.64,0.64,0.64,137675
2015-08-10,0.68,0.68,0.6,0.66,0.66,226492
2015-08-11,0.66,0.67,0.64,0.665,0.665,15476
2015-08-12,0.675,0.675,0.64,0.64,0.64,16874
2015-08-13,0.665,0.675,0.665,0.675,0.675,15000
2015-08-14,0.655,0.655,0.635,0.645,0.645,3300
2015-08-17,0.65,0.65,0.63,0.64,0.64,8346
2015-08-18,0.64,0.64,0.62,0.62,0.62,17399
2015-08-19,0.62,0.625,0.605,0.61,0.61,73571
2015-08-20,0.605,0.61,0.6,0.6,0.6,44000
2015-08-21,0.6,0.62,0.6,0.6,0.6,16000
2015-08-24,0.58,0.61,0.525,0.55,0.55,83485
2015-08-25,0.54,0.59,0.51,0.52,0.52,313427
2015-08-26,0.53,0.545,0.53,0.545,0.545,20000
2015-08-27,0.555,0.59,0.555,0.59,0.59,106560
2015-08-28,0.595,0.635,0.595,0.62,0.62,57141
2015-08-31,0.63,0.63,0.59,0.59,0.59,48317
2015-09-01,0.63,0.63,0.59,0.59,0.59,26532
2015-09-02,0.55,0.57,0.52,0.53,0.53,213789
2015-09-03,0.535,0.54,0.505,0.51,0.51,117741
2015-09-04,0.51,0.51,0.485,0.51,0.51,246756
2015-09-07,0.5,0.5,0.48,0.48,0.48,75583
2015-09-08,0.49,0.49,0.46,0.46,0.46,27770
2015-09-09,0.495,0.495,0.465,0.47,0.47,51700
2015-09-10,0.485,0.485,0.48,0.48,0.48,21625
2015-09-11,0.485,0.49,0.46,0.465,0.465,74712
2015-09-14,0.48,0.48,0.46,0.46,0.46,51248
2015-09-15,0.485,0.485,0.43,0.43,0.43,110900
2015-09-16,0.44,0.455,0.425,0.425,0.425,116141
2015-09-17,0.45,0.45,0.42,0.42,0.42,38100
2015-09-18,0.425,0.43,0.425,0.43,0.43,1584
2015-09-21,0.43,0.43,0.39,0.405,0.405,221676
2015-09-22,0.425,0.425,0.395,0.395,0.395,95598
2015-09-23,0.41,0.41,0.4,0.4,0.4,50625
2015-09-24,0.41,0.41,0.4,0.4,0.4,20370
2015-09-25,0.42,0.42,0.405,0.42,0.42,39282
2015-09-28,0.42,0.44,0.42,0.44,0.44,50779
2015-09-29,0.43,0.43,0.41,0.41,0.41,57479
2015-09-30,0.41,0.415,0.405,0.41,0.41,51137
2015-10-01,0.41,0.42,0.41,0.42,0.42,10602
2015-10-02,0.425,0.425,0.425,0.425,0.425,9200
2015-10-04,0.425,0.435,0.425,0.435,0.435,13000
2015-10-05,0.44,0.44,0.42,0.44,0.44,44723
2015-10-06,0.435,0.435,0.42,0.42,0.42,23900
2015-10-07,0.44,0.44,0.425,0.425,0.425,41035
2015-10-08,0.435,0.44,0.43,0.43,0.43,31705
2015-10-11,0.43,0.57,0.43,0.57,0.57,415529
2015-10-12,0.605,0.76,0.59,0.6,0.6,969249
2015-10-13,0.6,0.6,0.5,0.54,0.54,537610
2015-10-14,0.54,0.54,0.465,0.47,0.47,124401
2015-10-15,0.48,0.52,0.48,0.48,0.48,49490
2015-10-18,0.49,0.5,0.485,0.5,0.5,24000
2015-10-19,0.49,0.495,0.485,0.485,0.485,16700
