Date,Open,High,Low,Close,Adj Close,Volume
2007-08-02,0.2,0.2,0.17,0.185,0.185,1964500.0
2007-08-03,0.18,0.18,0.16,0.16,0.16,274000.0
2007-08-06,0.165,0.165,0.145,0.15,0.15,292500.0
2007-08-07,0.15,0.15,0.14,0.15,0.15,561000.0
2007-08-08,0.155,0.16,0.155,0.16,0.16,95673.0
2007-08-09,0.16,0.165,0.16,0.165,0.165,145544.0
2007-08-10,0.165,0.165,0.165,0.165,0.165,48783.0
2007-08-13,0.16,0.16,0.16,0.16,0.16,7714.0
2007-08-14,0.15,0.15,0.15,0.15,0.15,50000.0
2007-08-15,0.15,0.15,0.14,0.15,0.15,265000.0
2007-08-16,0.15,0.15,0.14,0.14,0.14,150000.0
2007-08-17,0.14,0.14,0.14,0.14,0.14,10000.0
2007-08-20,0.14,0.14,0.14,0.14,0.14,50000.0
2007-08-21,0.16,0.16,0.14,0.14,0.14,0.0
2007-08-22,0.14,0.14,0.14,0.14,0.14,0.0
2007-08-23,0.15,0.15,0.15,0.15,0.15,20350.0
2007-08-24,0.155,0.155,0.15,0.15,0.15,20400.0
2007-08-27,0.15,0.15,0.15,0.15,0.15,79600.0
2007-08-28,0.15,0.15,0.15,0.15,0.15,0.0
2007-08-29,0.15,0.15,0.15,0.15,0.15,0.0
2007-08-30,0.15,0.16,0.15,0.16,0.16,24600.0
2007-08-31,0.16,0.16,0.16,0.16,0.16,10400.0
2007-09-03,0.17,0.17,0.15,0.17,0.17,924650.0
2007-09-04,0.17,0.17,0.17,0.17,0.17,0.0
2007-09-05,0.175,0.175,0.16,0.16,0.16,26000.0
2007-09-06,0.155,0.16,0.155,0.16,0.16,25000.0
2007-09-07,0.155,0.16,0.155,0.16,0.16,60000.0
2007-09-10,0.16,0.16,0.16,0.16,0.16,0.0
2007-09-11,0.16,0.16,0.16,0.16,0.16,20000.0
2007-09-12,0.15,0.16,0.14,0.16,0.16,110000.0
2007-09-13,0.16,0.16,0.16,0.16,0.16,0.0
2007-09-14,0.16,0.16,0.16,0.16,0.16,60000.0
2007-09-17,0.16,0.16,0.16,0.16,0.16,53125.0
2007-09-18,0.15,0.15,0.15,0.15,0.15,10000.0
2007-09-19,0.14,0.16,0.14,0.16,0.16,185000.0
2007-09-20,0.16,0.16,0.16,0.16,0.16,30000.0
2007-09-21,0.155,0.16,0.155,0.16,0.16,50000.0
2007-09-24,0.155,0.155,0.155,0.155,0.155,15000.0
2007-09-25,0.155,0.16,0.155,0.155,0.155,114750.0
2007-09-26,0.15,0.155,0.15,0.155,0.155,210000.0
2007-09-27,0.155,0.16,0.155,0.155,0.155,262500.0
2007-09-28,0.15,0.15,0.15,0.15,0.15,20400.0
2007-10-01,0.15,0.15,0.15,0.15,0.15,0.0
2007-10-02,0.15,0.15,0.145,0.145,0.145,0.0
2007-10-03,0.15,0.15,0.15,0.15,0.15,38600.0
2007-10-04,0.145,0.145,0.145,0.145,0.145,104000.0
2007-10-05,0.145,0.145,0.145,0.145,0.145,0.0
2007-10-08,0.145,0.15,0.145,0.15,0.15,90000.0
2007-10-09,0.14,0.145,0.14,0.145,0.145,275000.0
2007-10-10,0.145,0.155,0.145,0.15,0.15,1311275.0
2007-10-11,0.155,0.155,0.15,0.15,0.15,180725.0
2007-10-12,0.15,0.15,0.145,0.15,0.15,107000.0
2007-10-15,0.14,0.15,0.14,0.14,0.14,406000.0
2007-10-16,0.14,0.14,0.14,0.14,0.14,19000.0
2007-10-17,0.14,0.15,0.14,0.14,0.14,418650.0
2007-10-18,0.15,0.16,0.15,0.16,0.16,536775.0
2007-10-19,0.16,0.165,0.15,0.15,0.15,195000.0
2007-10-22,0.15,0.15,0.15,0.15,0.15,48225.0
2007-10-23,0.15,0.15,0.15,0.15,0.15,0.0
2007-10-24,0.15,0.15,0.15,0.15,0.15,0.0
2007-10-25,0.145,0.145,0.145,0.145,0.145,40000.0
2007-10-26,0.14,0.14,0.14,0.14,0.14,1000.0
2007-10-28,0.15,0.15,0.15,0.15,0.15,25000.0
2007-10-29,0.15,0.15,0.14,0.14,0.14,150000.0
2007-10-30,0.14,0.14,0.14,0.14,0.14,0.0
2007-10-31,0.14,0.14,0.14,0.14,0.14,0.0
2007-11-01,0.14,0.14,0.14,0.14,0.14,83000.0
2007-11-04,0.14,0.14,0.12,0.12,0.12,60000.0
2007-11-05,0.12,0.12,0.12,0.12,0.12,157000.0
2007-11-06,0.12,0.12,0.12,0.12,0.12,0.0
2007-11-07,0.12,0.14,0.12,0.14,0.14,221000.0
2007-11-08,0.14,0.145,0.13,0.13,0.13,70000.0
2007-11-11,0.13,0.13,0.13,0.13,0.13,50000.0
2007-11-12,0.13,0.13,0.13,0.13,0.13,0.0
2007-11-13,0.13,0.13,0.13,0.13,0.13,50000.0
2007-11-14,0.125,0.125,0.12,0.12,0.12,115000.0
2007-11-15,0.13,0.13,0.12,0.12,0.12,0.0
2007-11-18,0.12,0.12,0.12,0.12,0.12,12300.0
2007-11-19,0.11,0.11,0.11,0.11,0.11,165700.0
2007-11-20,0.11,0.11,0.11,0.11,0.11,0.0
2007-11-21,0.11,0.11,0.11,0.11,0.11,124300.0
