Date,Open,High,Low,Close,Adj Close,Volume
2014-07-31,1.595,1.635,1.595,1.635,1.360275,127058.0
2014-08-01,1.6,1.62,1.6,1.62,1.347795,72055.0
2014-08-04,1.62,1.62,1.62,1.62,1.347795,0.0
2014-08-05,1.62,1.62,1.62,1.62,1.347795,435.0
2014-08-06,1.62,1.62,1.62,1.62,1.347795,0.0
2014-08-07,1.6,1.6,1.6,1.6,1.331156,821254.0
2014-08-08,1.6,1.6,1.6,1.6,1.331156,21250.0
2014-08-11,1.6,1.6,1.6,1.6,1.331156,0.0
2014-08-12,1.6,1.6,1.6,1.6,1.331156,0.0
2014-08-13,1.6,1.6,1.6,1.6,1.331156,100.0
2014-08-14,1.595,1.595,1.57,1.57,1.3061969999999998,24371.0
2014-08-15,1.57,1.57,1.57,1.57,1.3061969999999998,6400.0
2014-08-18,1.57,1.57,1.57,1.57,1.3061969999999998,0.0
2014-08-19,1.57,1.57,1.57,1.57,1.3061969999999998,0.0
2014-08-20,1.57,1.57,1.57,1.57,1.3061969999999998,0.0
2014-08-21,1.57,1.57,1.57,1.57,1.3061969999999998,0.0
2014-08-22,1.595,1.6,1.595,1.6,1.331156,17466.0
2014-08-25,1.6,1.6,1.6,1.6,1.331156,88.0
2014-08-26,1.6,1.6,1.6,1.6,1.331156,0.0
2014-08-27,1.59,1.59,1.59,1.59,1.3228360000000001,27405.0
2014-08-28,1.59,1.59,1.59,1.59,1.3228360000000001,50000.0
2014-08-29,1.55,1.565,1.55,1.565,1.302037,3017352.0
2014-09-01,1.565,1.565,1.565,1.565,1.302037,0.0
2014-09-02,1.565,1.565,1.565,1.565,1.302037,0.0
2014-09-03,1.565,1.565,1.565,1.565,1.302037,0.0
2014-09-04,1.59,1.6,1.59,1.6,1.331156,181207.0
2014-09-05,1.6,1.6,1.6,1.6,1.331156,0.0
2014-09-08,1.6,1.6,1.6,1.6,1.331156,0.0
2014-09-09,1.6,1.6,1.6,1.6,1.331156,0.0
2014-09-10,1.6,1.6,1.6,1.6,1.331156,0.0
2014-09-11,1.6,1.6,1.6,1.6,1.331156,1705.0
2014-09-12,1.6,1.6,1.6,1.6,1.331156,0.0
2014-09-15,1.625,1.625,1.625,1.625,1.351955,29117.0
2014-09-16,1.625,1.625,1.625,1.625,1.351955,0.0
2014-09-17,1.625,1.625,1.625,1.625,1.351955,0.0
2014-09-18,1.625,1.625,1.625,1.625,1.351955,0.0
2014-09-19,1.625,1.625,1.625,1.625,1.351955,0.0
2014-09-22,1.63,1.7,1.63,1.7,1.414353,54175.0
2014-09-23,1.7,1.7,1.7,1.7,1.414353,0.0
2014-09-24,1.7,1.7,1.7,1.7,1.414353,0.0
2014-09-25,1.7,1.7,1.7,1.7,1.414353,1.0
2014-09-26,1.7,1.7,1.7,1.7,1.414353,0.0
2014-09-29,1.75,1.75,1.75,1.75,1.455951,250085.0
2014-09-30,1.7,1.7,1.7,1.7,1.414353,571.0
2014-10-01,1.7,1.7,1.7,1.7,1.414353,0.0
2014-10-02,1.7,1.7,1.7,1.7,1.414353,0.0
