Date,Open,High,Low,Close,Adj Close,Volume
2017-05-08,0.25,0.26,0.25,0.26,0.26,738909.0
2017-05-09,0.26,0.26,0.25,0.25,0.25,836071.0
2017-05-10,0.26,0.265,0.255,0.255,0.255,61000.0
2017-05-11,0.25,0.25,0.25,0.25,0.25,405048.0
2017-05-12,0.25,0.255,0.25,0.25,0.25,1675307.0
2017-05-15,0.24,0.24,0.24,0.24,0.24,20000.0
2017-05-16,0.24,0.24,0.24,0.24,0.24,283.0
2017-05-17,0.22,0.23,0.22,0.23,0.23,50000.0
2017-05-18,0.23,0.25,0.23,0.25,0.25,504717.0
2017-05-19,0.25,0.255,0.24,0.25,0.25,1749726.0
2017-05-22,0.25,0.255,0.25,0.255,0.255,850286.0
2017-05-23,0.255,0.26,0.255,0.26,0.26,164253.0
2017-05-24,0.26,0.26,0.255,0.255,0.255,400415.0
2017-05-25,0.265,0.27,0.265,0.27,0.27,97904.0
2017-05-26,0.255,0.265,0.255,0.255,0.255,70685.0
2017-05-29,0.25,0.265,0.25,0.25,0.25,214729.0
2017-05-30,0.255,0.255,0.25,0.25,0.25,130000.0
2017-05-31,0.25,0.255,0.25,0.25,0.25,155640.0
2017-06-01,0.25,0.25,0.25,0.25,0.25,16000.0
2017-06-02,0.25,0.25,0.25,0.25,0.25,516505.0
2017-06-05,0.26,0.26,0.26,0.26,0.26,10015.0
2017-06-06,0.25,0.25,0.25,0.25,0.25,432500.0
2017-06-07,0.25,0.25,0.25,0.25,0.25,552000.0
2017-06-08,0.25,0.25,0.245,0.245,0.245,125606.0
2017-06-09,0.245,0.245,0.245,0.245,0.245,0.0
2017-06-13,0.245,0.25,0.245,0.25,0.25,40142.0
2017-06-14,0.25,0.25,0.25,0.25,0.25,28750.0
2017-06-15,0.245,0.245,0.245,0.245,0.245,60000.0
2017-06-16,0.25,0.25,0.25,0.25,0.25,103785.0
2017-06-19,0.25,0.25,0.25,0.25,0.25,42983.0
2017-06-20,0.26,0.275,0.26,0.275,0.275,1014834.0
2017-06-21,0.285,0.295,0.285,0.29,0.29,175350.0
2017-06-22,0.3,0.305,0.295,0.305,0.305,364713.0
2017-06-23,0.305,0.32,0.305,0.315,0.315,1284812.0
2017-06-26,0.32,0.34,0.32,0.33,0.33,637700.0
2017-06-27,0.345,0.345,0.33,0.34,0.34,230775.0
2017-06-28,0.34,0.34,0.335,0.34,0.34,241775.0
2017-06-29,0.34,0.34,0.335,0.335,0.335,65800.0
2017-06-30,0.335,0.335,0.325,0.325,0.325,429829.0
2017-07-03,0.33,0.33,0.325,0.33,0.33,55300.0
2017-07-04,0.32,0.33,0.32,0.33,0.33,409383.0
2017-07-05,0.315,0.325,0.315,0.315,0.315,572795.0
2017-07-06,0.31,0.315,0.31,0.315,0.315,25388.0
2017-07-07,0.32,0.325,0.315,0.325,0.325,247538.0
2017-07-10,0.32,0.32,0.315,0.32,0.32,353000.0
2017-07-11,0.32,0.32,0.315,0.315,0.315,259700.0
2017-07-12,0.32,0.32,0.315,0.32,0.32,166000.0
2017-07-13,0.32,0.33,0.315,0.315,0.315,87200.0
2017-07-14,0.32,0.32,0.315,0.315,0.315,390000.0
2017-07-17,0.32,0.335,0.32,0.335,0.335,1944200.0
2017-07-18,0.335,0.335,0.32,0.325,0.325,188783.0
2017-07-19,0.32,0.33,0.32,0.32,0.32,475367.0
2017-07-20,0.32,0.32,0.32,0.32,0.32,275759.0
2017-07-21,0.325,0.325,0.32,0.32,0.32,1286580.0
2017-07-24,0.32,0.32,0.315,0.32,0.32,374161.0
2017-07-25,0.32,0.32,0.315,0.32,0.32,1260117.0
2017-07-26,0.32,0.32,0.32,0.32,0.32,30000.0
2017-07-27,0.315,0.315,0.305,0.315,0.315,352667.0
2017-07-28,0.315,0.32,0.315,0.32,0.32,128799.0
2017-07-31,0.32,0.32,0.31,0.31,0.31,219095.0
2017-08-01,0.31,0.32,0.31,0.32,0.32,53104.0
