Date,Open,High,Low,Close,Adj Close,Volume
2013-12-05,14.47,14.47,14.47,14.47,12.359728,500.0
2013-12-08,,,,,,
2013-12-09,,,,,,
2013-12-10,,,,,,
2013-12-11,,,,,,
2013-12-12,,,,,,
2013-12-15,,,,,,
2013-12-16,,,,,,
2013-12-17,,,,,,
2013-12-18,,,,,,
2013-12-19,14.69,14.74,14.68,14.7,12.556184,432401.0
2013-12-22,,,,,,
2013-12-23,,,,,,
2013-12-26,,,,,,
2013-12-29,14.98,14.98,14.98,14.98,12.795349,80.0
2013-12-30,,,,,,
2014-01-01,,,,,,
2014-01-02,,,,,,
2014-01-05,14.71,14.71,14.67,14.67,12.53056,2303.0
2014-01-06,14.79,14.79,14.79,14.79,12.633058,350.0
2014-01-07,14.79,14.79,14.79,14.79,12.633058,1871.0
2014-01-08,,,,,,
2014-01-09,,,,,,
2014-01-12,,,,,,
2014-01-13,,,,,,
2014-01-14,,,,,,
2014-01-15,,,,,,
2014-01-16,,,,,,
2014-01-19,,,,,,
2014-01-20,,,,,,
2014-01-21,,,,,,
2014-01-22,14.82,14.82,14.77,14.77,12.615976,882.0
2014-01-23,14.72,14.72,14.72,14.72,12.573267,8100.0
2014-01-27,14.61,14.61,14.61,14.61,12.47931,536.0
2014-01-28,,,,,,
2014-01-29,14.57,14.57,14.57,14.57,12.445144,559.0
2014-01-30,,,,,,
2014-02-02,,,,,,
2014-02-03,,,,,,
2014-02-04,14.58,14.58,14.58,14.58,12.453687,50.0
2014-02-05,,,,,,
2014-02-06,,,,,,
2014-02-09,14.58,14.58,14.58,14.58,12.453687,613.0
2014-02-10,,,,,,
2014-02-11,15.01,15.01,15.01,15.01,12.820975,1072.0
2014-02-12,15.06,15.06,15.06,15.06,12.863684,2359.0
2014-02-13,15.06,15.06,15.06,15.06,12.863684,35.0
2014-02-16,15.09,15.09,15.09,15.09,12.889308,50.0
2014-02-17,,,,,,
2014-02-18,15.17,15.17,15.16,15.16,12.949099,1523.0
2014-02-19,,,,,,
2014-02-20,,,,,,
