Date,Open,High,Low,Close,Adj Close,Volume
2003-12-14,0.495,0.52,0.45,0.48,0.368761,1418100.0
2003-12-15,0.51,0.54,0.5,0.5,0.384126,869760.0
2003-12-16,0.51,0.53,0.5,0.52,0.399491,292388.0
2003-12-17,0.53,0.53,0.52,0.52,0.399491,134334.0
2003-12-18,0.51,0.51,0.49,0.51,0.391808,152000.0
2003-12-21,0.51,0.51,0.49,0.5,0.384126,158800.0
2003-12-22,0.5,0.5,0.495,0.495,0.380284,117900.0
2003-12-23,0.49,0.49,0.48,0.49,0.376443,152300.0
2003-12-24,,,,,,
2003-12-25,,,,,,
2003-12-28,0.49,0.49,0.49,0.49,0.376443,24400.0
2003-12-29,0.49,0.51,0.49,0.5,0.384126,79000.0
2003-12-30,0.51,0.51,0.51,0.51,0.391808,45500.0
2003-12-31,,,,,,
2004-01-01,0.5,0.5,0.48,0.48,0.368761,11800.0
2004-01-04,0.48,0.48,0.47,0.48,0.368761,27450.0
2004-01-05,0.49,0.49,0.49,0.49,0.376443,29506.0
2004-01-06,0.49,0.49,0.48,0.48,0.368761,21966.0
2004-01-07,0.48,0.48,0.475,0.475,0.364919,34000.0
2004-01-08,0.48,0.495,0.48,0.495,0.380284,496500.0
2004-01-11,0.495,0.495,0.495,0.495,0.380284,33700.0
2004-01-12,0.495,0.56,0.495,0.56,0.430221,293744.0
2004-01-13,0.6,0.65,0.58,0.59,0.453268,132800.0
2004-01-14,0.59,0.67,0.59,0.67,0.514728,201110.0
2004-01-15,0.69,0.76,0.69,0.72,0.553141,206850.0
2004-01-18,0.76,0.8,0.7,0.75,0.5761890000000001,192050.0
2004-01-19,0.75,0.75,0.7,0.7,0.537776,120043.0
2004-01-20,0.71,0.72,0.71,0.71,0.545458,31050.0
2004-01-21,0.69,0.69,0.67,0.68,0.522411,48000.0
2004-01-22,0.68,0.68,0.68,0.68,0.522411,30000.0
2004-01-25,,,,,,
2004-01-26,0.7,0.72,0.7,0.7,0.537776,44500.0
2004-01-27,0.72,0.73,0.72,0.73,0.560823,31807.0
2004-01-28,0.73,0.75,0.73,0.75,0.5761890000000001,186825.0
2004-01-29,0.75,0.76,0.72,0.72,0.553141,171670.0
2004-02-01,0.73,0.73,0.73,0.73,0.560823,1233.0
2004-02-02,0.72,0.73,0.71,0.72,0.553141,70615.0
2004-02-03,0.72,0.72,0.68,0.68,0.522411,70579.0
2004-02-04,0.67,0.68,0.66,0.66,0.507046,29653.0
2004-02-05,0.63,0.68,0.63,0.68,0.522411,36810.0
2004-02-08,0.66,0.66,0.63,0.63,0.483998,30000.0
