Date,Open,High,Low,Close,Adj Close,Volume
2014-03-09,20.280001,20.290001,20.280001,20.290001,18.475451,519.0
2014-03-10,20.309999,20.309999,20.219999,20.219999,18.411707,872.0
2014-03-11,,,,,,
2014-03-12,20.16,20.200001,20.16,20.200001,18.393497,350.0
2014-03-13,19.92,19.92,19.9,19.91,18.129431,750.0
2014-03-16,19.85,19.85,19.85,19.85,18.074799,100.0
2014-03-17,19.950001,19.950001,19.92,19.92,18.138536,769.0
2014-03-18,19.93,19.959999,19.93,19.959999,18.174959,256.0
2014-03-19,,,,,,
2014-03-20,,,,,,
2014-03-23,,,,,,
2014-03-24,19.719999,19.719999,19.719999,19.719999,17.956419,11000.0
2014-03-25,,,,,,
2014-03-26,,,,,,
2014-03-27,19.799999,19.860001,19.799999,19.860001,18.083904,4052.0
2014-03-30,,,,,,
2014-03-31,,,,,,
2014-04-01,,,,,,
2014-04-02,20.040001,20.040001,20.040001,20.040001,18.271465,100.0
2014-04-03,,,,,,
2014-04-07,,,,,,
2014-04-08,,,,,,
2014-04-09,20.290001,20.309999,20.290001,20.309999,18.517639000000006,888.0
2014-04-10,20.360001,20.360001,20.360001,20.360001,18.563227,100.0
2014-04-11,20.15,20.15,20.15,20.15,18.371756,300.0
2014-04-14,19.91,19.91,19.860001,19.860001,18.107351,400.0
2014-04-15,19.92,19.92,19.92,19.92,18.162056,50.0
2014-04-16,20.049999,20.059999,20.049999,20.059999,18.289698,1048.0
2014-04-17,20.129999,20.129999,20.129999,20.129999,18.353521,496.0
2014-04-22,,,,,,
2014-04-23,20.34,20.34,20.34,20.34,18.544992,246.0
2014-04-24,20.4,20.4,20.4,20.4,18.599695,1000.0
2014-04-28,20.43,20.43,20.43,20.43,18.627047,900.0
2014-04-29,20.4,20.4,20.34,20.34,18.544992,4000.0
2014-04-30,,,,,,
2014-05-01,20.15,20.15,20.15,20.15,18.371756,745.0
2014-05-02,,,,,,
2014-05-05,,,,,,
2014-05-06,,,,,,
2014-05-07,20.280001,20.280001,20.120001,20.120001,18.344406,1106.0
2014-05-08,,,,,,
2014-05-09,,,,,,
2014-05-12,,,,,,
2014-05-13,20.440001,20.440001,20.4,20.41,18.608809,835.0
2014-05-14,20.389999,20.389999,20.389999,20.389999,18.590578,1000.0
2014-05-15,20.43,20.43,20.43,20.43,18.627047,390.0
2014-05-16,20.35,20.35,20.33,20.33,18.535872,279.0
