Date,Open,High,Low,Close,Adj Close,Volume
2015-06-12,10.04,10.05,10.02,10.05,9.935363,17359.0
2015-06-15,9.95,9.98,9.94,9.94,9.826616,13077.0
2015-06-16,,,,,,
2015-06-17,,,,,,
2015-06-18,,,,,,
2015-06-19,,,,,,
2015-06-22,10.08,10.09,10.07,10.08,9.965017999999999,14034.0
2015-06-23,,,,,,
2015-06-24,,,,,,
2015-06-25,,,,,,
2015-06-26,,,,,,
2015-06-29,10.05,10.05,10.0,10.03,9.91559,16536.0
2015-06-30,,,,,,
2015-07-01,,,,,,
2015-07-02,,,,,,
2015-07-03,,,,,,
2015-07-06,,,,,,
2015-07-07,10.27,10.32,10.27,10.32,10.202282,20545.0
2015-07-08,,,,,,
2015-07-09,,,,,,
2015-07-10,10.2,10.2,10.16,10.2,10.08365,37344.0
2015-07-13,,,,,,
2015-07-14,,,,,,
2015-07-15,,,,,,
2015-07-16,,,,,,
2015-07-17,,,,,,
2015-07-20,,,,,,
2015-07-21,,,,,,
2015-07-22,,,,,,
2015-07-23,,,,,,
2015-07-24,,,,,,
2015-07-27,10.91,10.92,10.88,10.88,10.755894,76900.0
2015-07-28,,,,,,
2015-07-29,,,,,,
2015-07-30,,,,,,
2015-07-31,,,,,,
2015-08-03,,,,,,
2015-08-04,,,,,,
2015-08-05,,,,,,
2015-08-06,,,,,,
2015-08-07,,,,,,
2015-08-10,,,,,,
2015-08-11,,,,,,
2015-08-12,10.75,10.77,10.71,10.74,10.617492,21574.0
2015-08-13,10.66,10.7,10.65,10.66,10.538404,67934.0
2015-08-14,10.66,10.68,10.66,10.66,10.538404,24006.0
2015-08-17,10.67,10.69,10.66,10.66,10.538404,6269.0
2015-08-18,10.75,10.79,10.75,10.78,10.657034,81693.0
2015-08-19,10.77,10.79,10.74,10.74,10.617492,29207.0
2015-08-20,10.66,10.67,10.64,10.67,10.548289,7455.0
2015-08-21,10.39,10.4,10.31,10.32,10.202282,90586.0
2015-08-24,10.01,10.03,9.81,9.88,9.767301,47699.0
2015-08-25,9.78,10.0,9.75,9.75,9.638783,196893.0
2015-08-26,9.75,9.97,9.75,9.97,9.856274,67129.0
2015-08-27,10.33,10.34,10.3,10.3,10.18251,92809.0
2015-08-28,10.47,10.49,10.43,10.46,10.340685,56324.0
2015-08-31,10.45,10.45,10.41,10.42,10.301141000000001,9516.0
2015-09-01,10.38,10.38,10.22,10.26,10.142966,40807.0
2015-09-02,10.31,10.45,10.31,10.35,10.231939,121090.0
2015-09-03,10.51,10.55,10.49,10.54,10.419772,80408.0
2015-09-04,10.47,10.47,10.4,10.46,10.340685,34523.0
2015-09-07,10.48,10.61,10.48,10.59,10.469203,7171.0
2015-09-08,10.59,10.59,10.55,10.55,10.429659,15396.0
2015-09-09,10.63,10.7,10.63,10.7,10.577948,72365.0
2015-09-10,10.61,10.61,10.57,10.58,10.459315,63233.0
2015-09-11,10.56,10.6,10.56,10.58,10.459315,30267.0
2015-09-14,10.62,10.62,10.6,10.61,10.488973,3921.0
2015-09-15,10.47,10.54,10.47,10.54,10.419772,24699.0
2015-09-16,10.63,10.63,10.6,10.62,10.498859,115991.0
2015-09-17,10.53,10.57,10.53,10.57,10.44943,113273.0
2015-09-18,10.61,10.62,10.58,10.58,10.459315,25537.0
2015-09-21,10.48,10.48,10.44,10.47,10.350571,22351.0
2015-09-22,10.61,10.61,10.58,10.59,10.469203,45842.0
2015-09-23,10.49,10.5,10.2,10.46,10.340685,113871.0
2015-09-24,10.6,10.6,10.53,10.59,10.469203,75256.0
2015-09-25,10.56,10.6,10.54,10.59,10.469203,24757.0
2015-09-28,10.41,10.43,10.37,10.4,10.281367999999999,15089.0
2015-09-29,10.22,10.26,10.21,10.22,10.103422,73230.0
2015-09-30,10.14,10.21,10.13,10.21,10.093536,47508.0
2015-10-01,10.34,10.38,10.28,10.38,10.261598,11358.0
2015-10-02,10.38,10.4,10.35,10.38,10.261598,7284.0
2015-10-04,10.49,10.52,10.48,10.48,10.360456,3404.0
2015-10-05,10.61,10.61,10.53,10.53,10.409885000000001,15217.0
2015-10-06,10.42,10.42,10.39,10.39,10.271484,11338.0
2015-10-07,10.47,10.47,10.44,10.46,10.340685,65970.0
2015-10-08,10.43,10.44,10.4,10.43,10.311027000000001,114408.0
2015-10-11,10.39,10.39,10.36,10.38,10.261598,20431.0
2015-10-12,10.39,10.44,10.39,10.43,10.311027000000001,16706.0
2015-10-13,10.45,10.48,10.45,10.47,10.350571,14470.0
2015-10-14,10.37,10.38,10.3,10.3,10.18251,24922.0
2015-10-15,10.46,10.54,10.46,10.51,10.390115,66621.0
2015-10-18,10.59,10.59,10.55,10.57,10.44943,35142.0
2015-10-19,10.7,10.7,10.63,10.67,10.548289,19919.0
2015-10-20,10.67,10.67,10.59,10.62,10.498859,12684.0
2015-10-21,10.64,10.64,10.6,10.62,10.498859,47317.0
2015-10-22,10.89,10.95,10.89,10.92,10.795438,47014.0
2015-10-25,11.1,11.11,11.03,11.04,10.914069,50296.0
2015-10-26,11.1,11.1,11.07,11.1,10.973386,45957.0
2015-10-27,11.2,11.37,11.2,11.36,11.230417999999998,25073.0
2015-10-28,11.44,11.45,11.41,11.43,11.299619999999999,22202.0
2015-10-29,11.48,11.48,11.44,11.48,11.34905,32637.0
2015-11-01,11.33,11.33,11.28,11.28,11.151330999999999,30272.0
2015-11-02,11.42,11.43,11.31,11.31,11.18099,16228.0
2015-11-03,11.42,11.42,11.37,11.4,11.269962,15174.0
2015-11-04,11.38,11.46,11.38,11.46,11.329279,47279.0
